E_eV,Sig_b
1e-05,81.8343
1.03125e-05,80.5931
1.0625e-05,79.4072
1.09375e-05,78.2726
1.125e-05,77.1858
1.15625e-05,76.1434
1.1875e-05,75.1425
1.21875e-05,74.1805
1.25e-05,73.2549
1.28125e-05,72.3634
1.3125e-05,71.5041
1.34375e-05,70.675
1.375e-05,69.8744
1.4375e-05,68.3525
1.5e-05,66.927
1.5625e-05,65.5882
1.625e-05,64.3276
1.6875e-05,63.138
1.75e-05,62.0129
1.8125e-05,60.9467
1.875e-05,59.9345
1.9375e-05,58.9719
2e-05,58.0549
2.09375e-05,56.7576
2.1875e-05,55.5449
2.28125e-05,54.4081
2.375e-05,53.3396
2.46875e-05,52.3329
2.5625e-05,51.3822
2.65625e-05,50.4825
2.75e-05,49.6295
2.84375e-05,48.8193
2.9375e-05,48.0484
3.03125e-05,47.3138
3.125e-05,46.6126
3.21875e-05,45.9426
3.3125e-05,45.3013
3.40625e-05,44.687
3.5e-05,44.0976
3.59375e-05,43.5316
3.6875e-05,42.9875
3.78125e-05,42.4639
3.875e-05,41.9595
3.96875e-05,41.4733
4.0625e-05,41.0041
4.25e-05,40.1132
4.4375e-05,39.2798
4.625e-05,38.498
4.8125e-05,37.7628
5e-05,37.0697
5.15625e-05,36.5216
5.3125e-05,35.998
5.46875e-05,35.4973
5.625e-05,35.0178
5.78125e-05,34.558
5.9375e-05,34.1168
6.09375e-05,33.6928
6.25e-05,33.285
6.40625e-05,32.8924
6.5625e-05,32.514
6.71875e-05,32.1491
6.875e-05,31.7969
7.1875e-05,31.1276
7.5e-05,30.5012
7.8125e-05,29.9132
8.125e-05,29.36
8.4375e-05,28.8382
8.75e-05,28.345
9.0625e-05,27.878
9.375e-05,27.4349
9.6875e-05,27.0138
0.0001,26.6128
0.000103125,26.2306
0.00010625,25.8656
0.000109375,25.5167
0.0001125,25.1826
0.000115625,24.8625
0.00011875,24.5553
0.000121875,24.2603
0.000125,23.9765
0.000128125,23.7035
0.00013125,23.4404
0.000134375,23.1868
0.0001375,22.942
0.00014375,22.4772
0.00015,22.0424
0.00015625,21.6345
0.0001625,21.2509
0.00016875,20.8893
0.000175,20.5477
0.00018125,20.2244
0.0001875,19.9178
0.00019375,19.6265
0.0002,19.3494
0.000209375,18.9578
0.00021875,18.5923
0.000228125,18.2502
0.0002375,17.9292
0.000246875,17.6271
0.00025625,17.3423
0.000265625,17.0731
0.000275,16.8182
0.000284375,16.5764
0.00029375,16.3467
0.000303125,16.128
0.0003125,15.9195
0.000321875,15.7205
0.00033125,15.5303
0.000340625,15.3483
0.00035,15.1738
0.000359375,15.0065
0.00036875,14.8458
