E_eV,Sig_b
1e-05,268.225
1.03125e-05,264.138
1.0625e-05,260.233
1.09375e-05,256.496
1.125e-05,252.916
1.15625e-05,249.483
1.1875e-05,246.186
1.21875e-05,243.017
1.25e-05,239.967
1.28125e-05,237.03
1.3125e-05,234.198
1.34375e-05,231.466
1.375e-05,228.828
1.4375e-05,223.812
1.5e-05,219.113
1.54624e-05,215.822
1.59248e-05,212.675
1.63871e-05,209.663
1.68495e-05,206.775
1.6875e-05,206.62
1.69531e-05,206.144
1.70313e-05,205.673
1.71875e-05,204.739
1.75e-05,202.909
1.8125e-05,199.392
1.875e-05,196.052
1.9375e-05,192.876
2e-05,189.85
2.09051e-05,185.711
2.18102e-05,181.833
2.1875e-05,181.565
2.2024e-05,180.952
2.21731e-05,180.345
2.24711e-05,179.151
2.30673e-05,176.831
2.36635e-05,174.599
2.42596e-05,172.451
2.48557e-05,170.38
2.54519e-05,168.382
2.66442e-05,164.591
2.75e-05,162.023
2.84375e-05,159.344
2.9375e-05,156.795
3.03125e-05,154.366
3.125e-05,152.046
3.21875e-05,149.829
3.3125e-05,147.707
3.40625e-05,145.673
3.5e-05,143.722
3.625e-05,141.239
3.75e-05,138.882
3.875e-05,136.64
4e-05,134.504
4.125e-05,132.466
4.25e-05,130.519
4.4375e-05,127.755
4.625e-05,125.161
4.8125e-05,122.72
5e-05,120.419
5.22464e-05,117.826
5.44928e-05,115.397
5.67392e-05,113.113
5.89856e-05,110.962
6.07428e-05,109.363
6.25e-05,107.832
6.40625e-05,106.525
6.5625e-05,105.264
6.71875e-05,104.048
6.875e-05,102.874
7.1875e-05,100.642
7.5e-05,98.5511
7.75e-05,96.9708
8e-05,95.4656
8.36203e-05,93.4071
8.72406e-05,91.4786
8.75e-05,91.3451
8.82813e-05,90.9465
8.90625e-05,90.5531
9.0625e-05,89.7818
9.375e-05,88.2978
9.6875e-05,86.8864
0.0001,85.5421
0.000104493,83.7166
0.000108986,82.0058
0.000113478,80.3981
0.000117971,78.8837
0.000121486,77.7584
0.000125,76.6811
0.000128125,75.7609
0.00013125,74.874
0.000134375,74.0184
0.0001375,73.1923
0.00014375,71.6221
0.00015,70.1517
0.000155,69.0404
0.00016,67.982
0.00016724,66.5348
0.000174481,65.1792
