E_eV,Sig_b
1e-05,6341.59
1.03125e-05,6244.87
1.0625e-05,6152.46
1.09375e-05,6064.03
1.125e-05,5979.32
1.15625e-05,5898.06
1.1875e-05,5820.04
1.21875e-05,5745.03
1.25e-05,5672.86
1.28125e-05,5603.35
1.3125e-05,5536.33
1.34375e-05,5471.67
1.375e-05,5409.23
1.4375e-05,5290.51
1.5e-05,5179.29
1.5625e-05,5074.82
1.625e-05,4976.43
1.6875e-05,4883.57
1.75e-05,4795.73
1.8125e-05,4712.48
1.875e-05,4633.43
1.9375e-05,4558.24
2e-05,4486.6
2.09375e-05,4385.22
2.1875e-05,4290.44
2.28125e-05,4201.56
2.375e-05,4118.01
2.46875e-05,4039.26
2.5625e-05,3964.88
2.65625e-05,3894.48
2.75e-05,3827.71
2.84375e-05,3764.27
2.9375e-05,3703.9
3.03125e-05,3646.35
3.125e-05,3591.41
3.21875e-05,3538.9
3.3125e-05,3488.63
3.40625e-05,3440.46
3.5e-05,3394.23
3.59375e-05,3349.83
3.6875e-05,3307.13
3.78125e-05,3266.04
3.875e-05,3226.44
3.96875e-05,3188.26
4.0625e-05,3151.41
4.25e-05,3081.41
4.4375e-05,3015.9
4.625e-05,2954.41
4.8125e-05,2896.57
5e-05,2842.01
5.15625e-05,2798.84
5.3125e-05,2757.59
5.46875e-05,2718.12
5.625e-05,2680.31
5.78125e-05,2644.05
5.9375e-05,2609.23
6.09375e-05,2575.77
6.25e-05,2543.56
6.40625e-05,2512.55
6.5625e-05,2482.65
6.71875e-05,2453.8
6.875e-05,2425.94
7.1875e-05,2372.98
7.5e-05,2323.37
7.8125e-05,2276.78
8.125e-05,2232.9
8.4375e-05,2191.49
8.75e-05,2152.32
9.0625e-05,2115.2
9.375e-05,2079.96
9.6875e-05,2046.44
0.0001,2014.51
0.000103125,1984.04
0.00010625,1954.93
0.000109375,1927.08
0.0001125,1900.4
0.000115625,1874.81
0.00011875,1850.24
0.000121875,1826.62
0.000125,1803.9
0.000128125,1782.02
0.00013125,1760.92
0.000134375,1740.57
0.0001375,1720.92
0.00014375,1683.55
0.00015,1648.56
0.00015625,1615.69
0.0001625,1584.74
0.00016875,1555.53
0.000175,1527.91
0.00018125,1501.73
0.0001875,1476.87
0.00019375,1453.23
0.0002,1430.71
0.000209375,1398.84
0.00021875,1369.06
0.000228125,1341.13
0.0002375,1314.88
0.000246875,1290.14
0.00025625,1266.77
0.000265625,1244.66
0.000275,1223.69
0.000284375,1203.77
0.00029375,1184.82
0.000303125,1166.75
0.0003125,1149.5
0.000321875,1133.02
0.00033125,1117.24
0.000340625,1102.12
0.00035,1087.62
0.000359375,1073.68
0.00036875,1060.29
0.000378125,1047.39
0.0003875,1034.97
0.000396875,1022.99
0.00040625,1011.43
0.000425,989.47
0.00044375,968.922
