E_eV,Sig_b
1e-05,39.2163
1.03125e-05,38.6235
1.0625e-05,38.0572
1.09375e-05,37.5154
1.125e-05,36.9964
1.15625e-05,36.4987
1.1875e-05,36.0209
1.21875e-05,35.5616
1.25e-05,35.1197
1.28125e-05,34.6941
1.3125e-05,34.2839
1.34375e-05,33.8881
1.375e-05,33.506
1.4375e-05,32.7797
1.5e-05,32.0994
1.5625e-05,31.4606
1.625e-05,30.8592
1.6875e-05,30.2917
1.75e-05,29.755
1.8125e-05,29.2465
1.875e-05,28.7638
1.9375e-05,28.3048
2e-05,27.8676
2.09375e-05,27.2491
2.1875e-05,26.6711
2.28125e-05,26.1294
2.375e-05,25.6203
2.46875e-05,25.1407
2.5625e-05,24.6878
2.65625e-05,24.2594
2.75e-05,23.8532
2.84375e-05,23.4675
2.9375e-05,23.1006
3.03125e-05,22.751
3.125e-05,22.4173
3.21875e-05,22.0986
3.3125e-05,21.7935
3.40625e-05,21.5014
3.5e-05,21.2211
3.59375e-05,20.952
3.6875e-05,20.6934
3.78125e-05,20.4445
3.875e-05,20.2049
3.96875e-05,19.9739
4.0625e-05,19.751
4.25e-05,19.3279
4.4375e-05,18.9323
4.625e-05,18.5613
4.8125e-05,18.2126
5e-05,17.8839
5.15625e-05,17.6241
5.3125e-05,17.376
5.46875e-05,17.1387
5.625e-05,16.9116
5.78125e-05,16.694
5.9375e-05,16.4851
6.09375e-05,16.2845
6.25e-05,16.0916
6.40625e-05,15.9059
6.5625e-05,15.7271
6.71875e-05,15.5546
6.875e-05,15.3882
7.1875e-05,15.0721
7.5e-05,14.7765
7.8125e-05,14.4992
8.125e-05,14.2384
8.4375e-05,13.9926
8.75e-05,13.7605
9.0625e-05,13.5408
9.375e-05,13.3325
9.6875e-05,13.1346
0.0001,12.9463
0.000103125,12.767
0.00010625,12.5959
0.000109375,12.4323
0.0001125,12.2759
0.000115625,12.1261
0.00011875,11.9825
0.000121875,11.8446
0.000125,11.7121
0.000128125,11.5846
0.00013125,11.462
0.000134375,11.3437
0.0001375,11.2298
0.00014375,11.0135
0.00015,10.8115
0.00015625,10.6222
0.0001625,10.4445
0.00016875,10.2772
0.000175,10.1194
0.00018125,9.97026
0.0001875,9.82903
0.00019375,9.69505
0.0002,9.56776
0.000209375,9.38823
0.00021875,9.22105
0.000228125,9.06492
0.0002375,8.91872
0.000246875,8.78147
0.00025625,8.65235
0.000265625,8.5306
0.000275,8.41558
0.000284375,8.30673
0.00029375,8.20353
0.000303125,8.10553
0.0003125,8.01234
0.000321875,7.92358
0.00033125,7.83894
0.000340625,7.75812
0.00035,7.68086
0.000359375,7.60692
0.00036875,7.53607
0.000378125,7.46813
0.0003875,7.4029
0.000396875,7.34023
0.00040625,7.27996
0.000425,7.16605
0.00044375,7.06019
0.0004625,6.96153
0.00048125,6.86932
0.0005,6.78294
0.000515625,6.715
0.00053125,6.65043
0.000546875,6.589
0.0005625,6.53045
0.000578125,6.4746
0.00059375,6.42124
0.000609375,6.37022
0.000625,6.32138
0.000640625,6.27458
0.00065625,6.22968
0.000671875,6.18658
0.0006875,6.14517
0.00071875,6.06699
0.00075,5.99445
0.00078125,5.92695
0.0008125,5.86397
0.00084375,5.80505
0.000875,5.74981
0.00090625,5.6979
0.0009375,5.64903
0.00096875,5.60292
0.001,5.55935
0.00103125,5.51811
0.0010625,5.47901
0.00109375,5.44188
0.001125,5.40657
0.00115625,5.37296
0.0011875,5.34091
0.00121875,5.31032
0.00125,5.28109
0.00128125,5.25313
0.0013125,5.22635
0.00134375,5.20068
0.001375,5.17605
0.0014375,5.12966
0.0015,5.08673
0.0015625,5.04686
0.001625,5.00974
0.0016875,4.97509
0.00175,4.94265
0.0018125,4.91222
0.001875,4.8836
0.0019375,4.85664
0.002,4.83119
0.00209375,4.79556
0.0021875,4.76267
0.00228125,4.73221
0.002375,4.70389
0.00246875,4.6775
0.0025625,4.65284
0.00265625,4.62973
0.00275,4.60803
0.00284375,4.5876
0.0029375,4.56834
0.00303125,4.55013
0.003125,4.5329
0.00321875,4.51655
0.0033125,4.50103
0.00340625,4.48626
0.0035,4.4722
0.00359375,4.45878
0.0036875,4.44597
