E_eV,Sig_b
1e-05,875.27
1.03125e-05,861.922
1.0625e-05,849.168
1.09375e-05,836.965
1.125e-05,825.274
1.15625e-05,814.061
1.1875e-05,803.293
1.21875e-05,792.942
1.25e-05,782.982
1.28125e-05,773.389
1.3125e-05,764.141
1.34375e-05,755.217
1.375e-05,746.6
1.4375e-05,730.216
1.5e-05,714.868
1.5625e-05,700.451
1.625e-05,686.874
1.6875e-05,674.059
1.75e-05,661.938
1.8125e-05,650.449
1.875e-05,639.54
1.9375e-05,629.163
2e-05,619.278
2.09375e-05,605.288
2.1875e-05,592.208
2.28125e-05,579.944
2.375e-05,568.414
2.46875e-05,557.547
2.5625e-05,547.283
2.65625e-05,537.568
2.75e-05,528.355
2.84375e-05,519.601
2.9375e-05,511.27
3.03125e-05,503.329
3.125e-05,495.749
3.21875e-05,488.503
3.3125e-05,481.566
3.40625e-05,474.919
3.5e-05,468.541
3.59375e-05,462.414
3.6875e-05,456.523
3.78125e-05,450.852
3.875e-05,445.389
3.96875e-05,440.121
4.0625e-05,435.036
4.25e-05,425.378
4.4375e-05,416.338
4.625e-05,407.856
4.8125e-05,399.874
5e-05,392.347
5.15625e-05,386.39
5.3125e-05,380.7
5.46875e-05,375.255
5.625e-05,370.039
5.78125e-05,365.036
5.9375e-05,360.233
6.09375e-05,355.615
6.25e-05,351.173
6.40625e-05,346.894
6.5625e-05,342.769
6.71875e-05,338.79
6.875e-05,334.947
7.1875e-05,327.641
7.5e-05,320.798
7.8125e-05,314.37
8.125e-05,308.318
8.4375e-05,302.606
8.75e-05,297.204
9.0625e-05,292.084
9.375e-05,287.223
9.6875e-05,282.6
0.0001,278.196
0.000103125,273.994
0.00010625,269.979
0.000109375,266.139
0.0001125,262.459
0.000115625,258.931
0.00011875,255.543
0.000121875,252.287
0.000125,249.154
0.000128125,246.136
0.00013125,243.228
0.000134375,240.421
0.0001375,237.712
0.00014375,232.561
0.00015,227.736
0.00015625,223.205
0.0001625,218.939
0.00016875,214.913
0.000175,211.105
0.00018125,207.497
0.0001875,204.071
0.00019375,200.813
0.0002,197.71
0.000209375,193.319
0.00021875,189.215
0.000228125,185.367
0.0002375,181.75
0.000246875,178.343
0.00025625,175.125
0.000265625,172.079
0.000275,169.191
0.000284375,166.448
0.00029375,163.838
0.000303125,161.35
0.0003125,158.975
0.000321875,156.706
0.00033125,154.534
0.000340625,152.453
0.00035,150.456
0.000359375,148.538
0.00036875,146.694
0.000378125,144.92
0.0003875,143.21
0.000396875,141.562
0.00040625,139.971
0.000425,136.95
0.00044375,134.123
0.0004625,131.47
0.00048125,128.975
0.0005,126.622
0.000515625,124.761
0.00053125,122.982
0.000546875,121.281
0.0005625,119.651
0.000578125,118.088
0.00059375,116.588
0.000609375,115.145
0.000625,113.758
0.000640625,112.421
0.00065625,111.133
0.000671875,109.891
0.0006875,108.691
0.00071875,106.41
0.00075,104.273
0.00078125,102.267
0.0008125,100.378
0.00084375,98.5951
0.000875,96.9091
0.00090625,95.3113
0.0009375,93.7944
0.00096875,92.3517
0.001,90.9775
0.00103125,89.6664
0.0010625,88.4137
0.00109375,87.2154
0.001125,86.0674
0.00115625,84.9665
0.0011875,83.9094
0.00121875,82.8934
0.00125,81.9159
0.00128125,80.9744
0.0013125,80.0669
0.00134375,79.1913
0.001375,78.3459
0.0014375,76.7386
0.0015,75.2332
0.0015625,73.8193
0.001625,72.488
0.0016875,71.2316
0.00175,70.0432
0.0018125,68.917
0.001875,67.8478
0.0019375,66.8309
0.002,65.8621
0.00209375,64.4913
0.0021875,63.2098
0.00228125,62.0083
0.002375,60.8789
0.00246875,59.8146
0.0025625,58.8094
0.00265625,57.858
0.00275,56.9558
0.00284375,56.0987
0.0029375,55.2831
0.00303125,54.5057
0.003125,53.7637
0.00321875,53.0544
0.0033125,52.3755
0.00340625,51.7248
0.0035,51.1006
0.00359375,50.501
0.0036875,49.9245
0.00378125,49.3697
0.003875,48.8351
0.00396875,48.3196
0.0040625,47.8221
0.00425,46.8771
0.0044375,45.9928
0.004625,45.1629
0.0048125,44.3822
0.005,43.6458
0.00515625,43.0632
0.0053125,42.5066
0.00546875,41.9741
0.005625,41.4639
0.00578125,40.9747
0.0059375,40.5049
0.00609375,40.0534
0.00625,39.6189
0.00640625,39.2005
0.0065625,38.7972
0.00671875,38.408
0.006875,38.0323
0.0071875,37.3179
0.0075,36.6488
0.0078125,36.0203
0.008125,35.4285
0.0084375,34.8699
0.00875,34.3417
0.0090625,33.841
0.009375,33.3657
0.0096875,32.9136
0.01,32.4829
0.0103125,32.0721
0.010625,31.6795
0.0109375,31.304
0.01125,30.9443
0.0115625,30.5993
0.011875,30.2681
0.0121875,29.9498
0.0125,29.6435
0.0128125,29.3486
0.013125,29.0643
0.0134375,28.79
0.01375,28.5252
0.014375,28.0217
0.015,27.5501
0.015625,27.1072
0.01625,26.6901
0.016875,26.2965
0.0175,25.9243
0.018125,25.5715
0.01875,25.2366
0.019375,24.9181
0.02,24.6147
0.0206625,24.3084
0.021325,24.0165
0.0219875,23.7379
0.02265,23.4718
0.0233125,23.2171
0.023975,22.9731
0.0246375,22.7391
0.0253,22.5144
0.0264578,22.1423
0.0276156,21.794
0.0287734,21.4671
0.0299312,21.1595
0.0310891,20.8694
0.0322469,20.5953
0.0334047,20.3356
0.0345625,20.0891
0.0355273,19.893
0.0364922,19.7048
0.037457,19.5239
0.0384219,19.35
0.0393867,19.1824
0.0403516,19.021
0.0413164,18.8653
0.0422812,18.715
0.0442109,18.4295
0.0461406,18.1623
0.0480703,17.9114
0.05,17.6754
0.0515625,17.4942
0.053125,17.3212
0.0546875,17.1557
0.05625,16.9972
0.0578125,16.8453
0.059375,16.6996
0.0609375,16.5596
0.0625,16.4249
0.0640625,16.2954
0.065625,16.1705
0.06875,15.9339
0.071875,15.713
0.075,15.5061
0.078125,15.312
0.08125,15.1294
0.084375,14.9572
0.0875,14.7944
0.090625,14.6404
0.09375,14.4943
0.096875,14.3554
0.1,14.2233
0.103125,14.0974
0.10625,13.9772
0.109375,13.8623
0.1125,13.7524
0.115625,13.6471
0.11875,13.5461
0.121875,13.4491
0.125,13.356
0.128125,13.2664
0.13125,13.1802
0.1375,13.0169
0.14375,12.8646
0.15,12.7222
0.15625,12.5887
0.1625,12.4634
0.16875,12.3453
0.175,12.234
0.18125,12.1288
0.1875,12.0291
0.19375,11.9346
0.2,11.8449
0.209375,11.7184
0.21875,11.6005
0.228125,11.4904
0.2375,11.3874
0.246875,11.2907
0.25625,11.1999
0.265625,11.1143
0.275,11.0335
0.284375,10.9572
0.29375,10.885
0.303125,10.8165
0.3125,10.7515
0.321875,10.6897
0.33125,10.631
0.340625,10.575
0.35,10.5216
0.359375,10.4707
0.36875,10.422
0.378125,10.3756
0.3875,10.3312
0.40625,10.248
0.425,10.1714
0.44375,10.1009
0.4625,10.0358
0.5,9.92053
0.53125,9.83733
0.5625,9.76392
0.625,9.64277
0.6875,9.55023
0.75,9.48144
0.8125,9.43312
0.875,9.40345
0.9375,9.39058
1,9.39332
1.0625,9.41178
1.125,9.4461
1.1875,9.49685
1.25,9.56505
1.3125,9.6522
1.375,9.76033
1.4375,9.89213
1.5,10.0511
1.5625,10.2404
1.59375,10.3482
1.625,10.467
1.65625,10.597
1.6875,10.7392
1.71875,10.895
1.75,11.0659
1.78125,11.2535
1.8125,11.4598
1.84375,11.6871
1.875,11.938
1.90625,12.2157
1.9375,12.5238
1.96875,12.8665
2,13.2485
2.03178,13.6841
2.06356,14.1754
2.09534,14.7316
2.11123,15.0376
2.12712,15.3642
2.14301,15.7135
2.15889,16.0875
2.17478,16.4885
2.19067,16.9191
2.20656,17.3821
2.22245,17.8805
2.23834,18.4181
2.25423,18.9995
2.27088,19.6616
2.28752,20.3843
2.30417,21.175
2.32082,22.0422
2.33746,22.9959
2.35411,24.0478
2.37075,25.2118
2.3874,26.5045
2.40405,27.9455
2.42069,29.558
2.42902,30.4373
2.43734,31.3706
2.44566,32.3623
2.45398,33.4175
2.46231,34.5415
2.47063,35.7405
2.47895,37.0212
2.48728,38.391
2.4956,39.8584
2.50392,41.4326
2.51225,43.1243
2.52057,44.9454
2.52965,47.0958
2.53873,49.4367
2.54781,51.9915
2.55689,54.7865
2.56597,57.8533
2.57505,61.2272
2.58413,64.9499
2.59321,69.0697
2.60153,73.2444
2.60985,77.853
2.61818,82.9561
2.6265,88.6249
2.63482,94.943
2.63898,98.3762
2.64315,102.009
2.64731,105.859
2.65147,109.941
2.65563,114.274
2.65979,118.877
2.66585,126.1
2.6719,134.012
2.67795,142.698
2.684,152.25
2.69006,162.773
2.69611,174.384
2.70216,187.214
2.70822,201.403
2.71313,214.042
2.71805,227.762
2.72297,242.657
2.72789,258.812
2.73281,276.318
2.73773,295.245
2.74264,315.661
2.74756,337.612
2.75199,358.689
2.75641,381.012
2.76083,404.557
2.76526,429.245
2.76968,454.984
2.7741,481.615
2.77853,508.96
2.78295,536.769
2.78855,572.229
2.79416,607.296
2.79976,641.201
2.80536,673.094
2.81097,702.09
2.81657,727.319
2.82217,747.968
2.82777,763.341
2.83083,769.303
2.83389,773.466
2.83694,775.787
2.84,776.241
2.84458,773.418
2.84917,766.46
2.85375,755.536
2.85834,740.912
2.86292,722.921
2.86751,701.973
2.87209,678.512
2.87667,653.011
2.8828,616.602
2.88892,578.525
2.89504,539.81
2.90117,501.351
2.90729,463.884
2.91341,427.981
2.91954,394.048
2.92566,362.348
2.93128,335.297
2.93691,310.267
2.94254,287.226
2.94816,266.107
2.95379,246.801
2.95941,229.196
2.96504,213.158
2.97066,198.563
2.97629,185.278
2.98191,173.184
2.98754,162.167
2.99317,152.123
2.99879,142.951
3.00442,134.565
3.01004,126.887
3.01567,119.847
3.02002,114.801
3.02436,110.071
3.02871,105.633
3.03306,101.465
3.0374,97.5449
3.04175,93.8556
3.0461,90.3797
3.05045,87.1017
3.05479,84.0067
3.05914,81.083
3.06349,78.318
3.06784,75.7007
3.07653,70.8697
3.08522,66.5192
3.09085,63.9312
3.09647,61.5047
3.1021,59.2268
3.10773,57.0863
3.11335,55.0719
3.11898,53.1746
3.1246,51.3851
3.13023,49.6961
3.13585,48.0998
3.14148,46.5898
