E_eV,Sig_b
1e-05,29131.1
1.03125e-05,28686.4
1.0625e-05,28261.4
1.09375e-05,27854.8
1.125e-05,27465.2
1.15625e-05,27091.6
1.1875e-05,26732.8
1.21875e-05,26387.9
1.25e-05,26056
1.28125e-05,25736.3
1.3125e-05,25428.1
1.34375e-05,25130.7
1.375e-05,24843.5
1.4375e-05,24297.5
1.5e-05,23786
1.5625e-05,23305.5
1.625e-05,22853
1.6875e-05,22425.8
1.75e-05,22021.8
1.8125e-05,21638.8
1.875e-05,21275.2
1.9375e-05,20929.3
2e-05,20599.7
2.09375e-05,20133.3
2.1875e-05,19697.3
2.28125e-05,19288.4
2.375e-05,18903.9
2.46875e-05,18541.6
2.5625e-05,18199.3
2.65625e-05,17875.4
2.75e-05,17568.1
2.84375e-05,17276.2
2.9375e-05,16998.3
3.03125e-05,16733.4
3.125e-05,16480.6
3.21875e-05,16238.9
3.3125e-05,16007.5
3.40625e-05,15785.7
3.5e-05,15573
3.59375e-05,15368.6
3.6875e-05,15172
3.78125e-05,14982.8
3.875e-05,14800.5
3.96875e-05,14624.7
4.0625e-05,14455
4.25e-05,14132.7
4.4375e-05,13831
4.625e-05,13547.8
4.8125e-05,13281.4
5e-05,13030.1
5.15625e-05,12831.2
5.3125e-05,12641.2
5.46875e-05,12459.4
5.625e-05,12285.2
5.78125e-05,12118.1
5.9375e-05,11957.7
6.09375e-05,11803.5
6.25e-05,11655.1
6.40625e-05,11512.2
6.5625e-05,11374.3
6.71875e-05,11241.4
6.875e-05,11113
7.1875e-05,10868.8
7.5e-05,10640.1
7.8125e-05,10425.3
8.125e-05,10223
8.4375e-05,10032
8.75e-05,9851.34
9.0625e-05,9680.12
9.375e-05,9517.53
9.6875e-05,9362.88
0.0001,9215.54
0.000103125,9074.94
0.00010625,8940.6
0.000109375,8812.06
0.0001125,8688.91
0.000115625,8570.79
0.00011875,8457.36
0.000121875,8348.33
0.000125,8243.41
0.000128125,8142.36
0.00013125,8044.93
0.000134375,7950.93
0.0001375,7860.15
0.00014375,7687.55
0.00015,7525.86
0.00015625,7373.97
0.0001625,7230.94
0.00016875,7095.92
0.000175,6968.21
0.00018125,6847.16
0.0001875,6732.22
0.00019375,6622.89
0.0002,6518.72
0.000209375,6371.31
0.00021875,6233.48
0.000228125,6104.24
0.0002375,5982.73
0.000246875,5868.21
0.00025625,5760.04
0.000265625,5657.64
0.000275,5560.53
0.000284375,5468.26
0.00029375,5380.45
0.000303125,5296.74
0.0003125,5216.83
0.000321875,5140.44
0.00033125,5067.31
0.000340625,4997.22
0.00035,4929.98
0.000359375,4865.38
0.00036875,4803.26
0.000378125,4743.46
0.0003875,4685.85
0.000396875,4630.29
0.00040625,4576.67
0.000425,4474.8
0.00044375,4379.46
0.0004625,4289.98
0.00048125,4205.78
0.0005,4126.36
0.000515625,4063.51
0.00053125,4003.46
0.000546875,3946.01
0.0005625,3890.96
0.000578125,3838.16
0.00059375,3787.46
0.000609375,3738.72
0.000625,3691.82
0.000640625,3646.65
0.00065625,3603.1
0.000671875,3561.08
0.0006875,3520.5
0.00071875,3443.35
0.00075,3371.08
0.00078125,3303.18
0.0008125,3239.25
0.00084375,3178.89
0.000875,3121.8
0.00090625,3067.69
0.0009375,3016.31
0.00096875,2967.44
0.001,2920.88
0.00103125,2876.44
0.0010625,2833.99
0.00109375,2793.36
0.001125,2754.45
0.00115625,2717.12
0.0011875,2681.27
0.00121875,2646.81
0.00125,2613.65
0.00128125,2581.72
0.0013125,2550.93
0.00134375,2521.22
0.001375,2492.53
0.0014375,2437.98
0.0015,2386.88
0.0015625,2338.87
0.001625,2293.66
0.0016875,2250.99
0.00175,2210.62
0.0018125,2172.36
0.001875,2136.03
0.0019375,2101.47
0.002,2068.54
0.00209375,2021.94
0.0021875,1978.37
0.00228125,1937.51
0.002375,1899.1
0.00246875,1862.89
0.0025625,1828.69
0.00265625,1796.32
0.00275,1765.62
0.00284375,1736.44
0.0029375,1708.68
0.00303125,1682.21
0.003125,1656.94
0.00321875,1632.79
0.0033125,1609.67
0.00340625,1587.51
0.0035,1566.25
0.00359375,1545.82
0.0036875,1526.18
0.00378125,1507.27
0.003875,1489.05
0.00396875,1471.49
0.0040625,1454.53
0.00425,1422.31
0.0044375,1392.16
0.004625,1363.86
0.0048125,1337.23
0.005,1312.11
0.00515625,1292.24
0.0053125,1273.24
0.00546875,1255.07
0.005625,1237.66
0.00578125,1220.95
0.0059375,1204.92
0.00609375,1189.5
0.00625,1174.67
0.00640625,1160.38
0.0065625,1146.6
0.00671875,1133.31
0.006875,1120.48
0.0071875,1096.07
0.0075,1073.2
0.0078125,1051.72
0.008125,1031.49
0.0084375,1012.39
0.00875,994.321
0.0090625,977.194
0.009375,960.929
0.0096875,945.458
0.01,930.717
0.0103125,916.651
0.010625,903.21
0.0109375,890.349
0.01125,878.028
0.0115625,866.21
0.011875,854.862
0.0121875,843.954
0.0125,833.458
0.0128125,823.348
0.013125,813.601
0.0134375,804.196
0.01375,795.113
0.014375,777.843
0.015,761.66
0.015625,746.455
0.01625,732.133
0.016875,718.612
0.0175,705.821
0.018125,693.695
0.01875,682.18
0.019375,671.226
0.02,660.788
0.0206625,650.245
0.021325,640.196
0.0219875,630.605
0.02265,621.436
0.0233125,612.661
0.023975,604.252
0.0246375,596.183
0.0253,588.433
0.0264578,575.592
0.0276156,563.566
0.0287734,552.273
0.0299312,541.641
0.0310891,531.609
0.0322469,522.122
0.0334047,513.133
0.0345625,504.596
0.0355273,497.801
0.0364922,491.275
0.037457,485
0.0384219,478.962
0.0393867,473.145
0.0403516,467.537
0.0413164,462.127
0.0422812,456.901
0.0442109,446.967
0.0461406,437.66
0.0480703,428.917
0.05,420.684
0.0515625,414.357
0.053125,408.31
0.0546875,402.523
0.05625,396.978
0.0578125,391.658
0.059375,386.549
0.0609375,381.636
0.0625,376.909
0.0640625,372.355
0.065625,367.965
0.0671875,363.729
0.06875,359.639
0.0703125,355.688
0.071875,351.866
0.075,344.582
0.078125,337.738
0.08125,331.291
0.084375,325.209
0.0875,319.461
0.090625,314.021
0.09375,308.864
0.096875,303.97
0.1,299.322
0.103065,294.989
0.10613,290.869
0.109194,286.951
0.112259,283.228
0.115324,279.692
0.118389,276.337
0.121454,273.157
0.124518,270.151
0.128106,266.849
0.131694,263.779
0.135282,260.938
0.13887,258.322
0.142459,255.922
0.144253,254.8
0.146046,253.728
0.14784,252.704
0.149634,251.727
0.151429,250.792
0.153223,249.898
0.155615,248.764
0.158007,247.687
0.159302,247.124
0.160598,246.575
0.161894,246.037
0.163189,245.509
0.164485,244.989
0.165781,244.477
0.167076,243.97
0.168372,243.468
0.170964,242.472
0.173555,241.479
0.176146,240.483
0.178738,239.478
0.181395,238.434
0.184053,237.374
0.189369,235.212
0.192027,234.112
0.194684,233.003
0.197342,231.888
0.2,230.77
0.202125,229.878
0.20425,228.988
0.206375,228.103
0.2085,227.223
0.210625,226.348
0.21275,225.48
0.214875,224.615
0.217,223.754
0.223229,221.217
0.226344,219.923
0.229458,218.6
0.231015,217.925
0.232573,217.242
0.23413,216.549
0.235687,215.849
0.238802,214.43
0.241916,212.996
0.247714,210.331
0.250613,209.023
0.253512,207.743
0.256411,206.496
0.25931,205.284
0.262209,204.11
0.265108,202.971
0.266958,202.264
0.268807,201.57
0.270657,200.89
0.272506,200.222
0.274356,199.567
0.276205,198.924
0.279905,197.672
0.283604,196.461
0.287303,195.288
0.291002,194.152
0.294701,193.049
0.297937,192.11
0.301174,191.194
0.304411,190.3
0.307647,189.427
0.310884,188.574
0.314121,187.741
0.320594,186.129
0.327068,184.586
0.333541,183.108
0.340014,181.689
0.346488,180.326
0.351726,179.263
0.356963,178.233
0.362202,177.235
0.367439,176.268
0.377915,174.42
0.388391,172.679
0.398867,171.035
0.409343,169.48
0.419819,168.006
0.430295,166.604
