E_eV,Sig_b
1e-05,3036.49
1.03125e-05,2990.14
1.0625e-05,2945.86
1.09375e-05,2903.48
1.125e-05,2862.89
1.15625e-05,2823.95
1.1875e-05,2786.57
1.21875e-05,2750.62
1.25e-05,2716.04
1.28125e-05,2682.73
1.3125e-05,2650.61
1.34375e-05,2619.62
1.375e-05,2589.7
1.4375e-05,2532.8
1.5e-05,2479.5
1.54624e-05,2442.17
1.59248e-05,2406.48
1.63871e-05,2372.3
1.68495e-05,2339.55
1.6875e-05,2337.78
1.69531e-05,2332.39
1.70313e-05,2327.04
1.71875e-05,2316.44
1.75e-05,2295.68
1.8125e-05,2255.78
1.875e-05,2217.89
1.9375e-05,2181.84
2e-05,2147.51
2.06427e-05,2113.83
2.12854e-05,2081.7
2.19281e-05,2050.99
2.25708e-05,2021.6
2.32136e-05,1993.44
2.38563e-05,1966.43
2.4499e-05,1940.48
2.51417e-05,1915.54
2.63208e-05,1872.18
2.75e-05,1831.64
2.84375e-05,1801.23
2.9375e-05,1772.28
3.03125e-05,1744.69
3.125e-05,1718.35
3.21875e-05,1693.17
3.3125e-05,1669.06
3.40625e-05,1645.96
3.5e-05,1623.79
3.625e-05,1595.58
3.75e-05,1568.8
3.875e-05,1543.32
4e-05,1519.05
4.125e-05,1495.89
4.25e-05,1473.76
4.4375e-05,1442.33
4.625e-05,1412.84
4.8125e-05,1385.09
5e-05,1358.91
5.22464e-05,1329.43
5.44928e-05,1301.79
5.67392e-05,1275.81
5.89856e-05,1251.32
6.07428e-05,1233.13
6.25e-05,1215.71
6.40625e-05,1200.82
6.5625e-05,1186.47
6.71875e-05,1172.62
6.875e-05,1159.25
7.1875e-05,1133.83
7.5e-05,1110.01
7.75e-05,1092.01
8e-05,1074.85
8.36203e-05,1051.39
8.72406e-05,1029.4
8.75e-05,1027.88
8.82813e-05,1023.34
8.90625e-05,1018.85
9.0625e-05,1010.06
9.375e-05,993.129
9.6875e-05,977.028
0.0001,961.689
0.000104493,940.854
0.000108986,921.323
0.000113478,902.963
0.000117971,885.665
0.000121486,872.807
0.000125,860.496
0.000128125,849.978
0.00013125,839.839
0.000134375,830.055
0.0001375,820.607
0.00014375,802.645
0.00015,785.819
0.000155,773.098
0.00016,760.978
0.00016724,744.402
0.000174481,728.869
0.000175,727.793
0.000176563,724.582
0.000178125,721.413
0.00018125,715.199
0.0001875,703.24
0.00019375,691.866
0.0002,681.03
0.000206827,669.758
0.000213655,659.032
0.000220482,648.809
0.00022731,639.05
0.000234137,629.722
0.000240964,620.793
0.000247792,612.237
0.000254619,604.027
0.000264809,592.369
0.000275,581.366
0.000284358,571.788
0.000293716,562.672
0.000294336,562.084
