E_eV,Sig_b
1e-05,273.05
1.03125e-05,268.897
1.0625e-05,264.929
1.09375e-05,261.132
1.125e-05,257.495
1.15625e-05,254.007
1.1875e-05,250.658
1.21875e-05,247.438
1.25e-05,244.34
1.28125e-05,241.356
1.3125e-05,238.48
1.34375e-05,235.705
1.375e-05,233.025
1.4375e-05,227.93
1.5e-05,223.157
1.5625e-05,218.675
1.625e-05,214.453
1.6875e-05,210.47
1.75e-05,206.702
1.8125e-05,203.131
1.875e-05,199.74
1.9375e-05,196.515
2e-05,193.443
2.09375e-05,189.097
2.1875e-05,185.033
2.28125e-05,181.223
2.375e-05,177.642
2.46875e-05,174.267
2.5625e-05,171.08
2.65625e-05,168.063
2.75e-05,165.202
2.84375e-05,162.485
2.9375e-05,159.899
3.03125e-05,157.435
3.125e-05,155.083
3.21875e-05,152.834
3.3125e-05,150.682
3.40625e-05,148.62
3.5e-05,146.642
3.59375e-05,144.742
3.6875e-05,142.915
3.78125e-05,141.156
3.875e-05,139.463
3.96875e-05,137.83
4.0625e-05,136.254
4.25e-05,133.26
4.4375e-05,130.46
4.625e-05,127.832
4.8125e-05,125.36
5e-05,123.029
5.15625e-05,121.185
5.3125e-05,119.424
5.46875e-05,117.739
5.625e-05,116.125
5.78125e-05,114.578
5.9375e-05,113.092
6.09375e-05,111.664
6.25e-05,110.291
6.40625e-05,108.968
6.5625e-05,107.693
6.71875e-05,106.464
6.875e-05,105.276
7.1875e-05,103.02
7.5e-05,100.907
7.8125e-05,98.9229
8.125e-05,97.0555
8.4375e-05,95.2937
8.75e-05,93.628
9.0625e-05,92.0499
9.375e-05,90.5521
9.6875e-05,89.128
0.0001,87.7718
0.000103125,86.4784
0.00010625,85.243
0.000109375,84.0615
0.0001125,82.93
0.000115625,81.8453
0.00011875,80.8041
0.000121875,79.8036
0.000125,78.8413
0.000128125,77.9148
0.00013125,77.022
0.000134375,76.1609
0.0001375,75.3297
0.00014375,73.7503
0.00015,72.2718
0.00015625,70.8841
0.0001625,69.5782
0.00016875,68.3466
0.000175,67.1824
0.00018125,66.0798
0.0001875,65.0336
0.00019375,64.0392
0.0002,63.0924
0.000209375,61.7536
0.00021875,60.5032
0.000228125,59.3319
0.0002375,58.2317
0.000246875,57.1958
0.00025625,56.2181
0.000265625,55.2936
0.000275,54.4175
0.000284375,53.5858
0.00029375,52.795
0.000303125,52.0418
0.0003125,51.3233
0.000321875,50.6369
0.00033125,49.9805
0.000340625,49.3518
0.00035,48.749
0.000359375,48.1703
0.00036875,47.6143
0.000378125,47.0795
0.0003875,46.5645
0.000396875,46.0682
0.00040625,45.5895
0.000425,44.681
0.00044375,43.8317
0.0004625,43.0356
0.00048125,42.2873
0.0005,41.5822
0.000515625,41.0248
0.00053125,40.4927
0.000546875,39.9839
0.0005625,39.4969
0.000578125,39.0301
0.00059375,38.5822
0.000609375,38.152
0.000625,37.7383
0.000640625,37.34
0.00065625,36.9564
0.000671875,36.5864
0.0006875,36.2294
0.00071875,35.5511
0.00075,34.9165
0.00078125,34.3209
0.0008125,33.7607
0.00084375,33.2323
0.000875,32.7331
0.00090625,32.2602
0.0009375,31.8116
0.00096875,31.3853
0.001,30.9794
0.00103125,30.5923
0.0010625,30.2228
0.00109375,29.8694
0.001125,29.5311
0.00115625,29.2068
0.0011875,28.8955
0.00121875,28.5965
0.00125,28.3089
0.00128125,28.0321
0.0013125,27.7653
0.00134375,27.5081
0.001375,27.2598
0.0014375,26.788
0.0015,26.3463
0.0015625,25.9318
0.001625,25.5418
0.0016875,25.1738
0.00175,24.8261
0.0018125,24.4966
0.001875,24.184
0.0019375,23.8868
0.002,23.6038
0.00209375,23.2036
0.0021875,22.8296
0.00228125,22.4792
0.002375,22.15
0.00246875,21.8398
0.0025625,21.5471
0.00265625,21.2701
0.00275,21.0076
0.00284375,20.7582
0.0029375,20.521
0.00303125,20.295
0.003125,20.0794
0.00321875,19.8733
0.0033125,19.6761
0.00340625,19.4872
0.0035,19.3059
0.00359375,19.1319
0.0036875,18.9646
0.00378125,18.8036
0.003875,18.6486
0.00396875,18.4991
0.0040625,18.3549
0.00425,18.0809
0.0044375,17.8247
0.004625,17.5843
0.0048125,17.3582
0.005,17.1451
0.00515625,16.9764
0.0053125,16.8153
0.00546875,16.6613
0.005625,16.5137
0.00578125,16.3722
0.0059375,16.2363
0.00609375,16.1058
0.00625,15.9801
0.00640625,15.8592
0.0065625,15.7426
0.00671875,15.6301
0.006875,15.5215
0.0071875,15.3151
0.0075,15.1218
0.0078125,14.9403
0.008125,14.7694
0.0084375,14.6081
0.00875,14.4555
0.0090625,14.311
0.009375,14.1738
0.0096875,14.0433
0.01,13.919
0.0103125,13.8004
0.010625,13.6871
0.0109375,13.5787
0.01125,13.4749
0.0115625,13.3753
0.011875,13.2797
0.0121875,13.1879
0.0125,13.0995
0.0128125,13.0144
0.013125,12.9323
0.0134375,12.8531
0.01375,12.7767
0.014375,12.6313
0.015,12.4952
0.015625,12.3673
0.01625,12.2469
0.016875,12.1333
0.0175,12.0258
0.018125,11.9239
0.01875,11.8271
0.019375,11.7351
0.02,11.6475
0.0206625,11.5589
0.021325,11.4745
0.0219875,11.394
0.02265,11.317
0.0233125,11.2434
0.023975,11.1728
0.0246375,11.1051
0.0253,11.04
0.0264578,10.9323
0.0276156,10.8314
0.0287734,10.7367
0.0299312,10.6475
0.0310891,10.5634
0.0322469,10.4838
0.0334047,10.4084
0.0345625,10.3368
0.0355273,10.2798
0.0364922,10.2251
0.037457,10.1725
0.0384219,10.1219
0.0393867,10.0731
0.0403516,10.0261
0.0413164,9.98077
0.0422812,9.93698
0.0442109,9.85371
0.0461406,9.7757
0.0480703,9.70241
0.05,9.6334
0.0515625,9.58037
0.053125,9.52968
0.0546875,9.48117
0.05625,9.43468
0.0578125,9.39008
0.059375,9.34725
0.0609375,9.30607
0.0625,9.26643
0.0640625,9.22826
0.065625,9.19144
0.0671875,9.15592
0.06875,9.1216
0.071875,9.05633
0.075,8.99511
0.078125,8.93756
0.08125,8.88331
0.084375,8.83207
0.0875,8.78357
0.090625,8.73757
0.09375,8.69387
0.096875,8.65226
0.1,8.6126
0.103125,8.57473
0.10625,8.53852
0.109375,8.50385
0.1125,8.47062
0.115625,8.43871
0.11875,8.40806
0.121875,8.37857
0.125,8.35018
0.128125,8.32282
0.13125,8.29643
0.134375,8.27096
0.1375,8.24635
0.14375,8.1995
0.15,8.15551
0.15625,8.1141
0.1625,8.07505
0.16875,8.03813
0.175,8.00315
0.18125,7.96995
0.1875,7.93838
0.19375,7.90829
0.2,7.8796
0.204687,7.85893
0.209375,7.83894
0.21875,7.80084
0.228125,7.76501
0.2375,7.73122
0.246875,7.69929
0.25625,7.66907
0.265625,7.64039
0.275,7.61312
0.284375,7.58715
0.29375,7.56238
0.303125,7.53871
0.3125,7.51605
0.321875,7.49434
0.33125,7.47351
0.340625,7.4535
0.35,7.43424
0.359375,7.4157
0.36875,7.39783
0.378125,7.38059
0.3875,7.36393
0.396875,7.34783
0.40625,7.33226
0.415625,7.31719
0.425,7.3026
0.44375,7.2747
0.4625,7.24835
0.5,7.19988
0.53125,7.16315
0.5625,7.12917
0.59375,7.09766
0.625,7.06831
0.6875,7.01511
0.75,6.96797
0.8125,6.92572
0.875,6.88759
0.9375,6.85281
1,6.82078
1.0625,6.7912
1.125,6.76372
1.1875,6.73809
1.25,6.71408
1.3125,6.69149
1.375,6.67019
1.5,6.63089
1.625,6.59534
1.75,6.56295
1.875,6.53317
2,6.50555
2.09375,6.48611
2.1875,6.46767
2.28125,6.45011
2.375,6.43337
2.5625,6.40202
2.75,6.37321
2.9375,6.34654
3.125,6.32167
3.3125,6.29844
3.5,6.27663
3.6875,6.25609
3.875,6.23669
4.0625,6.21832
4.25,6.20088
4.4375,6.18429
4.625,6.16847
4.8125,6.15335
5,6.13891
5.3125,6.11615
5.625,6.09486
5.9375,6.07488
6.25,6.05608
6.5625,6.03835
6.875,6.02158
7.1875,6.00569
7.5,5.9906
7.8125,5.97623
8.125,5.96255
8.4375,5.94948
8.75,5.93699
9.0625,5.92503
9.375,5.91357
9.6875,5.90258
10,5.89201
10.3125,5.88185
10.625,5.87207
10.9375,5.86264
11.25,5.85356
11.5625,5.84478
11.875,5.83631
12.1875,5.82811
12.5,5.8202
13.125,5.8051
13.75,5.79091
14.375,5.77753
15,5.76491
15.625,5.75297
16.25,5.74165
16.875,5.7309
17.5,5.72068
18.125,5.71095
18.75,5.70166
19.375,5.69279
20,5.6843
20.4688,5.67817
20.9375,5.67223
