E_eV,Sig_b
1e-05,224.165
1.03125e-05,220.763
1.0625e-05,217.512
1.09375e-05,214.402
1.125e-05,211.423
1.15625e-05,208.566
1.1875e-05,205.823
1.21875e-05,203.186
1.25e-05,200.649
1.28125e-05,198.205
1.3125e-05,195.849
1.34375e-05,193.577
1.375e-05,191.382
1.4375e-05,187.21
1.5e-05,183.303
1.5625e-05,179.633
1.625e-05,176.177
1.6875e-05,172.916
1.75e-05,169.831
1.8125e-05,166.908
1.875e-05,164.133
1.9375e-05,161.494
2e-05,158.98
2.09375e-05,155.423
2.1875e-05,152.098
2.28125e-05,148.982
2.375e-05,146.052
2.46875e-05,143.291
2.5625e-05,140.685
2.65625e-05,138.218
2.75e-05,135.879
2.84375e-05,133.657
2.9375e-05,131.543
3.03125e-05,129.528
3.125e-05,127.606
3.21875e-05,125.768
3.3125e-05,124.01
3.40625e-05,122.325
3.5e-05,120.708
3.59375e-05,119.156
3.6875e-05,117.663
3.78125e-05,116.227
3.875e-05,114.844
3.96875e-05,113.51
4.0625e-05,112.224
4.25e-05,109.78
4.4375e-05,107.494
4.625e-05,105.349
4.8125e-05,103.332
5e-05,101.431
5.15625e-05,99.927
5.3125e-05,98.4906
5.46875e-05,97.1168
5.625e-05,95.8012
5.78125e-05,94.5399
5.9375e-05,93.3292
6.09375e-05,92.1659
6.25e-05,91.0469
6.40625e-05,89.9696
6.5625e-05,88.9314
6.71875e-05,87.93
6.875e-05,86.9634
7.1875e-05,85.1268
7.5e-05,83.4077
7.8125e-05,81.794
8.125e-05,80.2757
8.4375e-05,78.8436
8.75e-05,77.4901
9.0625e-05,76.2082
9.375e-05,74.992
9.6875e-05,73.836
0.0001,72.7355
0.000103125,71.6862
0.00010625,70.6844
0.000109375,69.7265
0.0001125,68.8096
0.000115625,67.9308
0.00011875,67.0875
0.000121875,66.2775
0.000125,65.4986
0.000128125,64.749
0.00013125,64.0269
0.000134375,63.3306
0.0001375,62.6587
0.00014375,61.3827
0.00015,60.189
0.00015625,59.0692
0.0001625,58.0163
0.00016875,57.0237
0.000175,56.0862
0.00018125,55.1987
0.0001875,54.3573
0.00019375,53.5579
0.0002,52.7973
0.000209375,51.7227
0.00021875,50.7199
0.000228125,49.7814
0.0002375,48.9007
0.000246875,48.0721
0.00025625,47.2909
0.000265625,46.5528
0.000275,45.854
0.000284375,45.1912
0.00029375,44.5615
0.000303125,43.9622
0.0003125,43.3911
0.000321875,42.846
0.00033125,42.325
0.000340625,41.8265
0.00035,41.3489
0.000359375,40.8908
0.00036875,40.451
0.000378125,40.0283
0.0003875,39.6216
0.000396875,39.23
0.00040625,38.8525
0.000425,38.1369
0.00044375,37.469
0.0004625,36.8438
0.00048125,36.257
0.0005,35.7049
0.000515625,35.269
0.00053125,34.8533
0.000546875,34.4563
0.0005625,34.0767
0.000578125,33.7133
0.00059375,33.3649
0.000609375,33.0306
0.000625,32.7094
0.000640625,32.4006
0.00065625,32.1034
0.000671875,31.8171
0.0006875,31.541
0.00071875,31.0173
0.00075,30.5282
0.00078125,30.0699
0.0008125,29.6396
0.00084375,29.2344
0.000875,28.8521
0.00090625,28.4905
0.0009375,28.1481
0.00096875,27.823
0.001,27.5139
0.00103125,27.2196
0.0010625,26.939
0.00109375,26.671
0.001125,26.4146
0.00115625,26.1692
0.0011875,25.9339
0.00121875,25.7081
0.00125,25.4912
0.00128125,25.2826
0.0013125,25.0818
0.00134375,24.8883
0.001375,24.7017
0.0014375,24.3477
0.0015,24.0169
0.0015625,23.7068
0.001625,23.4155
0.0016875,23.1411
0.00175,22.8821
0.0018125,22.6371
0.001875,22.4049
0.0019375,22.1844
0.002,21.9747
0.00209375,21.6784
0.0021875,21.4021
0.00228125,21.1435
0.002375,20.9009
0.00246875,20.6727
0.0025625,20.4575
0.00265625,20.2541
0.00275,20.0615
0.00284375,19.8788
0.0029375,19.7052
0.00303125,19.5399
0.003125,19.3824
0.00321875,19.2319
0.0033125,19.0881
0.00340625,18.9504
0.0035,18.8184
0.00359375,18.6918
0.0036875,18.5701
0.00378125,18.4531
0.003875,18.3405
0.00396875,18.2321
0.0040625,18.1274
0.00425,17.9289
0.0044375,17.7434
0.004625,17.5696
0.0048125,17.4063
0.005,17.2525
0.00515625,17.1309
0.0053125,17.0148
0.00546875,16.9038
0.005625,16.7976
0.00578125,16.6958
0.0059375,16.5982
0.00609375,16.5044
0.00625,16.4142
0.00640625,16.3274
0.0065625,16.2438
0.00671875,16.1632
0.006875,16.0854
0.0071875,15.9376
0.0075,15.7993
0.0078125,15.6696
0.008125,15.5475
0.0084375,15.4324
