E_eV,Sig_b
1e-05,16872.3
1.03125e-05,16614.7
1.0625e-05,16368.5
1.09375e-05,16133
1.125e-05,15907.4
1.15625e-05,15690.9
1.1875e-05,15483.1
1.21875e-05,15283.3
1.25e-05,15091
1.28125e-05,14905.8
1.3125e-05,14727.3
1.34375e-05,14555
1.375e-05,14388.7
1.4375e-05,14072.4
1.5e-05,13776.1
1.54624e-05,13568.5
1.59248e-05,13370.1
1.63871e-05,13180.1
1.68495e-05,12998
1.6875e-05,12988.1
1.69531e-05,12958.2
1.70313e-05,12928.4
1.71875e-05,12869.5
1.75e-05,12754.1
1.8125e-05,12532.3
1.875e-05,12321.6
1.9375e-05,12121.2
2e-05,11930.3
2.06427e-05,11743.1
2.12854e-05,11564.4
2.19281e-05,11393.7
2.25708e-05,11230.3
2.32136e-05,11073.7
2.38563e-05,10923.5
2.4499e-05,10779.2
2.51417e-05,10640.6
2.63208e-05,10399.5
2.75e-05,10174
2.84375e-05,10004.9
2.9375e-05,9843.94
3.03125e-05,9690.5
3.125e-05,9544.01
3.21875e-05,9403.98
3.3125e-05,9269.93
3.40625e-05,9141.45
3.5e-05,9018.17
3.625e-05,8861.3
3.75e-05,8712.34
3.875e-05,8570.64
4e-05,8435.64
4.125e-05,8306.82
4.25e-05,8183.73
4.4375e-05,8008.93
4.625e-05,7844.88
4.8125e-05,7690.51
5e-05,7544.9
5.22464e-05,7380.88
5.44928e-05,7227.11
5.67392e-05,7082.57
5.89856e-05,6946.36
6.07428e-05,6845.12
6.25e-05,6748.18
6.40625e-05,6665.36
6.5625e-05,6585.51
6.71875e-05,6508.46
6.875e-05,6434.05
7.1875e-05,6292.58
7.5e-05,6160.05
7.75e-05,6059.85
8e-05,5964.38
8.375e-05,5829.27
8.75e-05,5702.94
9.0625e-05,5603.71
9.375e-05,5509.49
9.6875e-05,5419.86
0.0001,5334.46
0.000104493,5218.47
0.000108986,5109.72
0.000113478,5007.5
0.000117971,4911.17
0.000121486,4839.57
0.000125,4771.01
0.000128125,4712.44
0.00013125,4655.97
0.000134375,4601.47
0.0001375,4548.85
0.00014375,4448.8
0.00015,4355.07
0.000155,4284.2
0.00016,4216.67
0.0001675,4121.12
0.000175,4031.77
0.00018125,3961.59
0.0001875,3894.94
0.00019375,3831.55
0.0002,3771.14
0.000206827,3708.32
0.000213655,3648.53
0.000220482,3591.53
0.00022731,3537.12
0.000234137,3485.11
0.000240964,3435.32
0.000247792,3387.61
0.000254619,3341.83
0.000264809,3276.81
0.000275,3215.44
0.000284358,3162.01
0.000293716,3111.16
0.000294922,3104.78
0.000298057,3088.39
0.000301191,3072.25
0.000307461,3040.71
0.00032,2980.45
0.000335,2912.84
0.00035,2849.63
0.000359375,2812.14
0.00036875,2776.1
0.000378125,2741.4
0.0003875,2707.96
0.000396875,2675.72
0.00040625,2644.6
0.000425,2585.48
0.00044375,2530.13
0.0004625,2478.19
0.00048125,2429.31
0.0005,2383.2
0.000515625,2346.71
0.00053125,2311.84
0.000546875,2278.47
0.0005625,2246.51
0.000578125,2215.84
0.00059375,2186.39
0.000609375,2158.08
0.000625,2130.84
0.00064,2105.63
0.0006675,2061.64
0.000695,2020.27
0.0007225,1981.29
0.00075,1944.47
0.00078125,1905.01
0.0008125,1867.84
0.00084375,1832.75
0.000875,1799.56
0.00090625,1768.09
0.0009375,1738.21
0.00096875,1709.78
0.001,1682.69
0.00103125,1656.84
0.0010625,1632.14
0.00109375,1608.5
0.001125,1585.84
0.00115625,1564.11
0.0011875,1543.25
0.00121875,1523.18
0.00125,1503.87
0.00128,1486
0.001335,1454.82
0.00139,1425.5
0.001445,1397.86
0.0015,1371.75
0.0015625,1343.76
0.001625,1317.4
0.0016875,1292.51
0.00175,1268.96
0.0018125,1246.64
0.001875,1225.43
0.0019375,1205.26
0.002,1186.03
0.00207,1165.54
0.00214,1146.05
0.00221,1127.49
0.00228,1109.79
0.00235,1092.88
0.00242,1076.7
0.00249,1061.21
0.00256,1046.35
0.0025625,1045.83
0.00256836,1044.62
0.00257422,1043.41
0.00258594,1041
0.00260938,1036.23
0.00265625,1026.89
0.00275,1008.91
0.00284375,991.825
0.0029375,975.558
0.00303125,960.046
0.003125,945.233
0.00321875,931.066
0.0033125,917.501
0.00340625,904.496
0.0035,892.012
0.00359375,880.015
0.0036875,868.476
0.00378125,857.364
0.003875,846.654
0.00396875,836.323
0.0040625,826.348
0.00425,807.387
0.0044375,789.63
0.004625,772.952
0.0048125,757.248
0.005,742.426
0.00512,733.365
0.00526125,723.095
0.0054025,713.225
0.00554375,703.73
0.005685,694.586
0.00582625,685.773
0.0059675,677.27
0.00610875,669.06
0.00625,661.125
0.00640625,652.652
0.0065625,644.478
0.00671875,636.587
0.006875,628.962
0.0071875,614.453
0.0075,600.846
0.0078125,588.051
0.008125,575.988
0.0084375,564.59
0.00875,553.797
0.0090625,543.557
0.009375,533.823
0.0096875,524.555
0.01,515.716
0.0103125,507.273
0.010625,499.198
0.0109375,491.463
0.01125,484.046
0.0115625,476.925
0.011875,470.08
0.0121875,463.494
0.0125,457.15
0.0128125,451.034
0.013125,445.132
0.0134375,439.432
0.01375,433.922
0.014375,423.432
0.015,413.586
0.015625,404.321
0.01625,395.579
0.016875,387.314
0.0175,379.482
0.018125,372.047
0.01875,364.975
0.019375,358.237
0.02,351.806
0.0206625,345.301
0.021325,339.09
0.0219875,333.153
0.02265,327.469
0.0233125,322.02
0.023975,316.79
0.0246375,311.765
0.0253,306.931
0.026113,301.243
0.026926,295.805
0.0277391,290.598
0.0285521,285.607
0.0293651,280.817
0.0301781,276.214
0.0309911,271.786
0.0318042,267.523
0.0330187,261.437
0.0337906,257.735
0.0345625,254.152
0.0353344,250.682
0.0361062,247.32
0.0373084,242.284
0.0382511,238.496
0.0391937,234.84
0.0402618,230.847
0.0407375,229.118
0.0422812,223.699
0.0426292,222.517
0.0435829,219.346
0.0445366,216.274
0.0454902,213.295
0.0464439,210.405
0.0469125,209.015
0.0484562,204.576
0.05,200.337
0.0506,198.74
0.0516969,195.889
0.0527938,193.124
0.0538906,190.441
0.0549875,187.835
0.0571813,182.843
0.059375,178.119
0.0610129,174.755
0.0625,171.812
0.0640146,168.918
0.0655292,166.121
0.0670438,163.417
0.0685584,160.801
0.070073,158.267
0.0715876,155.812
0.0731022,153.432
0.0746168,151.122
0.075,150.549
0.0763809,148.517
0.0777618,146.539
0.0805235,142.733
0.08125,141.764
0.0828125,139.722
0.084375,137.737
0.0852584,136.638
0.0875,133.925
0.0901939,130.798
0.0928878,127.807
0.09375,126.877
0.096875,123.609
0.1,120.494
0.102344,118.253
0.104688,116.088
0.107031,113.995
0.109375,111.971
0.111719,110.011
0.114063,108.114
0.116406,106.275
0.11875,104.493
0.120539,103.168
0.122769,101.559
0.125,99.9935
0.128029,97.9362
0.131058,95.9531
0.134088,94.0398
0.137117,92.1929
0.140146,90.409
0.143175,88.6851
0.146204,87.0184
0.149234,85.4059
0.15,85.0063
0.153125,83.41
0.15625,81.8651
0.159375,80.369
0.1625,78.9194
0.165625,77.5146
0.16875,76.1525
0.171875,74.8313
0.175,73.549
0.178125,72.3036
0.18125,71.0934
0.184375,69.9169
0.1875,68.773
0.190625,67.6605
0.19375,66.5785
0.196875,65.5258
0.2,64.5012
0.204687,63.0145
0.209375,61.585
0.214062,60.2092
0.21875,58.8842
0.223438,57.6074
0.228125,56.3766
0.232813,55.1892
0.2375,54.0431
0.238103,53.8987
0.240409,53.3518
0.242715,52.8143
0.247327,51.766
0.251939,50.7522
0.256551,49.7714
0.261164,48.8218
0.265776,47.9022
0.270388,47.0111
0.275,46.1474
0.282031,44.8807
0.289062,43.6712
0.296094,42.5156
0.303125,41.4103
0.310156,40.3518
0.317187,39.3376
0.324219,38.3655
0.33125,37.4333
0.335938,36.8328
0.340625,36.2484
0.345312,35.6795
0.35,35.1256
0.35685,34.3418
0.3637,33.5874
0.37055,32.8608
0.3774,32.1606
0.38425,31.4853
0.3911,30.8336
0.39795,30.2043
0.4048,29.5967
0.40625,29.4708
0.410937,29.0699
0.415625,28.6785
0.425,27.9224
0.433219,27.2874
0.441437,26.6769
0.44375,26.5094
0.450781,26.0112
0.457813,25.5291
0.464844,25.0626
0.471875,24.6113
0.478906,24.1747
0.485937,23.7518
0.5,22.943
0.523438,21.6996
0.546875,20.5714
0.570312,19.544
0.59375,18.6073
0.596935,18.4866
0.603951,18.226
0.610967,17.9725
0.625,17.4858
0.65625,16.4877
0.6875,15.5933
0.71875,14.7914
0.75,14.0689
0.7798,13.4466
0.8096,12.8797
0.8125,12.8271
0.820312,12.6878
0.828125,12.5523
0.84375,12.2918
0.875,11.8046
0.90625,11.3599
0.9375,10.9531
0.96875,10.5812
1,10.2407
1.03125,9.93018
1.0625,9.64196
1.09375,9.37827
1.125,9.13407
1.15625,8.90875
1.1875,8.70141
1.21875,8.51064
1.25,8.33556
1.28125,8.17367
1.3125,8.02473
1.375,7.76041
1.4375,7.53821
1.5,7.35187
1.5596,7.2056
1.6192,7.08585
1.625,7.07537
1.64062,7.04853
1.65625,7.02372
1.6875,6.97976
1.75,6.90943
1.82037,6.85944
1.86528,6.84286
1.91019,6.83835
1.95509,6.84639
2,6.86619
2.059,6.91138
2.11799,6.97895
2.17699,7.07009
2.23599,7.18723
2.29499,7.33196
2.35398,7.50561
2.41298,7.71356
2.47198,7.96097
2.51317,8.1595
2.55437,8.38079
2.59556,8.62724
2.63675,8.90421
2.67795,9.21452
2.71915,9.56196
2.76034,9.95215
2.80153,10.3912
2.83777,10.8237
2.87401,11.3052
2.91025,11.8426
2.94649,12.4442
2.98273,13.1198
3.01897,13.8823
3.03709,14.301
