E_eV,Sig_b
1e-05,65.7797
1.03125e-05,64.7844
1.0625e-05,63.8335
1.09375e-05,62.9238
1.125e-05,62.0524
1.15625e-05,61.2166
1.1875e-05,60.4142
1.21875e-05,59.643
1.25e-05,58.901
1.28125e-05,58.1863
1.3125e-05,57.4975
1.34375e-05,56.8329
1.375e-05,56.1912
1.4375e-05,54.9714
1.5e-05,53.829
1.5625e-05,52.7561
1.625e-05,51.746
1.6875e-05,50.7929
1.75e-05,49.8915
1.8125e-05,49.0374
1.875e-05,48.2265
1.9375e-05,47.4555
2e-05,46.7211
2.09375e-05,45.6821
2.1875e-05,44.711
2.28125e-05,43.8008
2.375e-05,42.9455
2.46875e-05,42.1396
2.5625e-05,41.3787
2.65625e-05,40.6587
2.75e-05,39.9762
2.84375e-05,39.3279
2.9375e-05,38.7112
3.03125e-05,38.1236
3.125e-05,37.5629
3.21875e-05,37.027
3.3125e-05,36.5143
3.40625e-05,36.0231
3.5e-05,35.552
3.59375e-05,35.0995
3.6875e-05,34.6647
3.78125e-05,34.2463
3.875e-05,33.8433
3.96875e-05,33.4548
4.0625e-05,33.0801
4.25e-05,32.3685
4.4375e-05,31.7031
4.625e-05,31.079
4.8125e-05,30.4923
5e-05,29.9393
5.15625e-05,29.5021
5.3125e-05,29.0845
5.46875e-05,28.6852
5.625e-05,28.303
5.78125e-05,27.9366
5.9375e-05,27.585
6.09375e-05,27.2472
6.25e-05,26.9225
6.40625e-05,26.6098
6.5625e-05,26.3086
6.71875e-05,26.0181
6.875e-05,25.7378
7.1875e-05,25.2054
7.5e-05,24.7073
7.8125e-05,24.2399
8.125e-05,23.8004
8.4375e-05,23.3861
8.75e-05,22.9946
9.0625e-05,22.6241
9.375e-05,22.2727
9.6875e-05,21.9388
0.0001,21.6212
0.000103125,21.3185
0.00010625,21.0296
0.000109375,20.7535
0.0001125,20.4893
0.000115625,20.2362
0.00011875,19.9935
0.000121875,19.7605
0.000125,19.5366
0.000128125,19.3211
0.00013125,19.1137
0.000134375,18.9138
0.0001375,18.7209
0.00014375,18.355
0.00015,18.0129
0.00015625,17.6924
0.0001625,17.3913
0.00016875,17.1077
0.000175,16.8401
0.00018125,16.5871
0.0001875,16.3473
0.00019375,16.1198
0.0002,15.9036
0.000209375,15.5984
0.00021875,15.314
0.000228125,15.0482
0.0002375,14.7991
0.000246875,14.5651
0.00025625,14.3448
0.000265625,14.1369
0.000275,13.9404
0.000284375,13.7543
0.00029375,13.5777
0.000303125,13.4098
0.0003125,13.2501
0.000321875,13.0979
0.00033125,12.9526
0.000340625,12.8137
0.00035,12.6809
0.000359375,12.5536
0.00036875,12.4316
0.000378125,12.3145
0.0003875,12.202
0.000396875,12.0938
0.00040625,11.9897
0.000425,11.7926
0.00044375,11.6091
0.0004625,11.4379
0.00048125,11.2775
0.0005,11.127
0.000515625,11.0085
0.00053125,10.8957
0.000546875,10.7882
0.0005625,10.6856
0.000578125,10.5875
0.00059375,10.4937
0.000609375,10.4039
0.000625,10.3178
0.000640625,10.2352
0.00065625,10.1558
0.000671875,10.0795
0.0006875,10.006
0.00071875,9.86703
0.00075,9.73769
0.00078125,9.61696
0.0008125,9.50397
0.00084375,9.39796
0.000875,9.29825
0.00090625,9.20428
0.0009375,9.11554
0.00096875,9.03157
0.001,8.95199
0.00103125,8.87643
0.0010625,8.80458
0.00109375,8.73615
0.001125,8.6709
0.00115625,8.6086
0.0011875,8.54903
0.00121875,8.49201
0.00125,8.43736
0.00128125,8.38495
0.0013125,8.33461
0.00134375,8.28622
0.001375,8.23967
0.0014375,8.15163
0.0015,8.06973
0.0015625,7.99329
0.001625,7.92176
0.0016875,7.85465
0.00175,7.79152
0.0018125,7.73202
0.001875,7.67581
0.0019375,7.62262
0.002,7.57218
0.00209375,7.50121
0.0021875,7.43528
0.00228125,7.37385
0.002375,7.31643
0.00246875,7.26261
0.0025625,7.21204
0.00265625,7.16441
0.00275,7.11946
0.00284375,7.07694
0.0029375,7.03665
0.00303125,6.9984
0.003125,6.96204
0.00321875,6.92741
0.0033125,6.89438
0.00340625,6.86284
0.0035,6.83268
0.00359375,6.8038
0.0036875,6.77612
0.00378125,6.74955
0.003875,6.72403
0.00396875,6.69949
0.0040625,6.67587
0.00425,6.63118
0.0044375,6.58956
0.004625,6.55068
0.0048125,6.51426
0.005,6.48005
0.00515625,6.45308
0.0053125,6.4274
0.00546875,6.4029
0.005625,6.37949
0.00578125,6.35711
0.0059375,6.33567
0.00609375,6.31512
0.00625,6.29539
0.00640625,6.27644
0.0065625,6.25821
0.00671875,6.24066
0.006875,6.22375
0.0071875,6.1917
0.0075,6.16179
0.0078125,6.1338
0.008125,6.10754
0.0084375,6.08284
0.00875,6.05955
0.0090625,6.03754
0.009375,6.0167
0.0096875,5.99693
0.01,5.97814
0.0103125,5.96026
0.010625,5.94322
0.0109375,5.92695
0.01125,5.9114
0.0115625,5.89651
0.011875,5.88225
0.0121875,5.86857
0.0125,5.85542
0.0128125,5.84279
0.013125,5.83063
0.0134375,5.81891
0.01375,5.80762
0.014375,5.7862
0.015,5.76619
0.015625,5.74745
0.01625,5.72985
0.016875,5.71328
0.0175,5.69764
0.018125,5.68285
0.01875,5.66883
0.019375,5.65553
0.02,5.64288
0.0206625,5.63012
0.021325,5.61799
0.0219875,5.60643
0.02265,5.59541
0.0233125,5.58487
0.023975,5.57479
0.0246375,5.56513
0.0253,5.55587
0.0264578,5.54056
0.0276156,5.52626
0.0287734,5.51286
0.0299312,5.50027
0.0310891,5.48841
0.0322469,5.47722
0.0334047,5.46663
0.0345625,5.4566
0.0355273,5.44863
0.0364922,5.44098
0.037457,5.43364
0.0384219,5.42659
0.0393867,5.41981
0.0403516,5.41327
0.0413164,5.40698
0.0422812,5.4009
0.0442109,5.38937
0.0461406,5.37859
0.0480703,5.36849
0.05,5.35899
0.0515625,5.3517
0.053125,5.34474
0.0546875,5.33809
