Ag110_m1,Ag110_m1
E_eV,Sig_b
1e-05,4294.58055
1.03125e-05,4229.02435
1.0625e-05,4166.38146
1.09375e-05,4106.44418
1.125e-05,4049.021
1.15625e-05,3993.94256
1.1875e-05,3941.0536
1.21875e-05,3890.211
1.25e-05,3841.28873
1.28125e-05,3794.16584
1.3125e-05,3748.73747
1.34375e-05,3704.90283
1.375e-05,3662.57119
1.4375e-05,3582.08826
1.5e-05,3506.6899
1.5625e-05,3435.86301
1.625e-05,3369.16201
1.6875e-05,3306.20284
1.75e-05,3246.6468
1.8125e-05,3190.20052
1.875e-05,3136.59991
1.9375e-05,3085.61412
2e-05,3037.0385
2.09375e-05,2968.29386
2.1875e-05,2904.01875
2.28125e-05,2843.74848
2.375e-05,2787.08385
2.46875e-05,2733.67811
2.5625e-05,2683.23085
2.65625e-05,2635.47998
2.75e-05,2590.19164
2.84375e-05,2547.16321
2.9375e-05,2506.21023
3.03125e-05,2467.17342
3.125e-05,2429.90762
3.21875e-05,2394.28181
3.3125e-05,2360.17903
3.40625e-05,2327.49547
3.5e-05,2296.13335
3.59375e-05,2266.00699
3.6875e-05,2237.03775
3.78125e-05,2209.15207
3.875e-05,2182.28542
3.96875e-05,2156.37731
4.0625e-05,2131.37032
4.25e-05,2083.86405
4.4375e-05,2039.40173
4.625e-05,1997.67188
4.8125e-05,1958.40537
5e-05,1921.37035
5.15625e-05,1892.06385
5.3125e-05,1864.06056
5.46875e-05,1837.26672
5.625e-05,1811.59767
5.78125e-05,1786.9758
5.9375e-05,1763.33357
6.09375e-05,1740.60648
6.25e-05,1718.73806
6.40625e-05,1697.67391
6.5625e-05,1677.36765
6.71875e-05,1657.77392
6.875e-05,1638.85241
7.1875e-05,1602.87787
7.5e-05,1569.17693
7.8125e-05,1537.51978
8.125e-05,1507.70686
8.4375e-05,1479.56783
8.75e-05,1452.95049
9.0625e-05,1427.72281
9.375e-05,1403.76688
9.6875e-05,1380.98088
0.0001,1359.27211
0.000103125,1338.55892
0.00010625,1318.76573
0.000109375,1299.82803
0.0001125,1281.68535
0.000115625,1264.28327
0.00011875,1247.57342
0.000121875,1231.51144
0.000125,1216.05503
0.000128125,1201.16889
0.00013125,1186.81676
0.000134375,1172.96939
0.0001375,1159.59657
0.00014375,1134.17278
0.00015,1110.3559
0.00015625,1087.98372
0.0001625,1066.91613
0.00016875,1047.03023
0.000175,1028.22018
0.00018125,1010.39329
0.0001875,993.465324
0.00019375,977.363927
0.0002,962.02391
0.000209375,940.31586
0.00021875,920.019872
0.000228125,900.989249
0.0002375,883.097747
0.000246875,866.236154
0.00025625,850.309365
0.000265625,835.234167
0.000275,820.937119
0.000284375,807.353748
0.00029375,794.426534
0.000303125,782.104204
0.0003125,770.341228
0.000321875,759.096309
0.00033125,748.332781
0.000340625,738.017105
0.00035,728.119066
0.000359375,718.611267
0.00036875,709.468734
0.000378125,700.668704
0.0003875,692.190231
0.000396875,684.014282
0.00040625,676.123234
0.000425,661.132599
0.00044375,647.103235
0.0004625,633.936665
0.00048125,621.547914
0.0005,609.863286
0.000515625,600.617458
0.00053125,591.782946
0.000546875,583.330153
0.0005625,575.232304
0.000578125,567.465344
0.00059375,560.00723
0.000609375,552.838035
0.000625,545.939643
0.000640625,539.29535
0.00065625,532.889958
0.000671875,526.709583
0.0006875,520.741244
0.00071875,509.394188
0.00075,498.764376
0.00078125,488.779376
0.0008125,479.376414
0.00084375,470.501074
0.000875,462.105882
0.00090625,454.148899
0.0009375,446.59332
0.00096875,439.406564
0.001,432.559472
0.00103125,426.026204
0.0010625,419.783335
0.00109375,413.810057
0.001125,408.087571
0.00115625,402.598589
0.0011875,397.327833
0.00121875,392.261131
0.00125,387.385722
0.00128125,382.689747
0.0013125,378.162453
0.00134375,373.794094
0.001375,369.575427
0.0014375,361.554714
0.0015,354.040537
0.0015625,346.981766
0.001625,340.334104
0.0016875,334.059184
0.00175,328.123262
0.0018125,322.497014
0.001875,317.154333
0.0019375,312.072127
0.002,307.229811
0.00209375,300.376868
0.0021875,293.968937
0.00228125,287.959846
0.002375,282.309747
0.00246875,276.984415
0.0025625,271.953645
0.00265625,267.191346
0.00275,262.674438
0.00284375,258.382354
0.0029375,254.297232
0.00303125,250.402823
0.003125,246.684678
0.00321875,243.130058
0.0033125,239.727027
0.00340625,236.465252
0.0035,233.335204
0.00359375,230.328259
0.0036875,227.436393
0.00378125,224.652586
0.003875,221.970218
0.00396875,219.383273
0.0040625,216.886134
0.00425,212.141625
0.0044375,207.700192
0.004625,203.531052
0.0048125,199.607236
0.005,195.905686
0.00515625,192.97613
0.0053125,190.176236
0.00546875,187.496982
0.005625,184.929648
0.00578125,182.466817
0.0059375,180.101472
0.00609375,177.827298
0.00625,175.638684
0.00640625,173.530317
0.0065625,171.497387
0.00671875,169.535385
0.006875,167.640501
0.0071875,164.036758
0.0075,160.659603
0.0078125,157.48609
0.008125,154.496479
0.0084375,151.673637
0.00875,149.002434
0.0090625,146.469847
0.009375,144.064253
0.0096875,141.775134
0.01,139.593574
0.0103125,137.511357
0.010625,135.521072
0.0109375,133.616007
0.01125,131.790452
0.0115625,130.038898
0.011875,128.356438
0.0121875,126.738663
0.0125,125.181368
0.0128125,123.681047
0.013125,122.234194
0.0134375,120.837605
0.01375,119.488475
0.014375,116.922179
0.015,114.516377
0.015625,112.254845
0.01625,110.123666
0.016875,108.11062
0.0175,106.205075
0.018125,104.397798
0.01875,102.680528
0.019375,101.046005
0.02,99.487722
0.0206625,97.912764
0.021325,96.4108
0.0219875,94.976313
0.02265,93.604358
0.0233125,92.290468
0.023975,91.03062
0.0246375,89.821168
0.0253,88.658801
0.02636133,86.887383
0.02742266,85.218167
0.02848399,83.641592
0.02954532,82.14933
0.03060665,80.734043
0.03166798,79.389274
0.03272931,78.109269
0.03379063,76.888892
0.03480372,75.775375
0.03581681,74.708396
0.0368299,73.68473
0.03784298,72.701464
0.03885607,71.755928
0.03986915,70.845758
0.04088224,69.968762
0.04189532,69.12296
0.04290841,68.306508
0.04392149,67.517747
0.04493458,66.755124
0.04594766,66.017218
0.04797383,64.610325
0.05,63.287559
0.0515625,62.319742
0.053125,61.393743
0.0546875,60.50657
0.05625,59.655551
0.0578125,58.838243
0.059375,58.052446
0.0609375,57.296167
0.0625,56.567566
0.0640625,55.865001
0.065625,55.186932
0.0671875,54.531947
0.06875,53.898745
0.0703125,53.286086
0.071875,52.692839
0.075,51.560417
0.078125,50.493957
0.08125,49.487092
0.084375,48.53444
0.0875,47.631269
0.090625,46.773395
0.09375,45.957106
0.096875,45.179071
0.1,44.436348
0.103125,43.726265
0.10625,43.046451
0.109375,42.394774
0.1125,41.769305
0.115625,41.168302
0.11875,40.590153
0.121875,40.033439
0.125,39.496819
0.128125,38.979112
0.13125,38.479217
0.134375,37.996124
0.1375,37.528923
0.140625,37.076793
0.14375,36.638924
0.146875,36.214575
0.15,35.803016
0.15625,35.015497
0.1625,34.271525
0.16875,33.567177
0.175,32.899172
0.18125,32.264499
0.1875,31.660456
0.19375,31.084582
0.2,30.534747
0.2070313,29.945005
0.2140625,29.383527
0.2210938,28.848112
0.228125,28.336818
0.2351563,27.847924
0.2421875,27.37993
0.2492188,26.931325
0.25625,26.500608
0.265625,25.952022
0.275,25.430702
0.284375,24.934639
0.29375,24.461921
0.303125,24.010807
0.3125,23.579755
0.321875,23.167346
0.33125,22.772298
0.340625,22.393471
0.35,22.029822
0.359375,21.680393
0.36875,21.344311
0.378125,21.020786
0.3875,20.709088
0.396875,20.408547
0.40625,20.11854
0.415625,19.838488
0.425,19.567881
0.4390625,19.178602
0.453125,18.807997
0.4671875,18.454876
0.48125,18.118357
0.5,17.693661
0.53125,17.036814
0.5625,16.436524
0.59375,15.887157
0.625,15.382504
0.65625,14.917333
0.6875,14.487218
0.71875,14.088392
0.75,13.71762
0.78125,13.37211
0.8125,13.049433
0.84375,12.747469
0.875,12.464355
0.90625,12.198449
0.9375,11.948294
0.96875,11.712593
1.0,11.490193
1.03125,11.280173
1.0625,11.082397
1.125,10.716458
1.1875,10.38551
1.25,10.086035
1.3125,9.814026
1.375,9.566124
1.4375,9.339479
1.5,9.131667
1.5625,8.94061
1.625,8.764514
1.6875,8.601828
1.75,8.451199
1.8125,8.311444
1.875,8.181527
1.9375,8.060537
2.0,7.947966
2.09375,7.792584
2.1875,7.651417
2.28125,7.523037
2.375,7.405935
2.46875,7.298819
2.5625,7.200574
2.65625,7.110246
2.75,7.026999
2.84375,6.950108
2.9375,6.878828
3.0,6.833767
3.007813,6.82835601244
3.015625,6.82298002485
3.03125,6.81232404957
3.0625,6.79140209863
3.09375,6.7709801472
3.125,6.75104519527
3.171875,6.72202126649
3.21875,6.69400733667
3.265625,6.66695680583
3.3125,6.64082717401
3.40625,6.59116570751
3.5,6.54471783739
3.59375,6.50121446383
3.6875,6.46041208702
3.78125,6.42209210712
3.875,6.38605932427
3.96875,6.35213693862
4.0625,6.32016485031
4.15625,6.28999835944
4.25,6.26150686614
4.34375,6.23457057052
4.4375,6.20908257266
4.625,6.16206057063
4.8125,6.11975116073
5.0,6.08157544356
5.15625,6.05256709076
5.3125,6.02585123356
5.46875,6.00121877223
5.625,5.97849150698
5.78125,5.95750943805
5.9375,5.93813966562
6.09375,5.92026338987
6.25,5.90378111098
6.40625,5.8886076291
6.5625,5.87467374437
6.71875,5.86192305693
6.875,5.8503123669
7.03125,5.8398103744
7.1875,5.83040377954
7.34375,5.82208978242
7.5,5.81488348313
7.65625,5.80881768176
7.8125,5.8039477784
7.96875,5.80035397313
8.125,5.79814806602
8.28125,5.79747845713
8.4375,5.79854914655
8.59375,5.80162603432
8.75,5.80706252052
8.828125,5.81080886304
8.90625,5.81533370518
8.984375,5.82072344696
9.0625,5.82707708838
9.140625,5.83451262944
9.21875,5.84316487015
9.296875,5.85319761052
9.375,5.86480445055
9.453125,5.87821409024
9.53125,5.89370492961
9.609375,5.91161046866
9.6875,5.9323390074
9.765625,5.95639084582
9.84375,5.98438588394
9.882813,6.00009720288
9.921875,6.01709782175
9.960938,6.03551794055
10.0,6.05550225927
10.04582,6.08115917683
10.09163,6.1094954943
10.13744,6.1408705117
10.18325,6.17570102902
10.22907,6.21448904626
10.27488,6.25779766342
10.32069,6.30632848051
10.3665,6.36091189752
10.41232,6.42256391446
10.43523,6.4564089229
10.45813,6.49247793132
10.48104,6.53099993973
10.50394,6.57215794811
10.52685,6.61622895648
10.54975,6.66344796483
10.57266,6.71415497316
10.59557,6.76867098147
10.61848,6.82737698977
10.64138,6.89067699804
10.66429,6.9591110063
10.68719,7.03317201454
10.7101,7.11355402277
10.733,7.20090503097
10.75591,7.29612403916
10.77882,7.40012304733
