Am241,Am241
E_eV,Sig_b
1e-05,39678.05542
1.03125e-05,39072.19444
1.0625e-05,38493.26792
1.09375e-05,37939.32324
1.125e-05,37408.61912
1.15625e-05,36899.58527
1.1875e-05,36410.78246
1.21875e-05,35940.8921
1.25e-05,35488.73666
1.28125e-05,35053.22889
1.3125e-05,34633.36246
1.34375e-05,34228.23144
1.375e-05,33836.99037
1.4375e-05,33093.13812
1.5e-05,32396.27007
1.5625e-05,31741.64532
1.625e-05,31125.15734
1.6875e-05,30543.2431
1.75e-05,29992.78236
1.8125e-05,29471.04743
1.875e-05,28975.61258
1.9375e-05,28504.3541
2e-05,28055.35954
2.09375e-05,27419.94888
2.1875e-05,26825.82525
2.28125e-05,26268.72071
2.375e-05,25744.92152
2.46875e-05,25251.25696
2.5625e-05,24784.93891
2.65625e-05,24343.52184
2.75e-05,23924.87172
2.84375e-05,23527.09645
2.9375e-05,23148.52493
3.03125e-05,22787.64769
3.125e-05,22443.13611
3.21875e-05,22113.78218
3.3125e-05,21798.50915
3.40625e-05,21496.34066
3.5e-05,21206.40091
3.59375e-05,20927.87479
3.6875e-05,20660.03751
3.78125e-05,20402.2349
3.875e-05,20153.8328
3.96875e-05,19914.28788
4.0625e-05,19683.07656
4.25e-05,19243.82298
4.4375e-05,18832.71062
4.625e-05,18446.8607
4.8125e-05,18083.77721
5e-05,17741.30624
5.15625e-05,17470.29954
5.3125e-05,17211.34019
5.46875e-05,16963.55262
5.625e-05,16726.17176
5.78125e-05,16498.47309
5.9375e-05,16279.81245
6.09375e-05,16069.62606
6.25e-05,15867.36052
6.40625e-05,15672.55269
6.5625e-05,15484.72968
6.71875e-05,15303.49887
6.875e-05,15128.48783
7.1875e-05,14795.72628
7.5e-05,14483.98915
7.8125e-05,14191.13274
8.125e-05,13915.34527
8.4375e-05,13655.00649
8.75e-05,13408.74744
9.0625e-05,13175.33027
9.375e-05,12953.68805
9.6875e-05,12742.84462
0.0001,12541.96454
0.000103125,12350.28292
0.00010625,12167.11539
0.000109375,11991.84805
0.0001125,11823.93732
0.000115625,11662.88003
0.00011875,11508.21327
0.000121875,11359.53439
0.000125,11216.47099
0.000128125,11078.66087
0.00013125,10945.80202
0.000134375,10817.61259
0.0001375,10693.80087
0.00014375,10458.41445
0.00015,10237.88162
0.00015625,10030.70981
0.0001625,9835.60175
0.00016875,9651.42829
0.000175,9477.20416
0.00018125,9312.06488
0.0001875,9155.2476
0.00019375,9006.07402
0.0002,8863.94235
0.000209375,8662.78984
0.00021875,8474.7005
0.000228125,8298.31681
0.0002375,8132.47239
0.000246875,7976.1569
0.00025625,7828.49181
0.000265625,7688.70529
0.000275,7556.12109
0.000284375,7430.14046
0.00029375,7310.2321
0.000303125,7195.92404
0.0003125,7086.79164
0.000321875,6982.45554
0.00033125,6882.57462
0.000340625,6786.83996
0.00035,6694.97183
0.000359375,6606.71765
0.00036875,6521.844
0.000378125,6440.14256
0.0003875,6361.41816
0.000396875,6285.4957
0.00040625,6212.21218
0.000425,6072.97333
0.00044375,5942.63809
0.0004625,5820.29588
0.00048125,5705.15988
0.0005,5596.54793
0.000515625,5510.59101
0.00053125,5428.44482
0.000546875,5349.83672
0.0005625,5274.51919
0.000578125,5202.26788
0.00059375,5132.87957
0.000609375,5066.17113
0.000625,5001.97257
0.000640625,4940.12994
0.00065625,4880.5034
0.000671875,4822.96317
0.0006875,4767.38955
0.00071875,4661.71149
0.00075,4562.68757
0.00078125,4469.64676
0.0008125,4382.0066
0.00084375,4299.2641
0.000875,4220.97864
0.00090625,4146.76191
0.0009375,4076.27191
0.00096875,4009.20684
0.001,3945.29711
0.00103125,3884.30231
0.0010625,3826.00616
0.00109375,3770.21453
0.001125,3716.75239
0.00115625,3665.46281
0.0011875,3616.20094
0.00121875,3568.83604
0.00125,3523.24839
0.00128125,3479.33137
0.0013125,3436.98239
0.00134375,3396.11092
0.001375,3356.63346
0.0014375,3281.55282
0.0015,3211.18625
0.0015625,3145.059
0.001625,3082.75869
0.0016875,3023.92925
0.00175,2968.25786
0.0018125,2915.47097
0.001875,2865.32616
0.0019375,2817.60921
0.002,2772.12902
0.002046875,2739.3844
0.00209375,2707.73604
0.0021875,2647.49369
0.00228125,2590.97251
0.002375,2537.8034
0.00246875,2487.66449
0.0025625,2440.27822
0.00265625,2395.39919
0.00275,2352.81415
0.00284375,2312.33105
0.0029375,2273.7839
0.00303125,2237.02088
0.003125,2201.90819
0.00321875,2168.32516
0.0033125,2136.16318
0.00340625,2105.32469
0.0035,2075.72018
0.00359375,2047.2692
0.0036875,2019.89833
