Cm247,Cm247
E_eV,Sig_b
1e-05,7826.43509
1.03125e-05,7706.96959
1.0625e-05,7592.81448
1.09375e-05,7483.58731
1.125e-05,7378.94472
1.15625e-05,7278.57354
1.1875e-05,7182.19265
1.21875e-05,7089.54106
1.25e-05,7000.38788
1.28125e-05,6914.51629
1.3125e-05,6831.7305
1.34375e-05,6751.84984
1.375e-05,6674.70867
1.4375e-05,6528.04246
1.5e-05,6390.64168
1.5625e-05,6261.57273
1.625e-05,6140.02249
1.6875e-05,6025.29026
1.75e-05,5916.76268
1.8125e-05,5813.89667
1.875e-05,5716.22041
1.9375e-05,5623.30929
2e-05,5534.78985
2.09375e-05,5409.5172
2.1875e-05,5292.38846
2.28125e-05,5182.55737
2.375e-05,5079.29515
2.46875e-05,4981.97539
2.5625e-05,4890.047
2.65625e-05,4803.02914
2.75e-05,4720.5012
2.84375e-05,4642.08975
2.9375e-05,4567.46252
3.03125e-05,4496.32641
3.125e-05,4428.4164
3.21875e-05,4363.49558
3.3125e-05,4301.35216
3.40625e-05,4241.7924
3.5e-05,4184.64263
3.59375e-05,4129.74426
3.6875e-05,4076.95274
3.78125e-05,4026.13857
3.875e-05,3977.18029
3.96875e-05,3929.9665
4.0625e-05,3884.3978
4.25e-05,3797.8283
4.4375e-05,3716.80529
4.625e-05,3640.76263
4.8125e-05,3569.20947
5e-05,3501.72221
5.15625e-05,3448.31704
5.3125e-05,3397.28853
5.46875e-05,3348.46205
5.625e-05,3301.68601
5.78125e-05,3256.81891
5.9375e-05,3213.73626
6.09375e-05,3172.32164
6.25e-05,3132.47065
6.40625e-05,3094.08694
6.5625e-05,3057.08318
6.71875e-05,3021.37807
6.875e-05,2986.89734
7.1875e-05,2921.34301
7.5e-05,2859.93039
7.8125e-05,2802.24194
8.125e-05,2747.91633
8.4375e-05,2696.63839
8.75e-05,2648.13414
9.0625e-05,2602.16168
9.375e-05,2558.50854
9.6875e-05,2516.98534
0.0001,2477.42637
0.000103125,2439.67878
0.00010625,2403.6111
0.000109375,2369.09999
0.0001125,2336.03875
0.000115625,2304.32694
0.00011875,2273.87645
0.000121875,2244.60536
0.000125,2216.43884
0.000128125,2189.31012
0.00013125,2163.15701
0.000134375,2137.92209
0.0001375,2113.55198
0.00014375,2067.22044
0.00015,2023.81748
0.00015625,1983.04628
0.0001625,1944.65177
0.00016875,1908.41197
0.000175,1874.13203
0.00018125,1841.64197
0.0001875,1810.79109
0.00019375,1781.44624
0.0002,1753.48883
0.000209375,1713.92557
0.00021875,1676.93442
0.000228125,1642.24941
0.0002375,1609.64
0.000246875,1578.90716
0.00025625,1549.87764
0.000265625,1522.399861
0.000275,1496.340218
0.000284375,1471.580746
0.00029375,1448.017028
0.000303125,1425.555582
0.0003125,1404.11326
0.000321875,1383.615242
0.00033125,1363.994129
0.000340625,1345.189246
0.00035,1327.145434
0.000359375,1309.812752
0.00036875,1293.145671
0.000378125,1277.102674
0.0003875,1261.645857
0.000396875,1246.740124
0.00040625,1232.353788
0.000425,1205.023295
0.00044375,1179.444621
0.0004625,1155.438397
0.00048125,1132.849824
0.0005,1111.544764
0.000515625,1094.685974
0.00053125,1078.576917
0.000546875,1063.163564
0.0005625,1048.397198
0.000578125,1034.233815
0.00059375,1020.633622
0.000609375,1007.560136
0.000625,994.980182
0.000640625,982.863491
0.00065625,971.182403
0.000671875,959.911361
0.0006875,949.026915
0.00071875,928.333128
0.00075,908.946919
0.00078125,890.736313
0.0008125,873.587181
0.00084375,857.400125
0.000875,842.088476
0.00090625,827.575989
0.0009375,813.795738
0.00096875,800.687913
0.001,788.199518
0.00103125,776.283467
0.0010625,764.897288
0.00109375,754.002612
0.001125,743.565483
0.00115625,733.554348
0.0011875,723.941159
0.00121875,714.700274
0.00125,705.808156
0.00128125,697.243471
0.0013125,688.986587
0.00134375,681.019478
0.001375,673.325616
0.0014375,658.697647
