U241,U241
E_eV,Sig_b
1e-05,24597.26574
1.03125e-05,24221.6517
1.0625e-05,23862.72475
1.09375e-05,23519.29219
1.125e-05,23190.27163
1.15625e-05,22874.68087
1.1875e-05,22571.62795
1.21875e-05,22280.30105
1.25e-05,21999.97853
1.28125e-05,21729.9689
1.3125e-05,21469.66078
1.34375e-05,21218.48291
1.375e-05,20975.92411
1.4375e-05,20514.73958
1.5e-05,20082.69957
1.5625e-05,19676.83755
1.625e-05,19294.61784
1.6875e-05,18933.83554
1.75e-05,18592.55636
1.8125e-05,18269.08655
1.875e-05,17961.92275
1.9375e-05,17669.74204
2e-05,17391.3718
2.09375e-05,16997.41352
2.1875e-05,16629.06169
2.28125e-05,16283.65041
2.375e-05,15958.90461
2.46875e-05,15652.82989
2.5625e-05,15363.71247
2.65625e-05,15090.02896
2.75e-05,14830.46646
2.84375e-05,14583.85235
2.9375e-05,14349.13434
3.03125e-05,14125.38038
3.125e-05,13911.77864
3.21875e-05,13707.57746
3.3125e-05,13512.11538
3.40625e-05,13324.77105
3.5e-05,13145.00327
3.59375e-05,12972.31094
3.6875e-05,12806.25306
3.78125e-05,12646.40873
3.875e-05,12492.39709
3.96875e-05,12343.87742
4.0625e-05,12200.51898
4.25e-05,11928.1833
4.4375e-05,11673.29548
4.625e-05,11434.061608
4.8125e-05,11208.938281
5e-05,10996.612569
5.15625e-05,10828.58872
5.3125e-05,10668.030966
5.46875e-05,10514.398129
5.625e-05,10367.219147
5.78125e-05,10226.043059
5.9375e-05,10090.479007
6.09375e-05,9960.163196
6.25e-05,9834.762899
6.40625e-05,9713.978463
6.5625e-05,9597.533287
6.71875e-05,9485.172821
6.875e-05,9376.66456
7.1875e-05,9170.360791
7.5e-05,8977.086663
7.8125e-05,8795.527311
8.125e-05,8624.544283
8.4375e-05,8463.150449
8.75e-05,8310.479925
9.0625e-05,8165.77508
9.375e-05,8028.366482
9.6875e-05,7897.660854
0.0001,7773.131056
0.000103125,7654.304097
0.00010625,7540.759049
0.000109375,7432.116121
0.0001125,7328.030565
0.000115625,7228.193731
0.00011875,7132.325022
0.000121875,7040.166888
0.000125,6951.486833
0.000128125,6866.070422
0.00013125,6783.724225
0.000134375,6704.266876
0.0001375,6627.53401
0.00014375,6481.64552
0.00015,6344.97247
0.00015625,6216.584918
0.0001625,6095.678194
0.00016875,5981.553839
0.000175,5873.599601
0.00018125,5771.279351
0.0001875,5674.120138
0.00019375,5581.702096
0.0002,5493.650449
0.000209375,5369.044783
0.00021875,5252.539536
0.000228125,5143.294994
0.0002375,5040.585718
0.000246875,4943.787452
0.00025625,4852.35312
0.000265625,4765.804776
0.000275,4683.723594
0.000284375,4605.737841
0.00029375,4531.516889
0.000303125,4460.769163
0.0003125,4393.232155
0.000321875,4328.668429
0.00033125,4266.86756
0.000340625,4207.638201
0.00035,4150.806022
0.000359375,4096.214715
0.00036875,4043.719026
0.000378125,3993.19071
0.0003875,3944.508544
0.000396875,3897.563321
0.00040625,3852.253863
0.000425,3766.178558
0.00044375,3685.623454
0.0004625,3610.021508
0.00048125,3538.886875
0.0005,3471.796786
0.000515625,3418.709254
0.00053125,3367.983492
0.000546875,3319.450209
0.0005625,3272.956141
0.000578125,3228.362053
0.00059375,3185.540729
0.000609375,3144.379977
0.000625,3104.774622
0.000640625,3066.628505
0.00065625,3029.85448
0.000671875,2994.372417
0.0006875,2960.109193
0.00071875,2894.967829
0.00075,2833.947601
0.00078125,2776.629842
0.0008125,2722.65698
0.00084375,2671.714523
0.000875,2623.529044
0.00090625,2577.86217
0.0009375,2534.500577
0.00096875,2493.256977
0.001,2453.965118
0.00103125,2416.475776
0.0010625,2380.654749
0.00109375,2346.381861
0.001125,2313.54995
0.00115625,2282.059873
0.0011875,2251.822501
0.00121875,2222.757713
0.00125,2194.790406
0.00128125,2167.855481
0.0013125,2141.88885
0.00134375,2116.834434
0.001375,2092.641156
0.0014375,2046.644752
0.0015,2003.559159
0.0015625,1963.087968
0.001625,1924.977827
0.0016875,1889.007433
0.00175,1854.984524
0.0018125,1822.738871
0.001875,1792.122272
0.0019375,1763.000551
0.002,1735.256551
0.00209375,1695.995479
0.0021875,1659.290562
0.00228125,1624.874454
0.002375,1592.518862
0.00246875,1562.027529
0.0025625,1533.227238
0.00265625,1505.967795
0.00275,1480.116035
0.00284375,1455.555809
0.0029375,1432.182989
0.00303125,1409.904459
0.003125,1388.638117
