E_eV,Sig_b
1e-05,50453.5
1.03125e-05,49683.3
1.0625e-05,48947.2
1.09375e-05,48242.9
1.125e-05,47568.2
1.15625e-05,46921
1.1875e-05,46299.6
1.21875e-05,45702.2
1.25e-05,45127.3
1.28125e-05,44573.6
1.3125e-05,44039.8
1.34375e-05,43524.8
1.375e-05,43027.4
1.4375e-05,42081.7
1.5e-05,41195.7
1.5625e-05,40363.5
1.625e-05,39579.7
1.6875e-05,38839.9
1.75e-05,38140.1
1.8125e-05,37476.8
1.875e-05,36846.9
1.9375e-05,36247.8
2e-05,35677
2.09375e-05,34869.2
2.1875e-05,34113.9
2.28125e-05,33405.7
2.375e-05,32739.8
2.46875e-05,32112.2
2.5625e-05,31519.4
2.65625e-05,30958.3
2.75e-05,30426.1
2.84375e-05,29920.4
2.9375e-05,29439.2
3.03125e-05,28980.4
3.125e-05,28542.5
3.21875e-05,28123.8
3.3125e-05,27723
3.40625e-05,27338.9
3.5e-05,26970.3
3.59375e-05,26616.3
3.6875e-05,26275.8
3.78125e-05,25948.1
3.875e-05,25632.4
3.96875e-05,25327.9
4.0625e-05,25034
4.25e-05,24475.7
4.4375e-05,23953.1
4.625e-05,23462.7
4.8125e-05,23001.2
5e-05,22565.9
5.15625e-05,22221.4
5.3125e-05,21892.3
5.46875e-05,21577.4
5.625e-05,21275.7
5.78125e-05,20986.3
5.9375e-05,20708.4
6.09375e-05,20441.2
6.25e-05,20184.2
6.40625e-05,19936.6
6.5625e-05,19697.9
6.71875e-05,19467.6
6.875e-05,19245.2
7.1875e-05,18822.3
7.5e-05,18426.1
7.8125e-05,18054
8.125e-05,17703.5
8.4375e-05,17372.7
8.75e-05,17059.8
9.0625e-05,16763.2
9.375e-05,16481.6
9.6875e-05,16213.7
0.0001,15958.4
0.000103125,15714.9
0.00010625,15482.2
0.000109375,15259.5
0.0001125,15046.2
0.000115625,14841.6
0.00011875,14645.1
0.000121875,14456.2
0.000125,14274.5
0.000128125,14099.4
0.00013125,13930.7
0.000134375,13767.8
0.0001375,13610.6
0.00014375,13311.6
0.00015,13031.5
0.00015625,12768.4
0.0001625,12520.6
0.00016875,12286.7
0.000175,12065.5
0.00018125,11855.8
0.0001875,11656.7
0.00019375,11467.3
0.0002,11286.8
0.000209375,11031.4
0.00021875,10792.7
0.000228125,10568.8
0.0002375,10358.3
0.000246875,10159.9
0.00025625,9972.48
0.000265625,9795.09
0.000275,9626.86
0.000284375,9467.01
0.00029375,9314.88
0.000303125,9169.86
0.0003125,9031.42
0.000321875,8899.08
0.00033125,8772.39
0.000340625,8650.97
0.00035,8534.47
0.000359375,8422.55
0.00036875,8314.93
0.000378125,8211.34
0.0003875,8111.53
0.000396875,8015.28
0.00040625,7922.38
0.000425,7745.89
0.00044375,7580.71
0.0004625,7425.68
0.00048125,7279.81
0.0005,7142.22
0.000515625,7033.34
0.00053125,6929.3
0.000546875,6829.76
0.0005625,6734.39
0.000578125,6642.91
0.00059375,6555.07
0.000609375,6470.63
0.000625,6389.38
0.000640625,6311.12
0.00065625,6235.68
0.000671875,6162.88
0.0006875,6092.57
0.00071875,5958.91
0.00075,5833.69
0.00078125,5716.06
0.0008125,5605.28
0.00084375,5500.72
0.000875,5401.82
0.00090625,5308.07
0.0009375,5219.05
0.00096875,5134.38
0.001,5053.71
0.00103125,4976.73
0.0010625,4903.17
0.00109375,4832.79
0.001125,4765.37
0.00115625,4700.69
0.0011875,4638.59
0.00121875,4578.89
0.00125,4521.45
0.00128125,4466.12
0.0013125,4412.77
0.00134375,4361.3
0.001375,4311.6
0.0014375,4217.1
0.0015,4128.56
0.0015625,4045.4
0.001625,3967.07
0.0016875,3893.15
0.00175,3823.21
0.0018125,3756.93
0.001875,3693.99
0.0019375,3634.12
0.002,3577.08
0.00209375,3496.35
0.0021875,3420.87
0.00228125,3350.09
0.002375,3283.55
0.00246875,3220.83
0.0025625,3161.59
0.00265625,3105.51
0.00275,3052.32
0.00284375,3001.79
0.0029375,2953.7
0.00303125,2907.85
0.003125,2864.09
0.00321875,2822.25
0.0033125,2782.2
0.00340625,2743.82
0.0035,2706.99
0.00359375,2671.61
0.0036875,2637.59
0.00378125,2604.84
0.003875,2573.29
0.00396875,2542.86
0.0040625,2513.49
0.00425,2457.7
0.0044375,2405.48
0.004625,2356.47
0.0048125,2310.35
0.005,2266.85
0.00515625,2232.43
0.0053125,2199.54
0.00546875,2168.07
0.005625,2137.92
0.00578125,2109
0.0059375,2081.23
0.00609375,2054.54
0.00625,2028.85
0.00640625,2004.11
0.0065625,1980.26
0.00671875,1957.25
0.006875,1935.02
0.0071875,1892.77
0.0075,1853.18
0.0078125,1816
0.008125,1780.97
0.0084375,1747.91
0.00875,1716.64
0.0090625,1686.99
0.009375,1658.84
0.0096875,1632.07
0.01,1606.56
0.0103125,1582.21
0.010625,1558.95
0.0109375,1536.7
0.01125,1515.38
0.0115625,1494.93
0.011875,1475.3
0.0121875,1456.43
0.0125,1438.27
0.0128125,1420.78
0.013125,1403.92
0.0134375,1387.65
0.01375,1371.94
0.014375,1342.06
0.015,1314.08
0.015625,1287.78
0.01625,1263.02
0.016875,1239.64
0.0175,1217.52
0.018125,1196.56
0.01875,1176.65
0.019375,1157.72
0.02,1139.68
0.0206625,1121.46
0.021325,1104.1
0.0219875,1087.52
0.02265,1071.68
0.0233125,1056.52
0.023975,1041.99
0.0246375,1028.05
0.0253,1014.66
0.0264578,992.47
0.0276156,971.69
0.0287734,952.177
0.0299312,933.81
0.0310891,916.481
0.0322469,900.098
0.0334047,884.574
0.0345625,869.837
0.0355273,858.107
0.0364922,846.844
0.037457,836.016
0.0384219,825.598
0.0393867,815.565
0.0403516,805.893
0.0413164,796.562
0.0422812,787.552
0.0442109,770.426
0.0461406,754.388
0.0480703,739.325
0.05,725.145
0.0515625,714.251
0.053125,703.841
0.0546875,693.882
0.05625,684.34
0.0578125,675.189
0.059375,666.401
0.0609375,657.954
0.0625,649.828
0.0640625,642.002
0.065625,634.46
0.0671875,627.185
0.06875,620.16
0.071875,606.802
0.075,594.281
0.078125,582.513
0.08125,571.43
0.084375,560.968
0.0875,551.072
0.090625,541.693
0.09375,532.788
0.096875,524.317
0.1,516.247
0.103125,508.547
0.10625,501.189
0.109375,494.149
0.1125,487.405
0.115625,480.936
0.11875,474.725
0.121875,468.754
0.125,463.009
0.128125,457.477
0.13125,452.145
0.134375,447.004
0.1375,442.041
0.14375,432.603
0.15,423.751
0.15625,415.431
0.1625,407.597
0.16875,400.202
0.175,393.208
0.18125,386.579
0.1875,380.284
0.19375,374.297
0.2,368.593
0.20625,363.15
0.2125,357.949
0.21875,352.973
0.225,348.206
0.23125,343.634
0.2375,339.244
0.24375,335.023
0.25,330.962
0.25625,327.051
0.2625,323.282
0.26875,319.674
0.270313,318.819
0.271875,318.007
0.273438,317.269
0.274219,316.945
0.275,316.662
0.275781,316.434
0.276562,316.276
0.276953,316.229
0.277344,316.208
0.277734,316.215
0.278125,316.254
0.278516,316.329
0.278906,316.443
0.279297,316.601
0.279688,316.809
0.280078,317.071
0.280469,317.392
0.280859,317.78
0.28125,318.24
0.281641,318.779
0.282031,319.404
0.282422,320.123
0.282812,320.944
0.283008,321.395
0.283203,321.875
0.283398,322.384
0.283594,322.924
0.283789,323.496
0.283984,324.101
0.28418,324.741
0.284375,325.415
0.28457,326.127
0.284766,326.876
0.284961,327.663
0.285156,328.491
0.285352,329.36
0.285547,330.272
0.285742,331.227
0.285938,332.228
0.286133,333.275
0.286328,334.369
0.286523,335.511
0.286719,336.703
0.286914,337.946
0.287109,339.242
0.287305,340.59
0.2875,341.993
0.287695,343.451
0.287891,344.966
0.288086,346.538
0.288281,348.168
0.288477,349.858
0.288672,351.608
0.288867,353.42
0.289062,355.293
0.289258,357.231
0.289453,359.231
0.289649,361.296
0.289844,363.425
0.290039,365.62
0.290234,367.881
0.29043,370.209
0.290625,372.604
0.29082,375.067
0.291016,377.596
0.291211,380.193
0.291406,382.858
0.291602,385.591
0.291797,388.391
0.291992,391.259
0.292187,394.195
0.292383,397.199
0.292578,400.268
0.292773,403.404
0.292969,406.605
0.293359,413.203
0.29375,420.054
0.294141,427.154
0.294531,434.489
0.294922,442.051
0.295312,449.829
0.295703,457.811
0.296094,465.98
0.296484,474.32
