E_eV,Sig_b
1e-05,40.3873
1.03125e-05,39.7815
1.0625e-05,39.2027
1.09375e-05,38.6491
1.125e-05,38.1189
1.15625e-05,37.6104
1.1875e-05,37.1223
1.21875e-05,36.6532
1.25e-05,36.2019
1.28125e-05,35.7674
1.3125e-05,35.3485
1.34375e-05,34.9445
1.375e-05,34.5545
1.4375e-05,33.8132
1.5e-05,33.1191
1.5625e-05,32.4674
1.625e-05,31.854
1.6875e-05,31.2753
1.75e-05,30.7282
1.8125e-05,30.2099
1.875e-05,29.718
1.9375e-05,29.2504
2e-05,28.8051
2.09375e-05,28.1753
2.1875e-05,27.5869
2.28125e-05,27.0356
2.375e-05,26.5177
2.46875e-05,26.03
2.5625e-05,25.5696
2.65625e-05,25.1342
2.75e-05,24.7216
2.84375e-05,24.3298
2.9375e-05,23.9572
3.03125e-05,23.6024
3.125e-05,23.2639
3.21875e-05,22.9405
3.3125e-05,22.6312
3.40625e-05,22.335
3.5e-05,22.051
3.59375e-05,21.7783
3.6875e-05,21.5164
3.78125e-05,21.2644
3.875e-05,21.0219
3.96875e-05,20.7881
4.0625e-05,20.5627
4.25e-05,20.1349
4.4375e-05,19.7351
4.625e-05,19.3604
4.8125e-05,19.0084
5e-05,18.6768
5.15625e-05,18.4148
5.3125e-05,18.1648
5.46875e-05,17.9258
5.625e-05,17.6972
5.78125e-05,17.4781
5.9375e-05,17.268
6.09375e-05,17.0663
6.25e-05,16.8724
6.40625e-05,16.6859
6.5625e-05,16.5063
6.71875e-05,16.3332
6.875e-05,16.1663
7.1875e-05,15.8494
7.5e-05,15.5532
7.8125e-05,15.2757
8.125e-05,15.0149
8.4375e-05,14.7693
8.75e-05,14.5375
9.0625e-05,14.3183
9.375e-05,14.1106
9.6875e-05,13.9135
0.0001,13.7261
0.000103125,13.5477
0.00010625,13.3776
0.000109375,13.2151
0.0001125,13.0599
0.000115625,12.9113
0.00011875,12.7689
0.000121875,12.6323
0.000125,12.5011
0.000128125,12.375
0.00013125,12.2537
0.000134375,12.1369
0.0001375,12.0243
0.00014375,11.8109
0.00015,11.6118
0.00015625,11.4254
0.0001625,11.2506
0.00016875,11.0863
0.000175,10.9314
0.00018125,10.7851
0.0001875,10.6467
0.00019375,10.5155
0.0002,10.391
0.000209375,10.2155
0.00021875,10.0523
0.000228125,9.89997
0.0002375,9.75748
0.000246875,9.62383
0.00025625,9.49817
0.000265625,9.37978
0.000275,9.268
0.000284375,9.16226
0.00029375,9.06206
0.000303125,8.96695
0.0003125,8.87653
0.000321875,8.79044
0.00033125,8.70836
0.000340625,8.63
0.00035,8.55509
0.000359375,8.48341
0.00036875,8.41474
0.000378125,8.34887
0.0003875,8.28563
0.000396875,8.22486
0.00040625,8.16641
0.000425,8.0559
0.00044375,7.95315
0.0004625,7.8573
0.00048125,7.76765
0.0005,7.68357
0.000515625,7.61738
0.00053125,7.55442
0.000546875,7.49444
0.0005625,7.43722
0.000578125,7.38255
0.00059375,7.33028
0.000609375,7.28022
0.000625,7.23223
0.000640625,7.18618
0.00065625,7.14194
0.000671875,7.0994
0.0006875,7.05846
0.00071875,6.98101
0.00075,6.9089
0.00078125,6.84157
0.0008125,6.77852
0.00084375,6.71933
0.000875,6.66363
0.00090625,6.6111
0.0009375,6.56145
0.00096875,6.51444
0.001,6.46984
0.00103125,6.42747
0.0010625,6.38714
