E_eV,Sig_b
1e-05,126653
1.03125e-05,124719
1.0625e-05,122871
1.09375e-05,121103
1.125e-05,119409
1.15625e-05,117784
1.1875e-05,116224
1.21875e-05,114724
1.25e-05,113280
1.28125e-05,111890
1.3125e-05,110550
1.34375e-05,109257
1.375e-05,108008
1.4375e-05,105633
1.5e-05,103409
1.5625e-05,101319
1.625e-05,99351
1.6875e-05,97493.4
1.75e-05,95736.2
1.8125e-05,94070.7
1.875e-05,92489.2
1.9375e-05,90984.8
2e-05,89551.6
2.09375e-05,87523.2
2.1875e-05,85626.6
2.28125e-05,83848.2
2.375e-05,82176.2
2.46875e-05,80600.3
2.5625e-05,79111.7
2.65625e-05,77702.6
2.75e-05,76366.2
2.84375e-05,75096.4
2.9375e-05,73887.9
3.03125e-05,72735.9
3.125e-05,71636.1
3.21875e-05,70584.8
3.3125e-05,69578.3
3.40625e-05,68613.8
3.5e-05,67688.2
3.59375e-05,66799.1
3.6875e-05,65944.1
3.78125e-05,65121.1
3.875e-05,64328.2
3.96875e-05,63563.5
4.0625e-05,62825.4
4.25e-05,61423.3
4.4375e-05,60110.9
4.625e-05,58879.2
4.8125e-05,57720.2
5e-05,56627
5.15625e-05,55761.9
5.3125e-05,54935.2
5.46875e-05,54144.3
5.625e-05,53386.5
5.78125e-05,52659.6
5.9375e-05,51961.7
6.09375e-05,51290.7
6.25e-05,50645.1
6.40625e-05,50023.2
6.5625e-05,49423.7
6.71875e-05,48845.2
6.875e-05,48286.6
7.1875e-05,47224.4
7.5e-05,46229.3
7.8125e-05,45294.5
8.125e-05,44414.2
8.4375e-05,43583.3
8.75e-05,42797.3
9.0625e-05,42052.2
9.375e-05,41344.8
9.6875e-05,40671.8
0.0001,40030.7
0.000103125,39418.9
0.00010625,38834.3
0.000109375,38274.9
0.0001125,37739
0.000115625,37225
0.00011875,36731.4
0.000121875,36257
0.000125,35800.4
0.000128125,35360.6
0.00013125,34936.6
0.000134375,34527.5
0.0001375,34132.5
0.00014375,33381.3
0.00015,32677.6
0.00015625,32016.6
0.0001625,31394.1
0.00016875,30806.4
0.000175,30250.6
0.00018125,29723.8
0.0001875,29223.5
0.00019375,28747.6
0.0002,28294.3
0.000209375,27652.7
0.00021875,27052.7
0.000228125,26490.2
0.0002375,25961.3
0.000246875,25462.9
0.00025625,24992
0.000265625,24546.4
0.000275,24123.7
0.000284375,23722.1
0.00029375,23339.9
0.000303125,22975.5
0.0003125,22627.7
0.000321875,22295.2
0.00033125,21976.9
0.000340625,21671.9
0.00035,21379.2
0.000359375,21098
0.00036875,20827.7
0.000378125,20567.4
0.0003875,20316.7
0.000396875,20074.9
0.00040625,19841.5
0.000425,19398.1
0.00044375,18983.2
0.0004625,18593.8
0.00048125,18227.3
0.0005,17881.7
0.000515625,17608.2
0.00053125,17346.9
0.000546875,17096.9
0.0005625,16857.3
0.000578125,16627.6
0.00059375,16407
0.000609375,16194.9
0.000625,15990.8
0.000640625,15794.3
0.00065625,15604.8
0.000671875,15422
0.0006875,15245.4
0.00071875,14909.7
0.00075,14595.3
0.00078125,14299.9
0.0008125,14021.8
0.00084375,13759.2
0.000875,13510.9
0.00090625,13275.5
0.0009375,13052
0.00096875,12839.4
0.001,12636.9
0.00103125,12443.7
0.0010625,12259
0.00109375,12082.3
0.001125,11913.1
0.00115625,11750.8
0.0011875,11594.9
0.00121875,11445
0.00125,11300.8
0.00128125,11162
0.0013125,11028.1
0.00134375,10898.9
0.001375,10774.2
0.0014375,10537
0.0015,10314.8
0.0015625,10106.1
0.001625,9909.6
0.0016875,9724.1
0.00175,9548.64
0.0018125,9382.33
0.001875,9224.42
0.0019375,9074.22
0.002,8931.11
0.00209375,8728.6
0.0021875,8539.26
0.00228125,8361.72
0.002375,8194.81
0.00246875,8037.5
0.0025625,7888.91
0.00265625,7748.27
0.00275,7614.89
0.00284375,7488.16
0.0029375,7367.56
0.00303125,7252.6
0.003125,7142.86
0.00321875,7037.96
0.0033125,6937.54
0.00340625,6841.31
0.0035,6748.97
0.00359375,6660.27
0.0036875,6574.98
0.00378125,6492.89
0.003875,6413.79
0.00396875,6337.52
0.0040625,6263.91
0.00425,6124.06
0.0044375,5993.17
0.004625,5870.33
0.0048125,5754.75
0.005,5645.73
0.00515625,5559.47
0.0053125,5477.04
0.00546875,5398.18
0.005625,5322.63
0.00578125,5250.17
0.0059375,5180.59
0.00609375,5113.71
0.00625,5049.36
0.00640625,4987.38
0.0065625,4927.62
0.00671875,4869.97
0.006875,4814.3
0.0071875,4708.45
0.0075,4609.29
0.0078125,4516.14
0.008125,4428.42
0.0084375,4345.62
0.00875,4267.29
0.0090625,4193.05
0.009375,4122.56
0.0096875,4055.5
0.01,3991.62
0.0103125,3930.67
0.010625,3872.43
0.0109375,3816.71
0.01125,3763.34
0.0115625,3712.14
0.011875,3662.99
0.0121875,3615.74
0.0125,3570.28
0.0128125,3526.5
0.013125,3484.3
0.0134375,3443.57
0.01375,3404.25
0.014375,3329.48
0.015,3259.43
0.015625,3193.63
0.01625,3131.65
0.016875,3073.14
0.0175,3017.8
0.018125,2965.35
0.01875,2915.54
0.019375,2868.17
0.02,2823.04
0.0206625,2777.46
0.021325,2734.03
0.0219875,2692.59
0.02265,2653
0.0233125,2615.13
0.023975,2578.86
0.0246375,2544.1
0.0253,2510.75
0.0264578,2455.57
0.0276156,2403.98
0.0287734,2355.58
0.0299312,2310.05
0.0310891,2267.1
0.0322469,2226.49
0.0334047,2188.01
0.0345625,2151.48
0.0355273,2122.4
0.0364922,2094.47
0.037457,2067.62
0.0384219,2041.78
0.0393867,2016.89
0.0403516,1992.9
0.0413164,1969.75
0.0422812,1947.4
0.0442109,1904.9
0.0461406,1865.1
0.0480703,1827.71
0.05,1792.51
0.0515625,1765.46
0.053125,1739.62
0.0546875,1714.88
0.05625,1691.19
0.0578125,1668.45
0.059375,1646.62
0.0609375,1625.64
0.0625,1605.45
0.0640625,1586
0.065625,1567.26
0.0671875,1549.18
0.06875,1531.72
0.071875,1498.52
0.075,1467.39
0.078125,1438.12
0.08125,1410.56
0.084375,1384.54
0.0875,1359.92
0.090625,1336.59
0.09375,1314.43
0.096875,1293.35
0.1,1273.26
0.103125,1254.09
0.10625,1235.78
0.109375,1218.25
0.1125,1201.46
0.115625,1185.35
0.11875,1169.88
0.121875,1155.01
0.125,1140.7
0.128125,1126.91
0.13125,1113.63
0.134375,1100.82
0.1375,1088.45
0.14375,1064.93
0.15,1042.87
0.15625,1022.13
0.1625,1002.59
0.16875,984.153
0.175,966.708
0.18125,950.172
0.1875,934.469
0.19375,919.53
0.2,905.296
0.20625,891.713
0.2125,878.733
0.21875,866.313
0.225,854.412
0.23125,843
0.234375,837.471
0.2375,832.064
0.239062,829.407
0.240625,826.784
0.242188,824.194
0.24375,821.637
0.245312,819.113
0.246875,816.621
0.25,811.719
0.25,811.719
0.250084,811.589
0.250168,811.458
0.250336,811.198
0.250671,810.679
0.251343,809.642
0.252686,807.58
0.254028,805.531
0.255371,803.494
0.256714,801.467
0.258057,799.45
0.2594,797.443
0.260742,795.447
0.263428,791.488
0.266113,787.576
0.271485,779.91
0.282227,765.225
0.292969,751.352
0.303711,738.221
0.314453,725.767
0.325196,713.935
0.335938,702.684
0.346191,692.455
0.356445,682.66
0.366699,673.26
0.376953,664.243
0.387207,655.586
0.397461,647.266
0.407715,639.261
0.417969,631.552
0.428223,624.121
0.438477,616.952
0.44873,610.031
0.458984,603.353
0.5,578.764
0.53125,561.903
0.5625,546.466
0.59375,532.263
0.625,519.138
0.6875,495.622
0.75,475.106
0.8125,457.003
0.875,440.905
0.9375,426.441
1,413.305
1.10355,393.954
1.2071,377.158
1.31066,362.397
1.41421,349.297
1.56066,332.965
1.70711,318.77
1.85355,306.294
2,295.226
2.125,286.72
2.25,278.925
2.375,271.754
2.5,265.129
2.75,253.263
3,242.914
3.25,233.78
3.5,225.652
3.75,218.352
4,211.74
4.25,205.721
4.5,200.212
4.75,195.144
5,190.462
5.25,186.116
5.5,182.07
5.75,178.291
6,174.752
6.25,171.427
6.5,168.297
6.75,165.342
7,162.549
7.75,154.99
8.5,148.454
9.25,142.732
10,137.668
11.0355,131.58
12.071,126.296
13.1066,121.654
14.1421,117.534
15.6066,112.343
17.071,107.832
18.5355,103.867
20,100.347
21.25,97.6566
22.5,95.1932
23.75,92.9273
25,90.834
27.5,87.0851
30,83.8162
32.5,80.9295
35,78.3594
37.5,76.0515
40,73.9632
42.5,72.0625
45,70.3229
47.5,68.7229
50,67.2447
52.5,65.8721
55,64.5944
57.5,63.4012
60,62.2836
62.5,61.2339
65,60.2456
67.5,59.3128
70,58.4308
77.5,56.0442
85,53.9816
92.5,52.1759
100,50.5783
110.355,48.6801
120.71,47.034
131.066,45.5889
141.421,44.307
156.066,42.6487
170.71,41.2075
185.355,39.94
200,38.8141
212.5,37.9677
225,37.1931
237.5,36.4806
250,35.8223
275,34.6433
300,33.6153
325,32.7109
350,31.9053
375,31.1818
400,30.527
425,29.931
450,29.3853
475,28.8833
500,28.4195
525,27.9915
550,27.5929
575,27.2206
600,26.8717
625,26.5439
650,26.2351
675,25.9436
700,25.6678
775,24.9279
850,24.2876
925,23.7262
1000,23.2287
1062.5,22.8637
1125,22.5291
1250,21.9352
1375,21.4228
1500,20.9746
1625,20.5781
1750,20.2241
1875,19.9054
2000,19.6165
2125,19.3645
2250,19.133
2500,18.7212
2750,18.3645
3000,18.0516
3250,17.7922
3500,17.5591
3750,17.3481
4000,17.1558
4250,16.9795
4500,16.817
4750,16.6667
5000,16.5269
5250,16.4083
5500,16.2969
5750,16.1921
6000,16.0933
6250,15.9997
6500,15.911
6750,15.8267
7000,15.7465
7750,15.5495
8500,15.3754
9250,15.2198
10000,15.0795
11250,14.9145
12500,14.7697
13750,14.641
15000,14.5253
17500,14.3247
20000,14.1551
22500,14.0444
25000,13.9463
27500,13.8585
30000,13.7789
34549.2,13.6711
39098.4,13.5775
48196.8,13.4208
50000,13.3934
52500,13.3549
55000,13.3187
57500,13.2847
60000,13.2527
62500,13.2226
65000,13.194
67500,13.1671
70000,13.1415
73750,13.0909
77500,13.0438
81250,12.9999
85000,12.9588
88750,12.9203
92500,12.8842
96250,12.8503
100000,12.8184
107102,12.7149
107102,12.7149
112459,12.6419
112459,12.6419
120000,12.5455
125000,12.4836
130000,12.4255
135000,12.3708
140000,12.3192
147500,12.241
155000,12.1688
162500,12.102
170000,12.0401
177500,11.9769
185000,11.9179
192500,11.8628
200000,11.8113
212500,11.6621
225000,11.5289
237500,11.4095
250000,11.3025
262500,11.192
275000,11.0891
287500,10.993
300000,10.903
312500,10.7715
325000,10.6498
337500,10.537
350000,10.4323
362500,10.335
375000,10.2444
400000,10.0816
425000,9.90115
450000,9.74397
475000,9.60687
500000,9.48726
525000,9.33361
550000,9.19568
575000,9.07165
600000,8.95999
625000,8.83864
650000,8.72844
675000,8.62825
700000,8.53712
725000,8.45339
750000,8.37597
775000,8.30431
800000,8.23794
825000,8.16733
850000,8.1015
875000,8.04008
900000,7.98275
925000,7.92174
950000,7.86466
975000,7.81123
1e+06,7.76119
1.025e+06,7.72642
1.05e+06,7.6937
1.075e+06,7.66289
1.1e+06,7.63387
1.125e+06,7.61226
1.15e+06,7.59192
1.175e+06,7.57277
1.2e+06,7.55474
1.225e+06,7.54701
1.25e+06,7.5399
1.275e+06,7.53335
1.3e+06,7.52735
1.325e+06,7.52033
1.35e+06,7.5138
1.375e+06,7.50772
1.4e+06,7.50208
1.425e+06,7.50641
1.45e+06,7.51084
1.475e+06,7.51536
1.5e+06,7.51996
1.525e+06,7.52408
1.55e+06,7.52825
1.575e+06,7.53247
1.6e+06,7.53673
1.625e+06,7.54658
1.65e+06,7.55634
1.675e+06,7.56601
1.7e+06,7.5756
1.725e+06,7.58496
1.75e+06,7.59422
1.775e+06,7.60338
1.8e+06,7.61244
1.825e+06,7.62395
1.85e+06,7.63533
1.875e+06,7.64658
1.9e+06,7.65769
1.925e+06,7.66869
1.95e+06,7.67954
1.975e+06,7.69027
2e+06,7.70086
2.025e+06,7.71206
2.05e+06,7.72312
2.075e+06,7.73405
2.1e+06,7.74484
2.125e+06,7.75549
2.15e+06,7.76602
2.175e+06,7.77641
2.2e+06,7.78667
2.225e+06,7.79681
