E_eV,Sig_b
1e-05,4152.15
1.03125e-05,4088.8
1.0625e-05,4028.26
1.09375e-05,3970.33
1.125e-05,3914.84
1.15625e-05,3861.61
1.1875e-05,3810.49
1.21875e-05,3761.36
1.25e-05,3714.08
1.28125e-05,3668.54
1.3125e-05,3624.64
1.34375e-05,3582.28
1.375e-05,3541.37
1.4375e-05,3463.59
1.5e-05,3390.73
1.5625e-05,3322.29
1.625e-05,3257.83
1.6875e-05,3196.99
1.75e-05,3139.44
1.8125e-05,3084.9
1.875e-05,3033.1
1.9375e-05,2983.84
2e-05,2936.9
2.09375e-05,2870.47
2.1875e-05,2808.37
2.28125e-05,2750.13
2.375e-05,2695.38
2.46875e-05,2643.78
2.5625e-05,2595.04
2.65625e-05,2548.9
2.75e-05,2505.15
2.84375e-05,2463.58
2.9375e-05,2424.01
3.03125e-05,2386.3
3.125e-05,2350.3
3.21875e-05,2315.88
3.3125e-05,2282.93
3.40625e-05,2251.36
3.5e-05,2221.06
3.59375e-05,2191.96
3.6875e-05,2163.98
3.78125e-05,2137.04
3.875e-05,2111.09
3.96875e-05,2086.06
4.0625e-05,2061.9
4.25e-05,2016.02
4.4375e-05,1973.07
4.625e-05,1932.76
4.8125e-05,1894.84
5e-05,1859.07
5.15625e-05,1830.77
5.3125e-05,1803.72
5.46875e-05,1777.84
5.625e-05,1753.06
5.78125e-05,1729.28
5.9375e-05,1706.45
6.09375e-05,1684.5
6.25e-05,1663.38
6.40625e-05,1643.04
6.5625e-05,1623.43
6.71875e-05,1604.51
6.875e-05,1586.24
7.1875e-05,1551.51
7.5e-05,1518.97
7.8125e-05,1488.41
8.125e-05,1459.62
8.4375e-05,1432.46
8.75e-05,1406.76
9.0625e-05,1382.41
9.375e-05,1359.28
9.6875e-05,1337.29
0.0001,1316.34
0.000103125,1296.34
0.00010625,1277.24
0.000109375,1258.96
0.0001125,1241.45
0.000115625,1224.66
0.00011875,1208.53
0.000121875,1193.03
0.000125,1178.11
0.000128125,1163.75
0.00013125,1149.9
0.000134375,1136.54
0.0001375,1123.63
0.00014375,1099.1
0.00015,1076.12
0.00015625,1054.54
0.0001625,1034.21
0.00016875,1015.03
0.000175,996.882
0.00018125,979.685
0.0001875,963.356
0.00019375,947.825
0.0002,933.029
0.000209375,912.091
0.00021875,892.516
0.000228125,874.162
0.0002375,856.908
0.000246875,840.647
0.00025625,825.288
0.000265625,810.751
0.000275,796.965
0.000284375,783.867
0.00029375,771.403
0.000303125,759.522
0.0003125,748.18
0.000321875,737.338
0.00033125,726.961
0.000340625,717.016
0.00035,707.473
0.000359375,698.307
0.00036875,689.493
0.000378125,681.009
0.0003875,672.836
0.000396875,664.954
0.00040625,657.347
0.000425,642.897
0.00044375,629.373
0.0004625,616.681
0.00048125,604.74
0.0005,593.477
0.000515625,584.565
0.00053125,576.05
0.000546875,567.902
0.0005625,560.097
0.000578125,552.611
0.00059375,545.423
0.000609375,538.513
0.000625,531.865
0.000640625,525.461
0.00065625,519.288
0.000671875,513.331
0.0006875,507.579
0.00071875,496.644
0.00075,486.4
0.00078125,476.777
0.0008125,467.715
0.00084375,459.163
0.000875,451.072
0.00090625,443.405
0.0009375,436.124
0.00096875,429.199
0.001,422.602
0.00103125,416.307
0.0010625,410.291
0.00109375,404.536
0.001125,399.023
0.00115625,393.734
0.0011875,388.656
0.00121875,383.775
0.00125,379.078
0.00128125,374.554
0.0013125,370.192
0.00134375,365.984
0.001375,361.92
0.0014375,354.194
0.0015,346.956
0.0015625,340.157
0.001625,333.754
0.0016875,327.711
0.00175,321.994
0.0018125,316.576
0.001875,311.43
0.0019375,306.536
0.002,301.874
0.00209375,295.275
0.0021875,289.105
0.00228125,283.32
0.002375,277.88
0.00246875,272.754
0.0025625,267.912
0.00265625,263.328
0.00275,258.981
0.00284375,254.85
0.0029375,250.919
0.00303125,247.172
0.003125,243.595
0.00321875,240.175
0.0033125,236.901
0.00340625,233.764
0.0035,230.753
0.00359375,227.862
0.0036875,225.081
0.00378125,222.404
0.003875,219.825
0.00396875,217.338
0.0040625,214.937
0.00425,210.377
0.0044375,206.108
0.004625,202.101
0.0048125,198.331
0.005,194.775
0.00515625,191.96
0.0053125,189.271
0.00546875,186.698
0.005625,184.233
0.00578125,181.868
0.0059375,179.598
0.00609375,177.415
0.00625,175.315
0.00640625,173.292
0.0065625,171.341
0.00671875,169.459
0.006875,167.642
0.0071875,164.186
0.0075,160.948
0.0078125,157.906
0.008125,155.041
0.0084375,152.336
0.00875,149.777
0.0090625,147.351
0.009375,145.048
0.0096875,142.856
0.01,140.768
0.0103125,138.776
0.010625,136.872
0.0109375,135.05
0.01125,133.304
0.0115625,131.63
0.011875,130.022
0.0121875,128.477
0.0125,126.989
0.0128125,125.557
0.013125,124.175
0.0134375,122.843
0.01375,121.555
0.014375,119.108
0.015,116.814
0.015625,114.658
0.01625,112.628
0.016875,110.71
0.0175,108.896
0.018125,107.176
0.01875,105.543
0.019375,103.989
0.02,102.508
0.0206625,101.012
0.021325,99.5856
0.0219875,98.2241
0.02265,96.9226
0.0233125,95.6766
0.023975,94.4825
0.0246375,93.3365
0.0253,92.2357
0.0264578,90.4114
0.0276156,88.7025
0.0287734,87.0971
0.0299312,85.5855
0.0310891,84.1588
0.0322469,82.8093
0.0334047,81.5301
0.0345625,80.3151
0.0355273,79.3476
0.0364922,78.4182
0.037457,77.5245
0.0384219,76.6641
0.0393867,75.8352
0.0403516,75.0359
0.0413164,74.2644
0.0422812,73.5192
0.0442109,72.1019
0.0461406,70.7735
0.0480703,69.5249
0.05,68.3484
0.0515625,67.4439
0.053125,66.579
0.0546875,65.751
0.05625,64.9572
0.0578125,64.1952
0.059375,63.4631
0.0609375,62.7589
0.0625,62.0809
0.0640625,61.4275
0.065625,60.7974
0.0671875,60.1891
0.06875,59.6014
0.071875,58.4827
0.075,57.4324
0.078125,56.4439
0.08125,55.5115
0.084375,54.6301
0.0875,53.7952
0.090625,53.0028
0.09375,52.2491
0.096875,51.5312
0.1,50.8462
0.103125,50.1916
0.10625,49.5652
0.109375,48.9649
0.1125,48.3889
0.115625,47.8357
0.11875,47.3035
0.121875,46.7912
0.125,46.2975
0.128125,45.8213
0.13125,45.3616
0.134375,44.9177
0.1375,44.4885
0.14375,43.6703
0.15,42.9005
0.15625,42.1747
0.1625,41.4889
0.16875,40.8396
0.175,40.2235
0.18125,39.6376
0.1875,39.0794
0.19375,38.5467
0.2,38.0375
0.204687,37.6703
0.209375,37.315
0.21875,36.6363
0.228125,35.9958
0.2375,35.3906
0.246875,34.8174
0.25625,34.2733
0.265625,33.7557
0.275,33.2625
0.284375,32.7916
0.29375,32.3412
0.303125,31.9098
0.3125,31.4959
0.321875,31.0984
0.33125,30.7161
0.340625,30.3478
0.35,29.9928
0.359375,29.6502
0.36875,29.3191
0.378125,28.9989
0.3875,28.689
0.396875,28.3887
0.40625,28.0975
0.415625,27.8152
0.425,27.5414
0.44375,27.016
0.4625,26.5176
0.5,25.5953
0.53125,24.8915
0.5625,24.2366
0.59375,23.6257
0.625,23.0535
0.6875,22.0082
0.75,21.0731
0.8125,20.2281
0.875,19.4592
0.9375,18.7534
1,18.1006
1.0625,17.4947
1.125,16.9301
1.1875,16.4018
1.25,15.906
1.3125,15.4393
1.375,14.9989
1.5,14.1879
1.625,13.4577
1.75,12.7976
1.875,12.1979
2,11.6508
2.14062,11.094
2.28125,10.5914
2.39844,10.2131
2.51562,9.8686
2.63281,9.55583
2.75,9.27457
2.84375,9.07209
2.92578,8.9111
3.00781,8.76527
3.08984,8.63451
3.17188,8.51756
3.21289,8.46555
3.25391,8.41748
3.29492,8.37338
3.33594,8.3333
3.37695,8.29727
3.41797,8.26538
3.45899,8.23768
3.5,8.21425
3.53809,8.19637
3.57617,8.18221
3.61426,8.17181
3.65234,8.16549
3.69043,8.16327
3.70947,8.16371
3.72852,8.16518
3.74756,8.1677
3.7666,8.17129
3.78565,8.17595
3.80469,8.1817
3.8252,8.18912
3.8457,8.19783
3.86621,8.20783
3.88672,8.21916
3.90723,8.23183
3.91748,8.23869
3.92773,8.24589
3.93799,8.25343
3.94824,8.26133
3.9585,8.26958
3.96875,8.27818
3.9812,8.2891
3.99365,8.30055
4.0061,8.31253
4.01856,8.32505
4.03101,8.33811
4.03723,8.34485
4.04346,8.35172
4.04968,8.35874
4.05591,8.36589
4.06214,8.37318
4.06836,8.38061
4.07642,8.39043
4.08447,8.4005
4.09253,8.4108
4.10059,8.42135
4.10864,8.43213
4.1167,8.44316
4.12476,8.45444
4.13281,8.46596
4.14087,8.47773
4.14893,8.48974
4.15698,8.50201
4.16504,8.51453
4.1731,8.52731
4.18115,8.54033
4.18921,8.55362
4.19727,8.56717
4.20459,8.57971
4.21191,8.59247
4.21668,8.60088
4.22144,8.60938
4.2262,8.61797
4.23096,8.62666
4.23572,8.63544
4.24048,8.64432
4.25,8.66235
4.25806,8.6779
4.26611,8.69373
4.27417,8.70984
4.28223,8.72622
4.29028,8.74288
4.29834,8.75983
4.3064,8.77705
4.31445,8.79456
4.32251,8.81236
4.33057,8.83045
4.33863,8.84882
4.34668,8.86749
4.35474,8.88646
4.36279,8.90572
4.37085,8.92528
4.37891,8.94515
4.38477,8.95978
4.39063,8.97458
4.39649,8.98955
4.40234,9.00467
4.41406,9.03541
4.42578,9.06681
4.4375,9.09889
4.44922,9.13163
4.46094,9.16506
4.47266,9.19917
4.48071,9.22303
4.48877,9.24722
4.50488,9.2966
4.521,9.34735
4.53711,9.39946
4.55322,9.45298
4.56934,9.50792
4.58545,9.5643
4.60156,9.62215
4.61475,9.67059
4.62793,9.72005
4.64112,9.77054
4.6543,9.82206
4.66748,9.87463
4.68067,9.92825
4.69385,9.98293
4.70703,10.0387
4.7334,10.1535
4.75977,10.2729
4.78613,10.3969
4.8125,10.5256
4.83594,10.6442
4.85938,10.7667
4.88281,10.8933
4.90625,11.024
4.92969,11.159
4.95312,11.2984
4.97656,11.4423
5,11.5908
5.02131,11.73
5.04262,11.8731
5.06393,12.0202
5.08524,12.1715
5.10656,12.3271
5.12787,12.4871
5.14918,12.6515
5.17049,12.8205
5.21311,13.1728
5.25573,13.5449
5.29835,13.9377
5.34098,14.3523
5.3836,14.7899
