E_eV,Sig_b
1e-05,794.123
1.03125e-05,782.002
1.0625e-05,770.42
1.09375e-05,759.338
1.125e-05,748.721
1.15625e-05,738.537
1.1875e-05,728.759
1.21875e-05,719.358
1.25e-05,710.313
1.28125e-05,701.601
1.3125e-05,693.201
1.34375e-05,685.097
1.375e-05,677.27
1.4375e-05,662.39
1.5e-05,648.45
1.5625e-05,635.355
1.625e-05,623.023
1.6875e-05,611.382
1.75e-05,600.371
1.8125e-05,589.935
1.875e-05,580.025
1.9375e-05,570.599
2e-05,561.618
2.09375e-05,548.909
2.1875e-05,537.026
2.28125e-05,525.883
2.375e-05,515.407
2.46875e-05,505.533
2.5625e-05,496.207
2.65625e-05,487.379
2.75e-05,479.006
2.84375e-05,471.051
2.9375e-05,463.48
3.03125e-05,456.264
3.125e-05,449.374
3.21875e-05,442.788
3.3125e-05,436.483
3.40625e-05,430.441
3.5e-05,424.644
3.59375e-05,419.074
3.6875e-05,413.719
3.78125e-05,408.564
3.875e-05,403.597
3.96875e-05,398.808
4.0625e-05,394.185
4.25e-05,385.403
4.4375e-05,377.184
4.625e-05,369.47
4.8125e-05,362.211
5e-05,355.366
5.15625e-05,349.948
5.3125e-05,344.772
5.46875e-05,339.819
5.625e-05,335.074
5.78125e-05,330.523
5.9375e-05,326.153
6.09375e-05,321.952
6.25e-05,317.91
6.40625e-05,314.017
6.5625e-05,310.264
6.71875e-05,306.642
6.875e-05,303.145
7.1875e-05,296.496
7.5e-05,290.267
7.8125e-05,284.416
8.125e-05,278.907
8.4375e-05,273.706
8.75e-05,268.787
9.0625e-05,264.125
9.375e-05,259.698
9.6875e-05,255.487
0.0001,251.475
0.000103125,247.647
0.00010625,243.99
0.000109375,240.491
0.0001125,237.138
0.000115625,233.923
0.00011875,230.835
0.000121875,227.867
0.000125,225.012
0.000128125,222.261
0.00013125,219.61
0.000134375,217.051
0.0001375,214.581
0.00014375,209.884
0.00015,205.484
0.00015625,201.351
0.0001625,197.459
0.00016875,193.786
0.000175,190.312
0.00018125,187.019
0.0001875,183.893
0.00019375,180.919
0.0002,178.086
0.000209375,174.078
0.00021875,170.33
0.000228125,166.816
0.0002375,163.513
0.000246875,160.4
0.00025625,157.459
0.000265625,154.677
0.000275,152.038
0.000284375,149.531
0.00029375,147.145
0.000303125,144.871
0.0003125,142.7
0.000321875,140.625
0.00033125,138.639
0.000340625,136.736
0.00035,134.91
0.000359375,133.156
0.00036875,131.469
0.000378125,129.846
