E_eV,Sig_b
1e-05,206.439
1.03125e-05,203.312
1.0625e-05,200.325
1.09375e-05,197.467
1.125e-05,194.729
1.15625e-05,192.104
1.1875e-05,189.583
1.21875e-05,187.16
1.25e-05,184.828
1.28125e-05,182.583
1.3125e-05,180.419
1.34375e-05,178.331
1.375e-05,176.314
1.4375e-05,172.482
1.5e-05,168.892
1.5625e-05,165.521
1.625e-05,162.347
1.6875e-05,159.351
1.75e-05,156.519
1.8125e-05,153.834
1.875e-05,151.286
1.9375e-05,148.863
2e-05,146.555
2.09375e-05,143.289
2.1875e-05,140.237
2.28125e-05,137.376
2.375e-05,134.687
2.46875e-05,132.153
2.5625e-05,129.761
2.65625e-05,127.498
2.75e-05,125.352
2.84375e-05,123.313
2.9375e-05,121.374
3.03125e-05,119.526
3.125e-05,117.763
3.21875e-05,116.078
3.3125e-05,114.465
3.40625e-05,112.92
3.5e-05,111.439
3.59375e-05,110.016
3.6875e-05,108.648
3.78125e-05,107.332
3.875e-05,106.064
3.96875e-05,104.842
4.0625e-05,103.663
4.25e-05,101.424
4.4375e-05,99.33
4.625e-05,97.3662
4.8125e-05,95.5196
5e-05,93.7791
5.15625e-05,92.4027
5.3125e-05,91.0883
5.46875e-05,89.8314
5.625e-05,88.628
5.78125e-05,87.4743
5.9375e-05,86.3671
6.09375e-05,85.3035
6.25e-05,84.2805
6.40625e-05,83.2958
6.5625e-05,82.3471
6.71875e-05,81.4321
6.875e-05,80.5491
7.1875e-05,78.8716
7.5e-05,77.3019
7.8125e-05,75.8291
8.125e-05,74.4437
8.4375e-05,73.1374
8.75e-05,71.9032
9.0625e-05,70.7348
9.375e-05,69.6265
9.6875e-05,68.5735
0.0001,67.5713
0.000103125,66.6162
0.00010625,65.7045
0.000109375,64.8331
0.0001125,63.9993
0.000115625,63.2003
0.00011875,62.434
0.000121875,61.6981
0.000125,60.9908
0.000128125,60.3102
0.00013125,59.6549
0.000134375,59.0232
0.0001375,58.4138
0.00014375,57.2571
0.00015,56.1757
0.00015625,55.1621
0.0001625,54.2095
0.00016875,53.3123
0.000175,52.4653
0.00018125,51.6641
0.0001875,50.9049
0.00019375,50.1843
0.0002,49.499
0.000209375,48.5317
0.00021875,47.63
0.000228125,46.7869
0.0002375,45.9966
0.000246875,45.2538
0.00025625,44.5542
0.000265625,43.8939
0.000275,43.2694
0.000284375,42.6776
0.00029375,42.116
0.000303125,41.5821
0.0003125,41.0737
0.000321875,40.589
0.00033125,40.1263
0.000340625,39.6839
0.00035,39.2606
0.000359375,38.8549
0.00036875,38.4659
0.000378125,38.0923
0.0003875,37.7332
0.000396875,37.3878
0.00040625,37.0552
0.000425,36.4256
0.00044375,35.8391
0.0004625,35.2912
0.00048125,34.778
0.0005,34.2961
0.000515625,33.9162
0.00053125,33.5545
0.000546875,33.2097
0.0005625,32.8804
0.000578125,32.5656
0.00059375,32.2644
0.000609375,31.9758
0.000625,31.699
0.000640625,31.4332
0.00065625,31.1777
0.000671875,30.932
0.0006875,30.6954
0.00071875,30.2476
0.00075,29.8304
0.00078125,29.4408
0.0008125,29.0758
0.00084375,28.7331
0.000875,28.4106
0.00090625,28.1064
0.0009375,27.8189
0.00096875,27.5468
0.001,27.2886
0.00103125,27.0434
0.0010625,26.8101
0.00109375,26.5877
0.001125,26.3756
0.00115625,26.1729
0.0011875,25.979
0.00121875,25.7933
0.00125,25.6152
0.00128125,25.4443
0.0013125,25.2801
0.00134375,25.1222
0.001375,24.9702
0.0014375,24.6826
0.0015,24.4148
0.0015625,24.1646
0.001625,23.9303
0.0016875,23.7103
0.00175,23.5032
0.0018125,23.3078
0.001875,23.1232
0.0019375,22.9483
0.002,22.7824
0.00209375,22.5487
0.0021875,22.3315
0.00228125,22.1289
0.002375,21.9394
0.00246875,21.7616
0.0025625,21.5945
0.00265625,21.437
0.00275,21.2882
0.00284375,21.1474
0.0029375,21.0139
0.00303125,20.8871
0.003125,20.7664
0.00321875,20.6515
0.0033125,20.5418
0.00340625,20.437
0.0035,20.3367
0.00359375,20.2407
0.0036875,20.1486
0.00378125,20.0601
0.003875,19.9752
0.00396875,19.8934
0.0040625,19.8147
0.00425,19.6656
0.0044375,19.5267
0.004625,19.3969
0.0048125,19.2752
0.005,19.1608
0.00515625,19.0706
0.0053125,18.9846
0.00546875,18.9026
0.005625,18.8242
0.00578125,18.7492
0.0059375,18.6773
0.00609375,18.6083
0.00625,18.5422
0.00640625,18.4785
0.0065625,18.4173
0.00671875,18.3584
0.006875,18.3015
