E_eV,Sig_b
1e-05,1606.41
1.03125e-05,1581.91
1.0625e-05,1558.5
1.09375e-05,1536.09
1.125e-05,1514.63
1.15625e-05,1494.05
1.1875e-05,1474.28
1.21875e-05,1455.28
1.25e-05,1437
1.28125e-05,1419.39
1.3125e-05,1402.41
1.34375e-05,1386.03
1.375e-05,1370.21
1.4375e-05,1340.13
1.5e-05,1311.95
1.54624e-05,1292.22
1.59248e-05,1273.35
1.63871e-05,1255.28
1.68495e-05,1237.97
1.6875e-05,1237.04
1.69531e-05,1234.19
1.70313e-05,1231.36
1.71875e-05,1225.76
1.75e-05,1214.78
1.8125e-05,1193.69
1.875e-05,1173.66
1.9375e-05,1154.61
2e-05,1136.46
2.06427e-05,1118.67
2.12854e-05,1101.68
2.19281e-05,1085.45
2.25708e-05,1069.92
2.32136e-05,1055.04
2.38563e-05,1040.76
2.4499e-05,1027.05
2.51417e-05,1013.87
2.63208e-05,990.956
2.75e-05,969.533
2.84375e-05,953.461
2.9375e-05,938.165
3.03125e-05,923.586
3.125e-05,909.667
3.21875e-05,896.362
3.3125e-05,883.627
3.40625e-05,871.421
3.5e-05,859.71
3.625e-05,844.808
3.75e-05,830.658
3.875e-05,817.199
4e-05,804.377
4.125e-05,792.143
4.25e-05,780.453
4.4375e-05,763.855
4.625e-05,748.277
4.8125e-05,733.621
5e-05,719.797
5.22464e-05,704.227
5.44928e-05,689.632
5.67392e-05,675.913
5.89856e-05,662.986
6.07428e-05,653.38
6.25e-05,644.182
6.40625e-05,636.323
6.5625e-05,628.748
6.71875e-05,621.438
6.875e-05,614.38
7.1875e-05,600.962
7.5e-05,588.392
7.75e-05,578.89
8e-05,569.838
8.375e-05,557.029
8.75e-05,545.054
9.0625e-05,535.649
9.375e-05,526.719
9.6875e-05,518.226
0.0001,510.135
0.000104493,499.146
0.000108986,488.846
0.000113478,479.165
0.000117971,470.044
0.000121486,463.266
0.000125,456.776
0.000128125,451.231
0.00013125,445.887
0.000134375,440.73
0.0001375,435.751
0.00014375,426.285
0.00015,417.419
0.000155,410.717
0.00016,404.332
0.0001675,395.298
0.000175,386.853
0.00018125,380.221
0.0001875,373.924
0.00019375,367.935
0.0002,362.231
0.000206827,356.298
0.000213655,350.652
0.000220482,345.272
0.00022731,340.137
0.000234137,335.229
0.000240964,330.532
0.000247792,326.031
0.000254619,321.712
0.000264809,315.581
0.000275,309.796
0.000284358,304.76
0.000293716,299.967
0.000294922,299.366
0.000298057,297.822
0.000301191,296.301
0.000307461,293.33
0.00032,287.654
0.000335,281.288
