E_eV,Sig_b
1e-05,130.241
1.03125e-05,128.256
1.0625e-05,126.359
1.09375e-05,124.545
1.125e-05,122.806
1.15625e-05,121.139
1.1875e-05,119.537
1.21875e-05,117.998
1.25e-05,116.517
1.28125e-05,115.091
1.3125e-05,113.716
1.34375e-05,112.389
1.375e-05,111.107
1.4375e-05,108.671
1.5e-05,106.389
1.5625e-05,104.246
1.625e-05,102.227
1.6875e-05,100.322
1.75e-05,98.5194
1.8125e-05,96.8114
1.875e-05,95.1895
1.9375e-05,93.6469
2e-05,92.1772
2.09375e-05,90.0975
2.1875e-05,88.1531
2.28125e-05,86.33
2.375e-05,84.6161
2.46875e-05,83.0009
2.5625e-05,81.4753
2.65625e-05,80.0313
2.75e-05,78.6619
2.84375e-05,77.3609
2.9375e-05,76.1228
3.03125e-05,74.9427
3.125e-05,73.8162
3.21875e-05,72.7394
3.3125e-05,71.7086
3.40625e-05,70.7209
3.5e-05,69.7731
3.59375e-05,68.8628
3.6875e-05,67.9874
3.78125e-05,67.1449
3.875e-05,66.3333
3.96875e-05,65.5506
4.0625e-05,64.7952
4.25e-05,63.3604
4.4375e-05,62.0177
4.625e-05,60.7577
4.8125e-05,59.5722
5e-05,58.4543
5.15625e-05,57.5698
5.3125e-05,56.7247
5.46875e-05,55.9162
5.625e-05,55.1417
5.78125e-05,54.3989
5.9375e-05,53.6858
6.09375e-05,53.0003
6.25e-05,52.3408
6.40625e-05,51.7057
6.5625e-05,51.0935
6.71875e-05,50.5028
6.875e-05,49.9325
7.1875e-05,48.8483
7.5e-05,47.8329
7.8125e-05,46.8793
8.125e-05,45.9814
8.4375e-05,45.1342
8.75e-05,44.3329
9.0625e-05,43.5737
9.375e-05,42.8529
9.6875e-05,42.1675
0.0001,41.5146
0.000103125,40.8918
0.00010625,40.2968
0.000109375,39.7277
0.0001125,39.1825
0.000115625,38.6598
0.00011875,38.1579
0.000121875,37.6756
0.000125,37.2116
0.000128125,36.7648
0.00013125,36.3342
0.000134375,35.9187
0.0001375,35.5177
0.00014375,34.7553
0.00015,34.0415
0.00015625,33.3713
0.0001625,32.7405
0.00016875,32.1452
0.000175,31.5825
0.00018125,31.0493
0.0001875,30.5433
0.00019375,30.0622
0.0002,29.604
0.000209375,28.9559
0.00021875,28.3504
0.000228125,27.7829
0.0002375,27.2498
0.000246875,26.7476
0.00025625,26.2736
0.000265625,25.8252
0.000275,25.4001
0.000284375,24.9966
0.00029375,24.6127
0.000303125,24.247
0.0003125,23.8981
0.000321875,23.5647
0.00033125,23.2458
0.000340625,22.9404
0.00035,22.6474
0.000359375,22.3662
0.00036875,22.0959
0.000378125,21.8358
0.0003875,21.5854
0.000396875,21.3441
0.00040625,21.1113
0.000425,20.6693
0.00044375,20.2561
0.0004625,19.8687
0.00048125,19.5046
0.0005,19.1614
0.000515625,18.8901
0.00053125,18.6311
0.000546875,18.3834
0.0005625,18.1463
0.000578125,17.9191
0.00059375,17.7011
0.000609375,17.4916
0.000625,17.2902
0.000640625,17.0964
0.00065625,16.9096
0.000671875,16.7296
0.0006875,16.5558
0.00071875,16.2257
0.00075,15.9169
0.00078125,15.6272
0.0008125,15.3547
0.00084375,15.0977
0.000875,14.855
0.00090625,14.6251
0.0009375,14.4071
0.00096875,14.1999
0.001,14.0028
0.00103125,13.8148
0.0010625,13.6354
0.00109375,13.4639
0.001125,13.2997
0.00115625,13.1424
0.0011875,12.9914
0.00121875,12.8464
0.00125,12.707
0.00128125,12.5729
0.0013125,12.4436
0.00134375,12.319
0.001375,12.1987
0.0014375,11.9703
0.0015,11.7567
0.0015625,11.5562
0.001625,11.3677
0.0016875,11.1899
0.00175,11.0219
0.0018125,10.8629
0.001875,10.712
0.0019375,10.5687
0.002,10.4322
0.00209375,10.2393
0.0021875,10.0592
0.00228125,9.89049
0.002375,9.73206
0.00246875,9.5829
0.0025625,9.44214
0.00265625,9.30903
0.00275,9.18291
0.00284375,9.06317
0.0029375,8.94932
0.00303125,8.84087
0.003125,8.73741
0.00321875,8.63859
0.0033125,8.54405
0.00340625,8.4535
0.0035,8.36668
0.00359375,8.28332
0.0036875,8.20321
0.00378125,8.12615
0.003875,8.05194
0.00396875,7.98041
0.0040625,7.9114
0.00425,7.78041
0.0044375,7.65792
0.004625,7.54306
0.0048125,7.43506
0.005,7.33328
0.00515625,7.25279
0.0053125,7.17592
0.00546875,7.10242
0.005625,7.03203
0.00578125,6.96455
0.0059375,6.89979
0.00609375,6.83756
0.00625,6.7777
0.00640625,6.72008
0.0065625,6.66455
0.00671875,6.61099
0.006875,6.55928
0.0071875,6.46103
0.0075,6.36906
0.0078125,6.28271
0.008125,6.20145
0.0084375,6.12479
0.00875,6.05231
0.0090625,5.98365
0.009375,5.91849
0.0096875,5.85654
0.01,5.79754
