E_eV,Sig_b
1e-05,267535
1.03125e-05,263450
1.0625e-05,259547
1.09375e-05,255812
1.125e-05,252234
1.15625e-05,248803
1.1875e-05,245507
1.21875e-05,242339
1.25e-05,239291
1.28125e-05,236354
1.3125e-05,233524
1.34375e-05,230792
1.375e-05,228155
1.4375e-05,223140
1.5e-05,218441
1.5625e-05,214028
1.625e-05,209872
1.6875e-05,205949
1.75e-05,202238
1.8125e-05,198720
1.875e-05,195380
1.9375e-05,192203
2e-05,189176
2.09375e-05,184892
2.1875e-05,180887
2.28125e-05,177131
2.375e-05,173600
2.46875e-05,170272
2.5625e-05,167128
2.65625e-05,164152
2.75e-05,161330
2.84375e-05,158648
2.9375e-05,156096
3.03125e-05,153663
3.125e-05,151341
3.21875e-05,149120
3.3125e-05,146995
3.40625e-05,144958
3.5e-05,143004
3.59375e-05,141126
3.6875e-05,139320
3.78125e-05,137582
3.875e-05,135908
3.96875e-05,134293
4.0625e-05,132735
4.25e-05,129774
4.4375e-05,127002
4.625e-05,124401
4.8125e-05,121954
5e-05,119645
5.15625e-05,117819
5.3125e-05,116073
5.46875e-05,114403
5.625e-05,112803
5.78125e-05,111268
5.9375e-05,109794
6.09375e-05,108377
6.25e-05,107014
6.40625e-05,105701
6.5625e-05,104435
6.71875e-05,103214
6.875e-05,102034
7.1875e-05,99791.1
7.5e-05,97690
7.8125e-05,95716.3
8.125e-05,93857.6
8.4375e-05,92103.1
8.75e-05,90443.4
9.0625e-05,88870.4
9.375e-05,87376.6
9.6875e-05,85955.8
0.0001,84602.1
0.000103125,83310.4
0.00010625,82076.1
0.000109375,80895.1
0.0001125,79763.6
0.000115625,78678.3
0.00011875,77636.2
0.000121875,76634.4
0.000125,75670.4
0.000128125,74741.9
0.00013125,73846.8
0.000134375,72983
0.0001375,72148.9
0.00014375,70563
0.00015,69077.3
0.00015625,67681.7
0.0001625,66367.4
0.00016875,65126.8
0.000175,63953.2
0.00018125,62840.9
0.0001875,61784.7
0.00019375,60780
0.0002,59822.8
0.000209375,58468.1
0.00021875,57201.5
0.000228125,56013.8
0.0002375,54897.2
0.000246875,53844.7
0.00025625,52850.6
0.000265625,51909.6
0.000275,51017.1
0.000284375,50169.1
0.00029375,49362
0.000303125,48592.7
0.0003125,47858.3
0.000321875,47156.2
0.00033125,46484.1
0.000340625,45839.9
0.00035,45221.8
0.000359375,44628.1
0.00036875,44057.1
0.000378125,43507.5
0.0003875,42978
0.000396875,42467.4
0.00040625,41974.5
0.000425,41038.2
0.00044375,40161.8
0.0004625,39339.3
0.00048125,38565.3
0.0005,37835.3
0.000515625,37257.7
0.00053125,36705.7
0.000546875,36177.5
0.0005625,35671.5
0.000578125,35186.2
0.00059375,34720.1
0.000609375,34272.1
0.000625,33841
0.000640625,33425.8
0.00065625,33025.4
0.000671875,32639.2
