E_eV,Sig_b
1e-05,15.5186
1.03125e-05,15.2893
1.0625e-05,15.0703
1.09375e-05,14.8609
1.125e-05,14.6604
1.15625e-05,14.4681
1.1875e-05,14.2836
1.21875e-05,14.1063
1.25e-05,13.9358
1.28125e-05,13.7716
1.3125e-05,13.6135
1.34375e-05,13.4609
1.375e-05,13.3137
1.4375e-05,13.034
1.5e-05,12.7722
1.5625e-05,12.5265
1.625e-05,12.2953
1.6875e-05,12.0774
1.75e-05,11.8714
1.8125e-05,11.6764
1.875e-05,11.4914
1.9375e-05,11.3156
2e-05,11.1483
2.09375e-05,10.9118
2.1875e-05,10.691
2.28125e-05,10.4842
2.375e-05,10.2902
2.46875e-05,10.1075
2.5625e-05,9.93525
2.65625e-05,9.77242
2.75e-05,9.61822
2.84375e-05,9.47193
2.9375e-05,9.3329
3.03125e-05,9.20057
3.125e-05,9.07443
3.21875e-05,8.95402
3.3125e-05,8.83892
3.40625e-05,8.72877
3.5e-05,8.62324
3.59375e-05,8.522
3.6875e-05,8.4248
3.78125e-05,8.33137
3.875e-05,8.24148
3.96875e-05,8.15493
4.0625e-05,8.07151
4.25e-05,7.91337
4.4375e-05,7.76579
4.625e-05,7.62767
4.8125e-05,7.49809
5e-05,7.37621
5.15625e-05,7.28002
5.3125e-05,7.18833
5.46875e-05,7.1008
5.625e-05,7.01714
5.78125e-05,6.93709
5.9375e-05,6.8604
6.09375e-05,6.78686
6.25e-05,6.71625
6.40625e-05,6.6484
6.5625e-05,6.58315
6.71875e-05,6.52033
6.875e-05,6.4598
7.1875e-05,6.34512
7.5e-05,6.23819
7.8125e-05,6.13819
8.125e-05,6.04446
8.4375e-05,5.95638
8.75e-05,5.87344
9.0625e-05,5.79518
9.375e-05,5.72121
9.6875e-05,5.65116
0.0001,5.58471
0.000103125,5.52159
0.00010625,5.46153
0.000109375,5.40433
0.0001125,5.34976
0.000115625,5.29765
0.00011875,5.24782
0.000121875,5.20013
0.000125,5.15443
0.000128125,5.11061
0.00013125,5.06854
0.000134375,5.02811
0.0001375,4.98924
0.00014375,4.91579
0.00015,4.84755
0.00015625,4.78397
0.0001625,4.72458
0.00016875,4.66897
0.000175,4.61679
0.00018125,4.56771
0.0001875,4.52148
0.00019375,4.47785
0.0002,4.43659
0.000209375,4.37875
0.00021875,4.32529
0.000228125,4.2757
0.0002375,4.22959
0.000246875,4.1866
0.00025625,4.14642
0.000265625,4.10878
0.000275,4.07346
0.000284375,4.04023
0.00029375,4.00893
0.000303125,3.97938
0.0003125,3.95145
0.000321875,3.92501
0.00033125,3.89993
0.000340625,3.87612
0.00035,3.85349
0.000359375,3.83195
0.00036875,3.81141
0.000378125,3.79182
0.0003875,3.77312
0.000396875,3.75523
0.00040625,3.73811
0.000425,3.70599
0.00044375,3.67642
0.0004625,3.64911
0.00048125,3.6238
0.0005,3.60029
0.000515625,3.58194
0.00053125,3.56461
0.000546875,3.54823
0.0005625,3.53271
0.000578125,3.51799
0.00059375,3.50401
0.000609375,3.49072
0.000625,3.47806
0.000640625,3.466
0.00065625,3.45448
0.000671875,3.44349
0.0006875,3.43297
0.00071875,3.41325
0.00075,3.39512
0.00078125,3.37839
0.0008125,3.3629
0.00084375,3.34852
0.000875,3.33514
0.00090625,3.32264
0.0009375,3.31096
0.00096875,3.3
0.001,3.2897
0.00103125,3.28001
0.0010625,3.27087
0.00109375,3.26224
0.001125,3.25407
0.00115625,3.24633
0.0011875,3.23898
0.00121875,3.232
0.00125,3.22535
0.00128125,3.21902
0.0013125,3.21298
0.00134375,3.20721
0.001375,3.2017
0.0014375,3.19136
0.0015,3.18186
0.0015625,3.17309
0.001625,3.16497
0.0016875,3.15743
0.00175,3.15041
0.0018125,3.14385
0.001875,3.13772
0.0019375,3.13197
0.002,3.12656
0.00209375,3.11903
0.0021875,3.11212
0.00228125,3.10576
0.002375,3.09987
0.00246875,3.09442
0.0025625,3.08935
0.00265625,3.08462
0.00275,3.0802
0.00284375,3.07605
0.0029375,3.07216
0.00303125,3.0685
0.003125,3.06505
0.00321875,3.06179
0.0033125,3.05871
0.00340625,3.05578
0.0035,3.05301
0.00359375,3.05037
0.0036875,3.04787
0.00378125,3.04547
0.003875,3.04319
0.00396875,3.04102
0.0040625,3.03893
0.00425,3.03503
0.0044375,3.03143
0.004625,3.02812
0.0048125,3.02504
0.005,3.02219
0.00515625,3.01996
0.0053125,3.01785
0.00546875,3.01586
0.005625,3.01397
0.00578125,3.01218
0.0059375,3.01048
0.00609375,3.00886
0.00625,3.00731
0.00640625,3.00584
0.0065625,3.00443
0.00671875,3.00308
0.006875,3.00179
0.0071875,2.99937
0.0075,2.99713
0.0078125,2.99507
0.008125,2.99315
0.0084375,2.99136
0.00875,2.98969
0.0090625,2.98813
0.009375,2.98667
0.0096875,2.98529
0.01,2.984
0.0103125,2.98278
0.010625,2.98162
0.0109375,2.98052
0.01125,2.97948
0.0115625,2.9785
0.011875,2.97756
0.0121875,2.97666
0.0125,2.97581
0.0128125,2.97499
0.013125,2.97421
0.0134375,2.97347
0.01375,2.97275
0.014375,2.97141
0.015,2.97017
0.015625,2.96902
0.01625,2.96795
0.016875,2.96695
0.0175,2.96602
0.018125,2.96514
0.01875,2.96432
0.019375,2.96355
0.02,2.96282
0.0206625,2.96209
0.021325,2.9614
0.0219875,2.96075
0.02265,2.96014
0.0233125,2.95956
0.023975,2.959
0.0246375,2.95847
0.0253,2.95797
0.0264578,2.95715
0.0276156,2.95638
0.0287734,2.95568
0.0299312,2.95502
0.0310891,2.95441
0.0322469,2.95383
0.0334047,2.95329
0.0345625,2.95279
0.0355273,2.95239
0.0364922,2.952
0.037457,2.95164
0.0384219,2.95129
0.0393867,2.95096
0.0403516,2.95064
0.0413164,2.95034
0.0422812,2.95005
0.0442109,2.9495
0.0461406,2.94899
0.0480703,2.94851
0.05,2.94807
0.0515625,2.94773
0.053125,2.94741
0.0546875,2.94711
0.05625,2.94682
0.0578125,2.94655
0.059375,2.94629
0.0609375,2.94604
0.0625,2.9458
0.0640625,2.94557
0.065625,2.94535
0.06875,2.94494
0.071875,2.94455
0.075,2.9442
0.078125,2.94387
0.08125,2.94356
0.084375,2.94327
0.0875,2.943
0.090625,2.94275
0.09375,2.94251
0.096875,2.94229
0.1,2.94207
0.103125,2.94187
0.10625,2.94168
0.109375,2.94149
0.1125,2.94132
0.115625,2.94115
0.11875,2.94099
0.125,2.9407
0.13125,2.94042
0.1375,2.94017
0.14375,2.93994
0.15,2.93972
