E_eV,Sig_b
1e-05,616.496
1.03125e-05,607.092
1.0625e-05,598.107
1.09375e-05,589.509
1.125e-05,581.272
1.15625e-05,573.372
1.1875e-05,565.786
1.21875e-05,558.493
1.25e-05,551.476
1.28125e-05,544.717
1.3125e-05,538.202
1.34375e-05,531.914
1.375e-05,525.843
1.4375e-05,514.3
1.5e-05,503.486
1.5625e-05,493.328
1.625e-05,483.762
1.6875e-05,474.733
1.75e-05,466.193
1.8125e-05,458.098
1.875e-05,450.411
1.9375e-05,443.1
2e-05,436.135
2.09375e-05,426.277
2.1875e-05,417.061
2.28125e-05,408.42
2.375e-05,400.295
2.46875e-05,392.638
2.5625e-05,385.406
2.65625e-05,378.56
2.75e-05,372.068
2.84375e-05,365.899
2.9375e-05,360.029
3.03125e-05,354.433
3.125e-05,349.092
3.21875e-05,343.985
3.3125e-05,339.097
3.40625e-05,334.413
3.5e-05,329.918
3.59375e-05,325.601
3.6875e-05,321.449
3.78125e-05,317.453
3.875e-05,313.603
3.96875e-05,309.89
4.0625e-05,306.307
4.25e-05,299.5
4.4375e-05,293.129
4.625e-05,287.151
4.8125e-05,281.526
5e-05,276.22
5.15625e-05,272.022
5.3125e-05,268.011
5.46875e-05,264.174
5.625e-05,260.497
5.78125e-05,256.971
5.9375e-05,253.586
6.09375e-05,250.331
6.25e-05,247.2
6.40625e-05,244.184
6.5625e-05,241.276
6.71875e-05,238.471
6.875e-05,235.762
7.1875e-05,230.613
7.5e-05,225.789
7.8125e-05,221.258
8.125e-05,216.991
8.4375e-05,212.965
8.75e-05,209.156
9.0625e-05,205.547
9.375e-05,202.12
9.6875e-05,198.861
0.0001,195.756
0.000103125,192.794
0.00010625,189.963
0.000109375,187.255
0.0001125,184.661
0.000115625,182.174
0.00011875,179.785
0.000121875,177.489
0.000125,175.28
0.000128125,173.152
0.00013125,171.102
0.000134375,169.123
0.0001375,167.212
0.00014375,163.58
0.00015,160.178
0.00015625,156.983
0.0001625,153.975
0.00016875,151.136
0.000175,148.451
0.00018125,145.907
0.0001875,143.492
0.00019375,141.194
0.0002,139.006
0.000209375,135.91
0.00021875,133.016
0.000228125,130.303
0.0002375,127.752
0.000246875,125.35
0.00025625,123.08
0.000265625,120.933
0.000275,118.897
0.000284375,116.962
0.00029375,115.122
0.000303125,113.368
0.0003125,111.694
0.000321875,110.094
0.00033125,108.562
0.000340625,107.095
0.00035,105.687
0.000359375,104.335
0.00036875,103.036
0.000378125,101.785
0.0003875,100.58
0.000396875,99.4177
0.00040625,98.2964
0.000425,96.1669
0.00044375,94.1745
0.0004625,92.3052
0.00048125,90.5467
0.0005,88.8886
0.000515625,87.5769
0.00053125,86.3238
0.000546875,85.1251
0.0005625,83.977
0.000578125,82.8759
0.00059375,81.8189
0.000609375,80.803
0.000625,79.8256
0.000640625,78.8844
0.00065625,77.9771
0.000671875,77.1019
0.0006875,76.2569
0.00071875,74.6507
0.00075,73.1464
0.00078125,71.7338
0.0008125,70.4039
0.00084375,69.149
0.000875,67.9623
0.00090625,66.8378
0.0009375,65.7703
0.00096875,64.7551
0.001,63.7881
0.00103125,62.8657
0.0010625,61.9844
0.00109375,61.1414
0.001125,60.3339
0.00115625,59.5596
0.0011875,58.8161
0.00121875,58.1016
0.00125,57.4141
0.00128125,56.7521
0.0013125,56.114
0.00134375,55.4984
0.001375,54.904
0.0014375,53.7741
0.0015,52.7159
0.0015625,51.7222
0.001625,50.7866
0.0016875,49.9037
0.00175,49.0687
0.0018125,48.2775
0.001875,47.5264
0.0019375,46.812
0.002,46.1316
0.00209375,45.1689
0.0021875,44.269
0.00228125,43.4255
0.002375,42.6326
0.00246875,41.8855
0.0025625,41.1799
0.00265625,40.5122
0.00275,39.8791
0.00284375,39.2777
0.0029375,38.7055
0.00303125,38.1601
0.003125,37.6396
0.00321875,37.1421
0.0033125,36.6659
0.00340625,36.2096
0.0035,35.7719
0.00359375,35.3515
0.0036875,34.9473
0.00378125,34.5583
0.003875,34.1835
0.00396875,33.8222
0.0040625,33.4735
0.00425,32.8113
0.0044375,32.1917
0.004625,31.6103
0.0048125,31.0634
0.005,30.5477
0.00515625,30.1397
0.0053125,29.75
0.00546875,29.3772
0.005625,29.0201
0.00578125,28.6776
0.0059375,28.3488
0.00609375,28.0329
0.00625,27.7289
0.00640625,27.4362
0.0065625,27.154
0.00671875,26.8818
0.006875,26.619
0.0071875,26.1195
0.0075,25.6517
0.0078125,25.2124
0.008125,24.7989
0.0084375,24.4087
0.00875,24.0397
0.0090625,23.6902
0.009375,23.3583
0.0096875,23.0428
0.01,22.7423
0.0103125,22.4557
0.010625,22.1819
0.0109375,21.92
0.01125,21.6692
0.0115625,21.4288
0.011875,21.198
0.0121875,20.9762
0.0125,20.7628
0.0128125,20.5574
0.013125,20.3594
0.01375,19.984
0.014375,19.6337
0.015,19.3056
0.015625,18.9977
0.01625,18.7078
0.016875,18.4344
0.0175,18.1759
0.018125,17.9311
0.01875,17.6987
0.019375,17.4779
0.02,17.2676
0.0206625,17.0553
0.021325,16.8532
0.0219875,16.6604
0.02265,16.4763
0.0233125,16.3002
0.023975,16.1315
0.0246375,15.9698
0.0253,15.8147
0.0264578,15.5579
0.0276156,15.3177
0.0287734,15.0925
0.0299312,14.8807
0.0310891,14.6812
0.0322469,14.4927
0.0334047,14.3144
0.0345625,14.1453
0.0355273,14.0109
0.0364922,13.8819
0.037457,13.7581
0.0384219,13.6391
0.0393867,13.5247
0.0403516,13.4144
0.0422812,13.2057
0.0442109,13.0112
0.0461406,12.8294
0.0480703,12.6591
0.05,12.4991
0.0515625,12.3764
0.053125,12.2594
0.0546875,12.1477
0.05625,12.0408
0.0578125,11.9385
0.059375,11.8405
0.0609375,11.7465
0.0625,11.6562
0.0640625,11.5694
0.065625,11.4859
0.06875,11.3279
0.071875,11.1809
0.075,11.0437
0.078125,10.9154
0.08125,10.795
0.084375,10.6818
0.0875,10.5752
0.090625,10.4746
0.09375,10.3795
0.096875,10.2895
0.1,10.2042
0.103125,10.1231
0.10625,10.046
0.109375,9.9726
0.1125,9.90265
0.115625,9.83591
0.11875,9.77218
0.121875,9.71127
0.125,9.65298
0.13125,9.54359
0.1375,9.44282
0.14375,9.34974
0.15,9.2636
0.15625,9.1837
0.1625,9.10946
0.16875,9.04036
0.175,8.97592
0.18125,8.91577
0.1875,8.85956
0.19375,8.807
0.2,8.75779
0.209375,8.68967
0.21875,8.62773
0.228125,8.57137
0.2375,8.52009
0.246875,8.47345
0.25625,8.43105
0.265625,8.39255
0.275,8.35764
0.284375,8.32606
0.29375,8.29757
0.303125,8.27198
0.3125,8.24909
0.321875,8.22875
0.33125,8.21081
0.340625,8.19514
0.35,8.18163
0.364063,8.16519
0.378125,8.15314
0.389844,8.14628
0.401563,8.14208
0.413281,8.14038
0.425,8.14112
0.44375,8.14725
0.4625,8.15925
0.5,8.20041
0.53125,8.25125
0.5625,8.31644
0.59375,8.39641
0.625,8.4915
0.65625,8.60228
0.6875,8.72959
0.71875,8.87454
0.75,9.03851
0.78125,9.22321
0.8125,9.4307
0.84375,9.66345
0.875,9.92443
0.90625,10.2172
0.9375,10.5459
0.96875,10.9157
1,11.3319
1.02972,11.7782
1.05945,12.2824
1.08917,12.8533
1.10403,13.1672
1.11889,13.5023
1.13375,13.8605
1.14861,14.2438
1.16348,14.6546
1.17834,15.0951
1.1932,15.5682
1.20806,16.0769
1.22292,16.6253
1.23778,17.2182
1.25413,17.928
1.27048,18.7051
1.28682,19.5578
1.30317,20.4959
1.31952,21.5314
1.33587,22.678
1.35221,23.9521
1.36856,25.3736
1.38417,26.8897
1.39977,28.5862
1.40757,29.5114
1.41538,30.4933
1.42318,31.5367
1.43098,32.6469
1.43878,33.8299
1.44658,35.0917
1.45439,36.4397
1.46219,37.8819
1.46999,39.4275
1.47779,41.0864
1.48559,42.8705
1.4934,44.7929
1.50157,46.9717
1.50975,49.3385
1.51792,51.9157
1.52609,54.7286
1.53427,57.8079
1.54244,61.1875
1.55061,64.9088
1.55879,69.0188
1.56696,73.5748
1.57513,78.6438
1.57922,81.3952
1.58331,84.3063
1.58739,87.3896
1.59148,90.6591
1.59557,94.1302
1.59966,97.8199
1.60374,101.747
1.60783,105.932
1.61192,110.399
1.616,115.174
1.62009,120.285
1.62418,125.763
1.63012,134.468
1.63607,144.161
1.63904,149.427
1.64201,154.998
1.64498,160.902
1.64796,167.164
1.65093,173.815
1.6539,180.884
1.65687,188.408
1.65984,196.425
1.66282,204.982
1.66579,214.118
1.66876,223.887
1.67173,234.347
1.67545,248.49
1.67916,263.936
1.68288,280.837
1.68659,299.356
1.69031,319.678
1.69403,341.987
1.69774,366.498
1.70145,393.434
1.7035,409.373
1.70554,426.147
1.70759,443.812
1.70963,462.391
1.71167,481.94
1.71372,502.478
1.71576,524.06
1.7178,546.699
1.71985,570.448
1.72189,595.309
1.72393,621.329
1.72598,648.499
1.72802,676.856
1.73006,706.376
1.73211,737.068
1.73415,768.916
1.73694,814.185
1.73972,861.452
1.74251,910.615
1.7453,961.462
1.74808,1013.8
1.75087,1067.33
1.75366,1121.75
1.75644,1176.66
1.76061,1258.89
1.76478,1339.75
1.76895,1417.53
1.77312,1490.43
