E_eV,Sig_b
1e-05,2926.42
1.03125e-05,2881.77
1.0625e-05,2839.11
1.09375e-05,2798.29
1.125e-05,2759.19
1.15625e-05,2721.68
1.1875e-05,2685.66
1.21875e-05,2651.04
1.25e-05,2617.72
1.28125e-05,2585.63
1.3125e-05,2554.69
1.34375e-05,2524.84
1.375e-05,2496.02
1.4375e-05,2441.21
1.5e-05,2389.87
1.5625e-05,2341.64
1.625e-05,2296.22
1.6875e-05,2253.35
1.75e-05,2212.8
1.8125e-05,2174.37
1.875e-05,2137.87
1.9375e-05,2103.16
2e-05,2070.08
2.09375e-05,2023.28
2.1875e-05,1979.52
2.28125e-05,1938.49
2.375e-05,1899.91
2.46875e-05,1863.55
2.5625e-05,1829.21
2.65625e-05,1796.7
2.75e-05,1765.87
2.84375e-05,1736.58
2.9375e-05,1708.71
3.03125e-05,1682.14
3.125e-05,1656.77
3.21875e-05,1632.52
3.3125e-05,1609.31
3.40625e-05,1587.07
3.5e-05,1565.72
3.59375e-05,1545.22
3.6875e-05,1525.5
3.78125e-05,1506.53
3.875e-05,1488.24
3.96875e-05,1470.61
4.0625e-05,1453.59
4.25e-05,1421.27
4.4375e-05,1391.01
4.625e-05,1362.62
4.8125e-05,1335.9
5e-05,1310.71
5.15625e-05,1290.77
5.3125e-05,1271.72
5.46875e-05,1253.49
5.625e-05,1236.03
5.78125e-05,1219.28
5.9375e-05,1203.2
6.09375e-05,1187.74
6.25e-05,1172.87
6.40625e-05,1158.54
6.5625e-05,1144.73
6.71875e-05,1131.41
6.875e-05,1118.54
7.1875e-05,1094.08
7.5e-05,1071.16
7.8125e-05,1049.64
8.125e-05,1029.37
8.4375e-05,1010.24
8.75e-05,992.146
9.0625e-05,974.998
9.375e-05,958.716
9.6875e-05,943.23
0.0001,928.477
0.000103125,914.401
0.00010625,900.952
0.000109375,888.084
0.0001125,875.758
0.000115625,863.936
0.00011875,852.584
0.000121875,841.673
0.000125,831.174
0.000128125,821.063
0.00013125,811.316
0.000134375,801.912
0.0001375,792.831
0.00014375,775.567
0.00015,759.396
0.00015625,744.208
0.0001625,729.908
0.00016875,716.411
0.000175,703.645
0.00018125,691.548
0.0001875,680.062
0.00019375,669.138
0.0002,658.732
0.000209375,644.007
0.00021875,630.242
0.000228125,617.337
0.0002375,605.206
0.000246875,593.775
0.00025625,582.98
0.000265625,572.762
0.000275,563.073
0.000284375,553.869
0.00029375,545.111
0.000303125,536.763
0.0003125,528.795
0.000321875,521.179
0.00033125,513.89
0.000340625,506.904
0.00035,500.203
0.000359375,493.766
0.00036875,487.577
0.000378125,481.62
0.0003875,475.881
0.000396875,470.348
0.00040625,465.008
0.000425,454.865
0.00044375,445.374
0.0004625,436.469
0.00048125,428.09
0.0005,420.189
0.000515625,413.938
0.00053125,407.965
0.000546875,402.252
0.0005625,396.778
0.000578125,391.529
0.00059375,386.49
0.000609375,381.646
0.000625,376.985
0.000640625,372.497
0.00065625,368.17
0.000671875,363.995
0.0006875,359.965
0.00071875,352.302
0.00075,345.125
0.00078125,338.385
0.0008125,332.038
0.00084375,326.048
0.000875,320.384
0.00090625,315.015
0.0009375,309.918
0.00096875,305.071
0.001,300.453
0.00103125,296.047
0.0010625,291.837
0.00109375,287.81
0.001125,283.953
0.00115625,280.253
0.0011875,276.7
0.00121875,273.286
0.00125,270
0.00128125,266.836
0.0013125,263.786
0.00134375,260.843
0.001375,258.001
0.0014375,252.599
0.0015,247.539
0.0015625,242.786
0.001625,238.311
0.0016875,234.087
0.00175,230.092
0.0018125,226.306
0.001875,222.712
0.0019375,219.293
0.002,216.036
0.00209375,211.427
0.0021875,207.118
0.00228125,203.078
0.002375,199.281
0.00246875,195.702
0.0025625,192.322
0.00265625,189.122
0.00275,186.088
0.00284375,183.206
0.0029375,180.463
0.00303125,177.848
0.003125,175.353
0.00321875,172.967
0.0033125,170.683
0.00340625,168.495
0.0035,166.395
0.00359375,164.378
0.0036875,162.439
0.00378125,160.573
0.003875,158.774
0.00396875,157.04
0.0040625,155.366
0.00425,152.187
0.0044375,149.212
0.004625,146.42
0.0048125,143.793
0.005,141.315
0.00515625,139.354
0.0053125,137.481
0.00546875,135.689
0.005625,133.972
0.00578125,132.326
0.0059375,130.745
0.00609375,129.225
0.00625,127.762
0.00640625,126.354
0.0065625,124.996
0.00671875,123.686
0.006875,122.421
0.0071875,120.016
0.0075,117.763
0.0078125,115.647
0.008125,113.654
0.0084375,111.773
0.00875,109.994
0.0090625,108.308
0.009375,106.707
0.0096875,105.185
0.01,103.734
0.0103125,102.35
0.010625,101.027
0.0109375,99.762
0.01125,98.55
0.0115625,97.3875
0.011875,96.2714
0.0121875,95.1986
0.0125,94.1663
0.0128125,93.1722
0.013125,92.2138
0.0134375,91.2891
0.01375,90.3962
0.014375,88.6986
0.015,87.1084
0.015625,85.6146
0.01625,84.2079
0.016875,82.8802
0.0175,81.6243
0.018125,80.434
0.01875,79.3038
0.019375,78.2289
0.02,77.2048
0.0206625,76.1706
0.021325,75.185
0.0219875,74.2444
0.02265,73.3455
0.0233125,72.4853
0.023975,71.6611
0.0246375,70.8704
0.0253,70.1111
0.0264578,68.8534
0.0276156,67.6759
0.0287734,66.5705
0.0299312,65.5301
0.0310891,64.5486
0.0322469,63.6207
0.0334047,62.7416
0.0345625,61.9071
0.0355273,61.2431
0.0364922,60.6055
0.037457,59.9928
0.0384219,59.4033
0.0393867,58.8356
0.0403516,58.2884
0.0413164,57.7605
0.0422812,57.2508
0.0442109,56.2822
0.0461406,55.3751
0.0480703,54.5235
0.05,53.7218
0.0515625,53.1061
0.053125,52.5178
0.0546875,51.955
0.05625,51.416
0.0578125,50.899
0.059375,50.4027
0.0609375,49.9258
0.0625,49.467
0.0640625,49.0252
0.065625,48.5995
0.0671875,48.1888
0.06875,47.7923
0.071875,47.0385
0.075,46.3323
0.078125,45.6689
0.08125,45.0442
0.084375,44.4547
0.0875,43.8973
0.090625,43.3692
0.09375,42.8678
0.096875,42.3911
0.1,41.9371
0.103125,41.504
0.10625,41.0904
0.109375,40.6947
0.1125,40.3158
0.115625,39.9525
0.11875,39.6038
0.121875,39.2688
0.125,38.9467
0.128125,38.6367
0.13125,38.3379
0.1375,37.7716
0.14375,37.2425
0.15,36.747
0.15625,36.2819
0.1625,35.8442
0.16875,35.4315
0.175,35.0414
0.18125,34.672
0.1875,34.3216
0.19375,33.9888
0.2,33.6722
0.209375,33.2246
0.21875,32.8064
0.228125,32.4148
0.2375,32.0472
0.246875,31.7013
0.25625,31.3752
0.265625,31.0671
0.275,30.7755
0.284375,30.499
0.29375,30.2364
0.303125,29.9866
0.3125,29.7487
0.321875,29.5218
0.33125,29.3052
0.340625,29.0981
0.35,28.9
0.359375,28.7101
0.36875,28.5282
0.378125,28.3538
0.3875,28.1865
0.40625,27.8707
0.425,27.5775
0.44375,27.3052
0.4625,27.0516
0.5,26.5953
0.53125,26.259
0.5625,25.9562
0.59375,25.6836
0.625,25.4381
0.6875,25.0171
0.75,24.6762
0.8125,24.4036
0.875,24.1924
0.9375,24.0354
1,23.9278
1.0625,23.8689
1.125,23.858
1.1875,23.8954
1.25,23.9829
1.3125,24.1233
1.375,24.3206
1.4375,24.5805
1.5,24.9103
1.5625,25.3193
1.625,25.8194
1.6875,26.4217
1.71875,26.7672
1.75,27.1492
1.78125,27.5691
1.8125,28.0303
1.84375,28.537
1.875,29.094
1.90625,29.7071
1.9375,30.3827
1.96875,31.1281
2,31.952
2.03679,33.0366
2.07358,34.2643
2.11037,35.6589
2.12876,36.4276
2.14716,37.2495
2.16555,38.1294
2.18395,39.0723
2.20234,40.0843
2.22073,41.1713
2.23913,42.3402
2.25752,43.5986
2.27592,44.9573
2.29431,46.4281
2.31455,48.1912
2.33478,50.1241
2.35502,52.2477
2.37525,54.5872
2.39548,57.1724
2.41572,60.0382
2.43595,63.2266
2.45619,66.7871
2.46906,69.2739
2.48194,71.9531
2.49481,74.8453
2.50769,77.9737
2.52057,81.3644
2.53344,85.0473
2.54632,89.0567
2.55919,93.4318
2.57207,98.2183
2.58495,103.468
2.59782,109.245
2.6107,115.623
2.62358,122.691
2.63645,130.552
2.64933,139.329
2.65577,144.106
2.6622,149.17
2.67232,157.765
2.68244,167.229
2.69256,177.686
2.70267,189.279
2.71279,202.178
2.71785,209.181
2.72291,216.588
2.72797,224.436
2.73302,232.756
2.73808,241.591
2.74314,250.98
2.74774,260.039
2.75234,269.636
2.75694,279.815
2.76153,290.621
2.76613,302.113
2.77073,314.343
2.77533,327.382
2.77993,341.296
2.78453,356.173
2.78913,372.099
2.79373,389.175
2.79832,407.51
2.80292,427.237
2.80752,448.489
2.81212,471.435
2.81672,496.246
2.82178,525.945
2.82683,558.449
2.83189,594.121
2.83695,633.34
2.84201,676.574
2.84707,724.313
2.85213,777.151
2.85719,835.706
2.86225,900.713
2.86477,935.864
2.8673,972.92
2.86983,1012
2.87236,1053.19
2.87489,1096.61
2.87742,1142.37
2.87995,1190.61
2.88248,1241.4
2.88501,1294.87
2.88754,1351.12
2.89007,1410.29
2.8926,1472.42
2.89513,1537.62
2.89765,1605.96
2.90271,1752.33
2.90777,1911.76
2.91283,2084.22
2.91789,2269.11
2.92295,2465.47
2.92801,2671.55
2.93306,2885.1
2.93812,3103.06
2.94733,3498.76
2.95193,3689.34
2.95653,3870.18
2.96113,4037.45
2.96573,4187.36
2.97034,4316.35
2.97494,4421.21
2.9787,4487.16
2.98247,4533.96
2.98623,4560.8
2.99,4567.2
2.99301,4557.52
2.99602,4534.82
3.00092,4470.89
3.00582,4375.3
3.01071,4250.9
3.01561,4101.3
3.0205,3930.58
3.0254,3743.24
3.03029,3543.8
3.03519,3336.71
3.04552,2892.84
3.05069,2675.65
3.05585,2466.01
3.06102,2266.3
3.06619,2078.33
3.07135,1903.14
3.07652,1741.28
3.07915,1663.89
3.08179,1590
3.08442,1519.52
3.08705,1452.38
3.08969,1388.48
3.09232,1327.77
3.09496,1270.12
3.09759,1215.42
3.10023,1163.53
3.10286,1114.37
3.10549,1067.8
3.10813,1023.69
3.11076,981.907
3.1134,942.359
3.11603,904.913
3.11867,869.455
3.1213,835.861
3.12394,804.05
3.12657,773.908
3.1292,745.337
3.13447,692.536
3.13974,644.985
3.14501,602.058
3.15028,563.235
3.15555,528.035
3.16081,496.044
3.16464,474.58
3.16848,454.498
3.17231,435.685
3.17614,418.042
3.17997,401.47
3.1838,385.892
3.18764,371.224
3.19147,357.405
3.1953,344.365
3.19913,332.048
3.20296,320.405
3.20679,309.388
3.21446,289.054
3.22212,270.739
3.22739,259.182
3.23266,248.384
3.23793,238.28
3.24319,228.814
3.24846,219.931
3.25373,211.585
3.259,203.733
3.26427,196.338
3.26954,189.363
3.2748,182.78
3.28007,176.558
3.28534,170.672
3.29588,159.814
3.30642,150.039
3.31695,141.209
3.32749,133.205
3.33803,125.928
3.34856,119.291
3.3591,113.223
3.36964,107.66
3.38018,102.549
3.39071,97.84
3.40029,93.8742
3.40987,90.1802
3.41945,86.7331
3.42903,83.5111
3.43861,80.4948
3.44819,77.6669
3.45777,75.0119
3.46734,72.5162
3.47692,70.1671
3.4865,67.9537
3.49608,65.8655
3.50566,63.8936
3.51524,62.0293
3.52482,60.2651
3.54398,57.009
3.55451,55.3587
3.56505,53.7989
3.58613,50.9251
3.6072,48.342
3.62827,46.0117
3.64935,43.902
3.67042,41.9857
3.69149,40.2399
3.71257,38.6448
3.7279,37.5696
3.74322,36.5595
3.75855,35.6094
3.77388,34.7149
3.7892,33.8715
3.80453,33.0753
3.83518,31.61
3.86584,30.2934
3.89649,29.1059
3.92714,28.0316
3.95779,27.0566
3.97887,26.4374
3.99994,25.856
4.02102,25.3093
4.04209,24.7945
4.06316,24.3091
4.08424,23.8509
4.12639,23.0079
4.16854,22.2512
4.21068,21.5691
4.25283,20.9518
4.29498,20.3909
4.32372,20.0372
4.35245,19.7046
4.38119,19.3913
4.40993,19.0958
4.4674,18.553
4.52488,18.0674
4.58235,17.6288
4.63983,17.2306
4.6973,16.8683
4.75477,16.5374
4.81608,16.2146
4.87739,15.9192
4.93869,15.6477
5,15.3977
5.05371,15.194
5.10742,15.0028
5.16113,14.8233
5.21484,14.6542
5.26856,14.4948
5.32227,14.3441
5.42969,14.0659
5.53711,13.8145
5.64453,13.5857
5.75195,13.3763
5.85938,13.1835
5.95703,13.0207
6.05469,12.8685
6.15234,12.7265
6.25,12.5914
6.40625,12.3904
6.5625,12.2053
6.71875,12.0338
6.875,11.8739
7.03125,11.7241
7.1875,11.583
7.34375,11.4497
7.5,11.3233
7.65625,11.2029
7.8125,11.088
7.96875,10.978
8.125,10.8727
