E_eV,Sig_b
1e-05,683.93
1.03125e-05,673.491
1.0625e-05,663.516
1.09375e-05,653.973
1.125e-05,644.829
1.15625e-05,636.059
1.1875e-05,627.637
1.21875e-05,619.541
1.25e-05,611.751
1.28125e-05,604.248
1.3125e-05,597.014
1.34375e-05,590.035
1.375e-05,583.294
1.4375e-05,570.479
1.5e-05,558.473
1.5625e-05,547.196
1.625e-05,536.575
1.6875e-05,526.55
1.75e-05,517.068
1.8125e-05,508.08
1.875e-05,499.545
1.9375e-05,491.427
2e-05,483.693
2.09375e-05,472.747
2.1875e-05,462.513
2.28125e-05,452.917
2.375e-05,443.895
2.46875e-05,435.392
2.5625e-05,427.36
2.65625e-05,419.757
2.75e-05,412.546
2.84375e-05,405.696
2.9375e-05,399.176
3.03125e-05,392.96
3.125e-05,387.027
3.21875e-05,381.355
3.3125e-05,375.926
3.40625e-05,370.722
3.5e-05,365.729
3.59375e-05,360.933
3.6875e-05,356.321
3.78125e-05,351.881
3.875e-05,347.604
3.96875e-05,343.479
4.0625e-05,339.498
4.25e-05,331.935
4.4375e-05,324.857
4.625e-05,318.214
4.8125e-05,311.963
5e-05,306.067
5.15625e-05,301.402
5.3125e-05,296.944
5.46875e-05,292.679
5.625e-05,288.593
5.78125e-05,284.673
5.9375e-05,280.91
6.09375e-05,277.292
6.25e-05,273.811
6.40625e-05,270.459
6.5625e-05,267.226
6.71875e-05,264.107
6.875e-05,261.096
7.1875e-05,255.37
7.5e-05,250.006
7.8125e-05,244.967
8.125e-05,240.222
8.4375e-05,235.744
8.75e-05,231.508
9.0625e-05,227.493
9.375e-05,223.68
9.6875e-05,220.054
0.0001,216.599
0.000103125,213.303
0.00010625,210.154
0.000109375,207.14
0.0001125,204.253
0.000115625,201.484
0.00011875,198.826
0.000121875,196.27
0.000125,193.81
0.000128125,191.442
0.00013125,189.159
0.000134375,186.955
0.0001375,184.828
0.00014375,180.783
0.00015,176.995
0.00015625,173.436
0.0001625,170.085
0.00016875,166.922
0.000175,163.93
0.00018125,161.094
0.0001875,158.402
0.00019375,155.842
0.0002,153.402
0.000209375,149.95
0.00021875,146.723
0.000228125,143.697
0.0002375,140.853
0.000246875,138.172
0.00025625,135.641
0.000265625,133.244
0.000275,130.972
0.000284375,128.813
0.00029375,126.759
0.000303125,124.801
0.0003125,122.932
0.000321875,121.145
0.00033125,119.435
0.000340625,117.796
0.00035,116.224
0.000359375,114.714
0.00036875,113.262
0.000378125,111.864
0.0003875,110.517
0.000396875,109.219
0.00040625,107.966
0.000425,105.586
0.00044375,103.359
0.0004625,101.269
0.00048125,99.3024
0.0005,97.4481
0.000515625,95.981
0.00053125,94.5793
0.000546875,93.2383
0.0005625,91.9538
0.000578125,90.7219
0.00059375,89.539
0.000609375,88.4021
0.000625,87.3083
0.000640625,86.2549
0.00065625,85.2394
0.000671875,84.2597
0.0006875,83.3137
0.00071875,81.5154
0.00075,79.8311
0.00078125,78.2492
0.0008125,76.7598
0.00084375,75.3543
0.000875,74.025
0.00090625,72.7653
0.0009375,71.5694
0.00096875,70.432
0.001,69.3485
0.00103125,68.3149
0.0010625,67.3273
0.00109375,66.3826
0.001125,65.4776
0.00115625,64.6097
0.0011875,63.7764
0.00121875,62.9755
0.00125,62.205
0.00128125,61.4629
0.0013125,60.7475
0.00134375,60.0574
0.001375,59.391
0.0014375,58.1242
0.0015,56.9377
0.0015625,55.8234
0.001625,54.7742
0.0016875,53.7841
0.00175,52.8477
0.0018125,51.9603
0.001875,51.1178
0.0019375,50.3166
0.002,49.5533
0.00209375,48.4733
0.0021875,47.4637
0.00228125,46.5172
0.002375,45.6276
0.00246875,44.7892
0.0025625,43.9974
0.00265625,43.248
0.00275,42.5374
0.00284375,41.8623
0.0029375,41.2199
0.00303125,40.6076
0.003125,40.0232
0.00321875,39.4645
0.0033125,38.9298
0.00340625,38.4174
0.0035,37.9258
0.00359375,37.4536
0.0036875,36.9995
0.00378125,36.5625
0.003875,36.1415
0.00396875,35.7355
0.0040625,35.3437
0.00425,34.5994
0.0044375,33.903
0.004625,33.2494
0.0048125,32.6345
0.005,32.0546
0.00515625,31.5957
0.0053125,31.1573
0.00546875,30.7379
0.005625,30.3361
0.00578125,29.9507
0.0059375,29.5807
0.00609375,29.225
0.00625,28.8828
0.00640625,28.5532
0.0065625,28.2355
0.00671875,27.9289
0.006875,27.6328
0.0071875,27.0701
0.0075,26.5429
0.0078125,26.0477
0.008125,25.5814
0.0084375,25.1413
0.00875,24.7251
0.0090625,24.3306
0.009375,23.956
0.0096875,23.5998
0.01,23.2604
0.0103125,22.9365
0.010625,22.6271
0.0109375,22.3311
0.01125,22.0475
0.0115625,21.7755
0.011875,21.5143
0.0121875,21.2633
0.0125,21.0217
0.0128125,20.789
0.013125,20.5648
0.0134375,20.3484
0.01375,20.1394
0.014375,19.7421
0.015,19.3699
0.015625,19.0203
0.01625,18.6911
0.016875,18.3804
0.0175,18.0865
0.018125,17.808
0.01875,17.5435
0.019375,17.2919
0.02,17.0522
0.0206625,16.8101
0.021325,16.5794
0.0219875,16.3593
0.02265,16.1488
0.0233125,15.9475
0.023975,15.7545
0.0246375,15.5694
0.0253,15.3916
0.0264578,15.0971
0.0276156,14.8214
0.0287734,14.5625
0.0299312,14.3188
0.0310891,14.0889
0.0322469,13.8715
0.0334047,13.6655
0.0345625,13.4699
0.0355273,13.3143
0.0364922,13.1649
0.037457,13.0213
