E_eV,Sig_b
1e-05,39.456
1.03125e-05,38.8662
1.0625e-05,38.3029
1.09375e-05,37.7641
1.125e-05,37.248
1.15625e-05,36.7532
1.1875e-05,36.2782
1.21875e-05,35.8217
1.25e-05,35.3826
1.28125e-05,34.9598
1.3125e-05,34.5523
1.34375e-05,34.1593
1.375e-05,33.7798
1.4375e-05,33.0587
1.5e-05,32.3836
1.5625e-05,31.7499
1.625e-05,31.1534
1.6875e-05,30.5908
1.75e-05,30.059
1.8125e-05,29.5552
1.875e-05,29.0771
1.9375e-05,28.6226
2e-05,28.19
2.09375e-05,27.5781
2.1875e-05,27.0066
2.28125e-05,26.4712
2.375e-05,25.9683
2.46875e-05,25.4948
2.5625e-05,25.0479
2.65625e-05,24.6254
2.75e-05,24.225
2.84375e-05,23.8449
2.9375e-05,23.4836
3.03125e-05,23.1394
3.125e-05,22.8112
3.21875e-05,22.4978
3.3125e-05,22.198
3.40625e-05,21.9109
3.5e-05,21.6358
3.59375e-05,21.3717
3.6875e-05,21.118
3.78125e-05,20.874
3.875e-05,20.6392
3.96875e-05,20.413
4.0625e-05,20.1948
4.25e-05,19.7809
4.4375e-05,19.3943
4.625e-05,19.0321
4.8125e-05,18.6919
5e-05,18.3717
5.15625e-05,18.1187
5.3125e-05,17.8773
5.46875e-05,17.6467
5.625e-05,17.4262
5.78125e-05,17.2149
5.9375e-05,17.0124
6.09375e-05,16.818
6.25e-05,16.6312
6.40625e-05,16.4516
6.5625e-05,16.2788
6.71875e-05,16.1122
6.875e-05,15.9516
7.1875e-05,15.6469
7.5e-05,15.3623
7.8125e-05,15.0958
8.125e-05,14.8456
8.4375e-05,14.6101
8.75e-05,14.388
9.0625e-05,14.1782
9.375e-05,13.9795
9.6875e-05,13.791
0.0001,13.612
0.000103125,13.4417
0.00010625,13.2795
0.000109375,13.1247
0.0001125,12.9768
0.000115625,12.8353
0.00011875,12.6999
0.000121875,12.5701
0.000125,12.4456
0.000128125,12.3259
0.00013125,12.2109
0.000134375,12.1003
0.0001375,11.9937
0.00014375,11.792
0.00015,11.604
0.00015625,11.4284
0.0001625,11.2639
0.00016875,11.1095
0.000175,10.9642
0.00018125,10.8273
0.0001875,10.6979
0.00019375,10.5755
0.0002,10.4595
0.000209375,10.2964
0.00021875,10.145
0.000228125,10.0041
0.0002375,9.87269
0.000246875,9.74972
0.00025625,9.6344
0.000265625,9.52604
0.000275,9.42399
0.000284375,9.32772
0.00029375,9.23673
0.000303125,9.15059
0.0003125,9.06892
0.000321875,8.99136
0.00033125,8.91761
0.000340625,8.8474
0.00035,8.78046
0.000359375,8.71657
0.00036875,8.65552
0.000378125,8.59712
0.0003875,8.54121
0.000396875,8.48761
0.00040625,8.4362
0.000425,8.33939
0.00044375,8.24984
0.0004625,8.16674
0.00048125,8.08943
0.0005,8.01729
0.000515625,7.96077
0.00053125,7.90723
0.000546875,7.85644
0.0005625,7.80819
0.000578125,7.76229
0.00059375,7.71857
0.000609375,7.67688
0.000625,7.63707
0.000640625,7.59903
0.00065625,7.56262
0.000671875,7.52775
0.0006875,7.49433
0.00071875,7.43144
0.00075,7.37334
0.00078125,7.31948
0.0008125,7.26941
0.00084375,7.22273
0.000875,7.17911
0.00090625,7.13825
0.0009375,7.09988
0.00096875,7.06378
0.001,7.02975
0.00103125,6.99761
0.0010625,6.9672
0.00109375,6.93839
0.001125,6.91104
0.00115625,6.88505
0.0011875,6.86031
0.00121875,6.83674
0.00125,6.81425
0.00128125,6.79276
0.0013125,6.7722
0.00134375,6.75252
0.001375,6.73366
0.0014375,6.69819
0.0015,6.66542
0.0015625,6.63505
0.001625,6.60681
0.0016875,6.58048
0.00175,6.55586
0.0018125,6.53279
0.001875,6.51112
0.0019375,6.49071
0.002,6.47146
0.00209375,6.44454
0.0021875,6.41971
0.00228125,6.39673
0.002375,6.37539
0.00246875,6.35551
0.0025625,6.33693
0.00265625,6.31954
0.00275,6.30321
0.00284375,6.28785
0.0029375,6.27337
0.00303125,6.25969
0.003125,6.24674
0.00321875,6.23447
0.0033125,6.22281
0.00340625,6.21173
0.0035,6.20118
0.00359375,6.19111
0.0036875,6.1815
0.00378125,6.17232
0.003875,6.16352
0.00396875,6.1551
0.0040625,6.14702
0.00425,6.13181
0.0044375,6.11773
0.004625,6.10466
0.0048125,6.09249
0.005,6.08113
0.00515625,6.07221
0.0053125,6.06376
0.00546875,6.05573
0.005625,6.04809
0.00578125,6.04081
0.0059375,6.03386
0.00609375,6.02723
0.00625,6.02088
0.00640625,6.01481
0.0065625,6.00899
0.00671875,6.0034
0.006875,5.99803
0.0071875,5.98791
0.0075,5.97852
0.0078125,5.96978
0.008125,5.96162
0.0084375,5.95398
0.00875,5.94682
0.0090625,5.94008
0.009375,5.93373
0.0096875,5.92773
0.01,5.92206
0.0103125,5.91668
0.010625,5.91157
0.0109375,5.90671
0.01125,5.90208
0.0115625,5.89766
0.011875,5.89344
0.0121875,5.88941
0.0125,5.88555
0.0128125,5.88185
0.013125,5.8783
0.0134375,5.87489
0.01375,5.87161
0.014375,5.86541
0.015,5.85966
0.015625,5.85429
0.01625,5.84927
0.016875,5.84457
0.0175,5.84015
0.018125,5.83598
0.01875,5.83205
0.019375,5.82833
0.02,5.82481
0.0206625,5.82127
0.021325,5.81792
0.0219875,5.81473
0.02265,5.8117
0.0233125,5.80882
0.023975,5.80607
0.0246375,5.80343
0.0253,5.80092
0.0264578,5.79678
0.0276156,5.79292
0.0287734,5.78933
0.0299312,5.78596
0.0310891,5.7828
0.0322469,5.77983
0.0334047,5.77703
0.0345625,5.77439
0.0355273,5.77229
0.0364922,5.77029
0.037457,5.76837
0.0384219,5.76653
0.0393867,5.76476
0.0403516,5.76306
0.0413164,5.76143
0.0422812,5.75986
0.0442109,5.75688
0.0461406,5.75411
0.0480703,5.75152
0.05,5.7491
0.0515625,5.74724
0.053125,5.74547
0.0546875,5.74379
0.05625,5.74218
0.0578125,5.74064
0.059375,5.73917
0.0609375,5.73776
0.0625,5.73641
0.0640625,5.73511
0.065625,5.73386
0.0671875,5.73265
0.06875,5.7315
0.071875,5.7293
0.075,5.72725
0.078125,5.72534
0.08125,5.72354
0.084375,5.72185
0.0875,5.72026
0.090625,5.71875
0.09375,5.71733
0.096875,5.71598
0.1,5.71469
0.103125,5.71347
0.10625,5.71231
0.109375,5.7112
0.1125,5.71014
0.115625,5.70913
0.11875,5.70815
0.121875,5.70722
0.125,5.70633
0.128125,5.70546
0.13125,5.70464
0.134375,5.70384
0.1375,5.70307
0.14375,5.70161
0.15,5.70025
0.15625,5.69898
