E_eV,Sig_b
1e-05,1318.72
1.03125e-05,1298.63
1.0625e-05,1279.44
1.09375e-05,1261.08
1.125e-05,1243.48
1.15625e-05,1226.61
1.1875e-05,1210.41
1.21875e-05,1194.83
1.25e-05,1179.85
1.28125e-05,1165.41
1.3125e-05,1151.5
1.34375e-05,1138.07
1.375e-05,1125.11
1.4375e-05,1100.46
1.5e-05,1077.36
1.5625e-05,1055.67
1.625e-05,1035.25
1.6875e-05,1015.97
1.75e-05,997.739
1.8125e-05,980.457
1.875e-05,964.048
1.9375e-05,948.441
2e-05,933.572
2.09375e-05,912.532
2.1875e-05,892.861
2.28125e-05,874.417
2.375e-05,857.078
2.46875e-05,840.739
2.5625e-05,825.306
2.65625e-05,810.698
2.75e-05,796.846
2.84375e-05,783.686
2.9375e-05,771.162
3.03125e-05,759.225
3.125e-05,747.831
3.21875e-05,736.939
3.3125e-05,726.513
3.40625e-05,716.522
3.5e-05,706.937
3.59375e-05,697.729
3.6875e-05,688.876
3.78125e-05,680.356
3.875e-05,672.147
3.96875e-05,664.231
4.0625e-05,656.592
4.25e-05,642.081
4.4375e-05,628.502
4.625e-05,615.76
4.8125e-05,603.772
5e-05,592.468
5.15625e-05,583.523
5.3125e-05,574.978
5.46875e-05,566.803
5.625e-05,558.972
5.78125e-05,551.461
5.9375e-05,544.251
6.09375e-05,537.32
6.25e-05,530.652
6.40625e-05,524.23
6.5625e-05,518.04
6.71875e-05,512.068
6.875e-05,506.302
7.1875e-05,495.341
7.5e-05,485.075
7.8125e-05,475.434
8.125e-05,466.357
8.4375e-05,457.792
8.75e-05,449.692
9.0625e-05,442.016
9.375e-05,434.73
9.6875e-05,427.8
0.0001,421.2
0.000103125,414.904
0.00010625,408.889
0.000109375,403.135
0.0001125,397.624
0.000115625,392.339
0.00011875,387.265
0.000121875,382.389
0.000125,377.698
0.000128125,373.18
0.00013125,368.826
0.000134375,364.626
0.0001375,360.57
0.00014375,352.862
0.00015,345.644
0.00015625,338.866
0.0001625,332.486
0.00016875,326.466
0.000175,320.773
0.00018125,315.38
0.0001875,310.26
0.00019375,305.392
0.0002,300.756
0.000209375,294.197
0.00021875,288.068
0.000228125,282.323
0.0002375,276.924
0.000246875,271.838
0.00025625,267.036
0.000265625,262.493
0.000275,258.185
0.000284375,254.094
0.00029375,250.202
0.000303125,246.493
0.0003125,242.954
0.000321875,239.572
0.00033125,236.335
0.000340625,233.234
0.00035,230.26
0.000359375,227.403
0.00036875,224.657
0.000378125,222.014
0.0003875,219.469
0.000396875,217.015
0.00040625,214.647
0.000425,210.151
0.00044375,205.945
0.0004625,201.998
0.00048125,198.287
0.0005,194.788
0.000515625,192.02
0.00053125,189.376
0.000546875,186.847
0.0005625,184.425
0.000578125,182.102
0.00059375,179.872
0.000609375,177.73
0.000625,175.668
0.000640625,173.683
0.00065625,171.77
0.000671875,169.924
0.0006875,168.142
0.00071875,164.756
0.00075,161.584
0.00078125,158.606
0.0008125,155.803
0.00084375,153.157
0.000875,150.656
0.00090625,148.285
0.0009375,146.035
0.00096875,143.896
0.001,141.858
0.00103125,139.914
0.0010625,138.056
0.00109375,136.28
0.001125,134.578
0.00115625,132.946
0.0011875,131.379
0.00121875,129.874
0.00125,128.425
0.00128125,127.03
0.0013125,125.685
0.00134375,124.388
0.001375,123.135
0.0014375,120.755
0.0015,118.525
0.0015625,116.431
0.001625,114.459
0.0016875,112.599
0.00175,110.839
0.0018125,109.172
0.001875,107.589
0.0019375,106.084
0.002,104.65
0.00209375,102.621
0.0021875,100.724
0.00228125,98.9465
0.002375,97.2753
0.00246875,95.7006
0.0025625,94.2134
0.00265625,92.8059
0.00275,91.4714
0.00284375,90.2036
0.0029375,88.9972
0.00303125,87.8474
0.003125,86.7499
0.00321875,85.7009
0.0033125,84.6969
0.00340625,83.7348
0.0035,82.8117
0.00359375,81.9252
0.0036875,81.0727
0.00378125,80.2523
0.003875,79.4619
0.00396875,78.6998
0.0040625,77.9643
0.00425,76.5671
0.0044375,75.2598
0.004625,74.033
0.0048125,72.8788
0.005,71.7904
0.00515625,70.9292
0.0053125,70.1064
0.00546875,69.3193
0.005625,68.5652
0.00578125,67.8421
0.0059375,67.1478
0.00609375,66.4804
0.00625,65.8383
0.00640625,65.2199
0.0065625,64.6237
0.00671875,64.0486
0.006875,63.4932
0.0071875,62.4374
0.0075,61.4485
0.0078125,60.5196
0.008125,59.645
0.0084375,58.8194
0.00875,58.0386
0.0090625,57.2986
0.009375,56.596
0.0096875,55.9278
0.01,55.2912
0.0103125,54.6839
0.010625,54.1036
0.0109375,53.5485
0.01125,53.0168
0.0115625,52.5068
0.011875,52.0172
0.0121875,51.5466
0.0125,51.0938
0.0128125,50.6578
0.013125,50.2374
0.0134375,49.8319
0.01375,49.4403
0.014375,48.6958
0.015,47.9984
0.015625,47.3434
0.01625,46.7265
0.016875,46.1443
0.0175,45.5936
0.018125,45.0716
0.01875,44.5761
0.019375,44.1048
0.02,43.6558
0.0206625,43.2024
0.021325,42.7703
0.0219875,42.358
0.02265,41.964
0.0233125,41.5869
0.023975,41.2256
0.0246375,40.879
0.0253,40.5462
0.0264578,39.995
0.0276156,39.4789
0.0287734,38.9944
0.0299312,38.5384
0.0310891,38.1083
0.0322469,37.7017
0.0334047,37.3165
0.0345625,36.9508
0.0355273,36.6598
0.0364922,36.3805
0.037457,36.112
0.0384219,35.8536
0.0393867,35.6048
0.0403516,35.365
0.0413164,35.1337
0.0422812,34.9104
0.0442109,34.4859
0.0461406,34.0885
0.0480703,33.7153
0.05,33.3641
0.0515625,33.0943
0.053125,32.8365
0.0546875,32.5899
0.05625,32.3537
0.0578125,32.1271
0.059375,31.9097
