E_eV,Sig_b
1e-05,105559
1.03125e-05,103947
1.0625e-05,102407
1.09375e-05,100934
1.125e-05,99522.2
1.15625e-05,98168.2
1.1875e-05,96867.9
1.21875e-05,95618
1.25e-05,94415.3
1.28125e-05,93256.8
1.3125e-05,92140
1.34375e-05,91062.3
1.375e-05,90021.6
1.4375e-05,88043
1.5e-05,86189.4
1.5625e-05,84448.1
1.625e-05,82808.2
1.6875e-05,81260.4
1.75e-05,79796.2
1.8125e-05,78408.4
1.875e-05,77090.6
1.9375e-05,75837.1
2e-05,74642.8
2.09375e-05,72952.7
2.1875e-05,71372.4
2.28125e-05,69890.6
2.375e-05,68497.4
2.46875e-05,67184.3
2.5625e-05,65944
2.65625e-05,64769.9
2.75e-05,63656.4
2.84375e-05,62598.5
2.9375e-05,61591.5
3.03125e-05,60631.7
3.125e-05,59715.4
3.21875e-05,58839.4
3.3125e-05,58000.9
3.40625e-05,57197.3
3.5e-05,56426.1
3.59375e-05,55685.3
3.6875e-05,54973
3.78125e-05,54287.3
3.875e-05,53626.7
3.96875e-05,52989.6
4.0625e-05,52374.7
4.25e-05,51206.5
4.4375e-05,50113.2
4.625e-05,49087
4.8125e-05,48121.4
5e-05,47210.6
5.15625e-05,46489.9
5.3125e-05,45801.3
5.46875e-05,45142.3
5.625e-05,44511.1
5.78125e-05,43905.5
5.9375e-05,43324.1
6.09375e-05,42765.2
6.25e-05,42227.3
6.40625e-05,41709.3
6.5625e-05,41209.8
6.71875e-05,40727.9
6.875e-05,40262.6
7.1875e-05,39377.7
7.5e-05,38548.8
7.8125e-05,37770.2
8.125e-05,37036.9
8.4375e-05,36344.7
8.75e-05,35689.9
9.0625e-05,35069.4
9.375e-05,34480.1
9.6875e-05,33919.5
0.0001,33385.5
0.000103125,32875.9
0.00010625,32389
0.000109375,31923.1
0.0001125,31476.7
0.000115625,31048.6
0.00011875,30637.4
0.000121875,30242.2
0.000125,29861.9
0.000128125,29495.6
0.00013125,29142.5
0.000134375,28801.8
0.0001375,28472.7
0.00014375,27847.1
0.00015,27261
0.00015625,26710.4
0.0001625,26191.9
0.00016875,25702.5
0.000175,25239.5
0.00018125,24800.7
0.0001875,24384.1
0.00019375,23987.7
0.0002,23610.1
0.000209375,23075.7
0.00021875,22576.1
0.000228125,22107.5
0.0002375,21667
0.000246875,21251.9
0.00025625,20859.7
0.000265625,20488.5
0.000275,20136.4
0.000284375,19801.9
0.00029375,19483.5
0.000303125,19180
0.0003125,18890.3
0.000321875,18613.3
0.00033125,18348.2
0.000340625,18094.1
0.00035,17850.2
0.000359375,17616
0.00036875,17390.8
0.000378125,17174
0.0003875,16965.1
0.000396875,16763.6
0.00040625,16569.2
0.000425,16199.8
0.00044375,15854.1
0.0004625,15529.6
0.00048125,15224.3
0.0005,14936.3
0.000515625,14708.4
0.00053125,14490.6
0.000546875,14282.2
0.0005625,14082.6
0.000578125,13891.1
0.00059375,13707.3
0.000609375,13530.5
0.000625,13360.4
0.000640625,13196.6
0.00065625,13038.7
0.000671875,12886.3
0.0006875,12739.1
0.00071875,12459.3
0.00075,12197.1
0.00078125,11950.9
0.0008125,11718.9
0.00084375,11500
0.000875,11292.9
0.00090625,11096.7
0.0009375,10910.3
0.00096875,10733
0.001,10564.1
0.00103125,10402.9
0.0010625,10248.8
0.00109375,10101.5
0.001125,9960.28
0.00115625,9824.84
0.0011875,9694.79
0.00121875,9569.77
0.00125,9449.46
0.00128125,9333.58
0.0013125,9221.86
0.00134375,9114.07
0.001375,9009.96
0.0014375,8812.02
0.0015,8626.58
0.0015625,8452.37
0.001625,8288.31
0.0016875,8133.44
0.00175,7986.94
0.0018125,7848.07
0.001875,7716.2
0.0019375,7590.76
0.002,7471.24
0.00209375,7302.09
0.0021875,7143.92
0.00228125,6995.6
0.002375,6856.14
0.00246875,6724.69
0.0025625,6600.52
0.00265625,6482.97
0.00275,6371.48
0.00284375,6265.55
0.0029375,6164.73
0.00303125,6068.61
0.003125,5976.86
0.00321875,5889.13
0.0033125,5805.16
0.00340625,5724.67
0.0035,5647.44
0.00359375,5573.25
0.0036875,5501.9
0.00378125,5433.22
0.003875,5367.05
0.00396875,5303.23
0.0040625,5241.63
0.00425,5124.6
0.0044375,5015.05
0.004625,4912.23
0.0048125,4815.47
0.005,4724.19
0.00515625,4651.96
0.0053125,4582.94
0.00546875,4516.9
0.005625,4453.62
0.00578125,4392.93
0.0059375,4334.65
0.00609375,4278.62
0.00625,4224.71
0.00640625,4172.78
0.0065625,4122.71
0.00671875,4074.41
0.006875,4027.75
0.0071875,3939.05
0.0075,3855.94
0.0078125,3777.87
0.008125,3704.34
0.0084375,3634.92
0.00875,3569.26
0.0090625,3507.02
0.009375,3447.92
0.0096875,3391.71
0.01,3338.15
0.0103125,3287.05
0.010625,3238.22
0.0109375,3191.51
0.01125,3146.76
0.0115625,3103.84
0.011875,3062.63
0.0121875,3023.02
0.0125,2984.92
0.0128125,2948.22
0.013125,2912.85
0.0134375,2878.73
0.01375,2845.78
