E_eV,Sig_b
1e-05,439.374
1.03125e-05,432.671
1.0625e-05,426.267
1.09375e-05,420.139
1.125e-05,414.268
1.15625e-05,408.637
1.1875e-05,403.229
1.21875e-05,398.031
1.25e-05,393.03
1.28125e-05,388.212
1.3125e-05,383.568
1.34375e-05,379.086
1.375e-05,374.759
1.4375e-05,366.531
1.5e-05,358.823
1.5625e-05,351.583
1.625e-05,344.764
1.6875e-05,338.329
1.75e-05,332.241
1.8125e-05,326.471
1.875e-05,320.992
1.9375e-05,315.781
2e-05,310.816
2.09375e-05,303.789
2.1875e-05,297.22
2.28125e-05,291.06
2.375e-05,285.269
2.46875e-05,279.811
2.5625e-05,274.656
2.65625e-05,269.776
2.75e-05,265.148
2.84375e-05,260.751
2.9375e-05,256.566
3.03125e-05,252.577
3.125e-05,248.77
3.21875e-05,245.13
3.3125e-05,241.645
3.40625e-05,238.306
3.5e-05,235.102
3.59375e-05,232.024
3.6875e-05,229.065
3.78125e-05,226.216
3.875e-05,223.471
3.96875e-05,220.825
4.0625e-05,218.27
4.25e-05,213.418
4.4375e-05,208.876
4.625e-05,204.615
4.8125e-05,200.604
5e-05,196.822
5.15625e-05,193.83
5.3125e-05,190.97
5.46875e-05,188.234
5.625e-05,185.613
5.78125e-05,183.099
5.9375e-05,180.686
6.09375e-05,178.365
6.25e-05,176.133
6.40625e-05,173.983
6.5625e-05,171.91
6.71875e-05,169.91
6.875e-05,167.979
7.1875e-05,164.307
7.5e-05,160.868
7.8125e-05,157.637
8.125e-05,154.595
8.4375e-05,151.725
8.75e-05,149.009
9.0625e-05,146.436
9.375e-05,143.992
9.6875e-05,141.668
0.0001,139.454
0.000103125,137.342
0.00010625,135.324
0.000109375,133.393
0.0001125,131.543
0.000115625,129.769
0.00011875,128.066
0.000121875,126.429
0.000125,124.853
0.000128125,123.336
0.00013125,121.874
0.000134375,120.463
0.0001375,119.1
0.00014375,116.51
0.00015,114.084
0.00015625,111.805
0.0001625,109.66
0.00016875,107.635
0.000175,105.72
0.00018125,103.905
0.0001875,102.183
0.00019375,100.544
0.0002,98.9831
0.000209375,96.7747
0.00021875,94.7103
0.000228125,92.7749
0.0002375,90.9557
0.000246875,89.2416
0.00025625,87.6228
0.000265625,86.0908
0.000275,84.6381
0.000284375,83.2582
0.00029375,81.9451
0.000303125,80.6937
0.0003125,79.4993
0.000321875,78.3576
0.00033125,77.265
0.000340625,76.218
0.00035,75.2136
0.000359375,74.2489
0.00036875,73.3214
0.000378125,72.4287
0.0003875,71.5688
0.000396875,70.7397
0.00040625,69.9396
0.000425,68.4199
0.00044375,66.998
0.0004625,65.6639
0.00048125,64.4089
0.0005,63.2255
0.000515625,62.2892
0.00053125,61.3948
0.000546875,60.5392
0.0005625,59.7197
0.000578125,58.9337
0.00059375,58.1792
0.000609375,57.4539
0.000625,56.7562
0.000640625,56.0843
0.00065625,55.4367
0.000671875,54.8119
0.0006875,54.2086
0.00071875,53.0618
0.00075,51.9878
0.00078125,50.9792
0.0008125,50.0297
0.00084375,49.1336
0.000875,48.2862
0.00090625,47.4832
0.0009375,46.7208
0.00096875,45.9959
0.001,45.3053
0.00103125,44.6465
0.0010625,44.017
0.00109375,43.4149
0.001125,42.8382
0.00115625,42.285
0.0011875,41.754
0.00121875,41.2436
0.00125,40.7525
0.00128125,40.2796
0.0013125,39.8237
0.00134375,39.3839
0.001375,38.9592
0.0014375,38.152
0.0015,37.3959
0.0015625,36.6858
0.001625,36.0172
0.0016875,35.3862
0.00175,34.7895
0.0018125,34.224
0.001875,33.6871
0.0019375,33.1765
0.002,32.6901
0.00209375,32.0019
0.0021875,31.3585
0.00228125,30.7554
0.002375,30.1884
0.00246875,29.6541
0.0025625,29.1495
0.00265625,28.6719
0.00275,28.219
0.00284375,27.7888
0.0029375,27.3794
0.00303125,26.9892
0.003125,26.6168
0.00321875,26.2607
0.0033125,25.9199
0.00340625,25.5934
0.0035,25.2801
0.00359375,24.9791
0.0036875,24.6897
0.00378125,24.4112
0.003875,24.1429
0.00396875,23.8842
0.0040625,23.6345
0.00425,23.1601
0.0044375,22.7163
0.004625,22.2998
0.0048125,21.9079
0.005,21.5383
0.00515625,21.2458
0.0053125,20.9664
0.00546875,20.6991
0.005625,20.4431
0.00578125,20.1975
0.0059375,19.9616
0.00609375,19.735
0.00625,19.5169
0.00640625,19.3068
0.0065625,19.1043
0.00671875,18.9089
0.006875,18.7203
0.0071875,18.3616
0.0075,18.0256
0.0078125,17.7101
0.008125,17.4129
0.0084375,17.1324
0.00875,16.8672
0.0090625,16.6157
0.009375,16.377
0.0096875,16.15
0.01,15.9337
0.0103125,15.7273
0.010625,15.5301
0.0109375,15.3414
0.01125,15.1607
0.0115625,14.9874
0.011875,14.821
0.0121875,14.661
0.0125,14.5071
0.0128125,14.3589
0.013125,14.2159
0.0134375,14.0781
0.01375,13.9449
0.014375,13.6918
0.015,13.4547
0.015625,13.2319
0.01625,13.0222
0.016875,12.8242
0.0175,12.6369
0.018125,12.4595
0.01875,12.2909
0.019375,12.1307
0.02,11.9779
0.0206625,11.8237
0.021325,11.6767
0.0219875,11.5365
0.02265,11.4024
0.0233125,11.2741
0.023975,11.1512
0.0246375,11.0333
0.0253,10.92
0.0264578,10.7325
0.0276156,10.5568
0.0287734,10.392
0.0299312,10.2368
0.0310891,10.0903
0.0322469,9.9519
0.0334047,9.82074
0.0345625,9.69622
0.0355273,9.59714
0.0364922,9.50201
0.037457,9.41058
0.0384219,9.32261
0.0393867,9.23789
0.0403516,9.15624
0.0413164,9.07745
0.0422812,9.00139
0.0442109,8.8568
0.0461406,8.72141
0.0480703,8.59426
0.05,8.47456
0.0515625,8.38262
0.053125,8.29477
0.0546875,8.21072
0.05625,8.13021
0.0578125,8.05299
0.059375,7.97886
0.0609375,7.9076
0.0625,7.83905
0.0640625,7.77304
0.065625,7.70941
0.0671875,7.64802
0.06875,7.58875
0.071875,7.47605
0.075,7.37046
0.078125,7.27125
0.08125,7.17781
0.084375,7.08962
0.0875,7.00619
0.090625,6.92714
0.09375,6.85208
0.096875,6.78069
0.1,6.71268
0.103125,6.64779
0.10625,6.5858
0.109375,6.52649
0.1125,6.46967
0.115625,6.41518
0.11875,6.36286
0.121875,6.31257
0.125,6.26419
0.128125,6.21761
0.13125,6.17272
0.134375,6.12942
0.1375,6.08761
0.14375,6.00811
0.15,5.93361
0.15625,5.86359
0.1625,5.79765
0.16875,5.73542
0.175,5.67656
0.18125,5.62079
0.1875,5.56784
0.19375,5.51751
0.2,5.46957
0.209375,5.40173
0.21875,5.33827
0.228125,5.27874
0.2375,5.22278
0.246875,5.17004
0.25625,5.12023
0.265625,5.07308
0.275,5.02838
0.284375,4.9859
0.29375,4.94548
0.303125,4.90695
0.3125,4.87018
0.321875,4.83502
0.33125,4.80137
0.340625,4.76911
0.35,4.73817
0.359375,4.70844
0.36875,4.67986
0.378125,4.65235
0.3875,4.62585
0.396875,4.60032
0.40625,4.5757
0.425,4.5289
0.44375,4.48502
0.4625,4.44383
0.5,4.36865
0.53125,4.31219
0.5625,4.26037
0.625,4.16863
0.6875,4.08972
0.75,4.02091
0.8125,3.96023
0.875,3.90636
0.9375,3.85802
1,3.81424
1.0625,3.77449
1.125,3.73825
1.1875,3.7051
1.25,3.67469
1.375,3.62106
1.5,3.57585
1.625,3.53824
1.75,3.50829
1.84375,3.49125
1.9375,3.47863
2,3.47402
2.07142,3.473
2.14283,3.47777
2.21424,3.49027
2.24995,3.50027
2.28566,3.5133
2.31958,3.5293
2.3535,3.54976
2.38742,3.57566
2.42134,3.60834
2.45527,3.64965
2.47223,3.67429
2.48919,3.7021
2.50615,3.73355
2.52311,3.76928
2.54007,3.81004
2.55703,3.85672
2.57399,3.91042
2.59095,3.97248
2.60791,4.04457
2.62487,4.12879
2.63335,4.17628
2.64184,4.22789
2.65032,4.2841
2.6588,4.34545
2.66728,4.41259
2.67576,4.48624
2.68424,4.56726
2.69272,4.65667
2.70254,4.77223
2.71236,4.90279
2.72218,5.05106
2.73199,5.22031
2.73691,5.31407
2.74181,5.41468
2.74673,5.52285
2.75163,5.63929
2.75654,5.76494
2.76145,5.90074
2.76636,6.04781
2.77127,6.20736
2.77797,6.44779
2.78466,6.71838
2.78801,6.86657
2.79136,7.02423
2.79471,7.19223
2.79805,7.37134
2.8014,7.56258
2.80475,7.76686
2.8081,7.98538
2.81144,8.2192
2.81479,8.46974
2.81814,8.7382
2.82149,9.02622
2.82483,9.33517
2.82974,9.82988
2.83465,10.3788
2.83956,10.9878
2.84447,11.6626
2.84938,12.4094
2.85429,13.2337
2.8592,14.1408
2.86411,15.1347
2.86902,16.2187
2.87393,17.3939
2.87884,18.6593
2.88375,20.0108
2.88866,21.4422
2.89357,22.9428
2.90339,26.091
2.91324,29.3074
2.91816,30.8725
2.92309,32.3692
2.92801,33.7659
2.93294,35.0314
2.93786,36.1356
2.94279,37.051
2.94709,37.6784
2.95139,38.1315
2.9557,38.4013
2.96,38.4826
2.96466,38.3565
2.96932,38.0112
2.97399,37.4557
2.97865,36.7039
2.98331,35.7736
2.98797,34.6864
2.99263,33.4663
2.99729,32.1392
3.00226,30.6352
3.00724,29.0708
3.01718,25.876
3.02712,22.7602
3.03209,21.2808
3.03706,19.8728
3.04241,18.4456
3.04777,17.1192
3.05313,15.8963
3.05848,14.7775
3.06116,14.2561
3.06384,13.7596
3.06651,13.2872
3.06919,12.8385
3.07187,12.4123
3.07455,12.0081
3.07722,11.6248
3.0799,11.2617
3.08258,10.9176
3.08526,10.5918
3.08793,10.2834
3.09061,9.99168
3.09597,9.45406
3.10132,8.97231
3.10668,8.54016
3.11203,8.15212
3.11739,7.80301
3.12274,7.48826
3.12761,7.22852
3.13248,6.99122
3.13735,6.77388
3.14222,6.57449
3.14709,6.3911
3.15195,6.22214
3.15682,6.06609
3.16169,5.92174
3.16656,5.78789
3.17143,5.66359
3.1763,5.54791
