E_eV,Sig_b
1e-05,47473.6
1.03125e-05,46748.9
1.0625e-05,46056.3
1.09375e-05,45393.7
1.125e-05,44758.9
1.15625e-05,44150
1.1875e-05,43565.3
1.21875e-05,43003.2
1.25e-05,42462.3
1.28125e-05,41941.4
1.3125e-05,41439.2
1.34375e-05,40954.6
1.375e-05,40486.6
1.4375e-05,39596.8
1.5e-05,38763.2
1.5625e-05,37980.2
1.625e-05,37242.8
1.6875e-05,36546.7
1.75e-05,35888.3
1.8125e-05,35264.3
1.875e-05,34671.7
1.9375e-05,34108
2e-05,33571
2.09375e-05,32811
2.1875e-05,32100.4
2.28125e-05,31434
2.375e-05,30807.5
2.46875e-05,30217.1
2.5625e-05,29659.4
2.65625e-05,29131.4
2.75e-05,28630.7
2.84375e-05,28155
2.9375e-05,27702.2
3.03125e-05,27270.6
3.125e-05,26858.6
3.21875e-05,26464.7
3.3125e-05,26087.7
3.40625e-05,25726.3
3.5e-05,25379.6
3.59375e-05,25046.5
3.6875e-05,24726.2
3.78125e-05,24417.9
3.875e-05,24120.9
3.96875e-05,23834.4
4.0625e-05,23557.9
4.25e-05,23032.6
4.4375e-05,22541.1
4.625e-05,22079.7
4.8125e-05,21645.5
5e-05,21236
5.15625e-05,20912
5.3125e-05,20602.3
5.46875e-05,20306.1
5.625e-05,20022.3
5.78125e-05,19750
5.9375e-05,19488.6
6.09375e-05,19237.3
6.25e-05,18995.5
6.40625e-05,18762.6
6.5625e-05,18538
6.71875e-05,18321.4
6.875e-05,18112.2
7.1875e-05,17714.4
7.5e-05,17341.7
7.8125e-05,16991.7
8.125e-05,16662
8.4375e-05,16350.8
8.75e-05,16056.5
9.0625e-05,15777.5
9.375e-05,15512.6
9.6875e-05,15260.7
0.0001,15020.6
0.000103125,14791.5
0.00010625,14572.6
0.000109375,14363.2
0.0001125,14162.6
0.000115625,13970.1
0.00011875,13785.3
0.000121875,13607.7
0.000125,13436.8
0.000128125,13272.1
0.00013125,13113.4
0.000134375,12960.3
0.0001375,12812.4
0.00014375,12531.2
0.00015,12267.8
0.00015625,12020.4
0.0001625,11787.4
0.00016875,11567.4
0.000175,11359.4
0.00018125,11162.2
0.0001875,10975
0.00019375,10796.9
0.0002,10627.3
0.000209375,10387.2
0.00021875,10162.7
0.000228125,9952.18
0.0002375,9754.28
0.000246875,9567.78
0.00025625,9391.62
0.000265625,9224.87
0.000275,9066.73
0.000284375,8916.49
0.00029375,8773.5
0.000303125,8637.2
0.0003125,8507.09
0.000321875,8382.71
0.00033125,8263.65
0.000340625,8149.55
0.00035,8040.07
0.000359375,7934.9
0.00036875,7833.78
0.000378125,7736.44
0.0003875,7642.67
0.000396875,7552.24
0.00040625,7464.96
0.000425,7299.16
0.00044375,7143.99
0.0004625,6998.37
0.00048125,6861.35
0.0005,6732.13
0.000515625,6629.88
0.00053125,6532.18
0.000546875,6438.7
0.0005625,6349.16
0.000578125,6263.27
0.00059375,6180.8
0.000609375,6101.53
0.000625,6025.26
0.000640625,5951.8
0.00065625,5880.98
0.000671875,5812.65
0.0006875,5746.67
0.00071875,5621.24
0.00075,5503.74
0.00078125,5393.38
0.0008125,5289.46
0.00084375,5191.38
0.000875,5098.61
0.00090625,5010.7
0.0009375,4927.23
0.00096875,4847.84
0.001,4772.21
0.00103125,4700.06
0.0010625,4631.12
0.00109375,4565.16
0.001125,4501.98
0.00115625,4441.38
0.0011875,4383.2
0.00121875,4327.28
0.00125,4273.47
0.00128125,4221.65
0.0013125,4171.7
0.00134375,4123.51
0.001375,4076.97
0.0014375,3988.51
0.0015,3905.65
0.0015625,3827.83
0.001625,3754.56
0.0016875,3685.42
0.00175,3620.02
0.0018125,3558.05
0.001875,3499.22
0.0019375,3443.27
0.002,3389.97
0.00209375,3314.56
0.0021875,3244.07
0.00228125,3177.99
0.002375,3115.88
0.00246875,3057.36
0.0025625,3002.1
0.00265625,2949.8
0.00275,2900.21
0.00284375,2853.11
0.0029375,2808.29
0.00303125,2765.59
0.003125,2724.82
0.00321875,2685.87
0.0033125,2648.59
0.00340625,2612.86
0.0035,2578.6
0.00359375,2545.69
0.0036875,2514.05
0.00378125,2483.6
0.003875,2454.27
0.00396875,2425.99
0.0040625,2398.71
0.00425,2346.88
0.0044375,2298.4
0.004625,2252.92
0.0048125,2210.14
0.005,2169.81
0.00515625,2137.9
0.0053125,2107.42
0.00546875,2078.27
0.005625,2050.35
0.00578125,2023.58
0.0059375,1997.89
0.00609375,1973.19
0.00625,1949.44
0.00640625,1926.57
0.0065625,1904.53
0.00671875,1883.26
0.006875,1862.74
0.0071875,1823.73
0.0075,1787.2
0.0078125,1752.91
0.008125,1720.64
0.0084375,1690.18
0.00875,1661.4
0.0090625,1634.13
0.009375,1608.24
0.0096875,1583.64
0.01,1560.21
0.0103125,1537.88
0.010625,1516.54
0.0109375,1496.15
0.01125,1476.62
0.0115625,1457.9
0.011875,1439.94
0.0121875,1422.69
0.0125,1406.1
0.0128125,1390.13
0.013125,1374.75
0.0134375,1359.92
0.01375,1345.61
0.014375,1318.43
0.015,1293.01
0.015625,1269.17
0.01625,1246.75
0.016875,1225.62
0.0175,1205.68
0.018125,1186.81
0.01875,1168.93
0.019375,1151.96
0.02,1135.83
0.0206625,1119.58
0.021325,1104.13
0.0219875,1089.43
0.02265,1075.41
0.0233125,1062.04
0.023975,1049.27
0.0246375,1037.05
0.0253,1025.36
0.0262648,1009.19
0.0272297,993.978
0.0281945,979.629
0.0291594,966.078
0.0301242,953.264
0.0310891,941.132
0.0320539,929.63
0.0330187,918.713
0.0340801,907.33
0.0351414,896.554
0.0362027,886.342
0.0372641,876.656
0.0383254,867.461
0.0393867,858.727
0.0404481,850.425
0.0415094,842.53
0.0425707,835.018
0.043632,827.868
0.0446934,821.058
0.0457547,814.573
0.0478773,802.503
0.05,791.541
0.0515625,784.119
0.053125,777.205
0.0546875,770.768
0.05625,764.779
0.0578125,759.213
0.059375,754.046
0.0609375,749.258
0.0625,744.831
0.0640625,740.748
0.065625,736.995
0.0671875,733.557
0.06875,730.419
0.071875,724.994
0.075,720.63
0.078125,717.263
0.08125,714.844
0.084375,713.33
0.0875,712.686
0.0898438,712.755
0.0921875,713.288
0.0945312,714.277
0.096875,715.716
0.1,718.327
0.103125,721.727
0.10625,725.915
0.109375,730.894
0.1125,736.674
0.115625,743.266
0.11875,750.689
0.121875,758.962
0.125,768.112
0.128125,778.168
0.13125,789.163
0.134375,801.137
0.1375,814.131
0.140625,828.193
0.14375,843.374
0.146875,859.737
0.148438,868.383
0.15,877.352
0.152149,890.231
0.154297,903.765
0.156445,917.983
0.158594,932.912
0.160742,948.586
0.162891,965.037
0.165039,982.3
0.167187,1000.41
0.169141,1017.66
0.171094,1035.67
0.173047,1054.48
0.175,1074.14
0.177149,1096.79
0.179297,1120.55
0.181445,1145.5
0.183594,1171.69
0.185742,1199.19
0.187891,1228.08
0.190039,1258.42
0.192188,1290.29
0.194141,1320.68
0.196094,1352.48
0.198047,1385.77
0.2,1420.61
0.202044,1458.84
0.204088,1498.96
0.206132,1541.08
0.208176,1585.31
0.21022,1631.76
0.212264,1680.55
0.214308,1731.81
0.216352,1785.67
0.217467,1816.19
0.218582,1847.54
0.219697,1879.76
0.220812,1912.86
0.221834,1944
0.222856,1975.91
0.223878,2008.63
0.2249,2042.17
0.225922,2076.54
0.226944,2111.77
