E_eV,Sig_b
1e-05,8597.74
1.03125e-05,8466.49
1.0625e-05,8341.07
1.09375e-05,8221.07
1.125e-05,8106.1
1.15625e-05,7995.82
1.1875e-05,7889.93
1.21875e-05,7788.14
1.25e-05,7690.19
1.28125e-05,7595.84
1.3125e-05,7504.89
1.34375e-05,7417.12
1.375e-05,7332.37
1.4375e-05,7171.23
1.5e-05,7020.27
1.54624e-05,6914.53
1.59248e-05,6813.43
1.63871e-05,6716.64
1.68495e-05,6623.86
1.6875e-05,6618.85
1.69531e-05,6603.59
1.70313e-05,6588.43
1.71875e-05,6558.42
1.75e-05,6499.61
1.8125e-05,6386.6
1.875e-05,6279.28
1.9375e-05,6177.19
2e-05,6079.93
2.06427e-05,5984.56
2.12854e-05,5893.54
2.19281e-05,5806.56
2.25708e-05,5723.31
2.32136e-05,5643.55
2.38563e-05,5567.03
2.4499e-05,5493.55
2.51417e-05,5422.9
2.63208e-05,5300.08
2.75e-05,5185.25
2.84375e-05,5099.09
2.9375e-05,5017.09
3.03125e-05,4938.93
3.125e-05,4864.31
3.21875e-05,4792.98
3.3125e-05,4724.7
3.40625e-05,4659.25
3.5e-05,4596.46
3.625e-05,4516.55
3.75e-05,4440.67
3.875e-05,4368.5
4e-05,4299.73
4.125e-05,4234.12
4.25e-05,4171.42
4.4375e-05,4082.39
4.625e-05,3998.83
4.8125e-05,3920.21
5e-05,3846.05
5.22464e-05,3762.51
5.44928e-05,3684.19
5.67392e-05,3610.58
5.89856e-05,3541.21
6.07428e-05,3489.65
6.25e-05,3440.28
6.40625e-05,3398.1
6.5625e-05,3357.44
6.71875e-05,3318.2
6.875e-05,3280.31
7.1875e-05,3208.27
7.5e-05,3140.78
7.75e-05,3089.76
8e-05,3041.14
8.375e-05,2972.35
8.75e-05,2908.02
9.0625e-05,2857.5
9.375e-05,2809.53
9.6875e-05,2763.89
0.0001,2720.42
0.000104493,2661.36
0.000108986,2606
0.000113478,2553.96
0.000117971,2504.92
0.000121486,2468.47
0.000125,2433.58
0.000128125,2403.76
0.00013125,2375.01
0.000134375,2347.28
0.0001375,2320.49
0.00014375,2269.57
0.00015,2221.86
0.000155,2185.79
