E_eV,Sig_b
1e-05,3948.81
1.03125e-05,3888.55
1.0625e-05,3830.97
1.09375e-05,3775.88
1.125e-05,3723.1
1.15625e-05,3672.47
1.1875e-05,3623.86
1.21875e-05,3577.12
1.25e-05,3532.16
1.28125e-05,3488.85
1.3125e-05,3447.09
1.34375e-05,3406.8
1.375e-05,3367.89
1.4375e-05,3293.92
1.5e-05,3224.62
1.5625e-05,3159.52
1.625e-05,3098.22
1.6875e-05,3040.35
1.75e-05,2985.61
1.8125e-05,2933.74
1.875e-05,2884.47
1.9375e-05,2837.62
2e-05,2792.97
2.09375e-05,2729.79
2.1875e-05,2670.72
2.28125e-05,2615.33
2.375e-05,2563.26
2.46875e-05,2514.18
2.5625e-05,2467.82
2.65625e-05,2423.94
2.75e-05,2382.32
2.84375e-05,2342.78
2.9375e-05,2305.15
3.03125e-05,2269.28
3.125e-05,2235.04
3.21875e-05,2202.3
3.3125e-05,2170.96
3.40625e-05,2140.93
3.5e-05,2112.12
3.59375e-05,2084.44
3.6875e-05,2057.82
3.78125e-05,2032.2
3.875e-05,2007.51
3.96875e-05,1983.71
4.0625e-05,1960.73
4.25e-05,1917.08
4.4375e-05,1876.23
4.625e-05,1837.9
4.8125e-05,1801.82
5e-05,1767.8
5.15625e-05,1740.88
5.3125e-05,1715.15
5.46875e-05,1690.54
5.625e-05,1666.96
5.78125e-05,1644.34
5.9375e-05,1622.63
6.09375e-05,1601.75
6.25e-05,1581.67
6.40625e-05,1562.32
6.5625e-05,1543.67
6.71875e-05,1525.67
6.875e-05,1508.29
7.1875e-05,1475.25
7.5e-05,1444.3
7.8125e-05,1415.23
8.125e-05,1387.85
8.4375e-05,1362.01
8.75e-05,1337.57
9.0625e-05,1314.4
9.375e-05,1292.41
9.6875e-05,1271.49
0.0001,1251.55
0.000103125,1232.54
0.00010625,1214.36
0.000109375,1196.98
0.0001125,1180.32
0.000115625,1164.35
0.00011875,1149.01
0.000121875,1134.26
0.000125,1120.08
0.000128125,1106.41
0.00013125,1093.24
0.000134375,1080.53
0.0001375,1068.26
0.00014375,1044.92
0.00015,1023.06
0.00015625,1002.53
0.0001625,983.199
0.00016875,964.951
0.000175,947.692
0.00018125,931.335
0.0001875,915.803
0.00019375,901.031
0.0002,886.957
0.000209375,867.043
0.00021875,848.424
0.000228125,830.968
0.0002375,814.557
0.000246875,799.091
0.00025625,784.484
0.000265625,770.658
0.000275,757.547
0.000284375,745.09
0.00029375,733.236
0.000303125,721.937
0.0003125,711.15
0.000321875,700.84
0.00033125,690.971
0.000340625,681.513
0.00035,672.438
0.000359375,663.722
0.00036875,655.34
0.000378125,647.273
0.0003875,639.501
0.000396875,632.006
0.00040625,624.772
0.000425,611.031
0.00044375,598.172
0.0004625,586.104
0.00048125,574.749
0.0005,564.041
0.000515625,555.567
0.00053125,547.471
0.000546875,539.725
0.0005625,532.304
0.000578125,525.187
0.00059375,518.352
0.000609375,511.783
0.000625,505.462
0.000640625,499.374
0.00065625,493.505
0.000671875,487.843
0.0006875,482.374
0.00071875,471.978
0.00075,462.24
0.00078125,453.092
0.0008125,444.478
0.00084375,436.348
0.000875,428.657
0.00090625,421.369
0.0009375,414.448
0.00096875,407.865
0.001,401.594
0.00103125,395.61
0.0010625,389.892
0.00109375,384.422
0.001125,379.181
0.00115625,374.154
0.0011875,369.327
0.00121875,364.687
0.00125,360.223
0.00128125,355.922
0.0013125,351.777
0.00134375,347.777
0.001375,343.914
0.0014375,336.57
0.0015,329.69
0.0015625,323.228
0.001625,317.142
0.0016875,311.398
0.00175,305.964
0.0018125,300.814
0.001875,295.923
0.0019375,291.271
0.002,286.84
0.00209375,280.568
0.0021875,274.703
0.00228125,269.204
0.002375,264.034
0.00246875,259.161
0.0025625,254.559
0.00265625,250.202
0.00275,246.069
0.00284375,242.143
0.0029375,238.406
0.00303125,234.845
0.003125,231.444
0.00321875,228.193
0.0033125,225.081
0.00340625,222.099
0.0035,219.237
0.00359375,216.488
0.0036875,213.844
0.00378125,211.299
0.003875,208.847
0.00396875,206.482
0.0040625,204.2
0.00425,199.864
0.0044375,195.805
0.004625,191.996
0.0048125,188.411
0.005,185.029
0.00515625,182.353
0.0053125,179.796
0.00546875,177.35
0.005625,175.005
0.00578125,172.757
0.0059375,170.597
0.00609375,168.521
0.00625,166.524
0.00640625,164.599
0.0065625,162.744
0.00671875,160.954
0.006875,159.225
0.0071875,155.938
0.0075,152.858
0.0078125,149.964
0.008125,147.238
0.0084375,144.664
0.00875,142.23
0.0090625,139.922
0.009375,137.73
0.0096875,135.644
0.01,133.657
0.0103125,131.761
0.010625,129.949
0.0109375,128.215
0.01125,126.553
0.0115625,124.959
0.011875,123.429
0.0121875,121.957
0.0125,120.541
0.0128125,119.177
0.013125,117.862
0.0134375,116.592
0.01375,115.367
0.014375,113.035
0.015,110.85
0.015625,108.797
0.01625,106.862
0.016875,105.036
0.0175,103.307
0.018125,101.668
0.01875,100.112
0.019375,98.6306
0.02,97.219
0.0206625,95.7928
0.021325,94.4331
0.0219875,93.135
0.02265,91.8939
0.0233125,90.7057
0.023975,89.5667
0.0246375,88.4737
0.0253,87.4235
0.0264578,85.6831
0.0276156,84.0525
0.0287734,82.5206
0.0299312,81.0778
0.0310891,79.7158
0.0322469,78.4273
0.0334047,77.2057
0.0345625,76.0452
0.0355273,75.1211
0.0364922,74.2334
0.037457,73.3796
0.0384219,72.5577
0.0393867,71.7657
0.0403516,71.0019
0.0413164,70.2646
0.0422812,69.5524
0.0442109,68.1976
0.0461406,66.9274
0.0480703,65.7335
0.05,64.6083
0.0515625,63.7431
0.053125,62.9158
0.0546875,62.1235
0.05625,61.3639
0.0578125,60.6348
0.059375,59.9341
0.0609375,59.2601
0.0625,58.6111
0.0640625,57.9857
0.065625,57.3824
0.0671875,56.7999
0.06875,56.237
0.071875,55.1655
0.075,54.1596
0.078125,53.2128
0.08125,52.3196
0.084375,51.4752
0.0875,50.6753
0.090625,49.9159
0.09375,49.1938
0.096875,48.5059
0.1,47.8494
0.103125,47.2222
0.10625,46.6219
0.109375,46.0467
0.1125,45.4948
0.115625,44.9646
0.11875,44.4548
0.121875,43.964
0.125,43.491
0.129688,42.8127
0.134375,42.1689
0.139063,41.5569
0.14375,40.9742
0.15,40.2381
0.15625,39.5441
0.1625,38.8884
0.16875,38.2677
0.175,37.679
0.18125,37.1195
0.1875,36.5867
0.19375,36.0785
0.2,35.5929
0.204687,35.2426
0.209375,34.9037
0.214062,34.5756
0.21875,34.2577
0.225781,33.7984
0.232813,33.3583
0.239844,32.9363
0.246875,32.5313
0.253906,32.1421
0.260937,31.7678
0.267969,31.4073
0.275,31.0598
0.284375,30.6153
0.29375,30.1908
0.303125,29.7848
0.3125,29.3958
0.321875,29.0228
0.33125,28.6645
0.340625,28.32
0.35,27.9884
0.359375,27.6689
0.36875,27.3606
0.378125,27.063
0.3875,26.7754
0.396875,26.4973
0.40625,26.228
0.415625,25.9672
0.425,25.7143
0.434375,25.469
0.44375,25.2309
0.453125,24.9997
0.4625,24.7753
0.5,23.9366
0.53125,23.3004
0.5625,22.7121
0.59375,22.167
0.625,21.6597
0.65625,21.1861
0.6875,20.7424
0.71875,20.3256
0.75,19.9329
0.785,19.519
0.82,19.1292
0.875,18.5637
0.9375,17.9773
1,17.4417
1.0625,16.951
1.125,16.4996
1.1875,16.0824
1.25,15.6957
1.3125,15.3359
1.375,15.0004
1.4375,14.6866
1.5,14.3926
1.5625,14.1164
1.625,13.8567
1.6875,13.6121
1.75,13.3813
1.8125,13.1634
1.875,12.9574
1.9375,12.7626
2,12.5784
2.10263,12.2972
2.20526,12.04
2.30789,11.8057
2.41052,11.5931
2.51316,11.4012
2.61579,11.2301
2.71842,11.0801
2.82105,10.9523
2.89569,10.8745
2.97033,10.8108
3.03564,10.768
3.10095,10.7388
3.16626,10.7251
3.23157,10.7284
3.29688,10.7547
3.32954,10.7774
3.36219,10.8075
3.39485,10.8458
3.4275,10.8934
3.46016,10.9513
3.49281,11.0211
3.5278,11.111
3.56279,11.2189
3.59778,11.3478
3.63276,11.501
3.66775,11.6835
3.68525,11.7878
3.70274,11.9019
3.72023,12.0269
3.73773,12.1637
3.75522,12.3136
3.77272,12.4782
3.79721,12.7363
3.8217,13.0318
3.84619,13.3713
3.85844,13.5601
3.87068,13.7631
3.88293,13.9817
3.89517,14.2173
3.90742,14.4717
3.91967,14.7466
3.93191,15.0444
3.94416,15.3673
3.9564,15.7182
3.96865,16.1004
3.98148,16.5386
3.99431,17.0203
4.00713,17.5512
4.01996,18.138
4.03279,18.7887
4.04562,19.5125
4.05845,20.3205
4.07128,21.2261
4.07846,21.7814
4.08564,22.3756
4.09282,23.0123
4.1,23.6956
4.11142,24.8903
4.11713,25.5429
4.12284,26.2367
4.12855,26.9751
4.13426,27.7619
4.13997,28.6014
4.14568,29.4986
4.15139,30.4591
4.1571,31.4886
4.16281,32.5942
4.16852,33.7836
4.17423,35.066
4.17994,36.4509
4.18565,37.9499
4.19136,39.5764
4.19735,41.4336
4.20333,43.4676
4.20931,45.7021
4.21529,48.1651
4.22127,50.8899
4.22726,53.9162
4.23324,57.2917
4.23623,59.1281
4.23922,61.0738
4.24243,63.2942
4.24563,65.6637
4.24884,68.1974
4.25205,70.9112
4.25526,73.824
4.25846,76.9542
4.26167,80.3256
4.26488,83.9637
4.26808,87.8988
