E_eV,Sig_b
1e-05,387.636
1.03125e-05,381.726
1.0625e-05,376.078
1.09375e-05,370.675
1.125e-05,365.498
1.15625e-05,360.533
1.1875e-05,355.765
1.21875e-05,351.182
1.25e-05,346.772
1.28125e-05,342.525
1.3125e-05,338.43
1.34375e-05,334.479
1.375e-05,330.663
1.4375e-05,323.409
1.5e-05,316.614
1.5625e-05,310.23
1.625e-05,304.219
1.6875e-05,298.545
1.75e-05,293.178
1.8125e-05,288.092
1.875e-05,283.262
1.9375e-05,278.668
2e-05,274.291
2.09375e-05,268.097
2.1875e-05,262.306
2.28125e-05,256.877
2.375e-05,251.772
2.46875e-05,246.961
2.5625e-05,242.417
2.65625e-05,238.116
2.75e-05,234.037
2.84375e-05,230.162
2.9375e-05,226.474
3.03125e-05,222.959
3.125e-05,219.603
3.21875e-05,216.395
3.3125e-05,213.325
3.40625e-05,210.382
3.5e-05,207.559
3.59375e-05,204.847
3.6875e-05,202.239
3.78125e-05,199.729
3.875e-05,197.311
3.96875e-05,194.979
4.0625e-05,192.728
4.25e-05,188.453
4.4375e-05,184.452
4.625e-05,180.698
4.8125e-05,177.165
5e-05,173.834
5.15625e-05,171.198
5.3125e-05,168.679
5.46875e-05,166.27
5.625e-05,163.961
5.78125e-05,161.747
5.9375e-05,159.622
6.09375e-05,157.579
6.25e-05,155.613
6.40625e-05,153.719
6.5625e-05,151.894
6.71875e-05,150.133
6.875e-05,148.433
7.1875e-05,145.2
7.5e-05,142.173
7.8125e-05,139.329
8.125e-05,136.652
8.4375e-05,134.125
8.75e-05,131.735
9.0625e-05,129.47
9.375e-05,127.32
9.6875e-05,125.276
0.0001,123.328
0.000103125,121.469
0.00010625,119.694
0.000109375,117.996
0.0001125,116.369
0.000115625,114.808
0.00011875,113.311
0.000121875,111.871
0.000125,110.486
0.000128125,109.152
0.00013125,107.866
0.000134375,106.625
0.0001375,105.428
0.00014375,103.151
0.00015,101.019
0.00015625,99.0164
0.0001625,97.1314
0.00016875,95.3526
0.000175,93.6705
0.00018125,92.0767
0.0001875,90.5636
0.00019375,89.1249
0.0002,87.7544
0.000209375,85.8158
0.00021875,84.0038
0.000228125,82.3055
0.0002375,80.7094
0.000246875,79.2057
0.00025625,77.7858
0.000265625,76.4423
0.000275,75.1686
0.000284375,73.9588
0.00029375,72.8079
0.000303125,71.7112
0.0003125,70.6645
0.000321875,69.6643
0.00033125,68.7071
0.000340625,67.7901
0.00035,66.9104
0.000359375,66.0657
0.00036875,65.2536
0.000378125,64.4722
0.0003875,63.7195
0.000396875,62.9939
0.00040625,62.2937
0.000425,60.9641
0.00044375,59.7204
