E_eV,Sig_b
1e-05,213.822
1.03125e-05,210.567
1.0625e-05,207.456
1.09375e-05,204.48
1.125e-05,201.629
1.15625e-05,198.894
1.1875e-05,196.268
1.21875e-05,193.744
1.25e-05,191.315
1.28125e-05,188.976
1.3125e-05,186.721
1.34375e-05,184.545
1.375e-05,182.444
1.4375e-05,178.449
1.5e-05,174.707
1.5625e-05,171.193
1.625e-05,167.883
1.6875e-05,164.759
1.75e-05,161.804
1.8125e-05,159.004
1.875e-05,156.345
1.9375e-05,153.816
2e-05,151.406
2.09375e-05,147.997
2.1875e-05,144.81
2.28125e-05,141.822
2.375e-05,139.012
2.46875e-05,136.365
2.5625e-05,133.865
2.65625e-05,131.498
2.75e-05,129.254
2.84375e-05,127.122
2.9375e-05,125.093
3.03125e-05,123.16
3.125e-05,121.314
3.21875e-05,119.549
3.3125e-05,117.861
3.40625e-05,116.242
3.5e-05,114.69
3.59375e-05,113.198
3.6875e-05,111.764
3.78125e-05,110.384
3.875e-05,109.055
3.96875e-05,107.773
4.0625e-05,106.536
4.25e-05,104.186
4.4375e-05,101.987
4.625e-05,99.9233
4.8125e-05,97.9822
5e-05,96.1518
5.15625e-05,94.7037
5.3125e-05,93.3202
5.46875e-05,91.9967
5.625e-05,90.7289
5.78125e-05,89.5132
5.9375e-05,88.3459
6.09375e-05,87.2241
6.25e-05,86.1448
6.40625e-05,85.1054
6.5625e-05,84.1036
6.71875e-05,83.1371
6.875e-05,82.2039
7.1875e-05,80.4302
7.5e-05,78.7691
7.8125e-05,77.2092
8.125e-05,75.7408
8.4375e-05,74.3552
8.75e-05,73.045
9.0625e-05,71.8036
9.375e-05,70.6252
9.6875e-05,69.5047
0.0001,68.4375
0.000103125,67.4195
0.00010625,66.4471
0.000109375,65.517
0.0001125,64.6262
0.000115625,63.772
0.00011875,62.9521
0.000121875,62.1641
0.000125,61.4062
0.000128125,60.6764
0.00013125,59.973
0.000134375,59.2945
0.0001375,58.6395
0.00014375,57.3947
0.00015,56.2292
0.00015625,55.1351
0.0001625,54.1053
0.00016875,53.1338
0.000175,52.2153
0.00018125,51.3453
0.0001875,50.5196
0.00019375,49.7346
0.0002,48.9871
0.000209375,47.93
0.00021875,46.9423
0.000228125,46.0168
0.0002375,45.1474
0.000246875,44.3285
0.00025625,43.5556
0.000265625,42.8244
0.000275,42.1314
0.000284375,41.4735
0.00029375,40.8476
0.000303125,40.2514
0.0003125,39.6826
0.000321875,39.1392
0.00033125,38.6193
0.000340625,38.1213
0.00035,37.6438
0.000359375,37.1853
0.00036875,36.7446
0.000378125,36.3206
0.0003875,35.9124
0.000396875,35.5189
0.00040625,35.1393
0.000425,34.4186
0.00044375,33.7447
0.0004625,33.1129
0.00048125,32.5188
0.0005,31.959
0.000515625,31.5163
0.00053125,31.0935
0.000546875,30.6893
0.0005625,30.3022
0.000578125,29.9312
0.00059375,29.5751
0.000609375,29.2331
0.000625,28.904
0.000640625,28.5873
0.00065625,28.2821
0.000671875,27.9878
0.0006875,27.7037
0.00071875,27.1639
0.00075,26.6587
0.00078125,26.1845
0.0008125,25.7383
0.00084375,25.3174
0.000875,24.9196
0.00090625,24.5428
0.0009375,24.1852
0.00096875,23.8453
0.001,23.5216
0.00103125,23.213
0.0010625,22.9182
0.00109375,22.6363
0.001125,22.3664
0.00115625,22.1076
0.0011875,21.8593
0.00121875,21.6206
0.00125,21.3911
0.00128125,21.1701
0.0013125,20.9571
0.00134375,20.7517
0.001375,20.5534
0.0014375,20.1766
0.0015,19.8238
0.0015625,19.4926
0.001625,19.1809
0.0016875,18.8869
0.00175,18.6089
0.0018125,18.3455
0.001875,18.0956
0.0019375,17.8579
0.002,17.6316
0.00209375,17.3115
0.0021875,17.0124
0.00228125,16.732
0.002375,16.4686
0.00246875,16.2205
0.0025625,15.9861
0.00265625,15.7645
0.00275,15.5543
0.00284375,15.3547
0.0029375,15.1648
0.00303125,14.9838
0.003125,14.8111
0.00321875,14.6461
0.0033125,14.4882
0.00340625,14.3369
0.0035,14.1917
0.00359375,14.0523
0.0036875,13.9183
0.00378125,13.7894
0.003875,13.6651
0.00396875,13.5454
0.0040625,13.4298
0.00425,13.2103
0.0044375,13.005
0.004625,12.8124
0.0048125,12.6312
0.005,12.4603
0.00515625,12.3252
0.0053125,12.1961
0.00546875,12.0726
0.005625,11.9543
0.00578125,11.8408
0.0059375,11.7319
0.00609375,11.6272
0.00625,11.5266
0.00640625,11.4296
0.0065625,11.3361
0.00671875,11.2459
0.006875,11.1589
0.0071875,10.9934
0.0075,10.8384
0.0078125,10.6929
0.008125,10.5558
0.0084375,10.4265
0.00875,10.3042
0.0090625,10.1883
0.009375,10.0783
0.0096875,9.97369
0.01,9.87403
0.0103125,9.77896
0.010625,9.68813
0.0109375,9.60124
0.01125,9.51802
0.0115625,9.43821
0.011875,9.36158
0.0121875,9.28794
0.0125,9.21708
0.0128125,9.14885
0.013125,9.08308
0.0134375,9.01962
0.01375,8.95835
0.014375,8.84188
0.015,8.73279
0.015625,8.63033
0.01625,8.53386
0.016875,8.44281
0.0175,8.3567
0.018125,8.27509
0.01875,8.19761
0.019375,8.12392
0.02,8.05373
0.0206625,7.98284
0.021325,7.91529
0.0219875,7.85083
0.02265,7.78923
0.0233125,7.73028
0.023975,7.67381
0.0246375,7.61963
0.0253,7.56761
0.0264578,7.48144
0.0276156,7.40077
0.0287734,7.32505
0.0299312,7.25378
0.0310891,7.18655
0.0322469,7.12298
0.0334047,7.06277
0.0345625,7.00561
0.0355273,6.96012
0.0364922,6.91646
0.037457,6.87449
0.0384219,6.83411
0.0393867,6.79523
0.0403516,6.75775
0.0413164,6.72159
0.0422812,6.68668
0.0442109,6.62033
0.0461406,6.5582
0.0480703,6.49987
0.05,6.44495
0.0515625,6.40277
0.053125,6.36247
0.0546875,6.32391
0.05625,6.28698
0.0578125,6.25156
0.059375,6.21755
0.0609375,6.18487
0.0625,6.15342
0.0640625,6.12315
0.065625,6.09396
0.0671875,6.06581
0.06875,6.03863
0.071875,5.98695
0.075,5.93853
0.078125,5.89303
0.08125,5.85018
0.084375,5.80974
0.0875,5.77149
0.090625,5.73524
0.09375,5.70082
0.096875,5.66809
0.1,5.63691
0.103125,5.60716
0.10625,5.57873
0.109375,5.55154
0.1125,5.52549
0.115625,5.50051
0.11875,5.47652
0.121875,5.45346
0.125,5.43128
0.128125,5.40992
0.13125,5.38934
0.134375,5.36948
0.1375,5.35032
0.14375,5.31387
0.15,5.27971
0.15625,5.2476
0.1625,5.21737
0.16875,5.18883
0.175,5.16184
0.18125,5.13626
0.1875,5.11198
0.19375,5.08889
0.2,5.06691
0.209375,5.0358
0.21875,5.00669
0.228125,4.97938
0.2375,4.9537
0.246875,4.9295
0.25625,4.90665
0.265625,4.88501
0.275,4.86449
0.284375,4.845
0.29375,4.82644
0.303125,4.80875
0.3125,4.79186
0.321875,4.77572
0.33125,4.76026
0.340625,4.74545
0.35,4.73123
0.359375,4.71757
0.36875,4.70444
0.378125,4.69179
0.3875,4.67961
0.396875,4.66787
0.40625,4.65655
0.425,4.63502
0.44375,4.61484
0.4625,4.59588
0.5,4.56125
0.53125,4.53522
0.5625,4.51131
0.625,4.46894
0.6875,4.43241
0.75,4.40048
0.8125,4.37223
0.875,4.34706
0.9375,4.32439
1,4.30374
1.0625,4.28489
1.125,4.26757
1.25,4.23674
1.375,4.21002
1.5,4.18652
1.625,4.16561
1.75,4.14684
1.875,4.12982
2,4.11422
2.1875,4.09313
2.375,4.07431
2.5625,4.05732
2.75,4.04187
2.9375,4.02768
3.125,4.01455
3.3125,4.00234
3.5,3.99094
3.875,3.97013
4.25,3.95152
4.53125,3.93874
4.8125,3.92679
5,3.91926
5.3125,3.90738
5.625,3.89622
5.9375,3.88575
6.25,3.87589
6.5625,3.8666
6.875,3.85786
7.1875,3.84964
7.5,3.84195
7.8125,3.83477
8.125,3.82812
8.4375,3.82202
8.75,3.81651
9.0625,3.81161
9.375,3.8074
9.6875,3.80393
10,3.80129
10.3125,3.79958
10.625,3.79892
10.9375,3.79945
11.25,3.80135
11.5625,3.80484
11.875,3.81016
12.1875,3.81762
12.5,3.82759
12.7734,3.83874
13.0469,3.85255
13.3203,3.86944
13.5938,3.88948
13.8672,3.91406
14.1406,3.94361
14.4141,3.97905
14.5508,3.99933
14.6875,4.02152
14.8438,4.04949
15,4.08052
15.2149,4.12886
15.4297,4.18475
15.6445,4.2495
15.8594,4.32469
15.9668,4.36679
16.0742,4.41225
16.1817,4.4614
16.2891,4.51457
16.3965,4.57214
16.5039,4.63457
16.6113,4.70232
16.7188,4.77594
16.8164,4.84849
16.9141,4.92691
17.0117,5.01178
17.1094,5.10374
17.207,5.20347
17.3047,5.31146
17.4024,5.42866
17.5,5.55683
17.6074,5.71181
17.7148,5.88291
17.8223,6.07223
17.9297,6.28223
18.0371,6.51581
18.1445,6.77632
18.252,7.06777
18.3594,7.39492
18.4473,7.69308
18.5352,8.02259
18.6231,8.38774
18.7109,8.79354
18.7988,9.24594
18.8867,9.75196
18.9746,10.32
19.0186,10.6303
19.0625,10.96
19.1309,11.5152
19.1992,12.1275
19.2676,12.8044
19.3359,13.5555
19.4043,14.3927
19.4727,15.3296
19.541,16.3813
19.5752,16.9559
19.6094,17.5664
19.6582,18.5069
19.707,19.5368
19.7559,20.6674
19.8047,21.9117
19.8535,23.2854
19.8779,24.0264
19.9024,24.8063
19.9268,25.6285
19.9512,26.4955
19.9756,27.4106
20,28.3776
20.0309,29.6809
20.0617,31.0821
20.0926,32.5915
20.1235,34.2206
20.1543,35.9823
20.1852,37.8909
20.216,39.963
20.2469,42.2176
20.2752,44.4631
20.3035,46.8992
20.3318,49.548
20.3601,52.4345
20.3883,55.588
20.4025,57.2758
20.4166,59.0421
20.4308,60.8946
20.4449,62.836
20.4591,64.8737
20.4732,67.014
20.4873,69.2656
20.5015,71.6328
20.5156,74.1273
20.5298,76.7546
20.5439,79.5282
20.5581,82.4549
20.5722,85.5485
20.5863,88.8218
20.6005,92.2917
20.6146,95.9689
20.6288,99.876
20.6429,104.027
20.6571,108.448
20.6712,113.158
20.6854,118.186
20.6995,123.561
20.7149,129.862
20.7304,136.666
20.7458,144.027
20.7612,152.011
20.7767,160.691
20.7921,170.152
20.8075,180.493
20.8229,191.83
20.8371,203.218
20.8512,215.682
20.8654,229.366
20.8795,244.432
20.8866,252.561
20.8937,261.105
20.9008,270.109
20.9078,279.607
20.9149,289.652
20.922,300.26
20.929,311.489
20.9361,323.394
20.9432,336.048
20.9503,349.481
20.9573,363.781
20.9644,379.027
20.9715,395.329
20.9785,412.739
20.9856,431.387
20.9927,451.393
20.9998,472.923
21.0068,496.064
21.0139,521.009
21.021,547.941
21.0281,577.06
21.0351,608.588
21.0422,642.769
21.0493,679.868
21.0541,707.039
21.0589,735.746
21.0637,766.148
21.0685,798.355
21.0734,832.554
21.0782,868.726
21.083,907.066
21.0878,947.705
21.0927,990.871
21.0975,1036.53
21.1023,1084.91
21.1071,1136.16
21.112,1190.44
21.1168,1247.89
21.1216,1308.68
21.1264,1372.95
21.1335,1474.01
21.1406,1583.26
21.1476,1701.29
21.1547,1828.52
21.1618,1965.55
21.1688,2112.32
21.1759,2269.28
21.183,2436.61
21.1901,2614.63
21.1971,2802.8
21.2042,3001.21
21.2113,3209.53
