E_eV,Sig_b
1e-05,2556.01
1.03125e-05,2517
1.0625e-05,2479.72
1.09375e-05,2444.05
1.125e-05,2409.88
1.15625e-05,2377.1
1.1875e-05,2345.63
1.21875e-05,2315.37
1.25e-05,2286.26
1.28125e-05,2258.22
1.3125e-05,2231.18
1.34375e-05,2205.1
1.375e-05,2179.9
1.4375e-05,2132.01
1.5e-05,2087.14
1.5625e-05,2044.99
1.625e-05,2005.3
1.6875e-05,1967.84
1.75e-05,1932.4
1.8125e-05,1898.81
1.875e-05,1866.91
1.9375e-05,1836.57
2e-05,1807.66
2.09375e-05,1766.76
2.1875e-05,1728.51
2.28125e-05,1692.65
2.375e-05,1658.93
2.46875e-05,1627.15
2.5625e-05,1597.13
2.65625e-05,1568.71
2.75e-05,1541.77
2.84375e-05,1516.16
2.9375e-05,1491.79
3.03125e-05,1468.57
3.125e-05,1446.39
3.21875e-05,1425.19
3.3125e-05,1404.9
3.40625e-05,1385.45
3.5e-05,1366.79
3.59375e-05,1348.87
3.6875e-05,1331.63
3.78125e-05,1315.04
3.875e-05,1299.05
3.96875e-05,1283.64
4.0625e-05,1268.76
4.25e-05,1240.49
4.4375e-05,1214.04
4.625e-05,1189.21
4.8125e-05,1165.85
5e-05,1143.81
5.15625e-05,1126.38
5.3125e-05,1109.72
5.46875e-05,1093.78
5.625e-05,1078.5
5.78125e-05,1063.86
5.9375e-05,1049.79
6.09375e-05,1036.27
6.25e-05,1023.26
6.40625e-05,1010.73
6.5625e-05,998.648
6.71875e-05,986.991
6.875e-05,975.735
7.1875e-05,954.334
7.5e-05,934.286
7.8125e-05,915.454
8.125e-05,897.72
8.4375e-05,880.982
8.75e-05,865.148
9.0625e-05,850.142
9.375e-05,835.893
9.6875e-05,822.34
0.0001,809.428
0.000103125,797.108
0.00010625,785.336
0.000109375,774.072
0.0001125,763.282
0.000115625,752.932
0.00011875,742.994
0.000121875,733.442
0.000125,724.25
0.000128125,715.397
0.00013125,706.862
0.000134375,698.627
0.0001375,690.675
0.00014375,675.557
0.00015,661.394
0.00015625,648.092
0.0001625,635.565
0.00016875,623.742
0.000175,612.559
0.00018125,601.96
0.0001875,591.896
0.00019375,582.324
0.0002,573.205
0.000209375,560.301
0.00021875,548.237
0.000228125,536.925
0.0002375,526.292
0.000246875,516.271
0.00025625,506.806
0.000265625,497.847
0.000275,489.351
0.000284375,481.28
0.00029375,473.599
0.000303125,466.278
0.0003125,459.289
0.000321875,452.609
0.00033125,446.215
0.000340625,440.087
0.00035,434.207
0.000359375,428.56
0.00036875,423.13
0.000378125,417.904
0.0003875,412.868
0.000396875,408.013
0.00040625,403.327
0.000425,394.425
0.00044375,386.096
0.0004625,378.279
0.00048125,370.924
0.0005,363.988
0.000515625,358.5
0.00053125,353.257
0.000546875,348.241
0.0005625,343.435
0.000578125,338.826
0.00059375,334.401
0.000609375,330.148
0.000625,326.055
0.000640625,322.113
0.00065625,318.314
0.000671875,314.648
0.0006875,311.108
0.00071875,304.378
0.00075,298.074
0.00078125,292.154
0.0008125,286.579
0.00084375,281.318
0.000875,276.342
0.00090625,271.626
0.0009375,267.148
0.00096875,262.89
0.001,258.833
0.00103125,254.962
0.0010625,251.264
0.00109375,247.726
0.001125,244.336
0.00115625,241.085
0.0011875,237.964
0.00121875,234.964
0.00125,232.077
0.00128125,229.297
0.0013125,226.617
0.00134375,224.031
0.001375,221.535
0.0014375,216.788
0.0015,212.341
0.0015625,208.165
0.001625,204.233
0.0016875,200.521
0.00175,197.011
0.0018125,193.684
0.001875,190.525
0.0019375,187.52
0.002,184.658
0.00209375,180.608
0.0021875,176.822
0.00228125,173.271
0.002375,169.934
0.00246875,166.789
0.0025625,163.818
0.00265625,161.006
0.00275,158.34
0.00284375,155.807
0.0029375,153.396
0.00303125,151.098
0.003125,148.904
0.00321875,146.808
0.0033125,144.8
0.00340625,142.877
0.0035,141.031
0.00359375,139.259
0.0036875,137.554
0.00378125,135.913
0.003875,134.332
0.00396875,132.808
0.0040625,131.337
0.00425,128.542
0.0044375,125.927
0.004625,123.472
0.0048125,121.163
0.005,118.984
0.00515625,117.261
0.0053125,115.614
0.00546875,114.038
0.005625,112.529
0.00578125,111.081
0.0059375,109.691
0.00609375,108.355
0.00625,107.069
0.00640625,105.83
0.0065625,104.636
0.00671875,103.484
0.006875,102.372
0.0071875,100.257
0.0075,98.2759
0.0078125,96.4148
0.008125,94.6623
0.0084375,93.0082
0.00875,91.4436
0.0090625,89.9606
0.009375,88.5525
0.0096875,87.2132
0.01,85.9372
0.0103125,84.7198
0.010625,83.5565
0.0109375,82.4435
0.01125,81.3772
0.0115625,80.3545
0.011875,79.3725
