E_eV,Sig_b
1e-05,29.6644
1.03125e-05,29.2139
1.0625e-05,28.7834
1.09375e-05,28.3715
1.125e-05,27.9769
1.15625e-05,27.5985
1.1875e-05,27.2352
1.21875e-05,26.8859
1.25e-05,26.5499
1.28125e-05,26.2262
1.3125e-05,25.9142
1.34375e-05,25.6132
1.375e-05,25.3225
1.4375e-05,24.7699
1.5e-05,24.2523
1.5625e-05,23.7661
1.625e-05,23.3084
1.6875e-05,22.8763
1.75e-05,22.4677
1.8125e-05,22.0805
1.875e-05,21.7129
1.9375e-05,21.3633
2e-05,21.0302
2.09375e-05,20.559
2.1875e-05,20.1184
2.28125e-05,19.7055
2.375e-05,19.3173
2.46875e-05,18.9515
2.5625e-05,18.6061
2.65625e-05,18.2792
2.75e-05,17.9693
2.84375e-05,17.6749
2.9375e-05,17.3947
3.03125e-05,17.1277
3.125e-05,16.8729
3.21875e-05,16.6294
3.3125e-05,16.3963
3.40625e-05,16.173
3.5e-05,15.9587
3.59375e-05,15.753
3.6875e-05,15.5552
3.78125e-05,15.3648
3.875e-05,15.1814
3.96875e-05,15.0047
4.0625e-05,14.8341
4.25e-05,14.5101
4.4375e-05,14.207
4.625e-05,13.9227
4.8125e-05,13.6553
5e-05,13.4032
5.15625e-05,13.2038
5.3125e-05,13.0134
5.46875e-05,12.8312
5.625e-05,12.6567
5.78125e-05,12.4895
5.9375e-05,12.3289
6.09375e-05,12.1747
6.25e-05,12.0263
6.40625e-05,11.8834
6.5625e-05,11.7457
6.71875e-05,11.6129
6.875e-05,11.4847
7.1875e-05,11.2411
7.5e-05,11.0131
7.8125e-05,10.799
8.125e-05,10.5976
8.4375e-05,10.4076
8.75e-05,10.2281
9.0625e-05,10.058
9.375e-05,9.89669
9.6875e-05,9.74333
0.0001,9.59734
0.000103125,9.45813
0.00010625,9.32523
0.000109375,9.19815
0.0001125,9.07651
0.000115625,8.95992
0.00011875,8.84805
0.000121875,8.74059
0.000125,8.63727
0.000128125,8.53783
0.00013125,8.44204
0.000134375,8.34968
0.0001375,8.26056
0.00014375,8.09131
0.00015,7.93299
0.00015625,7.78449
0.0001625,7.64486
0.00016875,7.51326
0.000175,7.38897
0.00018125,7.27134
0.0001875,7.15981
0.00019375,7.05388
0.0002,6.95311
0.000209375,6.81077
0.00021875,6.67798
0.000228125,6.55373
0.0002375,6.43718
0.000246875,6.32758
0.00025625,6.22427
0.000265625,6.1267
0.000275,6.03437
0.000284375,5.94683
0.00029375,5.8637
0.000303125,5.78463
0.0003125,5.7093
0.000321875,5.63744
0.00033125,5.56881
0.000340625,5.50317
0.00035,5.44032
0.000359375,5.38007
0.00036875,5.32226
0.000378125,5.26673
0.0003875,5.21333
0.000396875,5.16195
0.00040625,5.11246
0.000425,5.01873
0.00044375,4.93137
0.0004625,4.84971
0.00048125,4.77318
0.0005,4.70128
0.000515625,4.6446
0.00053125,4.59061
0.000546875,4.53913
0.0005625,4.48996
0.000578125,4.44296
0.00059375,4.39797
0.000609375,4.35486
0.000625,4.31351
0.000640625,4.27381
0.00065625,4.23565
0.000671875,4.19895
0.0006875,4.16361
0.00071875,4.09674
0.00075,4.03447
0.00078125,3.97633
0.0008125,3.9219
0.00084375,3.87083
0.000875,3.82279
0.00090625,3.77752
0.0009375,3.73478
0.00096875,3.69435
0.001,3.65604
0.00103125,3.61968
0.0010625,3.58513
0.00109375,3.55224
0.001125,3.5209
0.00115625,3.49099
0.0011875,3.46242
0.00121875,3.4351
0.00125,3.40893
0.00128125,3.38385
0.0013125,3.3598
0.00134375,3.33669
0.001375,3.31449
0.0014375,3.27256
0.0015,3.23365
0.0015625,3.19742
0.001625,3.16359
0.0016875,3.13194
0.00175,3.10224
0.0018125,3.07432
0.001875,3.04802
0.0019375,3.0232
0.002,2.99973
0.00209375,2.96682
0.0021875,2.93637
0.00228125,2.90812
0.002375,2.88182
0.00246875,2.85728
0.0025625,2.83431
0.00265625,2.81277
0.00275,2.79251
0.00284375,2.77343
0.0029375,2.75542
0.00303125,2.73839
0.003125,2.72226
0.00321875,2.70696
0.0033125,2.69241
0.00340625,2.67857
0.0035,2.66538
0.00359375,2.6528
0.0036875,2.64077
0.00378125,2.62927
0.003875,2.61826
0.00396875,2.60771
0.0040625,2.59758
0.00425,2.5785
0.0044375,2.56084
0.004625,2.54443
0.0048125,2.52914
0.005,2.51485
0.00515625,2.50364
0.0053125,2.49301
