E_eV,Sig_b
1e-05,2899.54
1.03125e-05,2855.29
1.0625e-05,2813.01
1.09375e-05,2772.55
1.125e-05,2733.79
1.15625e-05,2696.61
1.1875e-05,2660.91
1.21875e-05,2626.6
1.25e-05,2593.57
1.28125e-05,2561.77
1.3125e-05,2531.1
1.34375e-05,2501.52
1.375e-05,2472.94
1.4375e-05,2418.62
1.5e-05,2367.73
1.5625e-05,2319.92
1.625e-05,2274.9
1.6875e-05,2232.41
1.75e-05,2192.21
1.8125e-05,2154.11
1.875e-05,2117.93
1.9375e-05,2083.52
2e-05,2050.74
2.09375e-05,2004.34
2.1875e-05,1960.96
2.28125e-05,1920.28
2.375e-05,1882.04
2.46875e-05,1846
2.5625e-05,1811.95
2.65625e-05,1779.72
2.75e-05,1749.16
2.84375e-05,1720.12
2.9375e-05,1692.48
3.03125e-05,1666.14
3.125e-05,1640.99
3.21875e-05,1616.95
3.3125e-05,1593.94
3.40625e-05,1571.88
3.5e-05,1550.72
3.59375e-05,1530.39
3.6875e-05,1510.84
3.78125e-05,1492.02
3.875e-05,1473.89
3.96875e-05,1456.41
4.0625e-05,1439.53
4.25e-05,1407.48
4.4375e-05,1377.48
4.625e-05,1349.32
4.8125e-05,1322.83
5e-05,1297.84
5.15585e-05,1278.11
5.31171e-05,1259.26
5.46756e-05,1241.23
5.62341e-05,1223.95
5.64453e-05,1221.66
5.72022e-05,1213.57
5.7959e-05,1205.64
5.94727e-05,1190.24
6.09863e-05,1175.41
6.25e-05,1161.13
6.40625e-05,1146.92
6.5625e-05,1133.22
6.71875e-05,1120
6.875e-05,1107.23
7.1875e-05,1082.97
7.5e-05,1060.23
7.8125e-05,1038.88
8.125e-05,1018.77
8.4375e-05,999.788
8.75e-05,981.835
9.0625e-05,964.819
9.375e-05,948.663
9.6875e-05,933.295
0.0001,918.654
0.000103125,904.685
0.00010625,891.337
0.000109375,878.566
0.0001125,866.331
0.000115625,854.596
0.00011875,843.329
0.000121875,832.498
0.000125,822.076
0.000128125,812.038
0.00013125,802.362
0.000134375,793.025
0.0001375,784.009
0.00014375,766.868
0.00015,750.811
0.00015625,735.729
0.0001625,721.527
0.00016875,708.123
0.000175,695.444
0.00018125,683.428
0.0001875,672.018
0.00019375,661.166
0.0002,650.828
0.000209375,636.198
0.00021875,622.521
0.000228125,609.697
0.0002375,597.642
0.000246875,586.28
0.00025625,575.55
0.000265625,565.393
0.000275,555.761
0.000284375,546.611
0.00029375,537.903
0.000303125,529.602
0.0003125,521.679
0.000321875,514.105
0.00033125,506.855
0.000340625,499.908
0.00035,493.242
0.000359375,486.839
0.00036875,480.682
0.000378125,474.756
0.0003875,469.047
0.000396875,463.541
0.00040625,458.228
0.000425,448.135
0.00044375,438.689
0.0004625,429.825
0.00048125,421.485
0.0005,413.62
0.000515585,407.412
0.000531171,401.479
0.000546756,395.803
0.000562341,390.365
0.000564453,389.645
0.000572022,387.099
0.00057959,384.604
0.000594727,379.757
0.000609863,375.091
0.000625,370.597
0.000640625,366.126
0.00065625,361.816
0.000671875,357.657
0.0006875,353.642
0.00071875,346.007
0.00075,338.856
0.00078125,332.139
0.0008125,325.813
0.00084375,319.843
0.000875,314.197
0.00090625,308.845
0.0009375,303.764
0.00096875,298.931
0.001,294.326
0.00103125,289.933
0.0010625,285.735
0.00109375,281.719
0.001125,277.872
0.00115625,274.181
0.0011875,270.638
0.00121875,267.232
0.00125,263.955
0.00128125,260.798
0.0013125,257.755
0.00134375,254.819
0.001375,251.984
0.0014375,246.594
0.0015,241.545
0.0015625,236.802
0.001625,232.335
0.0016875,228.12
0.00175,224.132
0.0018125,220.353
0.001875,216.765
0.0019375,213.352
0.002,210.1
0.00209375,205.498
0.0021875,201.196
0.00228125,197.162
0.002375,193.37
0.00246875,189.796
0.0025625,186.42
0.00265625,183.224
0.00275,180.194
0.00284375,177.315
0.0029375,174.574
0.00303125,171.962
0.003125,169.469
0.00321875,167.086
0.0033125,164.804
0.00340625,162.617
0.0035,160.519
0.00359375,158.504
0.0036875,156.566
0.00378125,154.701
0.003875,152.903
0.00396875,151.17
0.0040625,149.498
0.00425,146.32
0.0044375,143.346
0.004625,140.555
0.0048125,137.929
0.005,135.452
0.00515585,133.497
0.0053117,131.628
0.00546756,129.84
0.00562341,128.127
0.00564453,127.901
0.00572022,127.099
0.0057959,126.313
0.00594727,124.786
0.00609863,123.316
0.00625,121.9
0.00640625,120.492
0.0065625,119.134
0.00671875,117.824
0.006875,116.558
0.0071875,114.153
0.0075,111.899
0.0078125,109.782
0.008125,107.788
0.0084375,105.907
0.00875,104.127
0.0090625,102.439
0.009375,100.837
0.0096875,99.3133
0.01,97.8614
0.0103125,96.476
0.010625,95.1523
0.0109375,93.8858
0.01125,92.6725
0.0115625,91.5088
0.011875,90.3914
0.0121875,89.3173
0.0125,88.2838
0.0128125,87.2883
0.013125,86.3287
0.0134375,85.4027
0.01375,84.5085
0.014375,82.8083
0.015,81.2154
0.015625,79.7191
0.01625,78.3098
0.016875,76.9795
0.0175,75.721
0.018125,74.5283
0.01875,73.3957
0.019375,72.3184
0.02,71.292
0.0206625,70.2553
0.021325,69.2673
0.0219875,68.3243
0.02265,67.423
0.0233125,66.5604
0.023975,65.7338
0.0246375,64.9408
0.0253,64.1792
0.0261776,63.2151
0.0270552,62.2984
0.0279328,61.4252
0.0288104,60.5923
0.029688,59.7967
0.0305656,59.0356
0.0314432,58.3068
0.0323208,57.6078
0.0333292,56.839
0.0343377,56.1042
0.0353462,55.401
0.0363546,54.7272
0.0373631,54.0807
0.0383716,53.4598
0.0393801,52.8628
0.0403885,52.2883
0.041397,51.7349
0.0424055,51.2013
0.0434139,50.6863
0.0444224,50.189
0.0464393,49.2435
0.0484562,48.3575
0.05,47.716
0.0515585,47.0976
0.053117,46.5067
0.0546756,45.9413
0.0562341,45.3994
0.0564453,45.3278
0.0572022,45.0741
0.057959,44.8255
0.0594727,44.3426
0.0609863,43.8778
0.0625,43.43
0.0640625,42.9846
0.065625,42.5552
0.0671875,42.1409
0.06875,41.7409
0.071875,40.9801
0.075,40.2669
0.078125,39.5967
0.08125,38.9653
0.084375,38.3692
0.0875,37.8053
0.090625,37.2707
0.09375,36.763
0.096875,36.28
0.1,35.8198
0.103125,35.3806
0.10625,34.9609
0.109375,34.5592
0.1125,34.1743
0.115625,33.8051
0.11875,33.4505
0.121875,33.1096
0.125,32.7816
0.128125,32.4657
0.13125,32.1611
0.134375,31.8673
0.1375,31.5836
0.14375,31.044
0.15,30.5379
0.15625,30.062
0.1625,29.6137
0.16875,29.1902
0.175,28.7895
0.18125,28.4096
0.1875,28.0491
0.19375,27.7063
0.2,27.3797
0.209375,26.917
0.21875,26.4838
0.228125,26.0772
0.2375,25.6947
0.246875,25.3341
0.25625,24.9933
0.265625,24.6706
0.275,24.3644
0.284375,24.0733
0.29375,23.7961
0.303125,23.5317
0.3125,23.2792
0.321875,23.0377
0.33125,22.8066
0.340625,22.5851
0.35,22.3724
0.359375,22.168
0.36875,21.9713
0.378125,21.782
0.3875,21.5996
0.396875,21.4238
0.40625,21.2542
0.425,20.9318
0.44375,20.6295
0.4625,20.3455
0.5,19.8274
0.53117,19.4393
0.562341,19.0823
0.564453,19.0591
0.570312,18.9957
0.583984,18.852
0.597656,18.7141
0.625,18.4515
0.6875,17.9119
0.75,17.4446
0.8125,17.0366
0.875,16.6793
0.9375,16.3643
0.968749,16.2209
0.999999,16.0839
1,16.0839
1,16.0839
1.00001,16.0839
1.00002,16.0839
1.00003,16.0838
1.00006,16.0837
1.00012,16.0834
1.00025,16.0829
1.00049,16.0818
1.00098,16.0798
1.00195,16.0756
1.00391,16.0674
1.00781,16.051
1.02295,15.9891
1.03809,15.9295
1.06836,15.8166
1.12891,15.6094
1.18945,15.4263
1.25,15.2684
1.3589,15.0416
1.4678,14.8843
1.5,14.8526
1.5625,14.809
1.625,14.79
1.6875,14.7979
1.75,14.8336
1.77828,14.8595
1.7813,14.8628
1.79037,14.873
1.81658,14.907
1.84278,14.9477
1.89519,15.0491
1.94759,15.1784
2,15.3392
2.03861,15.4808
2.07721,15.6451
2.09652,15.7362
2.11582,15.8337
2.13513,15.938
2.15443,16.0494
2.15844,16.0735
2.16245,16.098
2.17336,16.1663
2.18426,16.2373
2.20607,16.3879
2.2497,16.7244
2.29332,17.1125
2.33694,17.5616
2.38056,18.0822
2.42418,18.6866
2.4678,19.3881
2.48962,19.7817
2.51143,20.2089
2.53611,20.7369
2.54845,21.02
2.56079,21.3166
2.56696,21.4702
2.57313,21.6275
2.5793,21.7887
2.58548,21.9537
2.59782,22.296
2.61016,22.6556
2.6124,22.7229
2.61464,22.7908
2.62074,22.9787
2.62684,23.1714
2.63903,23.5717
2.65123,23.9931
2.66342,24.437
2.68781,25.3981
2.7122,26.4684
2.73659,27.6641
2.76098,29.0053
2.78537,30.5156
2.80976,32.2238
2.8284,33.6843
2.84705,35.2987
2.8657,37.0891
2.88434,39.0824
2.90299,41.3121
2.92163,43.8168
2.93095,45.1864
2.94028,46.6429
2.9496,48.1935
2.95892,49.8463
2.96958,51.8725
2.98277,54.6067
2.99597,57.6216
3.00916,60.957
3.02236,64.6601
3.03555,68.7876
3.04875,73.4071
3.05535,75.9265
3.06194,78.6006
3.06854,81.4427
3.07514,84.4673
3.08058,87.1135
3.08603,89.9044
3.09148,92.8521
3.09692,95.9672
3.10237,99.2641
3.10782,102.756
3.11326,106.46
3.11871,110.393
3.12416,114.575
3.1296,119.026
3.13505,123.773
3.1405,128.841
3.14594,134.261
3.15139,140.065
3.15684,146.294
3.16228,152.988
3.17004,163.431
3.17416,169.454
3.17828,175.846
3.1824,182.639
3.18652,189.867
3.19064,197.569
3.19476,205.789
3.19888,214.576
3.20299,223.982
3.20711,234.072
3.21123,244.913
3.21535,256.585
3.21947,269.175
3.22359,282.786
3.22771,297.532
3.23183,313.545
3.23594,330.973
3.23861,343.083
3.24127,355.91
3.24394,369.512
3.2466,383.947
3.24926,399.292
3.25193,415.619
3.25459,433.008
3.25725,451.541
3.25992,471.329
3.26258,492.47
3.26525,515.079
3.26791,539.27
3.27057,565.192
3.27324,592.971
3.2759,622.778
3.27856,654.756
3.28223,702.622
3.28589,755.417
3.28955,813.647
3.29321,877.82
3.29505,912.329
3.29688,948.512
3.29871,986.476
3.30054,1026.25
3.30237,1067.93
3.3042,1111.55
3.30603,1157.18
3.30786,1204.89
3.31153,1306.75
3.31519,1417.42
3.31885,1537.22
3.32252,1666.16
3.32618,1804.25
3.32984,1951.14
3.3335,2106.35
3.33716,2269.12
3.34216,2501.38
3.34715,2742.19
3.35714,3230.82
3.36192,3457.12
3.3667,3670.97
3.37147,3866.47
3.37625,4037.83
3.37884,4118.84
3.38144,4190.39
3.38403,4251.76
3.38662,4302.34
3.38922,4341.67
3.39181,4369.33
3.39441,4385.05
3.397,4388.67
3.39908,4382.83
3.40245,4356.93
3.40582,4311.13
3.40919,4246.24
3.41256,4163.38
3.41594,4063.95
3.41931,3949.57
3.42268,3822.07
3.42605,3683.43
3.43054,3485.04
3.43502,3275.28
3.444,2840.2
3.45243,2436.74
3.45665,2244.03
3.46086,2060.08
3.46508,1886.24
3.46929,1723.55
3.47351,1572.55
3.47562,1501.52
3.47772,1433.5
3.47983,1368.4
3.48194,1306.22
3.48405,1246.91
3.48616,1190.41
3.48826,1136.65
3.49037,1085.54
3.49248,1037.01
3.49459,990.984
3.49669,947.321
3.4988,905.948
3.50091,866.765
3.50302,829.674
3.50513,794.575
3.50724,761.37
3.50934,729.961
3.51145,700.269
3.51356,672.173
3.51567,645.598
3.51777,620.458
3.51988,596.673
3.52199,574.161
3.5241,552.85
3.52621,532.666
3.52831,513.551
3.53061,493.82
3.53291,475.204
3.53521,457.613
3.53751,440.996
3.53981,425.272
3.54211,410.396
3.54671,382.941
3.55131,358.234
3.55591,335.927
3.56051,315.726
3.5651,297.374
3.56932,281.988
3.57354,267.825
3.57775,254.759
3.58197,242.676
3.58618,231.48
3.5904,221.083
3.59462,211.411
3.59883,202.398
3.60305,193.98
3.60726,186.108
3.61148,178.734
3.6157,171.818
3.61991,165.319
3.62413,159.205
3.62834,153.446
3.63256,148.016
3.63677,142.887
3.64099,138.038
3.64942,129.103
3.65785,121.067
3.66628,113.814
3.67472,107.243
3.68315,101.271
3.69158,95.8259
3.70001,90.8483
3.70691,87.0854
3.71381,83.5753
3.72071,80.2945
3.7276,77.2242
3.7345,74.3456
3.7414,71.6437
3.7483,69.1034
3.7552,66.7124
3.7621,64.4586
3.76899,62.3321
3.78279,58.4229
3.79659,54.919
3.81039,51.7663
3.82079,49.5936
3.83119,47.5781
3.83119,47.5777
3.8312,47.5766
3.8312,47.5755
3.83121,47.5734
3.83124,47.5691
3.83128,47.5605
3.83138,47.5433
3.83156,47.5092
3.83211,47.407
3.83266,47.3052
3.83428,47.0062
3.83591,46.7106
3.83916,46.1295
3.84567,45.0054
3.85218,43.93
3.85868,42.9006
3.86519,41.9143
3.8717,40.969
3.8782,40.0622
3.88471,39.192
3.89122,38.3562
3.89447,37.9506
3.89772,37.5531
3.90098,37.1632
3.90423,36.781
3.90748,36.4062
3.91074,36.0385
3.91725,35.3238
3.92375,34.6358
