E_eV,Sig_b
1e-05,35.9245
1.03125e-05,35.3875
1.0625e-05,34.8745
1.09375e-05,34.3838
1.125e-05,33.9139
1.15625e-05,33.4633
1.1875e-05,33.0307
1.21875e-05,32.615
1.25e-05,32.2152
1.28125e-05,31.8302
1.3125e-05,31.4591
1.34375e-05,31.1012
1.375e-05,30.7556
1.4375e-05,30.099
1.5e-05,29.4842
1.5625e-05,28.9071
1.625e-05,28.3639
1.6875e-05,27.8516
1.75e-05,27.3672
1.8125e-05,26.9084
1.875e-05,26.4731
1.9375e-05,26.0592
2e-05,25.6652
2.09375e-05,25.1079
2.1875e-05,24.5874
2.28125e-05,24.0998
2.375e-05,23.6418
2.46875e-05,23.2106
2.5625e-05,22.8036
2.65625e-05,22.4187
2.75e-05,22.054
2.84375e-05,21.7079
2.9375e-05,21.3787
3.03125e-05,21.0653
3.125e-05,20.7663
3.21875e-05,20.4808
3.3125e-05,20.2077
3.40625e-05,19.9463
3.5e-05,19.6956
3.59375e-05,19.455
3.6875e-05,19.2239
3.78125e-05,19.0017
3.875e-05,18.7878
3.96875e-05,18.5816
4.0625e-05,18.3829
4.25e-05,18.0058
4.4375e-05,17.6535
4.625e-05,17.3235
4.8125e-05,17.0136
5e-05,16.7217
5.15625e-05,16.4912
5.3125e-05,16.2712
5.46875e-05,16.0611
5.625e-05,15.86
5.78125e-05,15.6675
5.9375e-05,15.4829
6.09375e-05,15.3057
6.25e-05,15.1355
6.40625e-05,14.9717
6.5625e-05,14.8141
6.71875e-05,14.6622
6.875e-05,14.5158
7.1875e-05,14.238
7.5e-05,13.9785
7.8125e-05,13.7354
8.125e-05,13.5072
8.4375e-05,13.2923
8.75e-05,13.0897
9.0625e-05,12.8982
9.375e-05,12.7169
9.6875e-05,12.5449
0.0001,12.3814
0.000103125,12.2259
0.00010625,12.0778
0.000109375,11.9364
0.0001125,11.8013
0.000115625,11.6721
0.00011875,11.5483
0.000121875,11.4297
0.000125,11.3159
0.000128125,11.2065
0.00013125,11.1013
0.000134375,11.0001
0.0001375,10.9027
0.00014375,10.7181
0.00015,10.546
0.00015625,10.3852
0.0001625,10.2346
0.00016875,10.0931
0.000175,9.95988
0.00018125,9.83427
0.0001875,9.71556
0.00019375,9.60318
0.0002,9.49662
0.000209375,9.3467
0.00021875,9.20749
0.000228125,9.07784
0.0002375,8.95676
0.000246875,8.84339
0.00025625,8.737
0.000265625,8.63694
0.000275,8.54264
0.000284375,8.45359
0.00029375,8.36935
0.000303125,8.28954
0.0003125,8.21379
0.000321875,8.1418
0.00033125,8.07328
0.000340625,8.00797
0.00035,7.94566
0.000359375,7.88613
0.00036875,7.82919
0.000378125,7.77467
0.0003875,7.72241
0.000396875,7.67228
0.00040625,7.62414
0.000425,7.53335
0.00044375,7.4492
0.0004625,7.37096
0.00048125,7.298
0.0005,7.22979
0.000515625,7.17624
0.00053125,7.12543
0.000546875,7.07715
0.0005625,7.03119
0.000578125,6.9874
0.00059375,6.94562
0.000609375,6.9057
0.000625,6.86752
0.000640625,6.83096
0.00065625,6.79593
0.000671875,6.76231
0.0006875,6.73002
0.00071875,6.66913
0.00075,6.61267
0.00078125,6.56016
0.0008125,6.51118
0.00084375,6.46537
0.000875,6.42242
0.00090625,6.38205
0.0009375,6.34402
0.00096875,6.30814
0.001,6.2742
0.00103125,6.24206
0.0010625,6.21156
0.00109375,6.18257
0.001125,6.15498
0.00115625,6.12868
0.0011875,6.10358
0.00121875,6.0796
0.00125,6.05666
0.00128125,6.03468
0.0013125,6.01361
0.00134375,5.99338
0.001375,5.97394
0.0014375,5.93726
0.0015,5.90322
0.0015625,5.87152
0.001625,5.84192
0.0016875,5.8142
0.00175,5.78818
0.0018125,5.7637
0.001875,5.74061
0.0019375,5.7188
0.002,5.69814
0.00209375,5.66914
0.0021875,5.64225
0.00228125,5.61725
0.002375,5.59392
0.00246875,5.57209
0.0025625,5.55162
0.00265625,5.53237
0.00275,5.51422
0.00284375,5.49709
0.0029375,5.48088
0.00303125,5.46551
0.003125,5.45091
0.00321875,5.43703
0.0033125,5.42381
0.00340625,5.4112
0.0035,5.39915
0.00359375,5.38763
0.0036875,5.37659
0.00378125,5.36602
0.003875,5.35586
0.00396875,5.34611
0.0040625,5.33674
0.00425,5.31902
0.0044375,5.30254
0.004625,5.28718
0.0048125,5.27281
0.005,5.25934
0.00515625,5.24873
0.0053125,5.23864
0.00546875,5.22902
0.005625,5.21984
0.00578125,5.21107
0.0059375,5.20268
0.00609375,5.19465
0.00625,5.18694
0.00640625,5.17954
0.0065625,5.17244
0.00671875,5.1656
0.006875,5.15901
0.0071875,5.14655
0.0075,5.13494
0.0078125,5.12409
0.008125,5.11392
0.0084375,5.10437
0.00875,5.09537
0.0090625,5.08688
0.009375,5.07885
0.0096875,5.07123
0.01,5.06401
0.0103125,5.05714
0.010625,5.0506
0.0109375,5.04436
0.01125,5.0384
0.0115625,5.0327
0.011875,5.02724
0.0121875,5.02201
0.0125,5.01699
0.0128125,5.01217
0.013125,5.00753
0.0134375,5.00306
0.01375,4.99876
0.014375,4.99061
0.015,4.983
0.015625,4.97589
0.01625,4.96921
0.016875,4.96293
0.0175,4.95701
0.018125,4.95141
0.01875,4.94611
0.019375,4.94109
0.02,4.93631
0.0206625,4.93151
0.021325,4.92694
0.0219875,4.92258
0.02265,4.91843
0.0233125,4.91447
0.023975,4.91068
0.0246375,4.90706
0.0253,4.90358
0.0264578,4.89784
0.0276156,4.89248
0.0287734,4.88746
0.0299312,4.88276
0.0310891,4.87832
0.0322469,4.87414
0.0334047,4.87019
0.0345625,4.86645
0.0355273,4.86348
0.0364922,4.86063
0.037457,4.8579
0.0384219,4.85527
0.0393867,4.85275
0.0403516,4.85032
0.0413164,4.84797
0.0422812,4.84572
0.0442109,4.84143
0.0461406,4.83743
0.0480703,4.83368
0.05,4.83016
0.0515625,4.82746
0.053125,4.82488
0.0546875,4.82242
0.05625,4.82007
0.0578125,4.81781
0.059375,4.81565
0.0609375,4.81357
0.0625,4.81157
0.0640625,4.80965
0.065625,4.80781
0.0671875,4.80603
0.06875,4.80431
0.071875,4.80104
0.075,4.79799
0.078125,4.79513
0.08125,4.79244
0.084375,4.7899
0.0875,4.7875
0.090625,4.78523
0.09375,4.78308
0.096875,4.78103
0.1,4.77909
0.103125,4.77723
0.10625,4.77546
0.109375,4.77377
0.1125,4.77215
0.115625,4.77059
0.11875,4.7691
0.121875,4.76767
0.125,4.76629
0.128125,4.76497
0.13125,4.76369
0.134375,4.76246
0.1375,4.76127
0.14375,4.75901
0.15,4.7569
0.15625,4.75491
0.1625,4.75304
0.16875,4.75128
0.175,4.74961
