E_eV,Sig_b
1e-05,1081.93
1.03125e-05,1065.42
1.0625e-05,1049.66
1.09375e-05,1034.57
1.125e-05,1020.12
1.15625e-05,1006.26
1.1875e-05,992.947
1.21875e-05,980.152
1.25e-05,967.839
1.28125e-05,955.98
1.3125e-05,944.547
1.34375e-05,933.516
1.375e-05,922.863
1.4375e-05,902.61
1.5e-05,883.636
1.5625e-05,865.813
1.625e-05,849.029
1.6875e-05,833.187
1.75e-05,818.202
1.8125e-05,804
1.875e-05,790.514
1.9375e-05,777.686
2e-05,765.465
2.09375e-05,748.17
2.1875e-05,732
2.28125e-05,716.839
2.375e-05,702.585
2.46875e-05,689.151
2.5625e-05,676.462
2.65625e-05,664.452
2.75e-05,653.061
2.84375e-05,642.239
2.9375e-05,631.94
3.03125e-05,622.123
3.125e-05,612.752
3.21875e-05,603.793
3.3125e-05,595.218
3.40625e-05,587
3.5e-05,579.114
3.59375e-05,571.54
3.6875e-05,564.257
3.78125e-05,557.246
3.875e-05,550.492
3.96875e-05,543.979
4.0625e-05,537.693
4.25e-05,525.751
4.4375e-05,514.576
4.625e-05,504.088
4.8125e-05,494.22
5e-05,484.914
5.15625e-05,477.55
5.3125e-05,470.513
5.46875e-05,463.782
5.625e-05,457.333
5.78125e-05,451.147
5.9375e-05,445.208
6.09375e-05,439.5
6.25e-05,434.007
6.40625e-05,428.716
6.5625e-05,423.616
6.71875e-05,418.696
6.875e-05,413.944
7.1875e-05,404.911
7.5e-05,396.45
7.8125e-05,388.502
8.125e-05,381.019
8.4375e-05,373.956
8.75e-05,367.276
9.0625e-05,360.945
9.375e-05,354.934
9.6875e-05,349.218
0.0001,343.772
0.000103125,338.576
0.00010625,333.611
0.000109375,328.862
0.0001125,324.312
0.000115625,319.948
0.00011875,315.759
0.000121875,311.732
0.000125,307.857
0.000128125,304.126
0.00013125,300.529
0.000134375,297.058
0.0001375,293.707
0.00014375,287.336
0.00015,281.37
0.00015625,275.766
0.0001625,270.489
0.00016875,265.509
0.000175,260.8
0.00018125,256.337
0.0001875,252.1
0.00019375,248.07
0.0002,244.231
0.000209375,238.8
0.00021875,233.723
0.000228125,228.963
0.0002375,224.489
0.000246875,220.274
0.00025625,216.292
0.000265625,212.524
0.000275,208.951
0.000284375,205.557
0.00029375,202.328
0.000303125,199.25
0.0003125,196.312
0.000321875,193.504
0.00033125,190.816
0.000340625,188.241
0.00035,185.77
0.000359375,183.397
0.00036875,181.115
0.000378125,178.919
0.0003875,176.803
0.000396875,174.764
0.00040625,172.795
0.000425,169.056
0.00044375,165.557
0.0004625,162.274
0.00048125,159.186
0.0005,156.273
0.000515625,153.969
0.00053125,151.768
0.000546875,149.662
0.0005625,147.644
0.000578125,145.71
0.00059375,143.852
0.000609375,142.067
0.000625,140.349
0.000640625,138.694
0.00065625,137.1
0.000671875,135.561
0.0006875,134.075
0.00071875,131.251
0.00075,128.606
0.00078125,126.122
0.0008125,123.783
0.00084375,121.575
0.000875,119.487
0.00090625,117.509
0.0009375,115.63
0.00096875,113.843
0.001,112.141
0.00103125,110.518
0.0010625,108.966
0.00109375,107.482
0.001125,106.06
0.00115625,104.697
0.0011875,103.388
0.00121875,102.129
0.00125,100.918
0.00128125,99.7522
0.0013125,98.6281
0.00134375,97.5435
0.001375,96.4962
0.0014375,94.5053
0.0015,92.6404
0.0015625,90.8889
0.001625,89.2396
0.0016875,87.683
0.00175,86.2108
0.0018125,84.8156
0.001875,83.4909
0.0019375,82.2309
0.002,81.0306
0.00209375,79.3322
0.0021875,77.7443
0.00228125,76.2556
0.002375,74.8562
0.00246875,73.5373
0.0025625,72.2917
0.00265625,71.1128
0.00275,69.9948
0.00284375,68.9326
0.0029375,67.9219
0.00303125,66.9585
0.003125,66.0389
0.00321875,65.1598
0.0033125,64.3184
0.00340625,63.5121
0.0035,62.7384
0.00359375,61.9953
0.0036875,61.2808
0.00378125,60.5931
0.003875,59.9305
0.00396875,59.2916
0.0040625,58.675
0.00425,57.5037
0.0044375,56.4076
