E_eV,Sig_b
1e-05,9591.96
1.03125e-05,9445.53
1.0625e-05,9305.61
1.09375e-05,9171.73
1.125e-05,9043.46
1.15625e-05,8920.44
1.1875e-05,8802.3
1.21875e-05,8688.73
1.25e-05,8579.45
1.28125e-05,8474.2
1.3125e-05,8372.72
1.34375e-05,8274.81
1.375e-05,8180.26
1.4375e-05,8000.48
1.5e-05,7832.06
1.54624e-05,7714.09
1.59248e-05,7601.3
1.63871e-05,7493.32
1.68495e-05,7389.81
1.6875e-05,7384.23
1.69531e-05,7367.2
1.70313e-05,7350.29
1.71875e-05,7316.81
1.75e-05,7251.2
1.8125e-05,7125.11
1.875e-05,7005.38
1.9375e-05,6891.49
2e-05,6782.99
2.06427e-05,6676.59
2.12854e-05,6575.04
2.19281e-05,6478
2.25708e-05,6385.13
2.32136e-05,6296.14
2.38563e-05,6210.77
2.4499e-05,6128.79
2.51417e-05,6049.97
2.63208e-05,5912.95
2.75e-05,5784.83
2.84375e-05,5688.72
2.9375e-05,5597.24
3.03125e-05,5510.03
3.125e-05,5426.79
3.21875e-05,5347.2
3.3125e-05,5271.02
3.40625e-05,5198.01
3.5e-05,5127.96
3.625e-05,5038.81
3.75e-05,4954.15
3.875e-05,4873.63
4e-05,4796.92
4.125e-05,4723.71
4.25e-05,4653.77
4.4375e-05,4554.44
4.625e-05,4461.22
4.8125e-05,4373.5
5e-05,4290.76
5.22464e-05,4197.57
5.44928e-05,4110.19
5.67392e-05,4028.06
5.89856e-05,3950.67
6.07428e-05,3893.15
6.25e-05,3838.08
6.40625e-05,3791.02
6.5625e-05,3745.65
6.71875e-05,3701.88
6.875e-05,3659.6
7.1875e-05,3579.23
7.5e-05,3503.94
7.75e-05,3447.01
8e-05,3392.78
8.375e-05,3316.02
8.75e-05,3244.26
9.0625e-05,3187.89
9.375e-05,3134.37
9.6875e-05,3083.46
0.0001,3034.95
0.000104493,2969.07
0.000108986,2907.31
0.000113478,2849.25
0.000117971,2794.54
0.000121486,2753.88
0.000125,2714.94
0.000128125,2681.68
0.00013125,2649.61
0.000134375,2618.66
0.0001375,2588.78
0.00014375,2531.97
0.00015,2478.74
0.000155,2438.5
0.00016,2400.16
0.0001675,2345.91
0.000175,2295.19
0.00018125,2255.34
0.0001875,2217.51
0.00019375,2181.52
0.0002,2147.24
0.000206827,2111.58
0.000213655,2077.64
0.000220482,2045.29
0.00022731,2014.41
0.000234137,1984.89
0.000240964,1956.64
0.000247792,1929.56
0.000254619,1903.58
