E_eV,Sig_b
1e-05,1901.08
1.03125e-05,1872.05
1.0625e-05,1844.32
1.09375e-05,1817.78
1.125e-05,1792.35
1.15625e-05,1767.97
1.1875e-05,1744.55
1.21875e-05,1722.04
1.25e-05,1700.38
1.28125e-05,1679.51
1.3125e-05,1659.4
1.34375e-05,1639.99
1.375e-05,1621.25
1.4375e-05,1585.61
1.5e-05,1552.23
1.5625e-05,1520.87
1.625e-05,1491.33
1.6875e-05,1463.46
1.75e-05,1437.08
1.8125e-05,1412.09
1.875e-05,1388.36
1.9375e-05,1365.78
2e-05,1344.27
2.09375e-05,1313.83
2.1875e-05,1285.37
2.28125e-05,1258.68
2.375e-05,1233.59
2.46875e-05,1209.94
2.5625e-05,1187.6
2.65625e-05,1166.46
2.75e-05,1146.4
2.84375e-05,1127.35
2.9375e-05,1109.21
3.03125e-05,1091.93
3.125e-05,1075.42
3.21875e-05,1059.65
3.3125e-05,1044.55
3.40625e-05,1030.07
3.5e-05,1016.18
3.59375e-05,1002.84
3.6875e-05,990.011
3.78125e-05,977.661
3.875e-05,965.763
3.96875e-05,954.288
4.0625e-05,943.214
4.25e-05,922.174
4.4375e-05,902.482
4.625e-05,884
4.8125e-05,866.609
5e-05,850.205
5.15625e-05,837.225
5.3125e-05,824.822
5.46875e-05,812.954
5.625e-05,801.584
5.78125e-05,790.678
5.9375e-05,780.206
6.09375e-05,770.139
6.25e-05,760.452
6.40625e-05,751.121
6.5625e-05,742.126
6.71875e-05,733.446
6.875e-05,725.064
7.1875e-05,709.128
7.5e-05,694.199
7.8125e-05,680.174
8.125e-05,666.966
8.4375e-05,654.5
8.75e-05,642.707
9.0625e-05,631.53
9.375e-05,620.916
9.6875e-05,610.82
0.0001,601.201
0.000103125,592.023
0.00010625,583.252
0.000109375,574.861
0.0001125,566.821
0.000115625,559.11
0.00011875,551.705
0.000121875,544.586
0.000125,537.737
0.000128125,531.139
0.00013125,524.779
0.000134375,518.642
0.0001375,512.715
0.00014375,501.447
0.00015,490.89
0.00015625,480.973
0.0001625,471.635
0.00016875,462.82
0.000175,454.481
0.00018125,446.578
0.0001875,439.073
0.00019375,431.934
0.0002,425.133
0.000209375,415.508
0.00021875,406.508
0.000228125,398.069
0.0002375,390.135
0.000246875,382.657
0.00025625,375.594
0.000265625,368.907
0.000275,362.566
0.000284375,356.541
0.00029375,350.807
0.000303125,345.341
0.0003125,340.122
0.000321875,335.134
0.00033125,330.359
0.000340625,325.782
0.00035,321.39
0.000359375,317.172
0.00036875,313.115
0.000378125,309.21
0.0003875,305.448
0.000396875,301.82
0.00040625,298.318
0.000425,291.665
0.00044375,285.439
0.0004625,279.595
0.00048125,274.096
0.0005,268.91
0.000515625,264.806
0.00053125,260.884
0.000546875,257.131
0.0005625,253.536
0.000578125,250.088
0.00059375,246.777
0.000609375,243.594
0.000625,240.531
0.000640625,237.581
0.00065625,234.737
0.000671875,231.992
0.0006875,229.342
0.00071875,224.304
0.00075,219.583
0.00078125,215.149
0.0008125,210.973
0.00084375,207.031
0.000875,203.303
0.00090625,199.769
0.0009375,196.413
0.00096875,193.221
0.001,190.18
0.00103125,187.278
0.0010625,184.505
0.00109375,181.852
0.001125,179.311
0.00115625,176.872
0.0011875,174.531
0.00121875,172.281
0.00125,170.115
0.00128125,168.03
0.0013125,166.019
0.00134375,164.078
0.001375,162.205
0.0014375,158.642
0.0015,155.305
0.0015625,152.17
0.001625,149.217
0.0016875,146.43
0.00175,143.794
0.0018125,141.295
0.001875,138.923
0.0019375,136.666
0.002,134.515
0.00209375,131.472
0.0021875,128.627
0.00228125,125.959
