E_eV,Sig_b
1e-05,9575.76
1.03125e-05,9429.56
1.0625e-05,9289.87
1.09375e-05,9156.2
1.125e-05,9028.15
1.15625e-05,8905.32
1.1875e-05,8787.37
1.21875e-05,8673.99
1.25e-05,8564.88
1.28125e-05,8459.8
1.3125e-05,8358.49
1.34375e-05,8260.73
1.375e-05,8166.33
1.4375e-05,7986.84
1.5e-05,7818.7
1.5625e-05,7660.74
1.625e-05,7511.99
1.6875e-05,7371.58
1.75e-05,7238.76
1.8125e-05,7112.88
1.875e-05,6993.34
1.9375e-05,6879.63
2e-05,6771.3
2.09375e-05,6617.98
2.1875e-05,6474.64
2.28125e-05,6340.22
2.375e-05,6213.84
2.46875e-05,6094.73
2.5625e-05,5982.22
2.65625e-05,5875.72
2.75e-05,5774.72
2.84375e-05,5678.75
2.9375e-05,5587.41
3.03125e-05,5500.35
3.125e-05,5417.23
3.21875e-05,5337.77
3.3125e-05,5261.71
3.40625e-05,5188.81
3.5e-05,5118.86
3.59375e-05,5051.66
3.6875e-05,4987.05
3.78125e-05,4924.85
3.875e-05,4864.93
3.96875e-05,4807.14
4.0625e-05,4751.36
4.25e-05,4645.4
4.4375e-05,4546.22
4.625e-05,4453.14
4.8125e-05,4365.55
5e-05,4282.94
5.15625e-05,4217.57
5.3125e-05,4155.1
5.46875e-05,4095.33
5.625e-05,4038.07
5.78125e-05,3983.15
5.9375e-05,3930.41
6.09375e-05,3879.71
6.25e-05,3830.92
6.40625e-05,3783.94
6.5625e-05,3738.64
6.71875e-05,3694.92
6.875e-05,3652.71
7.1875e-05,3572.46
7.5e-05,3497.27
7.8125e-05,3426.64
8.125e-05,3360.13
8.4375e-05,3297.35
8.75e-05,3237.96
9.0625e-05,3181.68
9.375e-05,3128.23
9.6875e-05,3077.39
0.0001,3028.95
0.000103125,2982.73
0.00010625,2938.56
0.000109375,2896.31
0.0001125,2855.82
0.000115625,2816.99
0.00011875,2779.7
0.000121875,2743.86
0.000125,2709.37
0.000128125,2676.15
0.00013125,2644.12
0.000134375,2613.22
0.0001375,2583.37
0.00014375,2526.63
0.00015,2473.48
0.00015625,2423.55
0.0001625,2376.52
0.00016875,2332.14
0.000175,2290.15
0.00018125,2250.36
0.0001875,2212.57
0.00019375,2176.63
0.0002,2142.39
0.000209375,2093.93
0.00021875,2048.62
0.000228125,2006.13
0.0002375,1966.18
0.000246875,1928.54
0.00025625,1892.97
0.000265625,1859.31
0.000275,1827.39
0.000284375,1797.06
0.00029375,1768.19
0.000303125,1740.67
0.0003125,1714.4
0.000321875,1689.29
0.00033125,1665.25
0.000340625,1642.21
0.00035,1620.1
0.000359375,1598.87
0.00036875,1578.45
0.000378125,1558.79
0.0003875,1539.85
0.000396875,1521.59
0.00040625,1503.96
0.000425,1470.48
0.00044375,1439.14
0.0004625,1409.72
0.00048125,1382.04
0.0005,1355.94
0.000515625,1335.28
0.00053125,1315.54
0.000546875,1296.65
0.0005625,1278.56
0.000578125,1261.2
0.00059375,1244.54
0.000609375,1228.52
0.000625,1213.1
0.000640625,1198.26
0.00065625,1183.94
0.000671875,1170.13
0.0006875,1156.79
0.00071875,1131.43
0.00075,1107.68
0.00078125,1085.36
0.0008125,1064.35
0.00084375,1044.51
0.000875,1025.75
0.00090625,1007.96
0.0009375,991.075
0.00096875,975.012
0.001,959.708
0.00103125,945.105
0.0010625,931.151
0.00109375,917.8
0.001125,905.009
0.00115625,892.741
0.0011875,880.96
0.00121875,869.635
0.00125,858.737
0.00128125,848.241
0.0013125,838.123
0.00134375,828.359
0.001375,818.93
0.0014375,801.003
0.0015,784.209
0.0015625,768.433
0.001625,753.576
0.0016875,739.553
0.00175,726.288
0.0018125,713.715
0.001875,701.776
0.0019375,690.42
0.002,679.6
