E_eV,Sig_b
1e-05,78.2977
1.03125e-05,77.106
1.0625e-05,75.9674
1.09375e-05,74.8779
1.125e-05,73.8342
1.15625e-05,72.8331
1.1875e-05,71.8719
1.21875e-05,70.948
1.25e-05,70.0589
1.28125e-05,69.2026
1.3125e-05,68.3772
1.34375e-05,67.5807
1.375e-05,66.8116
1.4375e-05,65.3494
1.5e-05,63.9797
1.5625e-05,62.6931
1.625e-05,61.4816
1.6875e-05,60.3382
1.75e-05,59.2567
1.8125e-05,58.2317
1.875e-05,57.2586
1.9375e-05,56.3329
2e-05,55.4511
2.09375e-05,54.2034
2.1875e-05,53.0369
2.28125e-05,51.9432
2.375e-05,50.9151
2.46875e-05,49.9463
2.5625e-05,49.0313
2.65625e-05,48.1653
2.75e-05,47.3441
2.84375e-05,46.5639
2.9375e-05,45.8215
3.03125e-05,45.1139
3.125e-05,44.4385
3.21875e-05,43.793
3.3125e-05,43.1751
3.40625e-05,42.583
3.5e-05,42.0149
3.59375e-05,41.4693
3.6875e-05,40.9447
3.78125e-05,40.4398
3.875e-05,39.9534
3.96875e-05,39.4844
4.0625e-05,39.0318
4.25e-05,38.1722
4.4375e-05,37.3679
4.625e-05,36.6132
4.8125e-05,35.9033
5e-05,35.2339
5.15625e-05,34.7043
5.3125e-05,34.1984
5.46875e-05,33.7144
5.625e-05,33.2508
5.78125e-05,32.8063
5.9375e-05,32.3796
6.09375e-05,31.9695
6.25e-05,31.5749
6.40625e-05,31.195
6.5625e-05,30.8288
6.71875e-05,30.4755
6.875e-05,30.1345
7.1875e-05,29.4862
7.5e-05,28.8793
7.8125e-05,28.3093
8.125e-05,27.7729
8.4375e-05,27.2668
8.75e-05,26.7883
9.0625e-05,26.3349
9.375e-05,25.9047
9.6875e-05,25.4956
0.0001,25.106
0.000103125,24.7345
0.00010625,24.3796
0.000109375,24.0403
0.0001125,23.7153
0.000115625,23.4037
0.00011875,23.1047
0.000121875,22.8174
0.000125,22.541
0.000128125,22.275
0.00013125,22.0186
0.000134375,21.7714
0.0001375,21.5327
0.00014375,21.0793
0.00015,20.655
0.00015625,20.2567
0.0001625,19.882
0.00016875,19.5286
0.000175,19.1947
0.00018125,18.8785
0.0001875,18.5786
0.00019375,18.2935
0.0002,18.0222
0.000209375,17.6386
0.00021875,17.2806
0.000228125,16.9452
0.0002375,16.6304
0.000246875,16.3342
0.00025625,16.0547
0.000265625,15.7905
0.000275,15.5404
0.000284375,15.303
0.00029375,15.0774
0.000303125,14.8627
0.0003125,14.658
0.000321875,14.4625
0.00033125,14.2757
0.000340625,14.0969
0.00035,13.9256
0.000359375,13.7613
0.00036875,13.6035
0.000378125,13.4518
0.0003875,13.3058
0.000396875,13.1653
0.00040625,13.0298
0.000425,12.773
0.00044375,12.5333
0.0004625,12.3089
0.00048125,12.0984
0.0005,11.9004
0.000515625,11.7441
0.00053125,11.5951
0.000546875,11.4528
0.0005625,11.3168
0.000578125,11.1867
0.00059375,11.062
0.000609375,10.9424
0.000625,10.8276
0.000640625,10.7173
0.00065625,10.6112
0.000671875,10.509
0.0006875,10.4105
0.00071875,10.224
0.00075,10.05
0.00078125,9.88728
0.0008125,9.73472
0.00084375,9.59135
0.000875,9.45632
0.00090625,9.32889
0.0009375,9.20842
0.00096875,9.09432
0.001,8.98608
0.00103125,8.88324
0.0010625,8.78539
0.00109375,8.69216
0.001125,8.60323
0.00115625,8.51828
0.0011875,8.43706
0.00121875,8.3593
0.00125,8.2848
0.00128125,8.21333
0.0013125,8.14472
0.00134375,8.07878
0.001375,8.01537
0.0014375,7.89554
0.0015,7.7842
0.0015625,7.68044
0.001625,7.5835
0.0016875,7.49272
0.00175,7.40753
0.0018125,7.32741
0.001875,7.25191
0.0019375,7.18065
0.002,7.11327
0.00209375,7.01881
0.0021875,6.93147
0.00228125,6.85047
0.002375,6.77514
0.00246875,6.70491
0.0025625,6.63927
0.00265625,6.57779
0.00275,6.52009
0.00284375,6.46582
0.0029375,6.4147
0.00303125,6.36645
0.003125,6.32085
0.00321875,6.27767
0.0033125,6.23675
0.00340625,6.19789
0.0035,6.16096
