E_eV,Sig_b
1e-05,138.753
1.03125e-05,136.647
1.0625e-05,134.634
1.09375e-05,132.709
1.125e-05,130.864
1.15625e-05,129.095
1.1875e-05,127.397
1.21875e-05,125.764
1.25e-05,124.193
1.28125e-05,122.68
1.3125e-05,121.221
1.34375e-05,119.814
1.375e-05,118.455
1.4375e-05,115.872
1.5e-05,113.453
1.5625e-05,111.18
1.625e-05,109.04
1.6875e-05,107.021
1.75e-05,105.111
1.8125e-05,103.301
1.875e-05,101.583
1.9375e-05,99.9487
2e-05,98.3919
2.09375e-05,96.1893
2.1875e-05,94.1304
2.28125e-05,92.2002
2.375e-05,90.3859
2.46875e-05,88.6765
2.5625e-05,87.0621
2.65625e-05,85.5344
2.75e-05,84.0858
2.84375e-05,82.7098
2.9375e-05,81.4006
3.03125e-05,80.1529
3.125e-05,78.9621
3.21875e-05,77.8239
3.3125e-05,76.7347
3.40625e-05,75.6911
3.5e-05,74.6899
3.59375e-05,73.7284
3.6875e-05,72.804
3.78125e-05,71.9145
3.875e-05,71.0576
3.96875e-05,70.2315
4.0625e-05,69.4344
4.25e-05,67.9205
4.4375e-05,66.5043
4.625e-05,65.1758
4.8125e-05,63.9263
5e-05,62.7483
5.15625e-05,61.8166
5.3125e-05,60.9266
5.46875e-05,60.0754
5.625e-05,59.2602
5.78125e-05,58.4787
5.9375e-05,57.7284
6.09375e-05,57.0075
6.25e-05,56.3141
6.40625e-05,55.6465
6.5625e-05,55.0031
6.71875e-05,54.3825
6.875e-05,53.7834
7.1875e-05,52.6451
7.5e-05,51.5794
7.8125e-05,50.5792
8.125e-05,49.6379
8.4375e-05,48.7501
8.75e-05,47.9109
9.0625e-05,47.116
9.375e-05,46.3618
9.6875e-05,45.645
0.0001,44.9624
0.000103125,44.3117
0.00010625,43.6902
0.000109375,43.0961
0.0001125,42.5272
0.000115625,41.982
0.00011875,41.4588
0.000121875,40.9562
0.000125,40.4728
0.000128125,40.0076
0.00013125,39.5595
0.000134375,39.1273
0.0001375,38.7102
0.00014375,37.918
0.00015,37.1768
0.00015625,36.4814
0.0001625,35.8274
0.00016875,35.2108
0.000175,34.6283
0.00018125,34.0768
0.0001875,33.5538
0.00019375,33.0568
0.0002,32.5839
0.000209375,31.9156
0.00021875,31.2918
0.000228125,30.7079
0.0002375,30.1597
0.000246875,29.6439
0.00025625,29.1574
0.000265625,28.6976
0.000275,28.2622
0.000284375,27.8491
0.00029375,27.4565
0.000303125,27.0828
0.0003125,26.7265
0.000321875,26.3864
0.00033125,26.0613
0.000340625,25.75
0.00035,25.4518
0.000359375,25.1656
0.00036875,24.8908
0.000378125,24.6266
0.0003875,24.3723
0.000396875,24.1274
0.00040625,23.8913
0.000425,23.4434
0.00044375,23.0252
0.0004625,22.6335
0.00048125,22.2656
0.0005,21.9194
0.000515625,21.6458
0.00053125,21.3848
0.000546875,21.1355
0.0005625,20.8969
0.000578125,20.6684
0.00059375,20.4493
0.000609375,20.239
0.000625,20.0368
