E_eV,Sig_b
1e-05,25609.5
1.03125e-05,25218.6
1.0625e-05,24845
1.09375e-05,24487.6
1.125e-05,24145.2
1.15625e-05,23816.7
1.1875e-05,23501.3
1.21875e-05,23198.1
1.25e-05,22906.4
1.28125e-05,22625.4
1.3125e-05,22354.5
1.34375e-05,22093.1
1.375e-05,21840.6
1.4375e-05,21360.7
1.5e-05,20911.1
1.5625e-05,20488.7
1.625e-05,20090.9
1.6875e-05,19715.5
1.75e-05,19360.3
1.8125e-05,19023.7
1.875e-05,18704.1
1.9375e-05,18400
2e-05,18110.4
2.09375e-05,17700.4
2.1875e-05,17317.1
2.28125e-05,16957.7
2.375e-05,16619.8
2.46875e-05,16301.3
2.5625e-05,16000.5
2.65625e-05,15715.7
2.75e-05,15445.7
2.84375e-05,15189.1
2.9375e-05,14944.8
3.03125e-05,14712.1
3.125e-05,14489.8
3.21875e-05,14277.4
3.3125e-05,14074
3.40625e-05,13879.1
3.5e-05,13692.1
3.59375e-05,13512.4
3.6875e-05,13339.7
3.78125e-05,13173.4
3.875e-05,13013.1
3.96875e-05,12858.6
4.0625e-05,12709.5
4.25e-05,12426.2
4.4375e-05,12161.1
4.625e-05,11912.2
4.8125e-05,11678
5e-05,11457.2
5.15625e-05,11282.4
5.3125e-05,11115.4
5.46875e-05,10955.6
5.625e-05,10802.6
5.78125e-05,10655.7
5.9375e-05,10514.7
6.09375e-05,10379.2
6.25e-05,10248.8
6.40625e-05,10123.2
6.5625e-05,10002.1
6.71875e-05,9885.21
6.875e-05,9772.37
7.1875e-05,9557.84
7.5e-05,9356.85
7.8125e-05,9168.06
8.125e-05,8990.27
8.4375e-05,8822.46
8.75e-05,8663.72
9.0625e-05,8513.27
9.375e-05,8370.4
9.6875e-05,8234.51
0.0001,8105.05
0.000103125,7981.51
0.00010625,7863.47
0.000109375,7750.53
0.0001125,7642.33
0.000115625,7538.55
0.00011875,7438.9
0.000121875,7343.1
0.000125,7250.92
0.000128125,7162.14
0.00013125,7076.55
0.000134375,6993.96
0.0001375,6914.21
0.00014375,6762.58
0.00015,6620.53
0.00015625,6487.1
0.0001625,6361.45
0.00016875,6242.85
0.000175,6130.67
0.00018125,6024.34
0.0001875,5923.38
0.00019375,5827.35
0.0002,5735.85
0.000209375,5606.38
