E_eV,Sig_b
1e-05,156372
1.03125e-05,153984
1.0625e-05,151703
1.09375e-05,149520
1.125e-05,147428
1.15625e-05,145422
1.1875e-05,143496
1.21875e-05,141644
1.25e-05,139863
1.28125e-05,138146
1.3125e-05,136492
1.34375e-05,134895
1.375e-05,133353
1.4375e-05,130422
1.5e-05,127676
1.5625e-05,125096
1.625e-05,122667
1.6875e-05,120373
1.75e-05,118204
1.8125e-05,116148
1.875e-05,114196
1.9375e-05,112339
2e-05,110569
2.09375e-05,108065
2.1875e-05,105724
2.28125e-05,103529
2.375e-05,101465
2.46875e-05,99519.3
2.5625e-05,97681.7
2.65625e-05,95942.2
2.75e-05,94292.5
2.84375e-05,92725.1
2.9375e-05,91233.2
3.03125e-05,89811.2
3.125e-05,88453.6
3.21875e-05,87155.8
3.3125e-05,85913.4
3.40625e-05,84722.7
3.5e-05,83580.2
3.59375e-05,82482.7
3.6875e-05,81427.3
3.78125e-05,80411.4
3.875e-05,79432.6
3.96875e-05,78488.7
4.0625e-05,77577.6
4.25e-05,75846.8
4.4375e-05,74226.8
4.625e-05,72706.4
4.8125e-05,71275.8
5e-05,69926.3
5.15625e-05,68858.5
5.3125e-05,67838.2
5.46875e-05,66861.8
5.625e-05,65926.5
5.78125e-05,65029.3
5.9375e-05,64167.8
6.09375e-05,63339.6
6.25e-05,62542.7
6.40625e-05,61775.1
6.5625e-05,61035.1
6.71875e-05,60321.1
6.875e-05,59631.5
7.1875e-05,58320.5
7.5e-05,57092.3
7.8125e-05,55938.5
8.125e-05,54852
8.4375e-05,53826.3
8.75e-05,52856.2
9.0625e-05,51936.6
9.375e-05,51063.4
9.6875e-05,50232.8
0.0001,49441.5
0.000103125,48686.4
0.00010625,47964.9
0.000109375,47274.5
0.0001125,46613.1
0.000115625,45978.7
0.00011875,45369.5
0.000121875,44783.9
0.000125,44220.3
0.000128125,43677.6
0.00013125,43154.3
0.000134375,42649.4
0.0001375,42161.8
0.00014375,41234.7
0.00015,40366.2
0.00015625,39550.4
0.0001625,38782
0.00016875,38056.8
0.000175,37370.8
0.00018125,36720.6
0.0001875,36103.1
0.00019375,35515.8
0.0002,34956.3
0.000209375,34164.4
0.00021875,33424
0.000228125,32729.7
0.0002375,32077
0.000246875,31461.8
0.00025625,30880.6
0.000265625,30330.6
0.000275,29808.9
0.000284375,29313.2
0.00029375,28841.4
0.000303125,28391.7
0.0003125,27962.4
0.000321875,27552
0.00033125,27159.2
0.000340625,26782.7
0.00035,26421.4
0.000359375,26074.3
0.00036875,25740.6
0.000378125,25419.4
0.0003875,25109.9
0.000396875,24811.4
0.00040625,24523.3
0.000425,23976
0.00044375,23463.8
0.0004625,22983.1
0.00048125,22530.7
0.0005,22104.1
0.000515625,21766.5
0.00053125,21443.9
0.000546875,21135.2
0.0005625,20839.5
0.000578125,20555.8
0.00059375,20283.4
0.000609375,20021.6
0.000625,19769.7
0.000640625,19527
0.00065625,19293.1
0.000671875,19067.3
0.0006875,18849.3
0.00071875,18434.9
0.00075,18046.6
0.00078125,17681.9
0.0008125,17338.4
0.00084375,17014.2
0.000875,16707.5
0.00090625,16416.9
0.0009375,16140.9
0.00096875,15878.3
0.001,15628.2
0.00103125,15389.5
0.0010625,15161.5
0.00109375,14943.3
0.001125,14734.2
0.00115625,14533.7
0.0011875,14341.2
0.00121875,14156.1
0.00125,13978
0.00128125,13806.5
0.0013125,13641.1
0.00134375,13481.6
0.001375,13327.5
0.0014375,13034.5
0.0015,12760
0.0015625,12502.2
0.001625,12259.4
0.0016875,12030.2
0.00175,11813.5
0.0018125,11608
0.001875,11412.9
0.0019375,11227.3
0.002,11050.5
0.00209375,10800.2
0.0021875,10566.3
0.00228125,10346.9
0.002375,10140.6
0.00246875,9946.23
0.0025625,9762.61
0.00265625,9588.79
0.00275,9423.95
0.00284375,9267.32
0.0029375,9118.26
0.00303125,8976.18
0.003125,8840.54
0.00321875,8710.87
0.0033125,8586.75
0.00340625,8467.8
0.0035,8353.66
0.00359375,8244.01
0.0036875,8138.58
0.00378125,8037.1
0.003875,7939.32
0.00396875,7845.03
0.0040625,7754.02
0.00425,7581.12
0.0044375,7419.3
0.004625,7267.43
0.0048125,7124.52
0.005,6989.73
0.00515625,6883.06
0.0053125,6781.14
0.00546875,6683.63
0.005625,6590.2
0.00578125,6500.6
0.0059375,6414.55
0.00609375,6331.85
0.00625,6252.26
0.00640625,6175.61
0.0065625,6101.72
0.00671875,6030.42
0.006875,5961.56
0.0071875,5830.65
0.0075,5708
0.0078125,5592.79
0.008125,5484.28
0.0084375,5381.86
0.00875,5284.97
0.0090625,5193.13
0.009375,5105.93
0.0096875,5022.98
0.01,4943.95
0.0103125,4868.54
0.010625,4796.49
0.0109375,4727.55
0.01125,4661.51
0.0115625,4598.17
0.011875,4537.35
0.0121875,4478.89
0.0125,4422.64
0.0128125,4368.47
0.013125,4316.25
0.0134375,4265.85
0.01375,4217.19
0.014375,4124.67
0.015,4037.99
0.015625,3956.55
0.01625,3879.84
0.016875,3807.44
0.0175,3738.94
0.018125,3674.02
0.01875,3612.38
0.019375,3553.74
0.02,3497.87
0.0206625,3441.45
0.021325,3387.68
0.0219875,3336.37
0.02265,3287.33
0.0233125,3240.41
0.023975,3195.45
0.0246375,3152.34
0.0253,3110.95
0.0264578,3042.4
0.0276156,2978.25
0.0287734,2918.03
0.0299312,2861.36
0.0310891,2807.9
0.0322469,2757.36
0.0334047,2709.47
0.0345625,2664
0.0355273,2627.81
0.0364922,2593.05
0.037457,2559.64
0.0384219,2527.49
0.0393867,2496.53
0.0403516,2466.68
0.0413164,2437.88
0.0422812,2410.07
0.0442109,2357.21
0.0461406,2307.7
0.0480703,2261.21
0.05,2217.43
0.0515625,2183.79
0.053125,2151.66
0.0546875,2120.9
0.05625,2091.44
0.0578125,2063.18
0.059375,2036.05
0.0609375,2009.96
0.0625,1984.86
0.0640625,1960.69
0.065625,1937.4
0.0671875,1914.93
0.06875,1893.23
0.071875,1851.97
0.075,1813.29
0.078125,1776.93
0.08125,1742.69
0.084375,1710.37
0.0875,1679.79
0.090625,1650.81
0.09375,1623.29
0.096875,1597.11
0.1,1572.17
0.103125,1548.37
0.10625,1525.63
0.109375,1503.87
0.1125,1483.02
0.115625,1463.02
0.11875,1443.82
0.121875,1425.36
0.125,1407.6
0.128125,1390.49
0.13125,1374.01
0.134375,1358.11
0.1375,1342.76
0.14375,1313.58
0.15,1286.2
0.15625,1260.47
0.1625,1236.24
0.16875,1213.37
0.175,1191.73
0.18125,1171.22
0.1875,1151.75
0.19375,1133.24
0.2,1115.62
0.209375,1090.67
0.21875,1067.31
0.228125,1045.41
0.2375,1024.81
0.246875,1005.4
0.25625,987.063
0.265625,969.706
0.275,953.244
0.284375,937.603
0.29375,922.717
0.303125,908.527
0.3125,894.98
0.321875,882.029
0.33125,869.631
0.340625,857.749
0.35,846.348
0.359375,835.395
0.36875,824.862
0.378125,814.724
0.3875,804.956
0.396875,795.545
0.40625,786.479
0.425,769.236
0.44375,753.062
0.4625,737.88
0.5,710.167
0.53125,689.355
0.5625,670.257
0.59375,652.687
0.625,636.452
0.6875,607.37
0.75,582.004
0.8125,559.624
0.875,539.726
0.9375,521.851
1,505.572
1.0625,490.175
1.125,476.033
1.1875,463.042
1.25,451.052
1.375,429.613
1.5,410.954
1.625,394.525
1.75,379.937
1.875,366.856
2,355.009
2.125,344.132
2.25,334.184
2.375,325.048
2.5,316.619
2.75,301.553
3,288.442
3.25,276.776
3.5,266.418
3.75,257.138
3.875,252.907
3.90625,251.87
3.92187,251.4
3.92969,251.216
3.93359,251.149
3.9375,251.106
3.94141,251.093
3.94531,251.118
3.94922,251.189
3.95313,251.314
3.95703,251.503
3.96094,251.764
3.96484,252.103
3.96875,252.527
3.97266,253.038
3.97656,253.637
3.98047,254.32
3.98438,255.081
3.98828,255.909
3.99219,256.79
4,258.645
4,258.645
4.00098,258.88
4.00196,259.114
4.00391,259.581
4.00781,260.496
4.01172,261.373
4.01563,262.195
4.01953,262.95
4.02344,263.628
4.02735,264.221
4.03125,264.729
4.03516,265.15
4.03906,265.489
4.04297,265.751
4.04688,265.942
4.05469,266.15
4.0625,266.179
4.07031,266.09
4.07813,265.928
4.09375,265.503
4.125,264.554
4.25,260.743
4.5,253.717
4.75,247.265
5,241.309
5.25,235.722
5.5,230.525
5.75,225.679
6,221.147
6.25,216.896
6.5,212.898
6.75,209.13
7,205.57
7.375,200.522
7.75,195.848
8.5,187.472
9.25,180.163
10,173.713
10.7924,167.628
11.5847,162.151
12.3771,157.264
13.1694,152.814
13.9618,148.781
14.7541,145
15.5465,141.487
16.3388,138.243
17.2541,134.798
18.1694,131.618
19.0847,128.667
20,125.923
21.25,122.45
22.5,119.278
23.75,116.369
25,113.688
26.25,111.209
27.5,108.906
30,104.754
32.5,101.014
35,97.6991
37.5,94.7341
40,92.0612
42.5,89.6368
45,87.425
47.5,85.3967
50,83.5275
52.5,81.755
55,80.1091
57.5,78.5764
60,77.1444
62.5,75.8028
65,74.5425
67.5,73.3556
70,72.2353
73.75,70.6338
77.5,69.1543
81.25,67.7828
85,66.507
92.5,64.2019
100,62.1715
106.25,60.6035
112.5,59.1733
118.75,57.8628
125,56.6562
131.25,55.5407
137.5,54.5054
150,52.6406
162.5,51.004
175,49.553
187.5,48.2551
200,47.0849
212.5,45.9881
225,44.9875
237.5,44.0702
250,43.2252
262.5,42.4437
275,41.718
287.5,41.0418
300,40.4097
325,39.2346
350,38.1922
375,37.2594
400,36.4181
425,35.6545
450,34.9571
475,34.3171
500,33.7269
525,33.1722
550,32.6567
575,32.1759
600,31.7262
625,31.3043
650,30.9074
675,30.5331
700,30.1794
737.5,29.6811
775,29.2199
812.5,28.7912
850,28.3916
925,27.6669
1000,27.0257
1062.5,26.55
1125,26.1141
1187.5,25.7128
1250,25.3414
1312.5,24.9966
1375,24.6751
1437.5,24.3744
1500,24.0923
1625,23.5766
1750,23.1159
1875,22.7007
2000,22.3239
2125,21.9935
2250,21.6895
2375,21.4084
2500,21.1474
2625,20.9042
2750,20.6766
3000,20.2623
3250,19.9182
3500,19.608
3750,19.3263
