E_eV,Sig_b
1e-05,186.954
1.03125e-05,184.125
1.0625e-05,181.421
1.09375e-05,178.834
1.125e-05,176.356
1.15625e-05,173.98
1.1875e-05,171.698
1.21875e-05,169.505
1.25e-05,167.395
1.28125e-05,165.363
1.3125e-05,163.405
1.34375e-05,161.515
1.375e-05,159.69
1.4375e-05,156.221
1.5e-05,152.973
1.5625e-05,149.921
1.625e-05,147.049
1.6875e-05,144.338
1.75e-05,141.774
1.8125e-05,139.345
1.875e-05,137.039
1.9375e-05,134.846
2e-05,132.757
2.09375e-05,129.802
2.1875e-05,127.039
2.28125e-05,124.45
2.375e-05,122.016
2.46875e-05,119.724
2.5625e-05,117.559
2.65625e-05,115.51
2.75e-05,113.568
2.84375e-05,111.723
2.9375e-05,109.968
3.03125e-05,108.296
3.125e-05,106.7
3.21875e-05,105.175
3.3125e-05,103.715
3.40625e-05,102.317
3.5e-05,100.976
3.59375e-05,99.6877
3.6875e-05,98.4495
3.78125e-05,97.2581
3.875e-05,96.1105
3.96875e-05,95.0043
4.0625e-05,93.9369
4.25e-05,91.9101
4.4375e-05,90.0144
4.625e-05,88.2363
4.8125e-05,86.5643
5e-05,84.9882
5.15625e-05,83.7417
5.3125e-05,82.5513
5.46875e-05,81.4128
5.625e-05,80.3227
5.78125e-05,79.2776
5.9375e-05,78.2746
6.09375e-05,77.3108
6.25e-05,76.3839
6.40625e-05,75.4916
6.5625e-05,74.6318
6.71875e-05,73.8025
6.875e-05,73.002
7.1875e-05,71.4812
7.5e-05,70.0579
7.8125e-05,68.722
8.125e-05,67.4651
8.4375e-05,66.2798
8.75e-05,65.1596
9.0625e-05,64.0987
9.375e-05,63.0922
9.6875e-05,62.1356
0.0001,61.225
0.000103125,60.3568
0.00010625,59.5279
0.000109375,58.7354
0.0001125,57.9767
0.000115625,57.2496
0.00011875,56.5519
0.000121875,55.8817
0.000125,55.2372
0.000128125,54.617
0.00013125,54.0195
0.000134375,53.4433
0.0001375,52.8873
0.00014375,51.8313
0.00015,50.8432
0.00015625,49.9163
0.0001625,49.0445
0.00016875,48.2226
0.000175,47.4461
0.00018125,46.7109
0.0001875,46.0136
0.00019375,45.351
0.0002,44.7204
0.000209375,43.8292
0.00021875,42.9971
0.000228125,42.218
0.0002375,41.4865
0.000246875,40.798
0.00025625,40.1484
0.000265625,39.5343
0.000275,38.9526
0.000284375,38.4006
0.00029375,37.8757
0.000303125,37.376
0.0003125,36.8993
0.000321875,36.4442
0.00033125,36.0089
0.000340625,35.592
0.00035,35.1925
0.000359375,34.8089
0.00036875,34.4404
0.000378125,34.086
0.0003875,33.7448
0.000396875,33.4161
0.00040625,33.099
0.000425,32.4972
0.00044375,31.9347
0.0004625,31.4075
0.00048125,30.912
0.0005,30.4452
0.000515625,30.0762
0.00053125,29.7239
0.000546875,29.387
0.0005625,29.0646
0.000578125,28.7556
0.00059375,28.4591
0.000609375,28.1742
0.000625,27.9003
0.000640625,27.6367
0.00065625,27.3826
0.000671875,27.1377
0.0006875,26.9013
0.00071875,26.4522
0.00075,26.032
0.00078125,25.6376
0.0008125,25.2665
0.00084375,24.9166
0.000875,24.5859
0.00090625,24.2727
0.0009375,23.9755
0.00096875,23.6931
0.001,23.4242
0.00103125,23.1677
0.0010625,22.9228
0.00109375,22.6887
0.001125,22.4645
0.00115625,22.2495
0.0011875,22.0432
0.00121875,21.8451
0.00125,21.6544
0.00128125,21.4709
0.0013125,21.2941
0.00134375,21.1235
0.001375,20.9589
0.0014375,20.6461
0.0015,20.3533
0.0015625,20.0784
0.001625,19.8197
0.0016875,19.5757
0.00175,19.345
0.0018125,19.1265
0.001875,18.9191
0.0019375,18.7219
0.002,18.5342
0.00209375,18.2686
0.0021875,18.0205
0.00228125,17.788
0.002375,17.5695
0.00246875,17.3637
0.0025625,17.1694
0.00265625,16.9855
0.00275,16.8113
0.00284375,16.6458
0.0029375,16.4883
0.00303125,16.3383
0.003125,16.1952
0.00321875,16.0584
0.0033125,15.9275
0.00340625,15.802
0.0035,15.6817
0.00359375,15.5662
0.0036875,15.4552
0.00378125,15.3483
0.003875,15.2453
0.00396875,15.1461
0.0040625,15.0503
0.00425,14.8685
0.0044375,14.6984
0.004625,14.5388
0.0048125,14.3886
0.005,14.2471
0.00515625,14.1351
0.0053125,14.0282
0.00546875,13.9259
0.005625,13.8279
0.00578125,13.7339
0.0059375,13.6437
0.00609375,13.5571
0.00625,13.4737
0.00640625,13.3934
0.0065625,13.316
0.00671875,13.2413
0.006875,13.1692
0.0071875,13.0322
0.0075,12.9039
0.0078125,12.7834
0.008125,12.6699
0.0084375,12.5628
0.00875,12.4616
0.0090625,12.3656
0.009375,12.2746
0.0096875,12.1879
0.01,12.1054
0.0103125,12.0267
0.010625,11.9515
0.0109375,11.8796
0.01125,11.8107
0.0115625,11.7447
0.011875,11.6813
0.0121875,11.6203
0.0125,11.5617
0.0128125,11.5052
0.013125,11.4508
0.0134375,11.3983
0.01375,11.3476
0.014375,11.2512
0.015,11.161
0.015625,11.0762
0.01625,10.9964
0.016875,10.921
0.0175,10.8497
0.018125,10.7822
0.01875,10.7181
0.019375,10.6571
0.02,10.5991
0.0206625,10.5404
0.021325,10.4845
0.0219875,10.4312
0.02265,10.3802
0.0233125,10.3315
0.023975,10.2847
0.0246375,10.2399
0.0253,10.1969
0.0264578,10.1256
