E_eV,Sig_b
1e-05,6.09332e+06
1.03805e-05,5.98085e+06
1.07609e-05,5.87441e+06
1.11414e-05,5.77346e+06
1.15219e-05,5.67757e+06
1.15436e-05,5.67225e+06
1.15918e-05,5.66046e+06
1.16401e-05,5.64875e+06
1.17365e-05,5.62554e+06
1.19295e-05,5.57998e+06
1.23154e-05,5.49209e+06
1.23268e-05,5.48955e+06
1.23568e-05,5.4829e+06
1.23867e-05,5.47628e+06
1.24467e-05,5.46312e+06
1.25666e-05,5.43707e+06
1.28063e-05,5.38607e+06
1.32858e-05,5.28825e+06
1.37653e-05,5.19559e+06
1.42449e-05,5.10766e+06
1.46056e-05,5.04438e+06
1.49663e-05,4.98341e+06
1.53271e-05,4.9246e+06
1.56878e-05,4.86784e+06
1.64093e-05,4.75999e+06
1.71307e-05,4.65903e+06
1.78481e-05,4.5648e+06
1.85654e-05,4.47609e+06
1.92827e-05,4.39238e+06
2e-05,4.31322e+06
2.0583e-05,4.25196e+06
2.1166e-05,4.19325e+06
2.1749e-05,4.13692e+06
2.2332e-05,4.08281e+06
2.2915e-05,4.03079e+06
2.3498e-05,3.98072e+06
2.4081e-05,3.93248e+06
2.4664e-05,3.88596e+06
2.58217e-05,3.79832e+06
2.69794e-05,3.71638e+06
2.8137e-05,3.63957e+06
2.92947e-05,3.56737e+06
3.02436e-05,3.51131e+06
3.11925e-05,3.45783e+06
3.21413e-05,3.40675e+06
3.30902e-05,3.35788e+06
3.31537e-05,3.35469e+06
3.32984e-05,3.34744e+06
3.34431e-05,3.34024e+06
3.37325e-05,3.32598e+06
3.43114e-05,3.29801e+06
3.54691e-05,3.24413e+06
3.66267e-05,3.19284e+06
3.77844e-05,3.14393e+06
3.78321e-05,3.14196e+06
3.79761e-05,3.13605e+06
3.812e-05,3.13016e+06
3.8408e-05,3.1185e+06
3.89838e-05,3.09557e+06
4.01355e-05,3.0512e+06
4.12873e-05,3.0087e+06
4.2439e-05,2.96795e+06
4.35907e-05,2.92883e+06
4.47424e-05,2.89123e+06
4.58942e-05,2.85506e+06
4.70459e-05,2.82024e+06
4.85229e-05,2.77741e+06
5e-05,2.73649e+06
5.23399e-05,2.67527e+06
5.46798e-05,2.61803e+06
5.70196e-05,2.56437e+06
5.93595e-05,2.51392e+06
5.93945e-05,2.51319e+06
5.9491e-05,2.51118e+06
5.95875e-05,2.50917e+06
5.98708e-05,2.5033e+06
6.01542e-05,2.49746e+06
6.0721e-05,2.48592e+06
6.18546e-05,2.46333e+06
6.41217e-05,2.41995e+06
6.63888e-05,2.37882e+06
6.8656e-05,2.33975e+06
