E_eV,Sig_b
1e-05,30.0865
1.03125e-05,29.6365
1.0625e-05,29.2066
1.09375e-05,28.7954
1.125e-05,28.4016
1.15625e-05,28.024
1.1875e-05,27.6615
1.21875e-05,27.3132
1.25e-05,26.9781
1.28125e-05,26.6554
1.3125e-05,26.3444
1.34375e-05,26.0445
1.375e-05,25.7549
1.4375e-05,25.2045
1.5e-05,24.6893
1.5625e-05,24.2055
1.625e-05,23.7503
1.6875e-05,23.3208
1.75e-05,22.9149
1.8125e-05,22.5303
1.875e-05,22.1654
1.9375e-05,21.8184
2e-05,21.4881
2.09375e-05,21.021
2.1875e-05,20.5847
2.28125e-05,20.1759
2.375e-05,19.7919
2.46875e-05,19.4303
2.5625e-05,19.0891
2.65625e-05,18.7664
2.75e-05,18.4606
2.84375e-05,18.1703
2.9375e-05,17.8943
3.03125e-05,17.6315
3.125e-05,17.3807
3.21875e-05,17.1413
3.3125e-05,16.9123
3.40625e-05,16.693
3.5e-05,16.4827
3.59375e-05,16.2809
3.6875e-05,16.0871
3.78125e-05,15.9006
3.875e-05,15.7212
3.96875e-05,15.5483
4.0625e-05,15.3815
4.25e-05,15.0651
4.4375e-05,14.7695
4.625e-05,14.4926
4.8125e-05,14.2325
5e-05,13.9875
5.15625e-05,13.794
5.3125e-05,13.6094
5.46875e-05,13.433
5.625e-05,13.2642
5.78125e-05,13.1025
5.9375e-05,12.9475
6.09375e-05,12.7987
6.25e-05,12.6557
6.40625e-05,12.5182
6.5625e-05,12.3858
6.71875e-05,12.2582
6.875e-05,12.1352
7.1875e-05,11.9018
7.5e-05,11.6837
7.8125e-05,11.4794
8.125e-05,11.2875
8.4375e-05,11.1069
8.75e-05,10.9365
9.0625e-05,10.7754
9.375e-05,10.6228
9.6875e-05,10.4781
0.0001,10.3406
0.000103125,10.2097
0.00010625,10.0849
0.000109375,9.96586
0.0001125,9.85208
0.000115625,9.74322
0.00011875,9.63895
0.000121875,9.53896
0.000125,9.44299
0.000128125,9.35077
0.00013125,9.26209
0.000134375,9.17672
0.0001375,9.09448
0.00014375,8.93867
0.00015,8.79339
0.00015625,8.65755
0.0001625,8.53021
0.00016875,8.41056
0.000175,8.29787
0.00018125,8.19154
0.0001875,8.09101
0.00019375,7.99579
0.0002,7.90545
0.000209375,7.77827
0.00021875,7.66009
0.000228125,7.54993
