E_eV,Sig_b
1e-05,261.795
1.03125e-05,257.807
1.0625e-05,253.996
1.09375e-05,250.351
1.125e-05,246.858
1.15625e-05,243.508
1.1875e-05,240.291
1.21875e-05,237.199
1.25e-05,234.223
1.28125e-05,231.358
1.3125e-05,228.595
1.34375e-05,225.929
1.375e-05,223.355
1.4375e-05,218.461
1.5e-05,213.877
1.5625e-05,209.571
1.625e-05,205.516
1.6875e-05,201.688
1.75e-05,198.068
1.8125e-05,194.637
1.875e-05,191.379
1.9375e-05,188.28
2e-05,185.328
2.09375e-05,181.151
2.1875e-05,177.246
2.28125e-05,173.584
2.375e-05,170.142
2.46875e-05,166.897
2.5625e-05,163.833
2.65625e-05,160.933
2.75e-05,158.183
2.84375e-05,155.571
2.9375e-05,153.084
3.03125e-05,150.714
3.125e-05,148.452
3.21875e-05,146.29
3.3125e-05,144.22
3.40625e-05,142.236
3.5e-05,140.333
3.59375e-05,138.505
3.6875e-05,136.748
3.78125e-05,135.056
3.875e-05,133.427
3.96875e-05,131.855
4.0625e-05,130.339
4.25e-05,127.458
4.4375e-05,124.763
4.625e-05,122.233
4.8125e-05,119.853
5e-05,117.609
5.15625e-05,115.834
5.3125e-05,114.138
5.46875e-05,112.515
5.625e-05,110.96
5.78125e-05,109.47
5.9375e-05,108.039
6.09375e-05,106.663
6.25e-05,105.34
6.40625e-05,104.065
6.5625e-05,102.837
6.71875e-05,101.651
6.875e-05,100.507
7.1875e-05,98.3316
7.5e-05,96.2944
7.8125e-05,94.3814
8.125e-05,92.5803
8.4375e-05,90.8808
8.75e-05,89.2738
9.0625e-05,87.751
9.375e-05,86.3055
9.6875e-05,84.931
0.0001,83.6218
0.000103125,82.373
0.00010625,81.1801
0.000109375,80.039
0.0001125,78.9461
0.000115625,77.8982
0.00011875,76.8922
0.000121875,75.9255
0.000125,74.9955
0.000128125,74.1001
0.00013125,73.237
0.000134375,72.4046
0.0001375,71.6008
0.00014375,70.0735
0.00015,68.6434
0.00015625,67.3009
0.0001625,66.0373
0.00016875,64.8452
0.000175,63.7183
0.00018125,62.6507
0.0001875,61.6376
0.00019375,60.6744
0.0002,59.7573
0.000209375,58.4602
0.00021875,57.2484
0.000228125,56.1131
0.0002375,55.0465
0.000246875,54.042
0.00025625,53.094
0.000265625,52.1972
0.000275,51.3474
0.000284375,50.5405
0.00029375,49.7732
0.000303125,49.0422
0.0003125,48.345
0.000321875,47.6788
0.00033125,47.0417
0.000340625,46.4314
0.00035,45.8462
0.000359375,45.2845
0.00036875,44.7447
0.000378125,44.2254
0.0003875,43.7254
0.000396875,43.2436
0.00040625,42.7788
0.000425,41.8967
0.00044375,41.0721
0.0004625,40.2992
0.00048125,39.5727
0.0005,38.8882
0.000515625,38.3472
0.00053125,37.8307
0.000546875,37.3369
0.0005625,36.8643
0.000578125,36.4114
0.00059375,35.9768
0.000609375,35.5594
0.000625,35.1581
0.000640625,34.7719
0.00065625,34.3999
0.000671875,34.0412
0.0006875,33.695
0.00071875,33.0377
0.00075,32.4228
0.00078125,31.846
0.0008125,31.3035
0.00084375,30.7921
0.000875,30.309
0.00090625,29.8517
0.0009375,29.4179
0.00096875,29.0058
0.001,28.6136
0.00103125,28.2398
0.0010625,27.8829
0.00109375,27.5418
0.001125,27.2154
0.00115625,26.9026
0.0011875,26.6025
0.00121875,26.3142
0.00125,26.0371
0.00128125,25.7704
0.0013125,25.5135
0.00134375,25.2659
0.001375,25.0269
0.0014375,24.573
0.0015,24.1484
0.0015625,23.7501
0.001625,23.3755
0.0016875,23.0223
0.00175,22.6886
0.0018125,22.3727
0.001875,22.073
0.0019375,21.7882
0.002,21.5172
0.00209375,21.1341
0.0021875,20.7763
0.00228125,20.4413
0.002375,20.1266
0.00246875,19.8304
0.0025625,19.5509
0.00265625,19.2865
0.00275,19.0361
0.00284375,18.7983
0.0029375,18.5722
0.00303125,18.3569
0.003125,18.1515
0.00321875,17.9552
0.0033125,17.7675
0.00340625,17.5878
0.0035,17.4154
0.00359375,17.2499
0.0036875,17.0908
0.00378125,16.9378
0.003875,16.7905
0.00396875,16.6484
0.0040625,16.5114
0.00425,16.2514
0.0044375,16.0082
0.004625,15.7802
0.0048125,15.5658
0.005,15.3637
0.00515625,15.2039
0.0053125,15.0513
0.00546875,14.9054
0.005625,14.7657
0.00578125,14.6317
0.0059375,14.5031
0.00609375,14.3796
0.00625,14.2608
0.00640625,14.1464
0.0065625,14.0362
0.00671875,13.9298
0.006875,13.8272
0.0071875,13.6322
0.0075,13.4496
0.0078125,13.2782
0.008125,13.1169
0.0084375,12.9647
0.00875,12.8209
0.0090625,12.6846
0.009375,12.5553
0.0096875,12.4323
0.01,12.3152
0.0103125,12.2035
0.010625,12.0968
0.0109375,11.9948
0.01125,11.897
0.0115625,11.8034
0.011875,11.7134
0.0121875,11.627
0.0125,11.5439
0.0128125,11.4638
0.013125,11.3867
0.0134375,11.3122
0.01375,11.2404
0.014375,11.1038
0.015,10.976
0.015625,10.8559
0.01625,10.7429
0.016875,10.6363
0.0175,10.5354
0.018125,10.4399
0.01875,10.3492
0.019375,10.263
0.02,10.1808
0.0206625,10.0979
