E_eV,Sig_b
1e-05,222.746
1.03125e-05,219.366
1.0625e-05,216.136
1.09375e-05,213.046
1.125e-05,210.086
1.15625e-05,207.247
1.1875e-05,204.521
1.21875e-05,201.901
1.25e-05,199.379
1.28125e-05,196.951
1.3125e-05,194.611
1.34375e-05,192.353
1.375e-05,190.172
1.4375e-05,186.027
1.5e-05,182.144
1.5625e-05,178.497
1.625e-05,175.063
1.6875e-05,171.823
1.75e-05,168.758
1.8125e-05,165.854
1.875e-05,163.097
1.9375e-05,160.474
2e-05,157.977
2.09375e-05,154.442
2.1875e-05,151.139
2.28125e-05,148.042
2.375e-05,145.131
2.46875e-05,142.388
2.5625e-05,139.798
2.65625e-05,137.347
2.75e-05,135.023
2.84375e-05,132.816
2.9375e-05,130.715
3.03125e-05,128.714
3.125e-05,126.803
3.21875e-05,124.978
3.3125e-05,123.231
3.40625e-05,121.557
3.5e-05,119.951
3.59375e-05,118.408
3.6875e-05,116.926
3.78125e-05,115.499
3.875e-05,114.125
3.96875e-05,112.8
4.0625e-05,111.521
4.25e-05,109.093
4.4375e-05,106.822
4.625e-05,104.692
4.8125e-05,102.688
5e-05,100.8
5.15625e-05,99.3059
5.3125e-05,97.8791
5.46875e-05,96.5144
5.625e-05,95.2077
5.78125e-05,93.9548
5.9375e-05,92.7523
6.09375e-05,91.5968
6.25e-05,90.4854
6.40625e-05,89.4154
6.5625e-05,88.3843
6.71875e-05,87.3899
6.875e-05,86.4299
7.1875e-05,84.606
7.5e-05,82.8988
7.8125e-05,81.2965
8.125e-05,79.7889
8.4375e-05,78.367
8.75e-05,77.0232
9.0625e-05,75.7506
9.375e-05,74.5432
9.6875e-05,73.3957
0.0001,72.3034
0.000103125,71.262
0.00010625,70.2677
0.000109375,69.3171
0.0001125,68.4072
0.000115625,67.5352
0.00011875,66.6985
0.000121875,65.8949
0.000125,65.1223
0.000128125,64.3787
0.00013125,63.6625
0.000134375,62.9719
0.0001375,62.3056
0.00014375,61.0403
0.00015,59.8569
0.00015625,58.747
0.0001625,57.7034
0.00016875,56.7199
0.000175,55.7911
0.00018125,54.9122
0.0001875,54.0789
0.00019375,53.2875
0.0002,52.5346
0.000209375,51.4712
0.00021875,50.4792
0.000228125,49.5511
0.0002375,48.6805
0.000246875,47.8618
0.00025625,47.0902
0.000265625,46.3613
0.000275,45.6716
0.000284375,45.0177
0.00029375,44.3966
0.000303125,43.8058
0.0003125,43.243
0.000321875,42.7061
0.00033125,42.1932
0.000340625,41.7026
0.00035,41.2328
0.000359375,40.7825
0.00036875,40.3502
0.000378125,39.935
0.0003875,39.5357
0.000396875,39.1513
0.00040625,38.7811
0.000425,38.0796
0.00044375,37.4256
0.0004625,36.8139
0.00048125,36.2405
0.0005,35.7014
0.000515625,35.2762
0.00053125,34.8711
0.000546875,34.4845
0.0005625,34.1152
0.000578125,33.7619
0.00059375,33.4236
0.000609375,33.0992
0.000625,32.7878
0.000640625,32.4887
0.00065625,32.201
0.000671875,31.9242
0.0006875,31.6575
0.00071875,31.1521
0.00075,30.681
0.00078125,30.2404
0.0008125,29.8273
0.00084375,29.439
0.000875,29.0733
0.00090625,28.728
0.0009375,28.4015
0.00096875,28.0921
0.001,27.7983
0.00103125,27.5191
0.0010625,27.2533
0.00109375,26.9997
0.001125,26.7577
