E_eV,Sig_b
1e-05,65.1604
1.03125e-05,64.1694
1.0625e-05,63.2226
1.09375e-05,62.3166
1.125e-05,61.4488
1.15625e-05,60.6164
1.1875e-05,59.8171
1.21875e-05,59.0489
1.25e-05,58.3097
1.28125e-05,57.5977
1.3125e-05,56.9114
1.34375e-05,56.2492
1.375e-05,55.6097
1.4375e-05,54.394
1.5e-05,53.2552
1.5625e-05,52.1856
1.625e-05,51.1784
1.6875e-05,50.2278
1.75e-05,49.3288
1.8125e-05,48.4767
1.875e-05,47.6677
1.9375e-05,46.8983
2e-05,46.1653
2.09375e-05,45.1281
2.1875e-05,44.1586
2.28125e-05,43.2496
2.375e-05,42.3951
2.46875e-05,41.5899
2.5625e-05,40.8295
2.65625e-05,40.1098
2.75e-05,39.4273
2.84375e-05,38.7791
2.9375e-05,38.1622
3.03125e-05,37.5742
3.125e-05,37.0131
3.21875e-05,36.4767
3.3125e-05,35.9633
3.40625e-05,35.4714
3.5e-05,34.9995
3.59375e-05,34.5463
3.6875e-05,34.1105
3.78125e-05,33.6911
3.875e-05,33.2871
3.96875e-05,32.8975
4.0625e-05,32.5216
4.25e-05,31.8077
4.4375e-05,31.1397
4.625e-05,30.513
4.8125e-05,29.9235
5e-05,29.3677
5.15625e-05,28.9281
5.3125e-05,28.5081
5.46875e-05,28.1063
5.625e-05,27.7215
5.78125e-05,27.3526
5.9375e-05,26.9984
6.09375e-05,26.658
6.25e-05,26.3306
6.40625e-05,26.0153
6.5625e-05,25.7115
6.875e-05,25.1354
7.1875e-05,24.5976
7.5e-05,24.0941
7.8125e-05,23.6214
8.125e-05,23.1766
8.4375e-05,22.7569
8.75e-05,22.3601
9.0625e-05,21.9843
9.375e-05,21.6277
9.6875e-05,21.2886
0.0001,20.9658
0.000103125,20.658
0.00010625,20.364
0.000109375,20.0828
0.0001125,19.8137
0.000115625,19.5556
0.00011875,19.308
0.000121875,19.0701
0.000125,18.8413
0.000128125,18.6211
0.00013125,18.4089
0.0001375,18.0068
0.00014375,17.6316
0.00015,17.2806
0.00015625,16.9513
0.0001625,16.6415
0.00016875,16.3494
0.000175,16.0735
0.00018125,15.8122
0.0001875,15.5645
0.00019375,15.3291
0.0002,15.105
0.000209375,14.7885
0.00021875,14.493
0.000228125,14.2165
0.0002375,13.9569
0.000246875,13.7127
0.00025625,13.4825
0.000265625,13.2649
0.000275,13.0589
0.000284375,12.8635
0.00029375,12.6779
0.000303125,12.5013
0.0003125,12.333
0.000321875,12.1723
0.00033125,12.0188
0.000340625,11.872
0.00035,11.7313
0.000359375,11.5964
0.00036875,11.4669
0.000378125,11.3425
0.0003875,11.2228
0.00040625,10.9966
0.000425,10.7862
0.00044375,10.59
0.0004625,10.4065
0.00048125,10.2344
0.0005,10.0726
0.000515625,9.94496
0.00053125,9.82336
0.000546875,9.70733
0.0005625,9.59648
0.000578125,9.49046
0.00059375,9.38893
0.000609375,9.29161
0.000625,9.19821
0.00065625,9.02227
0.0006875,8.85935
0.00071875,8.70802
0.00075,8.56702
0.00078125,8.43528
0.0008125,8.31189
0.00084375,8.19605
0.000875,8.08705
0.00090625,7.98428
0.0009375,7.88722
0.00096875,7.79538
0.001,7.70833
0.00103125,7.6257
0.0010625,7.54716
0.00109375,7.4724
0.001125,7.40113
0.00115625,7.33313
0.0011875,7.26816
0.00125,7.14653
0.0013125,7.03481
0.001375,6.93184
0.0014375,6.83659
0.0015,6.74822
0.0015625,6.66601
0.001625,6.58932
0.0016875,6.51761
0.00175,6.45041
0.0018125,6.3873
0.001875,6.32793
0.0019375,6.27195
0.002,6.2191
0.00209375,6.14513
0.0021875,6.07686
0.00228125,6.01367
0.002375,5.95501
0.00246875,5.90042
0.0025625,5.84948
0.00265625,5.80185
0.00275,5.75721
0.00284375,5.71529
0.0029375,5.67586
0.003125,5.60363
0.0033125,5.53908
0.0035,5.48105
0.0036875,5.42862
0.003875,5.38103
0.0040625,5.33764
0.00425,5.29793
0.0044375,5.26145
0.004625,5.22783
0.0048125,5.19675
0.005,5.16794
0.0053125,5.12433
0.005625,5.08546
0.0059375,5.05061
0.00625,5.01918
0.0065625,4.99072
0.006875,4.9648
0.0075,4.9194
0.008125,4.88092
0.00875,4.84791
0.009375,4.81927
0.01,4.7942
0.010625,4.77206
0.01125,4.75237
0.0125,4.71885
0.01375,4.69137
0.015,4.66841
0.01625,4.64891
0.0175,4.63214
0.02,4.60466
0.02265,4.58186
0.0253,4.56355
0.0276156,4.55019
0.0299312,4.53873
0.0345625,4.51997
0.0384219,4.50747
