E_eV,Sig_b
1e-05,55.0174
1.03315e-05,54.1312
1.06631e-05,53.2867
1.09946e-05,52.4808
1.13261e-05,51.7106
1.16577e-05,50.9735
1.19892e-05,50.2672
1.23207e-05,49.5898
1.26522e-05,48.9391
1.29838e-05,48.3136
1.33153e-05,47.7116
1.36468e-05,47.1317
1.39784e-05,46.5727
1.43099e-05,46.0332
1.46414e-05,45.5122
1.53045e-05,44.5215
1.58914e-05,43.6969
1.64784e-05,42.9169
1.70653e-05,42.1775
1.76522e-05,41.4755
1.82392e-05,40.8076
1.88261e-05,40.1714
1.94131e-05,39.5642
2e-05,38.9841
2.06424e-05,38.3779
2.12847e-05,37.7993
2.19271e-05,37.2465
2.25695e-05,36.7175
2.32119e-05,36.2107
2.38543e-05,35.7246
2.44966e-05,35.2577
2.5139e-05,34.809
2.57814e-05,34.3772
2.64237e-05,33.9613
2.70661e-05,33.5603
2.77085e-05,33.1734
2.89932e-05,32.4387
3.0278e-05,31.7515
3.16104e-05,31.0837
3.29428e-05,30.457
3.42751e-05,29.8674
3.56075e-05,29.3113
3.69399e-05,28.7857
3.82722e-05,28.288
3.96046e-05,27.8158
4.0937e-05,27.3669
4.20699e-05,27.0022
4.32028e-05,26.652
4.43356e-05,26.3154
4.54685e-05,25.9916
4.66014e-05,25.6797
4.77342e-05,25.3791
5e-05,24.8089
5.12435e-05,24.5123
5.24869e-05,24.2264
5.49739e-05,23.6842
5.74608e-05,23.1778
5.99478e-05,22.7035
6.24347e-05,22.2581
6.49216e-05,21.8387
6.74086e-05,21.443
6.98955e-05,21.0687
7.30104e-05,20.6275
7.61254e-05,20.2139
7.92403e-05,19.8252
8.23552e-05,19.459
8.54702e-05,19.1132
8.85851e-05,18.786
9.17001e-05,18.4758
9.4815e-05,18.1813
9.74075e-05,17.9471
0.0001,17.7222
0.000102572,17.5077
0.000105144,17.3013
0.000107716,17.1023
0.000110288,16.9105
0.000115431,16.5466
0.000120575,16.2065
0.000125719,15.8879
0.000130862,15.5886
0.000136006,15.3067
0.00014115,15.0406
0.000144828,14.8593
0.000148506,14.6849
0.000152184,14.517
0.000155863,14.3551
0.000163219,14.0484
0.000170575,13.7621
0.000177931,13.4942
0.000185287,13.2428
0.000192644,13.0063
0.0002,12.7833
0.000204969,12.6397
0.000209937,12.5013
0.000219874,12.2392
0.000229811,11.9948
0.000239748,11.7662
0.000249684,11.5519
0.000259621,11.3503
0.000269558,11.1604
0.000279495,10.981
0.000287728,10.8398
0.000295961,10.7047
0.000304193,10.5754
0.000312426,10.4514
0.000320659,10.3324
0.000328892,10.218
0.000337125,10.1081
0.000345358,10.0023
0.000361823,9.80216
0.000378289,9.61581
0.000394754,9.44181
0.00041122,9.27889
0.000422318,9.17478
0.000433415,9.07491
0.000444512,8.97902
0.00045561,8.88684
0.000477805,8.71279
0.0005,8.55115
0.000505,8.5163
0.000516457,8.4385
0.000527914,8.36341
0.000550827,8.22079
0.000573741,8.08739
0.000596655,7.96229
0.000619569,7.8447
0.000642483,7.73394
0.000665396,7.62941
0.00068831,7.53056
0.000707791,7.45064
0.000727271,7.37423
0.000746752,7.3011
0.000766232,7.23102
0.000805194,7.09927
0.000844155,6.97763
0.000883116,6.86492
0.000922078,6.76017
0.000961039,6.66254
0.001,6.5713
0.00103255,6.49953
0.0010651,6.43146
0.00109765,6.36681
0.0011302,6.30532
0.00116275,6.24676
0.0011953,6.19092
0.0012604,6.08667
0.0013255,5.99125
0.0013906,5.90356
0.0014557,5.8227
0.0015208,5.74789
0.0015807,5.68382
0.0016406,5.62387
0.0017005,5.56765
0.0017604,5.51483
0.0018203,5.46509
0.0018802,5.41818
0.0019401,5.37387
0.002,5.33194
0.00206177,5.291
0.00212354,5.25221
0.00224708,5.18045
0.00237061,5.11553
0.00249415,5.05652
0.00261769,5.00265
0.00274122,4.95329
0.00286476,4.90789
0.0029883,4.866
0.00311945,4.82495
0.0032506,4.78703
0.00338175,4.75188
0.0035129,4.71924
0.00364405,4.68883
0.0037752,4.66045
0.0040375,4.60899
0.00427812,4.56715
0.00451875,4.52962
0.00475938,4.49579
0.005,4.46513
0.0052342,4.43794
0.0054684,4.41304
0.0057026,4.39015
0.0059368,4.36904
0.0064052,4.3314
0.0068736,4.29883
0.00722236,4.27731
0.00757113,4.25775
0.00826865,4.22357
0.00896617,4.19469
0.0096637,4.16997
0.01,4.15928
0.0110723,4.12953
0.0121446,4.10503
0.0132169,4.0845
0.0142892,4.06705
0.0157169,4.04752
0.0171446,4.03123
0.0185723,4.01746
0.02,4.00565
0.02265,3.98767
0.0253,3.97346
0.0279353,3.962
0.0305706,3.95252
0.0332059,3.94454
0.0358412,3.93774
0.0390152,3.93076
0.0421891,3.92484
0.048537,3.91531
0.05,3.91346
0.0550936,3.90778
0.0601872,3.90306
0.0652808,3.89907
0.0703744,3.89566
0.0777808,3.89151
0.0851872,3.88807
0.0925936,3.88519
0.1,3.88273
0.1095,3.88006
0.119,3.87782
0.129485,3.87573
0.13997,3.87395
0.16094,3.87109
0.18047,3.86903
0.2,3.86736
0.221257,3.86589
0.242514,3.86467
0.263771,3.86365
0.285027,3.86278
0.310616,3.86189
0.336204,3.86114
0.38738,3.85993
0.5,3.85815
0.625,3.85692
0.8125,3.85578
1,3.85507
1.34581,3.85428
1.69163,3.85382
2,3.85354
2.71172,3.85313
3.42344,3.8529
4.21172,3.85273
5,3.85261
6.53149,3.85247
8.06297,3.85238
10,3.85231
13.8,3.85222
16.9,3.85218
20,3.85215
24.9515,3.85212
29.903,3.8521
38.6865,3.85208
47.47,3.85197
50,3.85196
60.3554,3.85195
70.7107,3.85194
70.893,3.85194
71.3478,3.85194
71.8026,3.85194
72.7122,3.85194
74.5314,3.85194
78.1698,3.85194
85.4465,3.85189
100,3.85183
104.96,3.85183
104.965,3.85183
104.985,3.85183
105.005,3.85183
105.046,3.85183
105.126,3.85183
105.287,3.85183
105.608,3.85183
106.252,3.85183
107.538,3.85183
110.111,3.85183
115.258,3.85183
125.55,3.85183
125.75,3.85182
126.232,3.85182
126.714,3.85182
127.677,3.85182
129.604,3.85181
133.458,3.8518
141.165,3.85177
141.421,3.85177
142.149,3.85177
142.877,3.85177
144.333,3.85176
147.245,3.85175
153.068,3.85173
164.715,3.85169
188.01,3.85162
188.12,3.85162
200,3.85162
208.92,3.85162
209.62,3.85162
212.131,3.85162
214.643,3.85162
219.665,3.85161
229.71,3.85158
234.855,3.85156
250.47,3.85151
250.5,3.85151
266.085,3.85149
297.315,3.85144
312.88,3.85141
354.46,3.85128
396.04,3.85116
500,3.85091
594,3.85076
937.54,3.84996
1000,3.84981
1250,3.84931
1500,3.84871
1750,3.84816
2000,3.84761
2250,3.84706
2500,3.84651
2750,3.84596
3000,3.84541
3250,3.84486
3500,3.84431
3750,3.84376
4000,3.84321
4250,3.84266
4500,3.84211
4750,3.84156
5000,3.84101
5625,3.83961
6250,3.83821
7500,3.83551
8750,3.83271
10000,3.83001
12500,3.82451
15000,3.81911
17500,3.81367
20000,3.80822
22500,3.80282
25000,3.79742
27500,3.79207
30000,3.78672
32500,3.7814
35000,3.77607
35300,3.77543
36400,3.77309
37500,3.77075
40000,3.76542
42500,3.76015
45000,3.75487
47500,3.7496
50000,3.74433
55513,3.7329
61026,3.72148
62500,3.71843
68194,3.70686
73888,3.69529
75000,3.69303
77580.5,3.68789
80161,3.68275
85322,3.67247
87500,3.66813
93750,3.65594
100000,3.64374
112500,3.62024
125000,3.59674
137500,3.57469
150000,3.55265
163930,3.53014
175000,3.51225
188220,3.49369
200000,3.47716
210000,3.46571
220000,3.45426
230000,3.44611
240000,3.43797
250000,3.43471
260000,3.43147
270000,3.43572
280000,3.43998
295410,3.4654
300000,3.47299
310000,3.5038
320000,3.54881
324000,3.57459
330000,3.61333
334000,3.65025
340000,3.70575
344000,3.7591
350000,3.83929
360000,4.03536
370000,4.33047
375000,4.55976
380000,4.78967
385000,5.1615
390000,5.53445
395000,6.16396
400000,6.7951
405000,7.73932
410000,8.97975
415000,10.5695
420000,12.4829
425000,14.4905
430000,16.0606
432610,16.3222
435000,16.555
440000,15.7622
445000,14.1039
450000,12.206
455000,10.4714
460000,9.0405
465000,7.91079
470000,7.03188
475000,6.3475
480000,5.81036
485000,5.38395
490000,5.04127
495000,4.76232
500000,4.53252
510000,4.17941
520000,3.92365
530000,3.73162
540000,3.5827
550000,3.46398
560000,3.36727
570000,3.28666
580000,3.21836
590000,3.15955
600000,3.10825
620000,3.02255
640000,2.95335
660000,2.89594
680000,2.84784
700000,2.80734
720000,2.77393
740000,2.74763
760000,2.72913
780000,2.72003
800000,2.72314
