E_eV,Sig_b
1e-05,79.1465
1.03125e-05,77.974
1.0625e-05,76.8542
1.09375e-05,75.7832
1.125e-05,74.7576
1.15625e-05,73.7744
1.1875e-05,72.8306
1.21875e-05,71.9238
1.25e-05,71.0516
1.28125e-05,70.2119
1.3125e-05,69.4027
1.34375e-05,68.6223
1.375e-05,67.869
1.4375e-05,66.4377
1.5e-05,65.0981
1.5625e-05,63.8408
1.625e-05,62.6578
1.6875e-05,61.5422
1.75e-05,60.4878
1.8125e-05,59.4894
1.875e-05,58.5421
1.9375e-05,57.6419
2e-05,56.785
2.09375e-05,55.5736
2.1875e-05,54.4425
2.28125e-05,53.3832
2.375e-05,52.3887
2.46875e-05,51.4525
2.5625e-05,50.5694
2.65625e-05,49.7346
2.75e-05,48.9439
2.84375e-05,48.1935
2.9375e-05,47.4803
3.03125e-05,46.8014
3.125e-05,46.1541
3.21875e-05,45.536
3.3125e-05,44.9452
3.40625e-05,44.3796
3.5e-05,43.8376
3.59375e-05,43.3177
3.6875e-05,42.8183
3.78125e-05,42.3382
3.875e-05,41.8762
3.96875e-05,41.4313
4.0625e-05,41.0024
4.25e-05,40.189
4.4375e-05,39.4297
4.625e-05,38.7188
4.8125e-05,38.0515
5e-05,37.4236
5.15625e-05,36.9279
5.3125e-05,36.4551
5.46875e-05,36.0037
5.625e-05,35.572
5.78125e-05,35.1588
5.9375e-05,34.7628
6.09375e-05,34.3829
6.25e-05,34.0181
6.40625e-05,33.6673
6.5625e-05,33.3298
6.71875e-05,33.0048
6.875e-05,32.6915
7.1875e-05,32.0976
7.5e-05,31.5432
7.8125e-05,31.0244
8.125e-05,30.5377
8.4375e-05,30.0799
8.75e-05,29.6484
9.0625e-05,29.2409
9.375e-05,28.8554
9.6875e-05,28.4899
0.0001,28.1429
0.000103125,27.8129
0.00010625,27.4987
0.000109375,27.1991
0.0001125,26.913
0.000115625,26.6394
0.00011875,26.3776
0.000121875,26.1268
0.000125,25.8862
0.000128125,25.6552
0.00013125,25.4332
0.000134375,25.2196
0.0001375,25.014
0.00014375,24.6249
0.00015,24.2625
0.00015625,23.9241
0.0001625,23.6072
0.00016875,23.3098
0.000175,23.0301
0.00018125,22.7663
0.0001875,22.5172
0.00019375,22.2815
0.0002,22.0581
0.000209375,21.7439
0.00021875,21.4522
0.000228125,21.1807
0.0002375,20.9271
0.000246875,20.6898
0.00025625,20.467
0.000265625,20.2575
0.000275,20.06
0.000284375,19.8735
0.00029375,19.6971
0.000303125,19.5298
0.0003125,19.371
0.000321875,19.2201
0.00033125,19.0763
0.000340625,18.9392
0.00035,18.8083
0.000359375,18.6832
0.00036875,18.5635
0.000378125,18.4488
0.0003875,18.3388
0.000396875,18.2331
0.00040625,18.1316
0.000425,17.9399
0.00044375,17.762
0.0004625,17.5962
0.00048125,17.4414
0.0005,17.2964
0.000515625,17.1824
0.00053125,17.074
0.000546875,16.9708
0.0005625,16.8725
0.000578125,16.7786
0.00059375,16.6889
0.000609375,16.603
0.000625,16.5208
0.000640625,16.4419
0.00065625,16.3662
0.000671875,16.2934
0.0006875,16.2234
0.00071875,16.091
0.00075,15.9679
0.00078125,15.853
0.0008125,15.7455
0.00084375,15.6447
0.000875,15.5498
0.00090625,15.4604
0.0009375,15.376
0.00096875,15.2961
0.001,15.2203
0.00103125,15.1484
0.0010625,15.0799
0.00109375,15.0147
0.001125,14.9524
0.00115625,14.893
0.0011875,14.8361
0.00121875,14.7816
0.00125,14.7294
0.00128125,14.6792
0.0013125,14.6311
0.00134375,14.5847
0.001375,14.5401
0.0014375,14.4557
0.0015,14.377
0.0015625,14.3035
0.001625,14.2346
0.0016875,14.1699
0.00175,14.109
0.0018125,14.0515
0.001875,13.9971
0.0019375,13.9456
0.002,13.8967
0.00209375,13.8278
0.0021875,13.7637
0.00228125,13.7039
0.002375,13.6479
0.00246875,13.5954
0.0025625,13.5459
0.00265625,13.4993
0.00275,13.4553
0.00284375,13.4136
0.0029375,13.374
0.00303125,13.3364
0.003125,13.3006
0.00321875,13.2665
0.0033125,13.234
0.00340625,13.2028
0.0035,13.173
0.00359375,13.1445
0.0036875,13.1171
0.00378125,13.0908
0.003875,13.0655
0.00396875,13.0412
0.0040625,13.0178
0.00425,12.9734
0.0044375,12.932
0.004625,12.8933
0.0048125,12.857
0.005,12.8228
0.00515625,12.7959
0.0053125,12.7702
0.00546875,12.7457
0.005625,12.7223
0.00578125,12.6998
0.0059375,12.6784
0.00609375,12.6577
0.00625,12.6379
0.00640625,12.6189
0.0065625,12.6005
0.00671875,12.5829
0.006875,12.5659
0.0071875,12.5336
0.0075,12.5034
0.0078125,12.4752
0.008125,12.4486
0.0084375,12.4236
0.00875,12.4001
0.0090625,12.3778
0.009375,12.3566
0.0096875,12.3366
0.01,12.3175
0.0103125,12.2993
0.010625,12.282
0.0109375,12.2654
0.01125,12.2496
0.0115625,12.2344
0.011875,12.2199
0.0121875,12.2059
0.0125,12.1925
0.0128125,12.1796
0.013125,12.1672
0.0134375,12.1552
0.01375,12.1437
0.014375,12.1218
0.015,12.1013
0.015625,12.0821
0.01625,12.064
0.016875,12.047
0.0175,12.031
0.018125,12.0158
0.01875,12.0014
0.019375,11.9877
0.02,11.9747
0.0206625,11.9615
0.021325,11.949
0.0219875,11.9371
0.02265,11.9257
0.0233125,11.9148
0.023975,11.9044
0.0246375,11.8945
0.0253,11.8849
0.0264578,11.8691
0.0276156,11.8543
0.0287734,11.8404
0.0299312,11.8274
0.0310891,11.8151
0.0322469,11.8035
0.0334047,11.7925
0.0345625,11.7821
0.0355273,11.7738
0.0364922,11.7659
0.037457,11.7582
0.0384219,11.7509
0.0393867,11.7439
0.0403516,11.7371
0.0413164,11.7305
0.0422812,11.7242
0.0442109,11.7122
0.0461406,11.7009
0.0480703,11.6904
0.05,11.6805
0.0515625,11.6729
0.053125,11.6656
0.0546875,11.6587
0.05625,11.6521
0.0578125,11.6457
0.059375,11.6396
0.0609375,11.6337
0.0625,11.6281
0.0640625,11.6227
0.065625,11.6174
0.0671875,11.6124
0.06875,11.6075
0.071875,11.5983
0.075,11.5896
0.078125,11.5815
0.08125,11.5738
0.084375,11.5666
0.0875,11.5598
0.090625,11.5533
0.09375,11.5472
0.096875,11.5414
0.1,11.5358
0.103125,11.5306
0.10625,11.5255
0.109375,11.5207
0.1125,11.5161
0.115625,11.5116
0.11875,11.5074
0.121875,11.5033
0.125,11.4993
0.128125,11.4956
0.13125,11.4919
0.134375,11.4884
0.1375,11.485
0.14375,11.4786
0.15,11.4725
0.15625,11.4669
0.1625,11.4615
0.16875,11.4565
0.175,11.4517
0.18125,11.4472
0.1875,11.4429
0.19375,11.4389
0.2,11.435
0.209375,11.4295
0.21875,11.4244
0.228125,11.4196
0.2375,11.4151
0.246875,11.4108
0.25625,11.4068
0.265625,11.403
0.275,11.3994
0.284375,11.396
0.29375,11.3928
0.303125,11.3897
0.3125,11.3867
0.321875,11.3839
0.33125,11.3812
0.340625,11.3786
0.35,11.3761
0.359375,11.3737
0.36875,11.3714
0.378125,11.3692
0.3875,11.3671
0.396875,11.365
0.40625,11.363
0.425,11.3593
0.44375,11.3558
0.4625,11.3525
0.5,11.3465
0.53125,11.3419
0.5625,11.3378
0.59375,11.334
0.625,11.3305
0.6875,11.3241
0.75,11.3186
0.8125,11.3138
0.875,11.3095
0.9375,11.3056
1,11.3021
1.0625,11.2989
1.125,11.296
1.1875,11.2933
1.25,11.2908
1.375,11.2863
1.5,11.2824
1.625,11.279
1.75,11.2759
1.875,11.2732
2,11.2707
2.1875,11.2673
2.375,11.2644
2.5625,11.2618
2.75,11.2594
2.9375,11.2573
3.125,11.2554
3.3125,11.2536
3.5,11.252
3.875,11.249
4.25,11.2465
4.625,11.2443
5,11.2423
5.3125,11.2408
