E_eV,Sig_b
1e-05,59.6666
1.03125e-05,58.7667
1.0625e-05,57.9069
1.09375e-05,57.0844
1.125e-05,56.2965
1.15625e-05,55.541
1.1875e-05,54.8156
1.21875e-05,54.1184
1.25e-05,53.4477
1.28125e-05,52.8017
1.3125e-05,52.1791
1.34375e-05,51.5785
1.375e-05,50.9985
1.4375e-05,49.8962
1.5e-05,48.8639
1.5625e-05,47.8945
1.625e-05,46.9819
1.6875e-05,46.1208
1.75e-05,45.3066
1.8125e-05,44.5352
1.875e-05,43.8029
1.9375e-05,43.1066
2e-05,42.4435
2.09375e-05,41.5054
2.1875e-05,40.6288
2.28125e-05,39.8073
2.375e-05,39.0353
2.46875e-05,38.3081
2.5625e-05,37.6216
2.65625e-05,36.9721
2.75e-05,36.3565
2.84375e-05,35.7718
2.9375e-05,35.2157
3.03125e-05,34.6859
3.125e-05,34.1804
3.21875e-05,33.6974
3.3125e-05,33.2353
3.40625e-05,32.7926
3.5e-05,32.3681
3.59375e-05,31.9605
3.6875e-05,31.5687
3.78125e-05,31.1919
3.875e-05,30.829
3.96875e-05,30.4792
4.0625e-05,30.1417
4.25e-05,29.5012
4.4375e-05,28.9023
4.625e-05,28.3408
4.8125e-05,27.813
5e-05,27.3157
5.15625e-05,26.9226
5.3125e-05,26.5472
5.46875e-05,26.1884
5.625e-05,25.8449
5.78125e-05,25.5158
5.9375e-05,25.1999
6.09375e-05,24.8966
6.25e-05,24.605
6.40625e-05,24.3243
6.5625e-05,24.054
6.71875e-05,23.7933
6.875e-05,23.5418
7.1875e-05,23.0643
7.5e-05,22.6176
7.8125e-05,22.1988
8.125e-05,21.805
8.4375e-05,21.4338
8.75e-05,21.0833
9.0625e-05,20.7517
9.375e-05,20.4373
9.6875e-05,20.1387
0.0001,19.8546
0.000103125,19.5841
0.00010625,19.3259
0.000109375,19.0793
0.0001125,18.8434
0.000115625,18.6174
0.00011875,18.4008
0.000121875,18.1929
0.000125,17.9931
0.000128125,17.801
0.00013125,17.6161
