E_eV,Sig_b
1e-05,4680.91
1.03125e-05,4609.52
1.0625e-05,4541.32
1.09375e-05,4476.06
1.125e-05,4413.53
1.15625e-05,4353.56
1.1875e-05,4295.98
1.21875e-05,4240.62
1.25e-05,4187.36
1.28125e-05,4136.06
1.3125e-05,4086.6
1.34375e-05,4038.87
1.375e-05,3992.79
1.4375e-05,3905.17
1.5e-05,3823.09
1.5625e-05,3745.99
1.625e-05,3673.38
1.6875e-05,3604.85
1.75e-05,3540.02
1.8125e-05,3478.58
1.875e-05,3420.24
1.9375e-05,3364.75
2e-05,3311.88
2.09375e-05,3237.06
2.1875e-05,3167.11
2.28125e-05,3101.53
2.375e-05,3039.86
2.46875e-05,2981.75
2.5625e-05,2926.86
2.65625e-05,2874.9
2.75e-05,2825.63
2.84375e-05,2778.82
2.9375e-05,2734.27
3.03125e-05,2691.8
3.125e-05,2651.26
3.21875e-05,2612.51
3.3125e-05,2575.42
3.40625e-05,2539.87
3.5e-05,2505.76
3.59375e-05,2472.99
3.6875e-05,2441.49
3.78125e-05,2411.16
3.875e-05,2381.95
3.96875e-05,2353.77
4.0625e-05,2326.58
4.25e-05,2274.93
4.4375e-05,2226.59
4.625e-05,2181.22
4.8125e-05,2138.54
5e-05,2098.29
5.15625e-05,2066.44
5.3125e-05,2036
5.46875e-05,2006.88
5.625e-05,1978.99
5.78125e-05,1952.24
5.9375e-05,1926.55
6.09375e-05,1901.86
6.25e-05,1878.1
6.40625e-05,1855.22
6.5625e-05,1833.16
6.71875e-05,1811.88
6.875e-05,1791.33
7.1875e-05,1752.26
7.5e-05,1715.67
7.8125e-05,1681.3
8.125e-05,1648.94
8.4375e-05,1618.39
8.75e-05,1589.5
9.0625e-05,1562.13
9.375e-05,1536.13
9.6875e-05,1511.41
0.0001,1487.86
0.000103125,1465.4
0.00010625,1443.93
0.000109375,1423.39
0.0001125,1403.72
0.000115625,1384.85
0.00011875,1366.74
0.000121875,1349.33
0.000125,1332.57
0.000128125,1316.44
0.00013125,1300.89
0.000134375,1285.88
0.0001375,1271.4
0.00014375,1243.86
0.00015,1218.06
0.00015625,1193.84
0.0001625,1171.03
0.00016875,1149.5
0.000175,1129.15
0.00018125,1109.86
0.0001875,1091.55
0.00019375,1074.13
0.0002,1057.54
0.000209375,1034.07
0.00021875,1012.13
0.000228125,991.563
0.0002375,972.232
0.000246875,954.018
0.00025625,936.818
0.000265625,920.54
0.000275,905.106
0.000284375,890.446
0.00029375,876.496
0.000303125,863.202
0.0003125,850.514
0.000321875,838.387
0.00033125,826.781
0.000340625,815.66
0.00035,804.99
0.000359375,794.744
0.00036875,784.892
0.000378125,775.411
0.0003875,766.278
0.000396875,757.472
0.00040625,748.975
0.000425,732.835
0.00044375,717.735
0.0004625,703.567
0.00048125,690.239
0.0005,677.672
0.000515625,667.73
0.00053125,658.233
0.000546875,649.147
0.0005625,640.444
0.000578125,632.099
0.00059375,624.086
0.000609375,616.385
0.000625,608.977
0.000640625,601.842
0.00065625,594.965
0.000671875,588.33
0.0006875,581.924
0.00071875,569.747
0.00075,558.343
0.00078125,547.633
0.0008125,537.55
0.00084375,528.035
0.000875,519.036
0.00090625,510.509
0.0009375,502.414
0.00096875,494.715
0.001,487.382
0.00103125,480.386
0.0010625,473.702
0.00109375,467.307
0.001125,461.182
0.00115625,455.308
0.0011875,449.669
0.00121875,444.248
0.00125,439.033
0.00128125,434.01
0.0013125,429.169
0.00134375,424.498
0.001375,419.987
0.0014375,411.413
0.0015,403.383
0.0015625,395.841
0.001625,388.739
0.0016875,382.038
0.00175,375.699
0.0018125,369.692
0.001875,363.989
0.0019375,358.565
0.002,353.398
0.00209375,346.087
0.0021875,339.252
0.00228125,332.845
0.002375,326.821
0.00246875,321.145
0.0025625,315.784
0.00265625,310.71
0.00275,305.898
0.00284375,301.327
0.0029375,296.977
0.00303125,292.831
0.003125,288.873
0.00321875,285.09
0.0033125,281.469
0.00340625,277.999
0.0035,274.669
0.00359375,271.471
0.0036875,268.396
0.00378125,265.436
0.003875,262.585
0.00396875,259.835
0.0040625,257.182
0.00425,252.141
0.0044375,247.423
0.004625,242.996
0.0048125,238.83
0.005,234.902
0.00515625,231.794
0.0053125,228.824
0.00546875,225.982
0.005625,223.26
0.00578125,220.649
0.0059375,218.142
0.00609375,215.732
0.00625,213.413
0.00640625,211.18
0.0065625,209.027
0.00671875,206.95
0.006875,204.944
0.0071875,201.13
0.0075,197.558
0.0078125,194.202
0.008125,191.042
0.0084375,188.059
0.00875,185.237
0.0090625,182.563
0.009375,180.024
0.0096875,177.608
0.01,175.307
0.0103125,173.112
0.010625,171.014
0.0109375,169.006
0.01125,167.083
0.0115625,165.239
0.011875,163.468
0.0121875,161.766
0.0125,160.128
0.0128125,158.55
0.013125,157.029
0.0134375,155.562
0.01375,154.144
0.014375,151.45
0.015,148.925
0.015625,146.554
0.01625,144.32
0.016875,142.212
0.0175,140.217
0.018125,138.326
0.01875,136.531
0.019375,134.823
0.02,133.196
0.0206625,131.552
0.021325,129.986
0.0219875,128.491
0.02265,127.061
0.0233125,125.694
0.023975,124.383
0.0246375,123.125
0.0253,121.917
0.0264578,119.916
0.0276156,118.042
0.0287734,116.283
0.0299312,114.626
0.0310891,113.063
0.0322469,111.585
0.0334047,110.184
0.0345625,108.853
0.0355273,107.795
0.0364922,106.778
0.037457,105.8
0.0384219,104.86
0.0393867,103.954
0.0403516,103.08
0.0413164,102.237
0.0422812,101.423
0.0442109,99.8759
0.0461406,98.426
0.0480703,97.064
0.05,95.7814
0.0515625,94.7957
0.053125,93.8536
0.0546875,92.952
0.05625,92.088
0.0578125,91.259
0.059375,90.4629
0.0609375,89.6975
0.0625,88.9608
0.0640625,88.2512
0.065625,87.567
0.0671875,86.9068
0.06875,86.269
0.071875,85.0558
0.075,83.9181
0.078125,82.8484
0.08125,81.8402
0.084375,80.8878
0.0875,79.9864
0.090625,79.1315
0.09375,78.3191
0.096875,77.5459
0.1,76.8088
0.103125,76.1049
0.10625,75.4319
0.109375,74.7875
0.1125,74.1697
0.115625,73.5767
0.11875,73.0069
0.121875,72.4587
0.125,71.931
0.128125,71.4223
0.13125,70.9318
0.134375,70.4583
0.1375,70.0007
0.14375,69.1296
0.15,68.3115
0.15625,67.5415
0.1625,66.8151
0.16875,66.1282
0.175,65.4775
0.18125,64.8596
0.1875,64.2721
0.19375,63.7125
0.2,63.1786
0.209375,62.4213
0.21875,61.7107
0.228125,61.0422
0.2375,60.412
0.246875,59.8164
0.25625,59.2521
0.265625,58.7165
0.275,58.207
0.284375,57.7214
0.29375,57.2579
0.303125,56.8148
0.3125,56.3904
0.321875,55.9834
0.33125,55.5927
0.340625,55.217
0.35,54.8554
0.364063,54.3372
0.378125,53.846
0.392188,53.3793
0.40625,52.9355
0.425,52.3749
0.44375,51.8458
0.4625,51.3457
0.5,50.4235
0.53125,49.722
0.5625,49.0708
0.59375,48.4646
0.625,47.8978
0.6875,46.8642
0.75,45.9406
0.8125,45.1056
0.875,44.345
0.9375,43.6447
1,42.9941
1.0625,42.3872
1.125,41.8181
1.1875,41.282
1.25,40.7747
1.375,39.8339
1.5,38.9747
1.625,38.182
1.75,37.4453
1.875,36.7548
2,36.1027
2.1875,35.1877
2.375,34.3365
2.5625,33.5382
2.75,32.7856
2.9375,32.0719
3.125,31.3915
3.3125,30.7413
3.5,30.118
3.6875,29.5189
3.875,28.9419
4.0625,28.3851
4.25,27.8467
4.625,26.8204
5,25.8541
5.3125,25.0894
5.625,24.3576
5.9375,23.6563
6.25,22.9833
6.5625,22.3364
6.875,21.7141
7.1875,21.1146
7.5,20.5368
8.125,19.4413
8.75,18.42
9.375,17.4655
10,16.5717
10.625,15.7342
11.25,14.9491
11.875,14.2127
12.5,13.5218
13.125,12.8737
13.75,12.2659
14.375,11.6961
15,11.1625
15.625,10.6632
16.25,10.1967
16.875,9.76164
17.5,9.35672
18.125,8.98089
18.75,8.63321
19.375,8.31291
20,8.01937
20.6559,7.73951
21.3118,7.48811
21.9677,7.26497
22.6236,7.0701
23.2795,6.90372
23.9354,6.76631
24.5913,6.65865
25.2472,6.58187
25.9031,6.5375
26.559,6.52761
27.133,6.54976
27.7069,6.6033
28.2808,6.69051
28.5678,6.74345
28.8547,6.80944
29.4286,6.97432
30.0025,7.18666
30.2895,7.31273
30.5764,7.45347
30.8634,7.61018
31.1504,7.78433
31.5603,8.06687
31.9702,8.39391
32.3802,8.77195
32.7901,9.20999
33.2001,9.71933
33.405,10.0042
33.61,10.3131
33.815,10.6461
34.0199,11.007
34.2249,11.3956
34.4299,11.8218
34.6553,12.3356
34.8808,12.9021
35.1063,13.5287
35.3317,14.2241
35.5572,14.9988
35.7827,15.8656
35.8954,16.3381
36.0082,16.8397
36.1209,17.3728
36.2336,17.9403
36.3976,18.8333
36.5616,19.8164
36.7256,20.9027
36.8895,22.1067
37.0535,23.444
37.1355,24.17
37.2175,24.94
37.2995,25.7575
37.3815,26.6259
37.4634,27.5494
37.5454,28.5326
37.6582,29.9927
37.7709,31.5925
37.8836,33.3515
37.9963,35.2922
38.1091,37.4419
38.2218,39.8323
38.2782,41.1298
38.3346,42.5025
38.3909,43.957
38.4473,45.4996
38.5344,48.0759
38.6215,50.913
38.7086,54.0493
38.7957,57.5274
38.8393,59.4108
38.8829,61.4003
38.9264,63.5045
38.97,65.7327
39.0135,68.0968
39.0571,70.6077
39.1006,73.2794
39.1442,76.1248
39.2006,80.0924
39.2569,84.417
39.3133,89.1436
39.3697,94.3242
39.426,100.022
39.4824,106.309
39.5388,113.273
39.5669,117.04
39.5951,121.016
39.6489,129.25
39.6758,133.714
39.7027,138.435
39.7296,143.434
39.7565,148.732
39.7834,154.353
39.8103,160.327
39.8373,166.686
39.8642,173.459
39.891,180.686
39.918,188.412
39.9449,196.682
39.9718,205.553
39.9986,215.086
40.0256,225.349
40.0537,236.976
40.0819,249.592
40.1101,263.327
40.1383,278.31
40.1665,294.713
40.1947,312.713
40.2228,332.537
40.251,354.447
40.2792,378.766
40.2933,391.935
40.3074,405.851
40.3215,420.582
40.3356,436.175
40.3497,452.71
40.3638,470.269
40.3779,488.954
40.392,508.839
40.406,530.047
40.4201,552.703
40.4342,576.947
40.4483,602.936
40.4624,630.849
40.4765,660.887
40.4957,705.708
40.5149,755.566
40.5245,782.654
40.5341,811.325
40.5438,841.707
40.5534,873.905
40.563,908.139
40.5726,944.546
40.5822,983.309
40.5918,1024.59
40.6014,1068.69
40.611,1115.81
40.6206,1166.22
40.6302,1220.15
40.6443,1306.49
40.6584,1402.23
40.6654,1454.06
40.6725,1508.65
40.6795,1566.33
40.6866,1627.11
40.6936,1691.35
40.7007,1759.07
40.7077,1830.67
40.7148,1906.15
40.7218,1985.94
40.7289,2070.03
40.7359,2158.9
40.7429,2252.51
40.75,2351.36
40.757,2455.54
40.7641,2565.27
40.7711,2680.61
40.7782,2802.09
40.7852,2929.56
40.7923,3063.58
40.7993,3203.91
40.8064,3351.12
40.8134,3505.12
40.8275,3833.59
40.8416,4189.89
40.8557,4573.68
40.8653,4850.7
40.8749,5139.47
40.8941,5748.94
40.9133,6393.24
40.9325,7059.57
40.9607,8043.36
40.9748,8521.29
40.9889,8978.21
41.0002,9323.66
41.0115,9645.22
41.0228,9938.99
41.034,10200.2
41.0453,10425.4
41.0566,10610.8
41.0679,10753.7
41.0792,10851.6
41.0896,10900.8
41.1,10909.8
