E_eV,Sig_b
1e-05,13793.6
1.03125e-05,13583
1.0625e-05,13381.8
1.09375e-05,13189.3
1.125e-05,13004.8
1.15625e-05,12827.9
1.1875e-05,12658
1.21875e-05,12494.6
1.25e-05,12337.5
1.28125e-05,12186.1
1.3125e-05,12040.2
1.34375e-05,11899.4
1.375e-05,11763.4
1.4375e-05,11504.8
1.5e-05,11262.6
1.5625e-05,11035.1
1.625e-05,10820.8
1.6875e-05,10618.5
1.75e-05,10427.2
1.8125e-05,10245.9
1.875e-05,10073.7
1.9375e-05,9909.89
2e-05,9753.83
2.09375e-05,9532.99
2.1875e-05,9326.5
2.28125e-05,9132.87
2.375e-05,8950.82
2.46875e-05,8779.25
2.5625e-05,8617.18
2.65625e-05,8463.76
2.75e-05,8318.26
2.84375e-05,8180.02
2.9375e-05,8048.45
3.03125e-05,7923.03
3.125e-05,7803.3
3.21875e-05,7688.84
3.3125e-05,7579.28
3.40625e-05,7474.26
3.5e-05,7373.5
3.59375e-05,7276.71
3.6875e-05,7183.63
3.78125e-05,7094.04
3.875e-05,7007.71
3.96875e-05,6924.47
4.0625e-05,6844.12
4.25e-05,6691.48
4.4375e-05,6548.62
4.625e-05,6414.53
4.8125e-05,6288.37
5e-05,6169.36
5.15625e-05,6075.19
5.3125e-05,5985.21
5.46875e-05,5899.11
5.625e-05,5816.63
5.78125e-05,5737.51
5.9375e-05,5661.54
6.09375e-05,5588.5
6.25e-05,5518.23
6.40625e-05,5450.54
6.5625e-05,5385.28
6.71875e-05,5322.32
6.875e-05,5261.51
7.1875e-05,5145.9
7.5e-05,5037.6
7.8125e-05,4935.86
8.125e-05,4840.04
8.4375e-05,4749.61
8.75e-05,4664.06
9.0625e-05,4582.98
9.375e-05,4505.98
9.6875e-05,4432.75
0.0001,4362.97
0.000103125,4296.39
0.00010625,4232.77
0.000109375,4171.9
0.0001125,4113.58
0.000115625,4057.64
0.00011875,4003.93
0.000121875,3952.3
0.000125,3902.61
0.000128125,3854.75
0.00013125,3808.62
0.000134375,3764.1
0.0001375,3721.11
0.00014375,3639.38
0.00015,3562.81
0.00015625,3490.88
0.0001625,3423.14
0.00016875,3359.21
0.000175,3298.73
0.00018125,3241.4
0.0001875,3186.97
0.00019375,3135.2
0.0002,3085.87
0.000209375,3016.06
0.00021875,2950.79
0.000228125,2889.59
0.0002375,2832.05
0.000246875,2777.82
0.00025625,2726.6
0.000265625,2678.11
0.000275,2632.12
0.000284375,2588.43
0.00029375,2546.85
0.000303125,2507.21
0.0003125,2469.38
0.000321875,2433.2
0.00033125,2398.58
0.000340625,2365.39
0.00035,2333.55
0.000359375,2302.96
0.00036875,2273.55
0.000378125,2245.24
0.0003875,2217.96
0.000396875,2191.66
0.00040625,2166.27
0.000425,2118.04
0.00044375,2072.9
0.0004625,2030.54
0.00048125,1990.68
0.0005,1953.08
0.000515625,1923.33
0.00053125,1894.9
0.000546875,1867.71
0.0005625,1841.65
0.000578125,1816.66
0.00059375,1792.66
0.000609375,1769.59
0.000625,1747.39
0.000640625,1726.01
0.00065625,1705.4
0.000671875,1685.52
0.0006875,1666.31
0.00071875,1629.8
0.00075,1595.6
0.00078125,1563.47
0.0008125,1533.22
0.00084375,1504.66
0.000875,1477.66
0.00090625,1452.06
0.0009375,1427.75
0.00096875,1404.63
0.001,1382.61
0.00103125,1361.59
0.0010625,1341.51
0.00109375,1322.3
0.001125,1303.9
0.00115625,1286.24
0.0011875,1269.29
0.00121875,1253
0.00125,1237.33
0.00128125,1222.23
0.0013125,1207.67
0.00134375,1193.63
0.001375,1180.07
