E_eV,Sig_b
1e-05,32.9954
1.03125e-05,32.5009
1.0625e-05,32.0284
1.09375e-05,31.5766
1.125e-05,31.1438
1.15625e-05,30.7287
1.1875e-05,30.3303
1.21875e-05,29.9474
1.25e-05,29.5791
1.28125e-05,29.2244
1.3125e-05,28.8826
1.34375e-05,28.5529
1.375e-05,28.2345
1.4375e-05,27.6295
1.5e-05,27.063
1.5625e-05,26.5312
1.625e-05,26.0307
1.6875e-05,25.5585
1.75e-05,25.112
1.8125e-05,24.6891
1.875e-05,24.2878
1.9375e-05,23.9063
2e-05,23.543
2.09375e-05,23.0291
2.1875e-05,22.5492
2.28125e-05,22.0994
2.375e-05,21.677
2.46875e-05,21.2792
2.5625e-05,20.9037
2.65625e-05,20.5486
2.75e-05,20.2121
2.84375e-05,19.8926
2.9375e-05,19.5888
3.03125e-05,19.2995
3.125e-05,19.0235
3.21875e-05,18.7599
3.3125e-05,18.5078
3.40625e-05,18.2663
3.5e-05,18.0348
3.59375e-05,17.8126
3.6875e-05,17.5991
3.78125e-05,17.3938
3.875e-05,17.1962
3.96875e-05,17.0057
4.0625e-05,16.822
4.25e-05,16.4735
4.4375e-05,16.1479
4.625e-05,15.8427
4.8125e-05,15.5561
5e-05,15.2862
5.15625e-05,15.0729
5.3125e-05,14.8694
5.46875e-05,14.6749
5.625e-05,14.4889
5.78125e-05,14.3106
5.9375e-05,14.1397
6.09375e-05,13.9757
6.25e-05,13.818
6.40625e-05,13.6664
6.5625e-05,13.5204
6.71875e-05,13.3797
6.875e-05,13.244
7.1875e-05,12.9865
7.5e-05,12.7459
7.8125e-05,12.5206
8.125e-05,12.3089
8.4375e-05,12.1096
8.75e-05,11.9216
9.0625e-05,11.7438
9.375e-05,11.5755
9.6875e-05,11.4158
0.0001,11.264
0.000103125,11.1196
0.00010625,10.9819
0.000109375,10.8505
0.0001125,10.725
0.000115625,10.6049
0.00011875,10.4898
0.000121875,10.3795
0.000125,10.2736
0.000128125,10.1718
0.00013125,10.074
0.000134375,9.97983
0.0001375,9.88912
0.00014375,9.71728
0.00015,9.55709
0.00015625,9.40734
0.0001625,9.26699
0.00016875,9.13516
0.000175,9.01104
0.00018125,8.89396
0.0001875,8.7833
0.00019375,8.67854
0.0002,8.57919
0.000209375,8.43939
0.00021875,8.30957
0.000228125,8.18865
0.0002375,8.07573
0.000246875,7.97001
0.00025625,7.8708
0.000265625,7.77749
0.000275,7.68956
0.000284375,7.60655
0.00029375,7.52804
0.000303125,7.45366
0.0003125,7.38309
0.000321875,7.31603
0.00033125,7.25223
0.000340625,7.19144
0.00035,7.13346
0.000359375,7.07808
0.00036875,7.02514
0.000378125,6.97447
0.0003875,6.92592
0.000396875,6.87936
0.00040625,6.83468
0.000425,6.75047
0.00044375,6.67249
