E_eV,Sig_b
1e-05,31.6561
1.03125e-05,31.1755
1.0625e-05,30.7164
1.09375e-05,30.2771
1.125e-05,29.8562
1.15625e-05,29.4526
1.1875e-05,29.0651
1.21875e-05,28.6926
1.25e-05,28.3342
1.28125e-05,27.989
1.3125e-05,27.6562
1.34375e-05,27.3352
1.375e-05,27.0251
1.4375e-05,26.4358
1.5e-05,25.8838
1.5625e-05,25.3653
1.625e-05,24.8771
1.6875e-05,24.4164
1.75e-05,23.9807
1.8125e-05,23.5677
1.875e-05,23.1757
1.9375e-05,22.8029
2e-05,22.4477
2.09375e-05,21.9452
2.1875e-05,21.4755
2.28125e-05,21.0351
2.375e-05,20.6212
2.46875e-05,20.2313
2.5625e-05,19.863
2.65625e-05,19.5145
2.75e-05,19.184
2.84375e-05,18.8701
2.9375e-05,18.5714
3.03125e-05,18.2868
3.125e-05,18.0152
3.21875e-05,17.7555
3.3125e-05,17.5071
3.40625e-05,17.269
3.5e-05,17.0406
3.59375e-05,16.8213
3.6875e-05,16.6105
3.78125e-05,16.4076
3.875e-05,16.2121
3.96875e-05,16.0237
4.0625e-05,15.8419
4.25e-05,15.4966
4.4375e-05,15.1736
4.625e-05,14.8706
4.8125e-05,14.5856
5e-05,14.317
5.15625e-05,14.1045
5.3125e-05,13.9016
5.46875e-05,13.7075
5.625e-05,13.5216
5.78125e-05,13.3434
5.9375e-05,13.1724
6.09375e-05,13.008
6.25e-05,12.8499
6.40625e-05,12.6977
6.5625e-05,12.5511
6.71875e-05,12.4096
6.875e-05,12.273
7.1875e-05,12.0136
7.5e-05,11.7707
7.8125e-05,11.5428
8.125e-05,11.3283
8.4375e-05,11.126
8.75e-05,10.9349
9.0625e-05,10.7538
9.375e-05,10.582
9.6875e-05,10.4188
0.0001,10.2634
0.000103125,10.1152
0.00010625,9.97378
0.000109375,9.83854
0.0001125,9.70909
0.000115625,9.58503
0.00011875,9.466
0.000121875,9.35167
0.000125,9.24175
0.000128125,9.13596
0.00013125,9.03406
0.000134375,8.93582
0.0001375,8.84102
0.00014375,8.66102
0.00015,8.49266
0.00015625,8.33477
0.0001625,8.18632
0.00016875,8.04643
0.000175,7.91432
0.00018125,7.7893
0.0001875,7.67079
0.00019375,7.55823
0.0002,7.45117
0.000209375,7.29996
0.00021875,7.15892
0.000228125,7.02698
0.0002375,6.90322
0.000246875,6.78687
0.00025625,6.67721
0.000265625,6.57366
0.000275,6.47567
0.000284375,6.38279
0.00029375,6.2946
0.000303125,6.21072
0.0003125,6.13083
0.000321875,6.05463
0.00033125,5.98185
0.000340625,5.91226
0.00035,5.84563
0.000359375,5.78177
0.00036875,5.72049
0.000378125,5.66164
0.0003875,5.60507
0.000396875,5.55063
0.00040625,5.49819
0.000425,5.39891
0.00044375,5.30638
0.0004625,5.21991
0.00048125,5.13889
0.0005,5.06278
0.000515625,5.00279
0.00053125,4.94565
0.000546875,4.89117
0.0005625,4.83915
0.000578125,4.78942
0.00059375,4.74183
0.000609375,4.69623
0.000625,4.65249
0.000640625,4.61049
0.00065625,4.57014
0.000671875,4.53132
0.0006875,4.49396
0.00071875,4.42324
0.00075,4.3574
0.00078125,4.29593
0.0008125,4.23838
0.00084375,4.18438
0.000875,4.13359
0.00090625,4.08573
0.0009375,4.04053
0.00096875,3.99778
0.001,3.95726
0.00103125,3.91881
0.0010625,3.88226
0.00109375,3.84747
0.001125,3.81431
0.00115625,3.78266
0.0011875,3.75242
0.00121875,3.72348
0.00125,3.69578
0.00128125,3.66922
0.0013125,3.64373
0.00134375,3.61925
0.001375,3.59572
0.0014375,3.55127
0.0015,3.50998
0.0015625,3.47152
0.001625,3.4356
0.0016875,3.40196
0.00175,3.37037
0.0018125,3.34066
0.001875,3.31265
0.0019375,3.28619
0.002,3.26116
0.00209375,3.22602
0.0021875,3.19348
0.00228125,3.16325
0.002375,3.13507
0.00246875,3.10874
0.0025625,3.08407
0.00265625,3.0609
0.00275,3.03909
0.00284375,3.01853
0.0029375,2.99909
0.00303125,2.98068
0.003125,2.96323
0.00321875,2.94665
0.0033125,2.93087
0.00340625,2.91584
0.0035,2.9015
0.00359375,2.8878
0.0036875,2.8747
0.00378125,2.86216
0.003875,2.85013
0.00396875,2.83859
0.0040625,2.82751
0.00425,2.80659
0.0044375,2.78719
0.004625,2.76913
0.0048125,2.75227
0.005,2.73648
0.00515625,2.72407
0.0053125,2.71229
0.00546875,2.70107
0.005625,2.69038
0.00578125,2.68017
0.0059375,2.67043
0.00609375,2.6611
0.00625,2.65217
0.00640625,2.6436
0.0065625,2.63538
0.00671875,2.62748
0.006875,2.61988
0.0071875,2.60552
0.0075,2.59216
0.0078125,2.5797
0.008125,2.56804
0.0084375,2.55711
0.00875,2.54683
0.0090625,2.53714
0.009375,2.52799
0.0096875,2.51933
0.01,2.51112
0.0103125,2.50333
0.010625,2.49591
0.0109375,2.48885
0.01125,2.48211
0.0115625,2.47567
0.011875,2.46952
