E_eV,Sig_b
1e-05,82.2283
1.03125e-05,80.9859
1.0625e-05,79.7988
1.09375e-05,78.6632
1.125e-05,77.5754
1.15625e-05,76.5322
1.1875e-05,75.5306
1.21875e-05,74.5679
1.25e-05,73.6417
1.28125e-05,72.7497
1.3125e-05,71.8899
1.34375e-05,71.0605
1.375e-05,70.2595
1.4375e-05,68.7371
1.5e-05,67.3114
1.5625e-05,65.9725
1.625e-05,64.7119
1.6875e-05,63.5225
1.75e-05,62.3977
1.8125e-05,61.3319
1.875e-05,60.3202
1.9375e-05,59.3582
2e-05,58.4419
2.09375e-05,57.1456
2.1875e-05,55.9342
2.28125e-05,54.7988
2.375e-05,53.7317
2.46875e-05,52.7266
2.5625e-05,51.7775
2.65625e-05,50.8795
2.75e-05,50.0283
2.84375e-05,49.2199
2.9375e-05,48.4508
3.03125e-05,47.7181
3.125e-05,47.0189
3.21875e-05,46.3507
3.3125e-05,45.7114
3.40625e-05,45.099
3.5e-05,44.5117
3.59375e-05,43.9477
3.6875e-05,43.4056
3.78125e-05,42.884
3.875e-05,42.3817
3.96875e-05,41.8976
4.0625e-05,41.4304
4.25e-05,40.5436
4.4375e-05,39.7144
4.625e-05,38.9367
4.8125e-05,38.2057
5e-05,37.5167
5.15625e-05,36.972
5.3125e-05,36.4518
5.46875e-05,35.9545
5.625e-05,35.4784
5.78125e-05,35.022
5.9375e-05,34.5841
6.09375e-05,34.1634
6.25e-05,33.7589
6.40625e-05,33.3696
6.5625e-05,32.9945
6.71875e-05,32.6329
6.875e-05,32.2839
7.1875e-05,31.621
7.5e-05,31.0009
7.8125e-05,30.4191
8.125e-05,29.8721
8.4375e-05,29.3563
8.75e-05,28.8692
9.0625e-05,28.408
9.375e-05,27.9707
9.6875e-05,27.5554
0.0001,27.1601
0.000103125,26.7834
0.00010625,26.424
0.000109375,26.0805
0.0001125,25.7519
0.000115625,25.437
0.00011875,25.1351
0.000121875,24.8452
0.000125,24.5666
0.000128125,24.2986
0.00013125,24.0405
0.000134375,23.7918
0.0001375,23.5519
0.00014375,23.0967
0.00015,22.6712
0.00015625,22.2724
0.0001625,21.8977
0.00016875,21.5449
0.000175,21.2119
0.00018125,20.8969
0.0001875,20.5985
0.00019375,20.3153
0.0002,20.046
0.000209375,19.666
0.00021875,19.3117
0.000228125,18.9805
0.0002375,18.6701
0.000246875,18.3784
0.00025625,18.1036
0.000265625,17.8442
0.000275,17.5989
0.000284375,17.3665
0.00029375,17.1458
0.000303125,16.936
0.0003125,16.7363
0.000321875,16.5458
0.00033125,16.3639
0.000340625,16.19
0.00035,16.0235
0.000359375,15.864
0.00036875,15.7109
0.000378125,15.5639
0.0003875,15.4226
0.000396875,15.2866
0.00040625,15.1556
0.000425,14.9075
0.00044375,14.6763
0.0004625,14.4601
0.00048125,14.2574
0.0005,14.067
0.000515625,13.9167
0.00053125,13.7736
0.000546875,13.637
0.0005625,13.5065
0.000578125,13.3816
0.00059375,13.262
0.000609375,13.1474
0.000625,13.0373
0.000640625,12.9315
0.00065625,12.8298
0.000671875,12.7318
0.0006875,12.6374
0.00071875,12.4585
0.00075,12.2916
0.00078125,12.1354
0.0008125,11.9888
0.00084375,11.851
0.000875,11.721
0.00090625,11.5982
0.0009375,11.482
0.00096875,11.3717
0.001,11.267
0.00103125,11.1673
0.0010625,11.0723
0.00109375,10.9816
0.001125,10.8949
0.00115625,10.812
0.0011875,10.7325
0.00121875,10.6563
0.00125,10.5831
0.00128125,10.5127
0.0013125,10.445
0.00134375,10.3798
0.001375,10.317
0.0014375,10.1978
0.0015,10.0865
0.0015625,9.98226
0.001625,9.8844
0.0016875,9.79228
0.00175,9.70536
0.0018125,9.62319
0.001875,9.54535
0.0019375,9.47147
0.002,9.40123
0.00209375,9.30209
0.0021875,9.20966
0.00228125,9.12322
0.002375,9.04216
0.00246875,8.96595
0.0025625,8.89412
0.00265625,8.82628
0.00275,8.76207
0.00284375,8.70118
0.0029375,8.64334
0.00303125,8.5883
0.003125,8.53584
0.00321875,8.48578
0.0033125,8.43793
0.00340625,8.39214
0.0035,8.34827
0.00359375,8.30618
0.0036875,8.26576
0.00378125,8.22691
0.003875,8.18951
0.00396875,8.1535
0.0040625,8.11878
0.00425,8.05292
0.0044375,7.99142
0.004625,7.9338
0.0048125,7.87969
0.005,7.82874
0.00515625,7.78848
0.0053125,7.75006
0.00546875,7.71335
0.005625,7.67822
0.00578125,7.64456
0.0059375,7.61228
0.00609375,7.58128
0.00625,7.55148
0.00640625,7.52281
0.0065625,7.49519
0.00671875,7.46857
0.006875,7.44288
0.0071875,7.3941
0.0075,7.34848
0.0078125,7.30568
0.008125,7.26544
0.0084375,7.2275
0.00875,7.19167
0.0090625,7.15774
0.009375,7.12556
0.0096875,7.09498
0.01,7.06588
0.0103125,7.03814
0.010625,7.01166
0.0109375,6.98634
0.01125,6.96211
0.0115625,6.93889
0.011875,6.91661
0.0121875,6.89521
0.0125,6.87463
0.0128125,6.85483
0.013125,6.83575
0.0134375,6.81735
0.01375,6.79959
0.014375,6.76586
0.015,6.7343
0.015625,6.70468
0.01625,6.67682
0.016875,6.65054
0.0175,6.6257
0.018125,6.60219
0.01875,6.57987
0.019375,6.55866
0.02,6.53847
0.0206625,6.51809
0.021325,6.49868
0.0219875,6.48017
0.02265,6.46248
0.0233125,6.44557
0.023975,6.42938
0.0246375,6.41385
0.0253,6.39894
0.0264578,6.37427
0.0276156,6.35118
0.0287734,6.32952
0.0299312,6.30915
0.0310891,6.28995
0.0322469,6.2718
0.0334047,6.25461
0.0345625,6.23831
0.0355273,6.22534
0.0364922,6.21289
0.037457,6.20094
0.0384219,6.18944
0.0393867,6.17836
0.0403516,6.1677
0.0413164,6.15741
0.0422812,6.14747
0.0442109,6.1286
0.0461406,6.11094
0.0480703,6.09437
0.05,6.07877
0.0515625,6.0668
0.053125,6.05536
0.0546875,6.04442
0.05625,6.03394
0.0578125,6.0239
0.059375,6.01426
0.0609375,6.00499
0.0625,5.99608
0.0640625,5.98751
0.065625,5.97924
0.0671875,5.97127
0.06875,5.96357
0.071875,5.94894
0.075,5.93524
0.078125,5.92237
0.08125,5.91026
0.084375,5.89882
0.0875,5.88801
0.090625,5.87777
0.09375,5.86805
0.096875,5.85881
0.1,5.85
0.103125,5.8416
0.10625,5.83358
0.109375,5.82591
0.1125,5.81856
0.115625,5.81151
0.11875,5.80475
0.121875,5.79825
0.125,5.79199
0.128125,5.78597
0.13125,5.78017
0.134375,5.77458
0.1375,5.76918
0.14375,5.75891
0.15,5.74929
0.15625,5.74026
0.1625,5.73175
0.16875,5.72372
0.175,5.71613
0.18125,5.70894
0.1875,5.70212
0.19375,5.69563
0.2,5.68946
0.209375,5.68073
0.21875,5.67257
0.228125,5.66491
0.2375,5.65772
0.246875,5.65095
0.25625,5.64457
0.265625,5.63853
0.275,5.6328
0.284375,5.62737
0.29375,5.62221
0.303125,5.6173
0.3125,5.61261
0.321875,5.60814
0.33125,5.60387
0.340625,5.59978
0.35,5.59587
0.359375,5.59212
0.36875,5.58852
0.378125,5.58506
0.3875,5.58175
0.396875,5.57856
0.40625,5.57549
0.425,5.5697
0.44375,5.56431
0.4625,5.5593
0.5,5.55031
0.53125,5.54374
0.5625,5.5379
0.59375,5.53275
0.625,5.52825
0.65625,5.52438
0.6875,5.52113
0.71875,5.51854
0.75,5.51662
0.78125,5.51545
0.804688,5.51512
0.828125,5.51533
0.851562,5.51613
0.875,5.51763
0.90625,5.52088
0.921875,5.52317
0.9375,5.526
0.953125,5.52945
0.96875,5.53361
0.984375,5.5386
1,5.54457
1.01483,5.55129
1.02965,5.55924
1.04447,5.56865
1.0593,5.57981
1.06671,5.58618
1.07412,5.59313
1.08153,5.60075
1.08895,5.6091
1.09636,5.61828
1.10377,5.62837
1.11118,5.63949
1.11859,5.65176
1.12848,5.67016
1.13836,5.69125
1.1433,5.70297
1.14824,5.71554
1.15319,5.72905
1.15813,5.74358
1.16307,5.75923
1.16801,5.77608
1.17295,5.79427
1.17789,5.81389
1.18283,5.83508
1.18778,5.85798
1.19272,5.88274
1.19766,5.90953
1.20309,5.94153
1.20853,5.97641
1.21396,6.01441
1.2194,6.05575
1.22484,6.10065
1.23027,6.14928
1.23571,6.20179
1.24114,6.25821
1.24725,6.32626
1.25336,6.39895
1.25946,6.47578
1.26557,6.5559
1.27779,6.72099
1.28389,6.8025
1.29,6.88049
1.29462,6.93575
1.29925,6.98653
1.30388,7.0318
1.3085,7.07053
1.31313,7.10186
1.31775,7.12504
1.32238,7.13952
1.327,7.14497
1.33105,7.14224
1.33509,7.1326
1.33914,7.11625
1.34319,7.09355
1.34723,7.06493
1.35128,7.03095
1.35533,6.99222
1.35938,6.94941
1.36747,6.85426
1.37556,6.751
1.39175,6.53932
1.39817,6.45863
1.40459,6.38169
1.41101,6.30924
1.41743,6.2417
1.42386,6.17921
1.43028,6.12175
1.4367,6.06915
1.44312,6.02114
1.44955,5.97732
1.45599,5.93747
1.46242,5.90123
1.46886,5.86828
1.47529,5.83829
1.48172,5.81098
1.48816,5.78607
1.49459,5.76331
1.50103,5.74249
1.50746,5.7234
1.5139,5.70587
1.52033,5.68975
1.52677,5.67488
1.5332,5.66116
1.53964,5.64846
1.54607,5.63669
1.55251,5.62577
1.55894,5.61561
1.56538,5.60615
1.57181,5.59732
1.58468,5.58135
1.59755,5.56733
1.60749,5.55762
1.61744,5.54877
1.62738,5.54069
1.63733,5.53327
1.64727,5.52644
1.65721,5.52014
1.6771,5.50891
1.69699,5.49918
1.71688,5.49069
1.73677,5.48323
1.75666,5.47661
1.77187,5.47205
1.78707,5.46785
1.81749,5.4604
1.84791,5.45395
1.87833,5.44829
1.90875,5.44327
1.93917,5.4388
1.96958,5.43477
2,5.43112
2.04688,5.42609
2.09375,5.42164
2.14062,5.41765
2.1875,5.41406
2.28125,5.40774
2.375,5.40225
2.46875,5.3974
2.5625,5.39305
2.65625,5.38907
2.75,5.3854
2.9375,5.37876
3.125,5.37281
3.3125,5.36738
3.5,5.36236
3.6875,5.35768
3.875,5.35326
4.0625,5.34907
4.25,5.34508
4.625,5.33758
5,5.33061
5.3125,5.32512
5.625,5.31987
5.9375,5.31484
6.25,5.30998
6.5625,5.30529
6.875,5.30073
