E_eV,Sig_b
1e-05,45.0699
1.03125e-05,44.3973
1.0625e-05,43.7547
1.09375e-05,43.1402
1.125e-05,42.5516
1.15625e-05,41.9872
1.1875e-05,41.4455
1.21875e-05,40.9249
1.25e-05,40.4241
1.28125e-05,39.9419
1.3125e-05,39.4773
1.34375e-05,39.0291
1.375e-05,38.5964
1.4375e-05,37.7741
1.5e-05,37.0044
1.5625e-05,36.2818
1.625e-05,35.6018
1.6875e-05,34.9603
1.75e-05,34.354
1.8125e-05,33.7797
1.875e-05,33.2348
1.9375e-05,32.7168
2e-05,32.2236
2.09375e-05,31.5263
2.1875e-05,30.8749
2.28125e-05,30.2648
2.375e-05,29.6918
2.46875e-05,29.1523
2.5625e-05,28.6432
2.65625e-05,28.1618
2.75e-05,27.7057
2.84375e-05,27.2728
2.9375e-05,26.8612
3.03125e-05,26.4693
3.125e-05,26.0955
3.21875e-05,25.7386
3.3125e-05,25.3972
3.40625e-05,25.0704
3.5e-05,24.7572
3.59375e-05,24.4566
3.6875e-05,24.1678
3.78125e-05,23.8901
3.875e-05,23.6228
3.96875e-05,23.3654
4.0625e-05,23.1171
4.25e-05,22.6462
4.4375e-05,22.2063
4.625e-05,21.7944
4.8125e-05,21.4075
5e-05,21.0433
5.15625e-05,20.7557
5.3125e-05,20.4813
5.46875e-05,20.2193
5.625e-05,19.9686
5.78125e-05,19.7286
5.9375e-05,19.4984
6.09375e-05,19.2776
6.25e-05,19.0655
6.40625e-05,18.8615
6.5625e-05,18.6652
6.71875e-05,18.4761
6.875e-05,18.2937
7.1875e-05,17.9479
7.5e-05,17.625
7.8125e-05,17.3227
8.125e-05,17.039
8.4375e-05,16.772
8.75e-05,16.5203
9.0625e-05,16.2825
9.375e-05,16.0574
9.6875e-05,15.844
0.0001,15.6414
0.000103125,15.4486
0.00010625,15.2651
0.000109375,15.09
0.0001125,14.9227
0.000115625,14.7629
0.00011875,14.6098
0.000121875,14.4632
0.000125,14.3225
0.000128125,14.1875
0.00013125,14.0577
0.000134375,13.9328
0.0001375,13.8126
0.00014375,13.5852
0.00015,13.3734
0.00015625,13.1757
0.0001625,12.9907
0.00016875,12.8171
0.000175,12.6538
0.00018125,12.5
0.0001875,12.3549
0.00019375,12.2176
0.0002,12.0876
0.000209375,11.905
0.00021875,11.7357
0.000228125,11.5783
0.0002375,11.4316
0.000246875,11.2945
0.00025625,11.1661
0.000265625,11.0456
0.000275,10.9322
0.000284375,10.8254
0.00029375,10.7245
0.000303125,10.6292
0.0003125,10.5388
0.000321875,10.4532
0.00033125,10.3718
0.000340625,10.2944
0.00035,10.2208
0.000359375,10.1505
0.00036875,10.0835
0.000378125,10.0195
0.0003875,9.95824
0.000396875,9.89961
0.00040625,9.84344
0.000425,9.73786
0.00044375,9.64045
0.0004625,9.55029
0.00048125,9.46661
0.0005,9.38874
0.000515625,9.32786
0.00053125,9.27032
0.000546875,9.21585
0.0005625,9.16422
0.000578125,9.11521
0.00059375,9.06862
0.000609375,9.02429
0.000625,8.98206
0.000640625,8.94178
0.00065625,8.90332
0.000671875,8.86657
0.0006875,8.83141
0.00071875,8.76547
0.00075,8.70481
0.00078125,8.64882
0.0008125,8.59698
0.00084375,8.54887
0.000875,8.50409
0.00090625,8.46231
0.0009375,8.42324
0.00096875,8.38664
0.001,8.35227
0.00103125,8.31994
0.0010625,8.28947
0.00109375,8.26071
0.001125,8.23353
0.00115625,8.20779
0.0011875,8.18338
0.00121875,8.16021
0.00125,8.13818
0.00128125,8.11721
0.0013125,8.09723
0.00134375,8.07816
0.001375,8.05995
0.0014375,8.02589
0.0015,7.99463
0.0015625,7.96585
0.001625,7.93927
0.0016875,7.91464
0.00175,7.89175
0.0018125,7.87043
0.001875,7.85052
0.0019375,7.83188
0.002,7.8144
0.00209375,7.79012
0.0021875,7.76791
0.00228125,7.74751
0.002375,7.7287
0.00246875,7.71132
0.0025625,7.6952
0.00265625,7.6802
0.00275,7.66622
0.00284375,7.65316
0.0029375,7.64092
0.00303125,7.62943
0.003125,7.61862
0.00321875,7.60844
0.0033125,7.59884
0.00340625,7.58975
0.0035,7.58115
0.00359375,7.57299
0.0036875,7.56524
0.00378125,7.55788
0.003875,7.55086
0.00396875,7.54418
0.0040625,7.5378
0.00425,7.52588
0.0044375,7.51495
0.004625,7.5049
0.0048125,7.49563
0.005,7.48704
0.00515625,7.48036
0.0053125,7.47407
0.00546875,7.46813
0.005625,7.46252
0.00578125,7.45721
0.0059375,7.45217
0.00609375,7.44739
0.00625,7.44285
0.00640625,7.43852
0.0065625,7.4344
0.00671875,7.43047
0.006875,7.42671
0.0071875,7.41968
0.0075,7.41323
0.0078125,7.40729
0.008125,7.4018
0.0084375,7.39672
0.00875,7.39199
0.0090625,7.38758
0.009375,7.38346
0.0096875,7.3796
0.01,7.37598
